Date Time,Temperature
6/11/12 8:08,20.2
6/11/12 8:38,19.8
6/11/12 9:08,18.6
6/11/12 9:38,17.4
6/11/12 10:08,17.8
6/11/12 10:38,19
6/11/12 11:08,19.8
6/11/12 11:38,19
6/11/12 12:08,18.6
6/11/12 12:38,18.6
6/11/12 13:08,20.5
6/11/12 13:38,19.8
6/11/12 14:08,22.1
6/11/12 14:38,23.2
6/11/12 15:08,23.2
6/11/12 15:38,30.3
6/11/12 16:08,13.3
6/11/12 16:38,11.7
6/11/12 17:08,10.9
6/11/12 17:38,9.8
6/11/12 18:08,9
6/11/12 18:38,8.2
6/11/12 19:08,7.8
6/11/12 19:38,7.4
6/11/12 20:08,7
6/11/12 20:38,6.2
6/11/12 21:08,5.8
6/11/12 21:38,5.3
6/11/12 22:08,5.3
6/11/12 22:38,4.9
6/11/12 23:08,4.9
6/11/12 23:38,4.5
6/12/12 0:08,4.5
6/12/12 0:38,4.1
6/12/12 1:08,4.1
6/12/12 1:38,4.1
6/12/12 2:08,4.1
6/12/12 2:38,4.1
6/12/12 3:08,4.1
6/12/12 3:38,4.1
6/12/12 4:08,4.1
6/12/12 4:38,3.7
6/12/12 5:08,3.7
6/12/12 5:38,4.1
6/12/12 6:08,4.1
6/12/12 6:38,4.1
6/12/12 7:08,4.5
6/12/12 7:38,4.5
6/12/12 8:08,4.9
6/12/12 8:38,4.9
6/12/12 9:08,5.3
6/12/12 9:38,5.3
6/12/12 10:08,6.2
6/12/12 10:38,6.6
6/12/12 11:08,7.4
6/12/12 11:38,7
6/12/12 12:08,7
6/12/12 12:38,7
6/12/12 13:08,7
6/12/12 13:38,7.4
6/12/12 14:08,7.8
6/12/12 14:38,8.6
6/12/12 15:08,9.4
6/12/12 15:38,9.8
6/12/12 16:08,9.8
6/12/12 16:38,9.4
6/12/12 17:08,9
6/12/12 17:38,8.6
6/12/12 18:08,8.2
6/12/12 18:38,7.8
6/12/12 19:08,7.4
6/12/12 19:38,7
6/12/12 20:08,6.6
6/12/12 20:38,6.2
6/12/12 21:08,6.2
6/12/12 21:38,5.8
6/12/12 22:08,5.8
6/12/12 22:38,5.3
6/12/12 23:08,5.3
6/12/12 23:38,5.3
6/13/12 0:08,4.9
6/13/12 0:38,4.9
6/13/12 1:08,4.5
6/13/12 1:38,4.5
6/13/12 2:08,4.1
6/13/12 2:38,3.7
6/13/12 3:08,3.3
6/13/12 3:38,3.3
6/13/12 4:08,3.3
6/13/12 4:38,3.3
6/13/12 5:08,2.8
6/13/12 5:38,2.8
6/13/12 6:08,2.8
6/13/12 6:38,2.8
6/13/12 7:08,2.8
6/13/12 7:38,3.3
6/13/12 8:08,3.7
6/13/12 8:38,4.1
6/13/12 9:08,4.5
6/13/12 9:38,4.9
6/13/12 10:08,5.3
6/13/12 10:38,5.3
6/13/12 11:08,5.8
6/13/12 11:38,5.8
6/13/12 12:08,5.8
6/13/12 12:38,6.2
6/13/12 13:08,6.2
6/13/12 13:38,6.2
6/13/12 14:08,6.2
6/13/12 14:38,6.2
6/13/12 15:08,6.2
6/13/12 15:38,6.6
6/13/12 16:08,6.6
6/13/12 16:38,7
6/13/12 17:08,7.4
6/13/12 17:38,7.4
6/13/12 18:08,7.4
6/13/12 18:38,7
6/13/12 19:08,6.2
6/13/12 19:38,5.8
6/13/12 20:08,4.9
6/13/12 20:38,4.5
6/13/12 21:08,4.1
6/13/12 21:38,3.3
6/13/12 22:08,2.8
6/13/12 22:38,2.8
6/13/12 23:08,2.4
6/13/12 23:38,2.8
6/14/12 0:08,2.8
6/14/12 0:38,2.8
6/14/12 1:08,2.8
6/14/12 1:38,2.8
6/14/12 2:08,2.8
6/14/12 2:38,2.8
6/14/12 3:08,2.4
6/14/12 3:38,2.4
6/14/12 4:08,2.4
6/14/12 4:38,2.4
6/14/12 5:08,2.4
6/14/12 5:38,2.4
6/14/12 6:08,2.4
6/14/12 6:38,2.4
6/14/12 7:08,2.4
6/14/12 7:38,2.4
6/14/12 8:08,2.8
6/14/12 8:38,3.7
6/14/12 9:08,4.1
6/14/12 9:38,4.9
6/14/12 10:08,6.2
6/14/12 10:38,7
6/14/12 11:08,8.2
6/14/12 11:38,9.4
6/14/12 12:08,10.2
6/14/12 12:38,10.9
6/14/12 13:08,11.7
6/14/12 13:38,12.5
6/14/12 14:08,12.5
6/14/12 14:38,12.1
6/14/12 15:08,11.7
6/14/12 15:38,10.9
6/14/12 16:08,10.2
6/14/12 16:38,9.4
6/14/12 17:08,9
6/14/12 17:38,9
6/14/12 18:08,8.6
6/14/12 18:38,8.2
6/14/12 19:08,7.4
6/14/12 19:38,7
6/14/12 20:08,6.2
6/14/12 20:38,5.8
6/14/12 21:08,5.3
6/14/12 21:38,4.5
6/14/12 22:08,4.5
6/14/12 22:38,4.1
6/14/12 23:08,4.1
6/14/12 23:38,3.7
6/15/12 0:08,3.7
6/15/12 0:38,3.7
6/15/12 1:08,3.3
6/15/12 1:38,3.3
6/15/12 2:08,3.3
6/15/12 2:38,3.3
6/15/12 3:08,2.8
6/15/12 3:38,2.4
6/15/12 4:08,2.8
6/15/12 4:38,2.8
6/15/12 5:08,2.8
6/15/12 5:38,2.8
6/15/12 6:08,2.8
6/15/12 6:38,2.8
6/15/12 7:08,2.8
6/15/12 7:38,3.3
6/15/12 8:08,4.1
6/15/12 8:38,4.9
6/15/12 9:08,5.8
6/15/12 9:38,7
6/15/12 10:08,7.8
6/15/12 10:38,9
6/15/12 11:08,9.8
6/15/12 11:38,10.9
6/15/12 12:08,11.7
6/15/12 12:38,12.5
6/15/12 13:08,13.3
6/15/12 13:38,13.7
6/15/12 14:08,14.1
6/15/12 14:38,14.1
6/15/12 15:08,14.1
6/15/12 15:38,13.7
6/15/12 16:08,13.3
6/15/12 16:38,12.9
6/15/12 17:08,12.5
6/15/12 17:38,12.1
6/15/12 18:08,11.3
6/15/12 18:38,10.2
6/15/12 19:08,9.4
6/15/12 19:38,9
6/15/12 20:08,8.2
6/15/12 20:38,7.8
6/15/12 21:08,7
6/15/12 21:38,6.6
6/15/12 22:08,6.2
6/15/12 22:38,5.8
6/15/12 23:08,5.8
6/15/12 23:38,5.3
6/16/12 0:08,5.3
6/16/12 0:38,5.3
6/16/12 1:08,4.9
6/16/12 1:38,4.9
6/16/12 2:08,4.9
6/16/12 2:38,4.9
6/16/12 3:08,5.3
6/16/12 3:38,5.3
6/16/12 4:08,5.3
6/16/12 4:38,5.3
6/16/12 5:08,4.9
6/16/12 5:38,4.9
6/16/12 6:08,4.9
6/16/12 6:38,4.9
6/16/12 7:08,4.9
6/16/12 7:38,5.3
6/16/12 8:08,6.2
6/16/12 8:38,6.6
6/16/12 9:08,7
