"Plot Title: UPLSH-NE"
#,Date Time,H08 Temp. (°C) LGR S/N: 1277067 c:1,GCap. RH (%) LGR S/N: 1277067 c:3
1,06/03/16 18:00:00,29.50,35.40
2,06/03/16 18:30:00,28.70,35.40
3,06/03/16 19:00:00,28.31,34.90
4,06/03/16 19:30:00,27.52,35.90
5,06/03/16 20:00:00,25.95,38.40
6,06/03/16 20:30:00,24.79,40.40
7,06/03/16 21:00:00,23.63,42.40
8,06/03/16 21:30:00,22.86,44.50
9,06/03/16 22:00:00,22.48,45.50
10,06/03/16 22:30:00,22.09,47.00
11,06/03/16 23:00:00,21.71,48.10
12,06/03/16 23:30:00,21.71,49.10
13,06/04/16 00:00:00,21.33,49.10
14,06/04/16 00:30:00,21.33,49.60
15,06/04/16 01:00:00,21.33,50.10
16,06/04/16 01:30:00,20.95,50.70
17,06/04/16 02:00:00,20.95,51.20
18,06/04/16 02:30:00,20.95,51.20
19,06/04/16 03:00:00,20.95,51.70
20,06/04/16 03:30:00,20.95,51.70
21,06/04/16 04:00:00,20.95,52.20
22,06/04/16 04:30:00,20.57,52.70
23,06/04/16 05:00:00,20.57,52.70
24,06/04/16 05:30:00,20.57,53.30
25,06/04/16 06:00:00,20.57,53.30
26,06/04/16 06:30:00,20.57,53.30
27,06/04/16 07:00:00,20.57,53.30
28,06/04/16 07:30:00,20.57,53.80
29,06/04/16 08:00:00,20.19,53.80
30,06/04/16 08:30:00,20.19,54.30
31,06/04/16 09:00:00,20.19,54.30
32,06/04/16 09:30:00,20.19,54.30
33,06/04/16 10:00:00,20.19,54.30
34,06/04/16 10:30:00,20.19,54.80
35,06/04/16 11:00:00,20.19,54.80
36,06/04/16 11:30:00,20.19,55.30
37,06/04/16 12:00:00,20.57,54.80
38,06/04/16 12:30:00,20.57,55.30
39,06/04/16 13:00:00,20.57,55.90
40,06/04/16 13:30:00,20.57,56.40
41,06/04/16 14:00:00,20.95,56.40
42,06/04/16 14:30:00,20.95,56.90
43,06/04/16 15:00:00,20.95,56.90
44,06/04/16 15:30:00,21.33,56.90
45,06/04/16 16:00:00,21.33,57.40
46,06/04/16 16:30:00,21.33,57.90
47,06/04/16 17:00:00,21.71,57.90
48,06/04/16 17:30:00,21.71,57.90
49,06/04/16 18:00:00,22.09,58.50
50,06/04/16 18:30:00,22.09,57.90
51,06/04/16 19:00:00,22.09,58.50
52,06/04/16 19:30:00,22.48,58.50
53,06/04/16 20:00:00,22.48,58.50
54,06/04/16 20:30:00,22.48,57.90
55,06/04/16 21:00:00,22.48,57.90
56,06/04/16 21:30:00,22.48,58.50
57,06/04/16 22:00:00,22.86,58.50
58,06/04/16 22:30:00,22.86,58.50
59,06/04/16 23:00:00,22.86,57.90
60,06/04/16 23:30:00,22.86,57.90
61,06/05/16 00:00:00,22.86,57.90
62,06/05/16 00:30:00,22.86,57.40
63,06/05/16 01:00:00,22.48,57.40
64,06/05/16 01:30:00,22.48,57.40
65,06/05/16 02:00:00,22.48,57.40
66,06/05/16 02:30:00,22.48,57.40
67,06/05/16 03:00:00,22.48,56.90
68,06/05/16 03:30:00,22.48,57.40
69,06/05/16 04:00:00,22.48,57.40
70,06/05/16 04:30:00,22.48,57.40
71,06/05/16 05:00:00,22.48,56.90
72,06/05/16 05:30:00,22.09,56.90
73,06/05/16 06:00:00,22.09,56.90
74,06/05/16 06:30:00,22.09,57.40
75,06/05/16 07:00:00,22.09,56.90
76,06/05/16 07:30:00,22.09,56.90
77,06/05/16 08:00:00,21.71,56.90
78,06/05/16 08:30:00,21.71,56.40
79,06/05/16 09:00:00,21.71,56.90
80,06/05/16 09:30:00,21.71,56.90
81,06/05/16 10:00:00,21.71,56.90
82,06/05/16 10:30:00,21.71,56.90
83,06/05/16 11:00:00,21.71,56.90
84,06/05/16 11:30:00,21.71,56.90
85,06/05/16 12:00:00,21.71,56.40
86,06/05/16 12:30:00,21.71,56.90
87,06/05/16 13:00:00,21.71,56.90
88,06/05/16 13:30:00,21.71,57.40
89,06/05/16 14:00:00,22.09,57.40
90,06/05/16 14:30:00,22.09,57.90
91,06/05/16 15:00:00,22.09,57.40
92,06/05/16 15:30:00,22.09,57.90
93,06/05/16 16:00:00,22.48,57.90
94,06/05/16 16:30:00,22.48,57.90
95,06/05/16 17:00:00,22.48,57.90
96,06/05/16 17:30:00,22.48,57.90
97,06/05/16 18:00:00,22.86,58.50
98,06/05/16 18:30:00,22.86,58.50
99,06/05/16 19:00:00,22.86,57.90
100,06/05/16 19:30:00,22.86,58.50
101,06/05/16 20:00:00,23.24,58.50
102,06/05/16 20:30:00,23.24,58.50
103,06/05/16 21:00:00,23.24,58.50
104,06/05/16 21:30:00,23.24,58.50
105,06/05/16 22:00:00,23.24,57.90
106,06/05/16 22:30:00,23.24,57.90
107,06/05/16 23:00:00,23.24,57.90
108,06/05/16 23:30:00,23.24,57.90
109,06/06/16 00:00:00,23.24,57.90
110,06/06/16 00:30:00,23.24,57.90
111,06/06/16 01:00:00,23.24,57.90
112,06/06/16 01:30:00,23.24,57.90
113,06/06/16 02:00:00,23.24,57.90
114,06/06/16 02:30:00,23.24,57.90
115,06/06/16 03:00:00,23.24,57.90
116,06/06/16 03:30:00,23.24,57.90
117,06/06/16 04:00:00,23.24,57.90
118,06/06/16 04:30:00,22.86,57.40
119,06/06/16 05:00:00,22.86,57.90
120,06/06/16 05:30:00,22.86,57.90
121,06/06/16 06:00:00,22.86,57.40
122,06/06/16 06:30:00,22.86,57.40
123,06/06/16 07:00:00,22.48,57.40
124,06/06/16 07:30:00,22.48,57.40
125,06/06/16 08:00:00,22.48,57.40
126,06/06/16 08:30:00,22.48,57.40
127,06/06/16 09:00:00,22.48,57.90
128,06/06/16 09:30:00,22.48,58.50
129,06/06/16 10:00:00,22.09,59.00
130,06/06/16 10:30:00,22.09,59.00
131,06/06/16 11:00:00,22.09,59.50
132,06/06/16 11:30:00,22.48,68.70
133,06/06/16 12:00:00,23.63,63.10
134,06/06/16 12:30:00,24.40,60.00
135,06/06/16 13:00:00,25.17,60.00
136,06/06/16 13:30:00,26.34,76.20
137,06/06/16 14:00:00,27.91,55.90
138,06/06/16 14:30:00,28.70,50.10
139,06/06/16 15:00:00,29.10,47.50
140,06/06/16 15:30:00,28.70,41.90
141,06/06/16 16:00:00,28.31,37.30
142,06/06/16 16:30:00,27.91,35.90
143,06/06/16 17:00:00,27.91,37.30
144,06/06/16 17:30:00,27.52,37.80
145,06/06/16 18:00:00,27.52,34.40
146,06/06/16 18:30:00,27.12,37.80
147,06/06/16 19:00:00,26.34,34.90
148,06/06/16 19:30:00,25.56,31.90
149,06/06/16 20:00:00,24.79,28.10
150,06/06/16 20:30:00,24.01,24.00
151,06/06/16 21:00:00,22.86,24.40
152,06/06/16 21:30:00,22.09,25.30
153,06/06/16 22:00:00,21.33,25.80
154,06/06/16 22:30:00,20.57,26.70
155,06/06/16 23:00:00,19.81,26.70
156,06/06/16 23:30:00,19.04,26.70
157,06/07/16 00:00:00,18.66,27.20
158,06/07/16 00:30:00,18.28,27.60
159,06/07/16 01:00:00,17.90,28.10
160,06/07/16 01:30:00,17.52,28.60
161,06/07/16 02:00:00,17.14,29.50
162,06/07/16 02:30:00,17.14,30.50
163,06/07/16 03:00:00,16.76,31.00
164,06/07/16 03:30:00,16.76,31.90
165,06/07/16 04:00:00,16.38,32.40
166,06/07/16 04:30:00,16.38,32.40
167,06/07/16 05:00:00,16.00,32.90
168,06/07/16 05:30:00,16.00,33.90
169,06/07/16 06:00:00,15.62,34.90
170,06/07/16 06:30:00,15.62,36.40
171,06/07/16 07:00:00,15.62,40.90
172,06/07/16 07:30:00,19.04,40.90
173,06/07/16 08:00:00,19.42,39.40
174,06/07/16 08:30:00,20.19,36.80
175,06/07/16 09:00:00,21.71,31.00
176,06/07/16 09:30:00,22.86,34.40
177,06/07/16 10:00:00,20.95,53.30
178,06/07/16 10:30:00,23.63,36.80
179,06/07/16 11:00:00,23.24,36.40
180,06/07/16 11:30:00,23.63,32.40
181,06/07/16 12:00:00,24.01,31.90
182,06/07/16 12:30:00,24.40,26.70
183,06/07/16 13:00:00,25.17,30.00
184,06/07/16 13:30:00,25.56,28.60
185,06/07/16 14:00:00,25.56,28.60
186,06/07/16 14:30:00,25.17,32.40
187,06/07/16 15:00:00,25.56,32.40
188,06/07/16 15:30:00,24.40,37.80
189,06/07/16 16:00:00,24.01,39.90
190,06/07/16 16:30:00,23.63,39.90
191,06/07/16 17:00:00,23.24,39.90
192,06/07/16 17:30:00,22.86,42.40
193,06/07/16 18:00:00,22.09,42.40
194,06/07/16 18:30:00,21.33,42.90
195,06/07/16 19:00:00,20.19,43.40
196,06/07/16 19:30:00,19.42,51.20
197,06/07/16 20:00:00,18.28,62.10
198,06/07/16 20:30:00,17.14,65.70
199,06/07/16 21:00:00,16.00,70.70
200,06/07/16 21:30:00,14.85,75.20
201,06/07/16 22:00:00,13.70,81.40
202,06/07/16 22:30:00,12.93,86.00
203,06/07/16 23:00:00,12.55,88.10
204,06/07/16 23:30:00,12.16,89.00
205,06/08/16 00:00:00,12.16,89.40
206,06/08/16 00:30:00,11.38,91.50
207,06/08/16 01:00:00,10.60,90.30
208,06/08/16 01:30:00,9.82,95.80
209,06/08/16 02:00:00,10.21,100.70
210,06/08/16 02:30:00,10.21,99.40
211,06/08/16 03:00:00,9.82,100.40
212,06/08/16 03:30:00,9.82,102.30
213,06/08/16 04:00:00,9.82,101.70
214,06/08/16 04:30:00,9.42,100.10
215,06/08/16 05:00:00,9.42,100.40
216,06/08/16 05:30:00,9.42,68.70
217,06/08/16 06:00:00,9.03,66.70
218,06/08/16 06:30:00,9.03,58.50
219,06/08/16 07:00:00,9.82,67.20
220,06/08/16 07:30:00,9.82,81.40
221,06/08/16 08:00:00,10.99,45.00
222,06/08/16 08:30:00,12.55,36.40
223,06/08/16 09:00:00,14.09,36.40
224,06/08/16 09:30:00,14.85,35.40
225,06/08/16 10:00:00,15.62,35.40
226,06/08/16 10:30:00,16.38,37.80
227,06/08/16 11:00:00,16.76,33.90
228,06/08/16 11:30:00,16.38,45.00
229,06/08/16 12:00:00,16.38,48.60
230,06/08/16 12:30:00,16.38,51.20
231,06/08/16 13:00:00,16.38,56.90
232,06/08/16 13:30:00,14.09,65.20
233,06/08/16 14:00:00,14.85,62.60
234,06/08/16 14:30:00,15.62,60.50
235,06/08/16 15:00:00,13.32,67.20
236,06/08/16 15:30:00,12.93,70.20
237,06/08/16 16:00:00,13.70,69.70
238,06/08/16 16:30:00,14.09,66.70
239,06/08/16 17:00:00,14.09,65.70
240,06/08/16 17:30:00,14.09,65.70
241,06/08/16 18:00:00,13.32,70.20
242,06/08/16 18:30:00,11.77,79.10
243,06/08/16 19:00:00,10.99,81.40
244,06/08/16 19:30:00,10.60,82.80
245,06/08/16 20:00:00,10.21,84.20
246,06/08/16 20:30:00,9.42,86.00
247,06/08/16 21:00:00,9.03,87.70
248,06/08/16 21:30:00,8.23,93.10
249,06/08/16 22:00:00,7.83,95.40
250,06/08/16 22:30:00,7.43,98.40
251,06/08/16 23:00:00,7.43,98.40
252,06/08/16 23:30:00,7.03,98.40
253,06/09/16 00:00:00,7.03,100.40
254,06/09/16 00:30:00,6.62,99.70
255,06/09/16 01:00:00,6.62,101.40
256,06/09/16 01:30:00,7.03,101.40
257,06/09/16 02:00:00,7.03,102.30
258,06/09/16 02:30:00,7.03,102.00
259,06/09/16 03:00:00,7.03,102.30
260,06/09/16 03:30:00,7.03,101.40
261,06/09/16 04:00:00,6.62,101.40
262,06/09/16 04:30:00,6.62,102.00
263,06/09/16 05:00:00,6.62,102.30
264,06/09/16 05:30:00,6.62,102.30
265,06/09/16 06:00:00,6.62,102.30
266,06/09/16 06:30:00,6.62,101.70
267,06/09/16 07:00:00,7.03,101.40
268,06/09/16 07:30:00,7.43,98.40
269,06/09/16 08:00:00,8.23,93.10
270,06/09/16 08:30:00,8.23,90.30
271,06/09/16 09:00:00,8.63,90.30
272,06/09/16 09:30:00,8.63,91.50
273,06/09/16 10:00:00,8.63,95.40
274,06/09/16 10:30:00,8.23,98.70
275,06/09/16 11:00:00,8.23,100.10
276,06/09/16 11:30:00,8.63,101.00
277,06/09/16 12:00:00,8.63,100.70
278,06/09/16 12:30:00,9.03,100.70
279,06/09/16 13:00:00,9.42,100.70
280,06/09/16 13:30:00,9.42,94.30
281,06/09/16 14:00:00,9.42,99.70
282,06/09/16 14:30:00,9.03,93.50
283,06/09/16 15:00:00,9.03,95.80
284,06/09/16 15:30:00,8.63,98.00
285,06/09/16 16:00:00,8.23,97.60
286,06/09/16 16:30:00,8.23,100.70
287,06/09/16 17:00:00,7.83,90.70
288,06/09/16 17:30:00,8.23,93.50
289,06/09/16 18:00:00,7.83,100.70
290,06/09/16 18:30:00,7.83,101.40
291,06/09/16 19:00:00,7.43,101.70
292,06/09/16 19:30:00,7.43,102.60
293,06/09/16 20:00:00,7.03,102.90
294,06/09/16 20:30:00,7.03,103.50
295,06/09/16 21:00:00,7.03,103.80
296,06/09/16 21:30:00,7.03,104.00
297,06/09/16 22:00:00,7.03,104.00
298,06/09/16 22:30:00,6.62,104.00
299,06/09/16 23:00:00,6.62,104.00
300,06/09/16 23:30:00,6.62,104.00
301,06/10/16 00:00:00,6.62,104.00
302,06/10/16 00:30:00,6.62,104.00
303,06/10/16 01:00:00,6.22,104.00
304,06/10/16 01:30:00,5.81,103.50
305,06/10/16 02:00:00,5.40,103.50
306,06/10/16 02:30:00,5.40,101.00
307,06/10/16 03:00:00,4.99,98.70
308,06/10/16 03:30:00,4.99,98.40
309,06/10/16 04:00:00,4.57,93.90
310,06/10/16 04:30:00,4.15,97.60
311,06/10/16 05:00:00,3.74,99.00
312,06/10/16 05:30:00,3.74,99.70
313,06/10/16 06:00:00,3.74,102.00
314,06/10/16 06:30:00,4.15,96.90
315,06/10/16 07:00:00,3.74,97.60
316,06/10/16 07:30:00,4.15,98.70
317,06/10/16 08:00:00,4.57,100.40
318,06/10/16 08:30:00,4.99,101.00
319,06/10/16 09:00:00,6.22,96.60
320,06/10/16 09:30:00,7.03,90.70
321,06/10/16 10:00:00,6.62,95.40
322,06/10/16 10:30:00,7.83,91.90
323,06/10/16 11:00:00,7.83,88.60
324,06/10/16 11:30:00,8.23,82.30
325,06/10/16 12:00:00,8.63,80.00
326,06/10/16 12:30:00,9.82,74.70
327,06/10/16 13:00:00,9.82,67.70
328,06/10/16 13:30:00,10.21,68.20
329,06/10/16 14:00:00,9.03,75.20
330,06/10/16 14:30:00,7.43,89.40
331,06/10/16 15:00:00,6.62,94.30
332,06/10/16 15:30:00,6.62,96.60
333,06/10/16 16:00:00,5.81,93.90
334,06/10/16 16:30:00,5.40,99.00
335,06/10/16 17:00:00,4.99,98.00
336,06/10/16 17:30:00,4.15,99.40
337,06/10/16 18:00:00,4.57,99.70
338,06/10/16 18:30:00,4.99,100.70
339,06/10/16 19:00:00,5.40,101.00
340,06/10/16 19:30:00,5.40,100.70
341,06/10/16 20:00:00,4.57,99.40
342,06/10/16 20:30:00,4.15,99.00
343,06/10/16 21:00:00,3.74,99.70
344,06/10/16 21:30:00,4.15,102.00
345,06/10/16 22:00:00,3.31,100.40
346,06/10/16 22:30:00,3.74,102.60
347,06/10/16 23:00:00,4.15,103.50
348,06/10/16 23:30:00,4.15,103.50
349,06/11/16 00:00:00,4.15,103.20
350,06/11/16 00:30:00,4.15,102.90
351,06/11/16 01:00:00,4.15,102.90
352,06/11/16 01:30:00,4.15,101.70
353,06/11/16 02:00:00,4.15,101.70
354,06/11/16 02:30:00,4.15,101.00
355,06/11/16 03:00:00,3.74,99.70
356,06/11/16 03:30:00,4.15,99.70
357,06/11/16 04:00:00,4.15,101.70
358,06/11/16 04:30:00,4.15,103.20
359,06/11/16 05:00:00,3.74,103.80
360,06/11/16 05:30:00,3.74,103.50
361,06/11/16 06:00:00,3.74,103.80
362,06/11/16 06:30:00,3.74,103.80
363,06/11/16 07:00:00,4.15,103.80
364,06/11/16 07:30:00,4.57,103.50
365,06/11/16 08:00:00,4.57,102.00
366,06/11/16 08:30:00,4.99,101.00
367,06/11/16 09:00:00,5.40,102.60
368,06/11/16 09:30:00,5.81,103.20
369,06/11/16 10:00:00,6.22,102.00
370,06/11/16 10:30:00,7.03,96.20
371,06/11/16 11:00:00,7.03,95.10
372,06/11/16 11:30:00,7.43,89.00
373,06/11/16 12:00:00,7.83,93.90
374,06/11/16 12:30:00,9.03,82.80
375,06/11/16 13:00:00,8.63,85.50
376,06/11/16 13:30:00,9.03,90.30
377,06/11/16 14:00:00,7.83,97.30
378,06/11/16 14:30:00,7.83,97.60
379,06/11/16 15:00:00,8.63,92.70
380,06/11/16 15:30:00,8.63,93.50
381,06/11/16 16:00:00,9.03,89.80
382,06/11/16 16:30:00,8.63,87.30
383,06/11/16 17:00:00,9.82,82.80
384,06/11/16 17:30:00,7.83,89.80
385,06/11/16 18:00:00,7.83,90.30
386,06/11/16 18:30:00,7.83,88.60
387,06/11/16 19:00:00,8.23,88.60
388,06/11/16 19:30:00,7.83,87.30
389,06/11/16 20:00:00,7.83,90.30
390,06/11/16 20:30:00,7.43,93.10
391,06/11/16 21:00:00,7.03,94.70
392,06/11/16 21:30:00,5.81,95.80
393,06/11/16 22:00:00,4.99,97.30
394,06/11/16 22:30:00,5.81,103.50
395,06/11/16 23:00:00,6.22,104.00
396,06/11/16 23:30:00,6.22,104.00
397,06/12/16 00:00:00,6.22,104.00
398,06/12/16 00:30:00,5.81,103.80
399,06/12/16 01:00:00,5.81,102.90
400,06/12/16 01:30:00,4.57,98.00
401,06/12/16 02:00:00,4.57,102.60
402,06/12/16 02:30:00,4.15,102.60
403,06/12/16 03:00:00,3.74,100.70
404,06/12/16 03:30:00,4.15,103.80
405,06/12/16 04:00:00,4.15,104.00
406,06/12/16 04:30:00,3.74,104.00
407,06/12/16 05:00:00,3.74,104.00
408,06/12/16 05:30:00,2.89,102.60
409,06/12/16 06:00:00,2.03,101.40
410,06/12/16 06:30:00,2.89,103.80
411,06/12/16 07:00:00,4.57,104.00
412,06/12/16 07:30:00,5.40,104.00
413,06/12/16 08:00:00,6.62,101.40
414,06/12/16 08:30:00,7.83,86.80
415,06/12/16 09:00:00,8.63,82.80
416,06/12/16 09:30:00,9.82,80.00
417,06/12/16 10:00:00,10.99,71.20
418,06/12/16 10:30:00,11.77,67.20
419,06/12/16 11:00:00,12.93,68.70
420,06/12/16 11:30:00,13.32,68.20
421,06/12/16 12:00:00,14.47,67.20
422,06/12/16 12:30:00,14.85,65.70
423,06/12/16 13:00:00,15.23,63.60
424,06/12/16 13:30:00,14.85,67.70
425,06/12/16 14:00:00,15.62,63.10
426,06/12/16 14:30:00,16.38,61.10
427,06/12/16 15:00:00,16.00,61.60
428,06/12/16 15:30:00,15.23,63.60
429,06/12/16 16:00:00,15.62,60.50
430,06/12/16 16:30:00,16.00,58.50
431,06/12/16 17:00:00,15.23,62.60
432,06/12/16 17:30:00,14.85,66.70
433,06/12/16 18:00:00,14.85,68.20
434,06/12/16 18:30:00,14.09,67.70
435,06/12/16 19:00:00,13.70,70.20
436,06/12/16 19:30:00,12.93,71.20
437,06/12/16 20:00:00,12.16,74.20
438,06/12/16 20:30:00,10.99,79.50
439,06/12/16 21:00:00,10.21,85.10
440,06/12/16 21:30:00,9.42,87.70
441,06/12/16 22:00:00,8.63,91.10
442,06/12/16 22:30:00,8.23,93.10
