Date Time,Temperature
6/11/12 8:09,20.2
6/11/12 8:39,19.8
6/11/12 9:09,19.8
6/11/12 9:39,17.8
6/11/12 10:09,17.4
6/11/12 10:39,17.8
6/11/12 11:09,18.6
6/11/12 11:39,18.2
6/11/12 12:09,17.8
6/11/12 12:39,17.8
6/11/12 13:09,19.8
6/11/12 13:39,19.4
6/11/12 14:09,20.5
6/11/12 14:39,21.3
6/11/12 15:09,21.7
6/11/12 15:39,28.3
6/11/12 16:09,30.3
6/11/12 16:39,30.3
6/11/12 17:09,10.2
6/11/12 17:39,9
6/11/12 18:09,8.2
6/11/12 18:39,7.4
6/11/12 19:09,7
6/11/12 19:39,6.6
6/11/12 20:09,6.2
6/11/12 20:39,5.3
6/11/12 21:09,5.3
6/11/12 21:39,4.9
6/11/12 22:09,4.5
6/11/12 22:39,4.5
6/11/12 23:09,4.5
6/11/12 23:39,4.1
6/12/12 0:09,4.1
6/12/12 0:39,3.7
6/12/12 1:09,3.7
6/12/12 1:39,4.1
6/12/12 2:09,4.1
6/12/12 2:39,4.1
6/12/12 3:09,4.1
6/12/12 3:39,4.1
6/12/12 4:09,3.7
6/12/12 4:39,3.7
6/12/12 5:09,3.7
6/12/12 5:39,4.1
6/12/12 6:09,4.1
6/12/12 6:39,4.1
6/12/12 7:09,4.1
6/12/12 7:39,4.5
6/12/12 8:09,4.5
6/12/12 8:39,4.5
6/12/12 9:09,4.9
6/12/12 9:39,5.3
6/12/12 10:09,5.8
6/12/12 10:39,6.2
6/12/12 11:09,6.6
6/12/12 11:39,5.8
6/12/12 12:09,5.8
6/12/12 12:39,6.2
6/12/12 13:09,6.2
6/12/12 13:39,6.2
6/12/12 14:09,7
6/12/12 14:39,7.8
6/12/12 15:09,9
6/12/12 15:39,8.2
6/12/12 16:09,7.8
6/12/12 16:39,7.4
6/12/12 17:09,7
6/12/12 17:39,7
6/12/12 18:09,7
6/12/12 18:39,6.6
6/12/12 19:09,6.6
6/12/12 19:39,6.2
6/12/12 20:09,6.2
6/12/12 20:39,5.8
6/12/12 21:09,5.3
6/12/12 21:39,5.3
6/12/12 22:09,5.3
6/12/12 22:39,4.9
6/12/12 23:09,4.9
6/12/12 23:39,4.9
6/13/12 0:09,4.5
6/13/12 0:39,4.5
6/13/12 1:09,4.5
6/13/12 1:39,4.1
6/13/12 2:09,4.1
6/13/12 2:39,4.1
6/13/12 3:09,3.7
6/13/12 3:39,3.7
6/13/12 4:09,3.7
6/13/12 4:39,3.7
6/13/12 5:09,3.3
6/13/12 5:39,3.3
6/13/12 6:09,3.3
6/13/12 6:39,3.3
6/13/12 7:09,3.7
6/13/12 7:39,3.7
6/13/12 8:09,4.1
6/13/12 8:39,4.5
6/13/12 9:09,4.9
6/13/12 9:39,4.9
6/13/12 10:09,4.9
6/13/12 10:39,5.3
6/13/12 11:09,5.3
6/13/12 11:39,5.3
6/13/12 12:09,5.8
6/13/12 12:39,5.8
6/13/12 13:09,5.8
6/13/12 13:39,6.2
6/13/12 14:09,6.2
6/13/12 14:39,5.8
6/13/12 15:09,5.8
6/13/12 15:39,6.2
6/13/12 16:09,7
6/13/12 16:39,7.4
6/13/12 17:09,7
6/13/12 17:39,7
6/13/12 18:09,6.6
6/13/12 18:39,6.2
6/13/12 19:09,5.8
6/13/12 19:39,5.3
6/13/12 20:09,4.9
6/13/12 20:39,4.5
6/13/12 21:09,3.7
6/13/12 21:39,3.3
6/13/12 22:09,3.3
6/13/12 22:39,2.8
6/13/12 23:09,2.8
6/13/12 23:39,3.3
6/14/12 0:09,3.3
6/14/12 0:39,3.3
6/14/12 1:09,3.3
6/14/12 1:39,3.3
6/14/12 2:09,3.3
6/14/12 2:39,3.3
6/14/12 3:09,3.3
6/14/12 3:39,3.3
6/14/12 4:09,3.3
6/14/12 4:39,3.3
