"Plot Title: PLVA_Bean_1_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 399738 c:1,GCap. RH (%) LGR S/N: 399738 c:3
1,06/10/02 15:30:36,24.33,40.40
2,06/10/02 15:40:36,24.11,39.30
3,06/10/02 15:50:36,23.87,40.90
4,06/10/02 16:00:36,23.58,38.80
5,06/10/02 16:10:36,22.95,40.90
6,06/10/02 16:20:36,22.31,41.90
7,06/10/02 16:30:36,21.78,42.90
8,06/10/02 16:40:36,21.38,43.90
9,06/10/02 16:50:36,21.07,44.40
10,06/10/02 17:00:36,20.85,44.90
11,06/10/02 17:10:36,20.54,47.50
12,06/10/02 17:20:36,20.59,48.00
13,06/10/02 17:30:36,20.33,50.10
14,06/10/02 17:40:36,20.14,51.20
15,06/10/02 17:50:36,20.07,51.20
16,06/10/02 18:00:36,20.11,51.20
17,06/10/02 18:10:36,21.38,56.90
18,06/10/02 18:20:36,22.26,56.90
19,06/10/02 18:30:36,23.24,47.00
20,06/10/02 18:40:36,23.68,44.90
21,06/10/02 18:50:36,24.04,47.00
22,06/10/02 19:00:36,24.37,44.90
23,06/10/02 19:10:36,24.59,44.40
24,06/10/02 19:20:36,24.74,43.90
25,06/10/02 19:30:36,24.78,43.40
26,06/10/02 19:40:36,24.74,42.90
27,06/10/02 19:50:36,24.52,41.90
28,06/10/02 20:00:36,24.11,40.90
29,06/10/02 20:10:36,23.87,41.40
30,06/10/02 20:20:36,23.56,40.90
31,06/10/02 20:30:36,23.24,41.40
32,06/10/02 20:40:36,22.88,41.90
33,06/10/02 20:50:36,22.48,41.40
34,06/10/02 21:00:36,22.07,42.40
35,06/10/02 21:10:36,21.59,42.40
36,06/10/02 21:20:36,21.19,42.90
37,06/10/02 21:30:36,20.78,43.40
38,06/10/02 21:40:36,20.40,43.90
39,06/10/02 21:50:36,20.09,44.40
40,06/10/02 22:00:36,19.78,45.50
41,06/10/02 22:10:36,19.40,46.50
42,06/10/02 22:20:36,19.14,47.50
43,06/10/02 22:30:36,18.85,48.60
44,06/10/02 22:40:36,18.54,48.60
45,06/10/02 22:50:36,18.31,49.10
46,06/10/02 23:00:36,18.00,49.60
47,06/10/02 23:10:36,17.64,50.60
48,06/10/02 23:20:36,17.38,51.20
49,06/10/02 23:30:36,17.21,51.20
50,06/10/02 23:40:36,16.97,51.70
51,06/10/02 23:50:36,16.74,51.70
52,06/11/02 00:00:36,16.35,53.20
53,06/11/02 00:10:36,15.97,54.30
54,06/11/02 00:20:36,15.66,55.30
55,06/11/02 00:30:36,15.40,55.80
56,06/11/02 00:40:36,15.09,56.40
57,06/11/02 00:50:36,14.85,56.90
58,06/11/02 01:00:36,14.59,57.90
59,06/11/02 01:10:36,14.40,57.90
60,06/11/02 01:20:36,14.11,58.40
61,06/11/02 01:30:36,13.89,59.00
62,06/11/02 01:40:36,13.63,59.00
63,06/11/02 01:50:36,13.34,59.50
64,06/11/02 02:00:36,13.10,60.50
65,06/11/02 02:10:36,12.88,60.50
66,06/11/02 02:20:36,12.66,61.00
67,06/11/02 02:30:36,12.47,61.00
68,06/11/02 02:40:36,12.23,62.10
69,06/11/02 02:50:36,11.99,62.60
70,06/11/02 03:00:36,11.79,63.60
71,06/11/02 03:10:36,11.75,62.10
72,06/11/02 03:20:36,11.62,63.10
73,06/11/02 03:30:36,11.43,63.10
74,06/11/02 03:40:36,11.31,63.10
75,06/11/02 03:50:36,11.04,63.60
76,06/11/02 04:00:36,10.77,64.60
77,06/11/02 04:10:36,10.67,64.10
78,06/11/02 04:20:36,10.60,64.10
79,06/11/02 04:30:36,10.36,65.10
80,06/11/02 04:40:36,10.31,63.60
81,06/11/02 04:50:36,10.23,63.60
82,06/11/02 05:00:36,10.13,64.10
83,06/11/02 05:10:36,9.96,64.60
84,06/11/02 05:20:36,9.79,65.70
85,06/11/02 05:30:36,9.59,66.20
86,06/11/02 05:40:36,9.45,66.70
87,06/11/02 05:50:36,9.35,66.70
88,06/11/02 06:00:36,9.27,66.70
89,06/11/02 06:10:36,9.20,66.20
90,06/11/02 06:20:36,9.15,65.10
91,06/11/02 06:30:36,9.10,65.70
92,06/11/02 06:40:36,9.05,65.70
93,06/11/02 06:50:36,9.00,65.70
94,06/11/02 07:00:36,9.00,65.10
95,06/11/02 07:10:36,8.98,64.60
96,06/11/02 07:20:36,8.95,64.60
97,06/11/02 07:30:36,8.95,64.10
98,06/11/02 07:40:36,8.98,64.10
99,06/11/02 07:50:36,8.98,64.10
100,06/11/02 08:00:36,9.00,64.60
101,06/11/02 08:10:36,9.05,65.10
102,06/11/02 08:20:36,9.12,66.70
103,06/11/02 08:30:36,9.40,70.20
104,06/11/02 08:40:36,9.52,68.20
105,06/11/02 08:50:36,9.64,67.20
106,06/11/02 09:00:36,9.79,66.70
107,06/11/02 09:10:36,9.94,66.20
108,06/11/02 09:20:36,10.16,66.70
109,06/11/02 09:30:36,10.43,66.70
110,06/11/02 09:40:36,10.77,67.70
111,06/11/02 09:50:36,11.21,68.70
112,06/11/02 10:00:36,11.67,69.20
113,06/11/02 10:10:36,12.16,68.70
114,06/11/02 10:20:36,12.62,68.20
115,06/11/02 10:30:36,14.06,69.70
116,06/11/02 10:40:36,15.30,70.20
117,06/11/02 10:50:36,16.14,69.70
118,06/11/02 11:00:36,16.90,68.20
119,06/11/02 11:10:36,17.64,67.70
120,06/11/02 11:20:36,18.38,65.10
121,06/11/02 11:30:36,19.04,61.00
122,06/11/02 11:40:36,19.71,60.00
123,06/11/02 11:50:36,20.35,57.40
124,06/11/02 12:00:36,20.97,54.30
125,06/11/02 12:10:36,21.57,53.20
126,06/11/02 12:20:36,22.14,52.20
127,06/11/02 12:30:36,22.69,50.60
128,06/11/02 12:40:36,23.19,50.60
129,06/11/02 12:50:36,23.63,49.10
130,06/11/02 13:00:36,24.01,47.50
131,06/11/02 13:10:36,24.37,46.50
132,06/11/02 13:20:36,24.71,47.00
133,06/11/02 13:30:36,25.03,44.90
134,06/11/02 13:40:36,25.29,44.40
135,06/11/02 13:50:36,25.54,43.40
136,06/11/02 14:00:36,25.71,39.80
137,06/11/02 14:10:36,25.85,39.30
138,06/11/02 14:20:36,26.05,37.30
139,06/11/02 14:30:36,26.22,36.80
140,06/11/02 14:40:36,26.41,36.80
141,06/11/02 14:50:36,26.61,37.30
142,06/11/02 15:00:36,26.85,36.80
143,06/11/02 15:10:36,26.88,27.20
144,06/11/02 15:20:36,26.56,22.60
145,06/11/02 15:30:36,26.14,22.60
146,06/11/02 15:40:36,24.30,21.30
147,06/11/02 15:50:36,22.86,28.10
148,06/11/02 16:00:36,22.81,30.00
149,06/11/02 16:10:36,22.83,30.90
150,06/11/02 16:20:36,22.83,30.00
151,06/11/02 16:30:36,24.40,30.50
152,06/11/02 16:40:36,26.07,30.00
153,06/11/02 16:50:36,26.66,33.90
154,06/11/02 17:00:36,27.42,32.90
155,06/11/02 17:10:36,26.19,33.40
156,06/11/02 17:20:36,25.39,36.80
157,06/11/02 17:30:36,22.93,42.40
158,06/11/02 17:40:36,21.47,41.90
159,06/11/02 17:50:36,20.42,49.60
160,06/11/02 18:00:36,19.99,48.60
161,06/11/02 18:10:36,19.73,48.60
162,06/11/02 18:20:36,19.23,50.10
163,06/11/02 18:30:36,18.90,49.10
164,06/11/02 18:40:36,18.35,52.20
165,06/11/02 18:50:36,16.66,59.00
166,06/11/02 19:00:36,17.35,55.80
167,06/11/02 19:10:36,15.45,65.10
168,06/11/02 19:20:36,14.44,68.20
169,06/11/02 19:30:36,14.01,69.20
170,06/11/02 19:40:36,13.68,71.20
171,06/11/02 19:50:36,13.27,72.70
172,06/11/02 20:00:36,12.13,76.10
173,06/11/02 20:10:36,11.75,77.60
174,06/11/02 20:20:36,12.57,74.70
175,06/11/02 20:30:36,12.40,73.20
176,06/11/02 20:40:36,12.18,74.70
177,06/11/02 20:50:36,11.45,79.50
178,06/11/02 21:00:36,11.99,74.20
179,06/11/02 21:10:36,12.11,73.70
180,06/11/02 21:20:36,11.84,73.70
181,06/11/02 21:30:36,11.65,74.20
182,06/11/02 21:40:36,11.23,74.70
183,06/11/02 21:50:36,11.11,75.20
184,06/11/02 22:00:36,10.92,74.70
185,06/11/02 22:10:36,10.65,78.60
186,06/11/02 22:20:36,9.84,81.40
187,06/11/02 22:30:36,9.84,82.80
188,06/11/02 22:40:36,10.04,82.30
189,06/11/02 22:50:36,10.50,79.00
190,06/11/02 23:00:36,10.31,79.50
191,06/11/02 23:10:36,10.18,78.60
192,06/11/02 23:20:36,10.87,75.70
193,06/11/02 23:30:36,11.33,72.20
194,06/11/02 23:40:36,11.41,69.70
195,06/11/02 23:50:36,11.55,67.70
196,06/12/02 00:00:36,11.38,67.20
197,06/12/02 00:10:36,11.26,65.70
198,06/12/02 00:20:36,11.14,65.10
199,06/12/02 00:30:36,11.09,65.70
200,06/12/02 00:40:36,11.06,66.70
201,06/12/02 00:50:36,10.99,68.20
202,06/12/02 01:00:36,11.11,68.70
203,06/12/02 01:10:36,11.16,68.70
204,06/12/02 01:20:36,11.11,70.20
205,06/12/02 01:30:36,11.04,71.70
206,06/12/02 01:40:36,10.99,72.70
207,06/12/02 01:50:36,10.99,73.70
208,06/12/02 02:00:36,10.99,74.20
209,06/12/02 02:10:36,10.94,74.20
210,06/12/02 02:20:36,10.97,74.70
211,06/12/02 02:30:36,10.87,74.20
212,06/12/02 02:40:36,10.67,74.70
213,06/12/02 02:50:36,10.58,74.70
214,06/12/02 03:00:36,10.60,74.20
215,06/12/02 03:10:36,10.67,74.20
216,06/12/02 03:20:36,10.58,74.20
217,06/12/02 03:30:36,10.33,75.70
218,06/12/02 03:40:36,10.36,74.70
219,06/12/02 03:50:36,10.31,75.20
220,06/12/02 04:00:36,10.33,74.70
221,06/12/02 04:10:36,10.38,74.20
222,06/12/02 04:20:36,10.26,74.20
223,06/12/02 04:30:36,10.16,74.20
224,06/12/02 04:40:36,9.99,75.20
225,06/12/02 04:50:36,10.04,73.20
226,06/12/02 05:00:36,10.04,72.20
227,06/12/02 05:10:36,10.11,71.70
228,06/12/02 05:20:36,10.09,70.20
229,06/12/02 05:30:36,10.04,71.20
230,06/12/02 05:40:36,10.26,70.70
231,06/12/02 05:50:36,10.40,69.70
232,06/12/02 06:00:36,10.48,69.70
233,06/12/02 06:10:36,10.58,70.20
234,06/12/02 06:20:36,10.72,69.70
235,06/12/02 06:30:36,10.75,69.70
236,06/12/02 06:40:36,10.60,71.20
237,06/12/02 06:50:36,10.60,71.70
238,06/12/02 07:00:36,10.72,70.70
239,06/12/02 07:10:36,10.65,71.20
240,06/12/02 07:20:36,10.77,70.20
