"Plot Title: PLVA_Bean_2_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 492637 c:1,GCap. RH (%) LGR S/N: 492637 c:3
1,06/10/02 15:33:52,23.24,42.80
2,06/10/02 15:43:52,23.56,41.30
3,06/10/02 15:53:52,23.51,42.30
4,06/10/02 16:03:52,22.86,38.20
5,06/10/02 16:13:52,22.26,38.70
6,06/10/02 16:23:52,21.85,40.20
7,06/10/02 16:33:52,21.57,40.70
8,06/10/02 16:43:52,21.28,41.80
9,06/10/02 16:53:52,21.11,42.80
10,06/10/02 17:03:52,20.92,45.90
11,06/10/02 17:13:52,21.04,47.90
12,06/10/02 17:23:52,20.61,46.90
13,06/10/02 17:33:52,20.35,48.40
14,06/10/02 17:43:52,20.18,49.00
15,06/10/02 17:53:52,20.14,50.00
16,06/10/02 18:03:52,21.71,65.00
17,06/10/02 18:13:52,23.39,36.70
18,06/10/02 18:23:52,25.05,45.90
19,06/10/02 18:33:52,25.15,32.30
20,06/10/02 18:43:52,24.81,37.70
21,06/10/02 18:53:52,24.91,38.20
22,06/10/02 19:03:52,24.81,41.80
23,06/10/02 19:13:52,24.83,41.30
24,06/10/02 19:23:52,24.83,40.70
25,06/10/02 19:33:52,24.83,41.30
26,06/10/02 19:43:52,24.57,38.20
27,06/10/02 19:53:52,24.25,40.70
28,06/10/02 20:03:52,23.89,40.70
29,06/10/02 20:13:52,23.60,41.30
30,06/10/02 20:23:52,23.29,42.30
31,06/10/02 20:33:52,23.03,43.80
32,06/10/02 20:43:52,22.74,43.80
33,06/10/02 20:53:52,22.43,44.80
34,06/10/02 21:03:52,22.09,45.30
35,06/10/02 21:13:52,21.73,45.90
36,06/10/02 21:23:52,21.38,45.30
37,06/10/02 21:33:52,21.02,45.90
38,06/10/02 21:43:52,20.68,46.90
39,06/10/02 21:53:52,20.38,47.90
40,06/10/02 22:03:52,20.04,49.50
41,06/10/02 22:13:52,19.73,50.00
42,06/10/02 22:23:52,19.40,52.10
43,06/10/02 22:33:52,19.07,52.10
44,06/10/02 22:43:52,18.78,52.10
45,06/10/02 22:53:52,18.52,52.60
46,06/10/02 23:03:52,18.23,54.10
47,06/10/02 23:13:52,17.95,55.20
48,06/10/02 23:23:52,17.64,55.20
49,06/10/02 23:33:52,17.40,55.70
50,06/10/02 23:43:52,17.14,56.20
51,06/10/02 23:53:52,16.88,57.30
52,06/11/02 00:03:52,16.59,57.80
53,06/11/02 00:13:52,16.31,58.30
54,06/11/02 00:23:52,16.02,59.30
55,06/11/02 00:33:52,15.73,59.30
56,06/11/02 00:43:52,15.45,60.40
57,06/11/02 00:53:52,15.19,60.90
58,06/11/02 01:03:52,14.90,61.40
59,06/11/02 01:13:52,14.66,61.40
60,06/11/02 01:23:52,14.40,61.90
61,06/11/02 01:33:52,14.16,63.40
62,06/11/02 01:43:52,13.89,63.40
63,06/11/02 01:53:52,13.63,64.50
64,06/11/02 02:03:52,13.39,65.00
65,06/11/02 02:13:52,13.15,65.00
66,06/11/02 02:23:52,12.93,65.00
67,06/11/02 02:33:52,12.69,65.50
68,06/11/02 02:43:52,12.47,66.50
69,06/11/02 02:53:52,12.25,67.50
70,06/11/02 03:03:52,12.06,67.50
71,06/11/02 03:13:52,11.89,67.00
72,06/11/02 03:23:52,11.70,68.50
73,06/11/02 03:33:52,11.53,67.50
74,06/11/02 03:43:52,11.36,68.50
75,06/11/02 03:53:52,11.19,69.00
76,06/11/02 04:03:52,10.97,70.00
77,06/11/02 04:13:52,10.82,69.50
78,06/11/02 04:23:52,10.65,70.00
79,06/11/02 04:33:52,10.48,70.00
80,06/11/02 04:43:52,10.36,69.50
81,06/11/02 04:53:52,10.23,70.60
82,06/11/02 05:03:52,10.09,69.50
83,06/11/02 05:13:52,9.96,69.50
84,06/11/02 05:23:52,9.82,70.60
85,06/11/02 05:33:52,9.69,70.60
86,06/11/02 05:43:52,9.54,70.60
87,06/11/02 05:53:52,9.42,71.10
88,06/11/02 06:03:52,9.30,72.00
89,06/11/02 06:13:52,9.22,71.50
90,06/11/02 06:23:52,9.12,72.00
91,06/11/02 06:33:52,9.05,73.00
92,06/11/02 06:43:52,8.98,73.00
93,06/11/02 06:53:52,8.93,73.50
94,06/11/02 07:03:52,8.90,73.50
95,06/11/02 07:13:52,8.90,73.00
96,06/11/02 07:23:52,8.90,74.50
97,06/11/02 07:33:52,8.93,74.50
98,06/11/02 07:43:52,8.98,74.00
99,06/11/02 07:53:52,9.05,75.00
100,06/11/02 08:03:52,9.15,75.50
101,06/11/02 08:13:52,9.27,77.90
102,06/11/02 08:23:52,9.47,80.70
103,06/11/02 08:33:52,9.74,79.80
104,06/11/02 08:43:52,9.94,79.30
105,06/11/02 08:53:52,10.13,76.90
106,06/11/02 09:03:52,10.31,76.00
107,06/11/02 09:13:52,10.50,76.50
108,06/11/02 09:23:52,10.80,77.90
109,06/11/02 09:33:52,11.91,73.00
110,06/11/02 09:43:52,12.81,72.50
111,06/11/02 09:53:52,13.70,67.00
112,06/11/02 10:03:52,14.32,59.80
113,06/11/02 10:13:52,15.45,57.30
114,06/11/02 10:23:52,15.42,61.40
115,06/11/02 10:33:52,17.43,57.80
116,06/11/02 10:43:52,18.16,60.90
117,06/11/02 10:53:52,18.90,62.40
118,06/11/02 11:03:52,19.64,60.90
119,06/11/02 11:13:52,20.38,57.80
120,06/11/02 11:23:52,21.09,55.20
121,06/11/02 11:33:52,21.83,51.50
122,06/11/02 11:43:52,22.60,49.00
123,06/11/02 11:53:52,23.31,46.40
124,06/11/02 12:03:52,24.04,43.30
125,06/11/02 12:13:52,24.66,43.80
126,06/11/02 12:23:52,25.22,41.80
127,06/11/02 12:33:52,25.71,39.70
128,06/11/02 12:43:52,26.10,38.70
129,06/11/02 12:53:52,26.44,38.70
130,06/11/02 13:03:52,26.73,36.70
131,06/11/02 13:13:52,27.02,36.20
132,06/11/02 13:23:52,27.32,30.90
133,06/11/02 13:33:52,27.52,33.30
134,06/11/02 13:43:52,27.76,30.90
135,06/11/02 13:53:52,27.98,27.10
136,06/11/02 14:03:52,28.21,28.50
137,06/11/02 14:13:52,28.38,28.50
138,06/11/02 14:23:52,28.60,28.00
139,06/11/02 14:33:52,28.78,28.00
140,06/11/02 14:43:52,28.98,28.50
141,06/11/02 14:53:52,29.15,27.10
142,06/11/02 15:03:52,29.33,26.60
143,06/11/02 15:13:52,28.53,19.50
144,06/11/02 15:23:52,27.12,17.80
145,06/11/02 15:33:52,26.05,19.90
146,06/11/02 15:43:52,21.88,24.30
147,06/11/02 15:53:52,22.81,28.50
148,06/11/02 16:03:52,22.98,28.50
149,06/11/02 16:13:52,23.15,28.50
150,06/11/02 16:23:52,23.56,34.30
151,06/11/02 16:33:52,23.72,34.30
152,06/11/02 16:43:52,24.16,36.20
153,06/11/02 16:53:52,24.45,34.80
154,06/11/02 17:03:52,23.96,37.70
155,06/11/02 17:13:52,21.30,42.80
156,06/11/02 17:23:52,20.23,47.40
157,06/11/02 17:33:52,19.49,44.80
158,06/11/02 17:43:52,19.02,46.90
159,06/11/02 17:53:52,18.07,53.10
160,06/11/02 18:03:52,17.73,55.20
161,06/11/02 18:13:52,17.00,58.30
162,06/11/02 18:23:52,16.54,57.30
163,06/11/02 18:33:52,15.83,62.90
164,06/11/02 18:43:52,15.11,65.00
165,06/11/02 18:53:52,14.44,67.50
166,06/11/02 19:03:52,14.30,68.00
167,06/11/02 19:13:52,13.56,71.50
168,06/11/02 19:23:52,13.12,73.00
169,06/11/02 19:33:52,12.69,74.00
170,06/11/02 19:43:52,12.30,76.00
171,06/11/02 19:53:52,12.04,77.40
