"Plot Title: PLVA_Clearwater1_5_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 492639 c:1,GCap. RH (%) LGR S/N: 492639 c:3
1,06/10/02 15:43:20,23.34,42.20
2,06/10/02 15:53:20,23.70,42.70
3,06/10/02 16:03:20,23.56,38.10
4,06/10/02 16:13:20,23.15,38.60
5,06/10/02 16:23:20,22.69,39.60
6,06/10/02 16:33:20,22.26,40.70
7,06/10/02 16:43:20,21.85,41.70
8,06/10/02 16:53:20,21.52,42.70
9,06/10/02 17:03:20,21.23,45.70
10,06/10/02 17:13:20,20.83,47.30
11,06/10/02 17:23:20,20.85,45.70
12,06/10/02 17:33:20,20.54,48.30
13,06/10/02 17:43:20,20.38,48.80
14,06/10/02 17:53:20,20.30,49.90
15,06/10/02 18:03:20,20.59,60.70
16,06/10/02 18:13:20,21.38,48.80
17,06/10/02 18:23:20,22.45,55.00
18,06/10/02 18:33:20,23.29,44.20
19,06/10/02 18:43:20,23.77,45.20
20,06/10/02 18:53:20,24.33,45.20
21,06/10/02 19:03:20,24.66,46.30
22,06/10/02 19:13:20,24.93,46.30
23,06/10/02 19:23:20,25.15,46.80
24,06/10/02 19:33:20,25.29,45.70
25,06/10/02 19:43:20,25.22,37.60
26,06/10/02 19:53:20,25.10,38.10
27,06/10/02 20:03:20,24.86,38.10
28,06/10/02 20:13:20,24.62,38.10
29,06/10/02 20:23:20,24.35,38.60
30,06/10/02 20:33:20,24.04,39.60
31,06/10/02 20:43:20,23.75,40.10
32,06/10/02 20:53:20,23.41,41.20
33,06/10/02 21:03:20,22.98,42.20
34,06/10/02 21:13:20,22.52,43.20
35,06/10/02 21:23:20,22.04,43.70
36,06/10/02 21:33:20,21.54,45.70
37,06/10/02 21:43:20,21.04,47.80
38,06/10/02 21:53:20,20.61,48.30
39,06/10/02 22:03:20,20.28,49.90
40,06/10/02 22:13:20,19.92,51.90
41,06/10/02 22:23:20,19.61,52.50
42,06/10/02 22:33:20,19.30,53.00
43,06/10/02 22:43:20,18.97,53.50
44,06/10/02 22:53:20,18.64,55.60
45,06/10/02 23:03:20,18.31,56.60
46,06/10/02 23:13:20,18.00,57.60
47,06/10/02 23:23:20,17.71,56.60
48,06/10/02 23:33:20,17.40,59.20
49,06/10/02 23:43:20,17.07,60.70
50,06/10/02 23:53:20,16.71,62.30
51,06/11/02 00:03:20,16.43,61.80
52,06/11/02 00:13:20,16.19,61.80
53,06/11/02 00:23:20,15.95,62.80
54,06/11/02 00:33:20,15.69,63.80
55,06/11/02 00:43:20,15.45,63.30
56,06/11/02 00:53:20,15.23,63.80
57,06/11/02 01:03:20,14.99,63.80
58,06/11/02 01:13:20,14.78,64.80
59,06/11/02 01:23:20,14.54,64.80
60,06/11/02 01:33:20,14.30,65.40
61,06/11/02 01:43:20,14.06,65.90
62,06/11/02 01:53:20,13.80,66.40
63,06/11/02 02:03:20,13.56,66.90
64,06/11/02 02:13:20,13.34,67.40
65,06/11/02 02:23:20,13.12,67.90
66,06/11/02 02:33:20,12.91,67.90
67,06/11/02 02:43:20,12.69,68.40
68,06/11/02 02:53:20,12.50,68.90
69,06/11/02 03:03:20,12.28,69.90
70,06/11/02 03:13:20,12.08,69.90
71,06/11/02 03:23:20,11.94,69.90
72,06/11/02 03:33:20,11.77,69.40
73,06/11/02 03:43:20,11.62,69.90
74,06/11/02 03:53:20,11.43,69.90
75,06/11/02 04:03:20,11.23,70.90
76,06/11/02 04:13:20,11.06,71.40
77,06/11/02 04:23:20,10.94,70.40
78,06/11/02 04:33:20,10.80,71.40
79,06/11/02 04:43:20,10.62,71.90
80,06/11/02 04:53:20,10.48,70.90
81,06/11/02 05:03:20,10.38,71.90
82,06/11/02 05:13:20,10.26,72.40
83,06/11/02 05:23:20,10.13,71.90
84,06/11/02 05:33:20,9.96,72.90
85,06/11/02 05:43:20,9.84,72.90
86,06/11/02 05:53:20,9.72,73.40
87,06/11/02 06:03:20,9.59,72.90
88,06/11/02 06:13:20,9.50,74.40
89,06/11/02 06:23:20,9.40,74.40
90,06/11/02 06:33:20,9.32,72.40
91,06/11/02 06:43:20,9.25,71.90
92,06/11/02 06:53:20,9.22,74.80
93,06/11/02 07:03:20,9.20,74.80
94,06/11/02 07:13:20,9.17,74.40
95,06/11/02 07:23:20,9.20,73.90
96,06/11/02 07:33:20,9.20,71.90
97,06/11/02 07:43:20,9.20,70.90
98,06/11/02 07:53:20,9.25,71.90
99,06/11/02 08:03:20,9.27,71.90
100,06/11/02 08:13:20,9.35,72.90
101,06/11/02 08:23:20,9.47,80.10
102,06/11/02 08:33:20,10.01,79.20
103,06/11/02 08:43:20,10.23,77.30
104,06/11/02 08:53:20,10.48,77.30
105,06/11/02 09:03:20,10.80,78.20
106,06/11/02 09:13:20,11.11,78.20
107,06/11/02 09:23:20,11.55,79.60
108,06/11/02 09:33:20,12.11,76.30
109,06/11/02 09:43:20,12.81,82.00
110,06/11/02 09:53:20,13.44,71.40
111,06/11/02 10:03:20,13.75,66.40
112,06/11/02 10:13:20,14.08,64.80
113,06/11/02 10:23:20,14.49,62.80
114,06/11/02 10:33:20,20.88,39.10
115,06/11/02 10:43:20,23.31,53.00
116,06/11/02 10:53:20,21.83,48.30
117,06/11/02 11:03:20,23.10,42.70
118,06/11/02 11:13:20,22.55,34.70
119,06/11/02 11:23:20,22.98,38.10
120,06/11/02 11:33:20,22.57,41.20
121,06/11/02 11:43:20,23.56,37.10
122,06/11/02 11:53:20,23.39,32.20
123,06/11/02 12:03:20,22.50,35.70
124,06/11/02 12:13:20,21.57,38.10
125,06/11/02 12:23:20,21.61,39.60
126,06/11/02 12:33:20,21.66,46.30
127,06/11/02 12:43:20,26.39,34.20
128,06/11/02 12:53:20,27.00,33.20
129,06/11/02 13:03:20,24.81,31.30
130,06/11/02 13:13:20,23.80,36.60
131,06/11/02 13:23:20,22.55,31.30
132,06/11/02 13:33:20,21.38,31.30
133,06/11/02 13:43:20,20.38,33.20
134,06/11/02 13:53:20,19.49,34.70
135,06/11/02 14:03:20,17.88,39.10
136,06/11/02 14:13:20,14.73,55.00
137,06/11/02 14:23:20,13.96,56.10
138,06/11/02 14:33:20,13.92,56.60
139,06/11/02 14:43:20,14.83,53.50
140,06/11/02 14:53:20,15.19,51.40
141,06/11/02 15:03:20,15.52,52.50
142,06/11/02 15:13:20,15.23,53.50
143,06/11/02 15:23:20,14.30,57.10
144,06/11/02 15:33:20,13.77,57.60
145,06/11/02 15:43:20,12.62,60.70
146,06/11/02 15:53:20,11.04,68.40
147,06/11/02 16:03:20,10.21,70.40
148,06/11/02 16:13:20,10.09,67.90
149,06/11/02 16:23:20,9.47,70.90
150,06/11/02 16:33:20,8.90,73.90
151,06/11/02 16:43:20,8.75,74.40
152,06/11/02 16:53:20,8.60,74.40
153,06/11/02 17:03:20,8.36,75.80
154,06/11/02 17:13:20,8.33,76.30
155,06/11/02 17:23:20,8.28,75.30
156,06/11/02 17:33:20,7.78,78.70
157,06/11/02 17:43:20,7.68,77.30
158,06/11/02 17:53:20,7.53,78.70
159,06/11/02 18:03:20,7.33,80.10
160,06/11/02 18:13:20,7.20,81.00
161,06/11/02 18:23:20,7.10,82.00
162,06/11/02 18:33:20,6.98,82.90
163,06/11/02 18:43:20,6.90,83.30
164,06/11/02 18:53:20,6.70,83.30
165,06/11/02 19:03:20,6.39,83.80
166,06/11/02 19:13:20,6.16,84.70
167,06/11/02 19:23:20,6.01,84.70
168,06/11/02 19:33:20,5.86,85.60
169,06/11/02 19:43:20,5.70,86.00
170,06/11/02 19:53:20,5.52,86.00
171,06/11/02 20:03:20,5.35,86.90
172,06/11/02 20:13:20,5.19,86.90
173,06/11/02 20:23:20,5.01,87.80
174,06/11/02 20:33:20,4.91,88.60
175,06/11/02 20:43:20,4.80,89.10
176,06/11/02 20:53:20,4.70,89.90
177,06/11/02 21:03:20,4.62,90.30
178,06/11/02 21:13:20,4.52,90.30
179,06/11/02 21:23:20,4.41,90.30
180,06/11/02 21:33:20,4.31,91.10
181,06/11/02 21:43:20,4.23,91.50
182,06/11/02 21:53:20,4.18,92.00
183,06/11/02 22:03:20,4.13,92.00
184,06/11/02 22:13:20,4.10,92.00
185,06/11/02 22:23:20,4.07,92.00
186,06/11/02 22:33:20,4.02,92.40
187,06/11/02 22:43:20,4.00,92.40
188,06/11/02 22:53:20,3.97,92.40
189,06/11/02 23:03:20,3.92,92.40
190,06/11/02 23:13:20,3.86,92.80
191,06/11/02 23:23:20,3.81,93.20
192,06/11/02 23:33:20,3.79,93.50
193,06/11/02 23:43:20,3.73,93.50
194,06/11/02 23:53:20,3.73,93.50
195,06/12/02 00:03:20,3.71,93.50
196,06/12/02 00:13:20,3.68,93.90
197,06/12/02 00:23:20,3.68,93.90
198,06/12/02 00:33:20,3.68,93.90
199,06/12/02 00:43:20,3.65,93.90
200,06/12/02 00:53:20,3.63,93.90
201,06/12/02 01:03:20,3.60,93.90
202,06/12/02 01:13:20,3.58,93.90
203,06/12/02 01:23:20,3.52,93.90
204,06/12/02 01:33:20,3.47,94.30
205,06/12/02 01:43:20,3.47,94.30
206,06/12/02 01:53:20,3.44,94.70
207,06/12/02 02:03:20,3.42,94.70
208,06/12/02 02:13:20,3.34,94.70
209,06/12/02 02:23:20,3.29,94.70
210,06/12/02 02:33:20,3.23,94.70
211,06/12/02 02:43:20,3.21,94.70
212,06/12/02 02:53:20,3.18,94.70
213,06/12/02 03:03:20,3.15,94.70
214,06/12/02 03:13:20,3.18,95.10
215,06/12/02 03:23:20,3.18,95.10
216,06/12/02 03:33:20,3.15,95.10
217,06/12/02 03:43:20,3.15,95.10
218,06/12/02 03:53:20,3.15,95.10
219,06/12/02 04:03:20,3.15,95.10
220,06/12/02 04:13:20,3.13,95.10
221,06/12/02 04:23:20,3.13,95.10
222,06/12/02 04:33:20,3.13,95.50
223,06/12/02 04:43:20,3.07,95.10
224,06/12/02 04:53:20,3.02,95.10
225,06/12/02 05:03:20,2.99,95.50
226,06/12/02 05:13:20,2.97,95.50
227,06/12/02 05:23:20,2.97,95.50
228,06/12/02 05:33:20,2.94,95.50
229,06/12/02 05:43:20,2.91,95.50
230,06/12/02 05:53:20,2.94,95.50
231,06/12/02 06:03:20,2.99,95.50
232,06/12/02 06:13:20,3.05,95.50
233,06/12/02 06:23:20,3.15,95.10
234,06/12/02 06:33:20,3.23,95.10
235,06/12/02 06:43:20,3.31,95.10
236,06/12/02 06:53:20,3.39,95.10
237,06/12/02 07:03:20,3.50,94.70
238,06/12/02 07:13:20,3.58,94.70
239,06/12/02 07:23:20,3.68,94.70
240,06/12/02 07:33:20,3.76,94.70
241,06/12/02 07:43:20,3.84,94.30
