"Plot Title: PLVA_Clearwater1_1_2002"
#,Date Time,H08 High Res. Temp. (°C) LGR S/N: 399739 c:1,GCap. RH (%) LGR S/N: 399739 c:3
1,06/10/02 15:40:56,23.29,42.90
2,06/10/02 15:50:56,23.63,41.80
3,06/10/02 16:00:56,23.17,39.30
4,06/10/02 16:10:56,22.40,40.30
5,06/10/02 16:20:56,21.90,41.30
6,06/10/02 16:30:56,21.50,42.30
7,06/10/02 16:40:56,21.19,43.40
8,06/10/02 16:50:56,20.95,43.90
9,06/10/02 17:00:56,20.78,44.90
10,06/10/02 17:10:56,21.09,48.00
11,06/10/02 17:20:56,20.59,47.50
12,06/10/02 17:30:56,20.40,49.00
13,06/10/02 17:40:56,20.23,49.00
14,06/10/02 17:50:56,20.11,49.60
15,06/10/02 18:00:56,20.14,51.10
16,06/10/02 18:10:56,20.85,47.50
17,06/10/02 18:20:56,21.73,50.60
18,06/10/02 18:30:56,22.79,40.30
19,06/10/02 18:40:56,23.41,39.80
20,06/10/02 18:50:56,23.99,39.80
21,06/10/02 19:00:56,24.40,40.80
22,06/10/02 19:10:56,24.66,41.30
23,06/10/02 19:20:56,24.83,40.80
24,06/10/02 19:30:56,24.93,41.30
25,06/10/02 19:40:56,24.88,37.30
26,06/10/02 19:50:56,24.69,39.80
27,06/10/02 20:00:56,24.47,39.30
28,06/10/02 20:10:56,24.18,40.30
29,06/10/02 20:20:56,23.94,40.30
30,06/10/02 20:30:56,23.70,41.30
31,06/10/02 20:40:56,23.48,41.80
32,06/10/02 20:50:56,23.24,42.30
33,06/10/02 21:00:56,23.00,42.30
34,06/10/02 21:10:56,22.69,42.30
35,06/10/02 21:20:56,22.38,42.90
36,06/10/02 21:30:56,22.02,43.90
37,06/10/02 21:40:56,21.66,44.90
38,06/10/02 21:50:56,21.28,45.90
39,06/10/02 22:00:56,20.92,46.50
40,06/10/02 22:10:56,20.61,47.50
41,06/10/02 22:20:56,20.33,48.50
42,06/10/02 22:30:56,20.02,49.60
43,06/10/02 22:40:56,19.71,50.60
44,06/10/02 22:50:56,19.33,52.70
45,06/10/02 23:00:56,18.99,52.10
46,06/10/02 23:10:56,18.71,52.70
47,06/10/02 23:20:56,18.45,53.20
48,06/10/02 23:30:56,18.12,56.30
49,06/10/02 23:40:56,17.76,56.30
50,06/10/02 23:50:56,17.43,56.80
51,06/11/02 00:00:56,17.16,55.30
52,06/11/02 00:10:56,16.95,55.80
53,06/11/02 00:20:56,16.71,55.80
54,06/11/02 00:30:56,16.50,56.30
55,06/11/02 00:40:56,16.26,55.80
56,06/11/02 00:50:56,16.02,56.30
57,06/11/02 01:00:56,15.78,57.30
58,06/11/02 01:10:56,15.54,57.90
59,06/11/02 01:20:56,15.30,57.30
60,06/11/02 01:30:56,15.07,57.90
61,06/11/02 01:40:56,14.83,58.90
62,06/11/02 01:50:56,14.59,58.40
63,06/11/02 02:00:56,14.35,59.90
64,06/11/02 02:10:56,14.08,58.90
65,06/11/02 02:20:56,13.87,59.90
66,06/11/02 02:30:56,13.63,61.00
67,06/11/02 02:40:56,13.41,60.50
68,06/11/02 02:50:56,13.20,61.50
69,06/11/02 03:00:56,12.98,61.50
70,06/11/02 03:10:56,12.69,66.60
71,06/11/02 03:20:56,12.47,63.50
72,06/11/02 03:30:56,12.28,65.10
73,06/11/02 03:40:56,12.06,64.60
74,06/11/02 03:50:56,11.89,63.50
75,06/11/02 04:00:56,11.75,63.50
76,06/11/02 04:10:56,11.55,66.60
77,06/11/02 04:20:56,11.36,66.10
78,06/11/02 04:30:56,11.21,64.10
79,06/11/02 04:40:56,10.94,69.20
80,06/11/02 04:50:56,10.75,68.60
81,06/11/02 05:00:56,10.60,68.60
82,06/11/02 05:10:56,10.45,66.10
83,06/11/02 05:20:56,10.36,66.10
84,06/11/02 05:30:56,10.26,66.10
85,06/11/02 05:40:56,10.13,66.60
86,06/11/02 05:50:56,9.99,67.60
87,06/11/02 06:00:56,9.86,68.60
88,06/11/02 06:10:56,9.72,71.20
89,06/11/02 06:20:56,9.54,71.70
90,06/11/02 06:30:56,9.42,70.70
91,06/11/02 06:40:56,9.35,71.20
92,06/11/02 06:50:56,9.27,72.70
93,06/11/02 07:00:56,9.22,73.10
94,06/11/02 07:10:56,9.20,75.10
95,06/11/02 07:20:56,9.17,73.10
96,06/11/02 07:30:56,9.17,71.20
97,06/11/02 07:40:56,9.17,70.20
98,06/11/02 07:50:56,9.20,73.10
99,06/11/02 08:00:56,9.22,71.70
100,06/11/02 08:10:56,9.30,72.70
101,06/11/02 08:20:56,9.37,75.10
102,06/11/02 08:30:56,10.04,79.90
103,06/11/02 08:40:56,10.21,76.60
104,06/11/02 08:50:56,10.40,75.10
105,06/11/02 09:00:56,10.60,75.60
106,06/11/02 09:10:56,10.84,75.60
107,06/11/02 09:20:56,11.14,78.00
108,06/11/02 09:30:56,11.55,75.10
109,06/11/02 09:40:56,12.06,77.10
110,06/11/02 09:50:56,12.62,72.70
111,06/11/02 10:00:56,13.07,67.60
112,06/11/02 10:10:56,13.46,66.60
113,06/11/02 10:20:56,13.84,66.10
114,06/11/02 10:30:56,18.69,32.90
115,06/11/02 10:40:56,20.35,57.90
116,06/11/02 10:50:56,20.14,51.60
117,06/11/02 11:00:56,20.33,51.10
118,06/11/02 11:10:56,20.45,46.50
119,06/11/02 11:20:56,20.80,42.90
120,06/11/02 11:30:56,21.23,41.30
121,06/11/02 11:40:56,21.61,42.90
122,06/11/02 11:50:56,22.02,41.30
123,06/11/02 12:00:56,21.73,39.30
124,06/11/02 12:10:56,19.47,33.80
125,06/11/02 12:20:56,18.23,36.30
126,06/11/02 12:30:56,18.38,37.30
127,06/11/02 12:40:56,19.59,30.40
128,06/11/02 12:50:56,20.78,26.70
129,06/11/02 13:00:56,21.52,26.20
130,06/11/02 13:10:56,21.76,24.80
131,06/11/02 13:20:56,20.95,24.80
132,06/11/02 13:30:56,20.40,30.40
133,06/11/02 13:40:56,19.92,26.70
134,06/11/02 13:50:56,19.54,31.90
135,06/11/02 14:00:56,19.23,29.00
136,06/11/02 14:10:56,18.97,35.80
137,06/11/02 14:20:56,18.95,30.90
138,06/11/02 14:30:56,19.07,32.90
139,06/11/02 14:40:56,19.11,28.10
140,06/11/02 14:50:56,19.02,30.40
141,06/11/02 15:00:56,19.02,33.80
142,06/11/02 15:10:56,18.71,34.80
143,06/11/02 15:20:56,18.47,35.80
144,06/11/02 15:30:56,18.50,35.80
145,06/11/02 15:40:56,17.97,37.80
