Serial Number:      94739     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
08/17/00 14:29:15,23.2
08/17/00 15:41:15,22.4
08/17/00 16:53:15,22.8
08/17/00 18:05:15,22.4
08/17/00 19:17:15,22.1
08/17/00 20:29:15,21.3
08/17/00 21:41:15,20.9
08/17/00 22:53:15,20.2
08/18/00 00:05:15,19.8
08/18/00 01:17:15,19.4
08/18/00 02:29:15,19.4
08/18/00 03:41:15,19
08/18/00 04:53:15,18.6
08/18/00 06:05:15,18.2
08/18/00 07:17:15,18.2
08/18/00 08:29:15,17.8
08/18/00 09:41:15,17.8
08/18/00 10:53:15,18.2
08/18/00 12:05:15,18.6
08/18/00 13:17:15,19.4
08/18/00 14:29:15,19.4
08/18/00 15:41:15,19.4
08/18/00 16:53:15,19.8
08/18/00 18:05:15,19.8
08/18/00 19:17:15,20.2
08/18/00 20:29:15,19.8
08/18/00 21:41:15,19.8
08/18/00 22:53:15,19.4
08/19/00 00:05:15,19.4
08/19/00 01:17:15,19
08/19/00 02:29:15,19
08/19/00 03:41:15,18.6
08/19/00 04:53:15,18.6
08/19/00 06:05:15,18.2
08/19/00 07:17:15,18.2
08/19/00 08:29:15,18.2
08/19/00 09:41:15,18.2
08/19/00 10:53:15,18.6
08/19/00 12:05:15,19.8
08/19/00 13:17:15,20.5
08/19/00 14:29:15,21.3
08/19/00 15:41:15,21.3
08/19/00 16:53:15,21.3
08/19/00 18:05:15,21.3
08/19/00 19:17:15,20.9
08/19/00 20:29:15,20.9
08/19/00 21:41:15,20.9
08/19/00 22:53:15,20.5
08/20/00 00:05:15,20.2
08/20/00 01:17:15,19.8
08/20/00 02:29:15,19.4
08/20/00 03:41:15,19
08/20/00 04:53:15,18.6
08/20/00 06:05:15,18.6
08/20/00 07:17:15,18.2
08/20/00 08:29:15,17.8
08/20/00 09:41:15,17.8
08/20/00 10:53:15,18.2
08/20/00 12:05:15,18.6
08/20/00 13:17:15,19
08/20/00 14:29:15,19.8
08/20/00 15:41:15,20.2
08/20/00 16:53:15,20.9
08/20/00 18:05:15,21.3
08/20/00 19:17:15,21.3
08/20/00 20:29:15,21.3
08/20/00 21:41:15,21.3
08/20/00 22:53:15,20.9
08/21/00 00:05:15,20.9
08/21/00 01:17:15,20.5
08/21/00 02:29:15,20.2
08/21/00 03:41:15,19.8
08/21/00 04:53:15,19.4
08/21/00 06:05:15,19
08/21/00 07:17:15,19
08/21/00 08:29:15,19.4
08/21/00 09:41:15,19.8
08/21/00 10:53:15,20.9
08/21/00 12:05:15,21.7
08/21/00 13:17:15,22.8
08/21/00 14:29:15,24
08/21/00 15:41:15,24
08/21/00 16:53:15,23.6
08/21/00 18:05:15,25.9
08/21/00 19:17:15,25.6
08/21/00 20:29:15,24.8
08/21/00 21:41:15,22.8
08/21/00 22:53:15,20.9
08/22/00 00:05:15,18.6
08/22/00 01:17:15,16.7
08/22/00 02:29:15,15.2
08/22/00 03:41:15,14.1
08/22/00 04:53:15,12.9
08/22/00 06:05:15,11.7
08/22/00 07:17:15,10.9
08/22/00 08:29:15,10.6
08/22/00 09:41:15,13.3
08/22/00 10:53:15,19
08/22/00 12:05:15,14.8
08/22/00 13:17:15,19.4
08/22/00 14:29:15,24.8
08/22/00 15:41:15,29.8
08/22/00 16:53:15,19.8
08/22/00 18:05:15,17.1
