Serial Number:      94759     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
05/22/00 09:32:37,21.7
05/22/00 09:56:37,22.4
05/22/00 10:20:37,22.4
05/22/00 10:44:37,22.4
05/22/00 11:08:37,22.4
05/22/00 11:32:37,22.4
05/22/00 11:56:37,22.4
05/22/00 12:20:37,22.4
05/22/00 12:44:37,22.4
05/22/00 13:08:37,22.8
05/22/00 13:32:37,22.8
05/22/00 13:56:37,22.8
05/22/00 14:20:37,22.8
05/22/00 14:44:37,22.8
05/22/00 15:08:37,23.2
05/22/00 15:32:37,23.2
05/22/00 15:56:37,23.2
05/22/00 16:20:37,23.2
05/22/00 16:44:37,23.2
05/22/00 17:08:37,23.2
05/22/00 17:32:37,23.6
05/22/00 17:56:37,23.6
05/22/00 18:20:37,23.6
05/22/00 18:44:37,23.6
05/22/00 19:08:37,23.6
05/22/00 19:32:37,23.6
05/22/00 19:56:37,23.6
05/22/00 20:20:37,23.6
05/22/00 20:44:37,23.6
05/22/00 21:08:37,23.6
05/22/00 21:32:37,23.6
05/22/00 21:56:37,23.6
05/22/00 22:20:37,23.6
05/22/00 22:44:37,23.6
05/22/00 23:08:37,23.6
05/22/00 23:32:37,23.6
05/22/00 23:56:37,23.2
05/23/00 00:20:37,23.2
05/23/00 00:44:37,23.2
05/23/00 01:08:37,23.2
05/23/00 01:32:37,23.2
05/23/00 01:56:37,22.8
05/23/00 02:20:37,22.8
05/23/00 02:44:37,22.8
05/23/00 03:08:37,22.8
05/23/00 03:32:37,22.4
05/23/00 03:56:37,22.4
05/23/00 04:20:37,22.4
05/23/00 04:44:37,22.4
05/23/00 05:08:37,22.1
05/23/00 05:32:37,22.1
05/23/00 05:56:37,22.1
05/23/00 06:20:37,22.1
05/23/00 06:44:37,21.7
05/23/00 07:08:37,21.7
05/23/00 07:32:37,21.7
05/23/00 07:56:37,20.9
05/23/00 08:20:37,20.2
05/23/00 08:44:37,18.2
05/23/00 09:08:37,16.3
05/23/00 09:32:37,15.2
05/23/00 09:56:37,13.3
05/23/00 10:20:37,13.3
05/23/00 10:44:37,14.4
05/23/00 11:08:37,15.9
05/23/00 11:32:37,18.6
05/23/00 11:56:37,21.7
05/23/00 12:20:37,21.7
05/23/00 12:44:37,28.3
05/23/00 13:08:37,27.5
05/23/00 13:32:37,27.9
05/23/00 13:56:37,26.3
05/23/00 14:20:37,27.1
05/23/00 14:44:37,27.5
05/23/00 15:08:37,20.5
05/23/00 15:32:37,15.9
05/23/00 15:56:37,12.9
05/23/00 16:20:37,11.3
05/23/00 16:44:37,10.6
05/23/00 17:08:37,9.8
05/23/00 17:32:37,8.6
05/23/00 17:56:37,7.4
05/23/00 18:20:37,6.6
05/23/00 18:44:37,6.2
05/23/00 19:08:37,5.3
05/23/00 19:32:37,4.5
05/23/00 19:56:37,4.1
05/23/00 20:20:37,2.8
05/23/00 20:44:37,2.4
05/23/00 21:08:37,2.4
05/23/00 21:32:37,2.4
05/23/00 21:56:37,2.4
05/23/00 22:20:37,2.4
05/23/00 22:44:37,2.4
05/23/00 23:08:37,2.4
05/23/00 23:32:37,2.4
05/23/00 23:56:37,2.4
05/24/00 00:20:37,2.4
05/24/00 00:44:37,2.4
05/24/00 01:08:37,2.4
05/24/00 01:32:37,2.4
05/24/00 01:56:37,2.4
05/24/00 02:20:37,2.4
05/24/00 02:44:37,2.4
05/24/00 03:08:37,2.4
05/24/00 03:32:37,2.4
05/24/00 03:56:37,2.4
05/24/00 04:20:37,2.4
05/24/00 04:44:37,2
05/24/00 05:08:37,2
05/24/00 05:32:37,2
05/24/00 05:56:37,2.4
05/24/00 06:20:37,2.4
05/24/00 06:44:37,2.8
05/24/00 07:08:37,3.3
05/24/00 07:32:37,2.4
05/24/00 07:56:37,2.8
05/24/00 08:20:37,3.3
05/24/00 08:44:37,3.7
05/24/00 09:08:37,4.9
05/24/00 09:32:37,5.3
05/24/00 09:56:37,6.2
05/24/00 10:20:37,9.4
05/24/00 10:44:37,11.7
05/24/00 11:08:37,13.3
05/24/00 11:32:37,14.1
05/24/00 11:56:37,14.8
05/24/00 12:20:37,14.8
05/24/00 12:44:37,15.6
05/24/00 13:08:37,15.6
05/24/00 13:32:37,15.6
05/24/00 13:56:37,15.6
05/24/00 14:20:37,15.2
05/24/00 14:44:37,14.8
05/24/00 15:08:37,13.7
05/24/00 15:32:37,13.3
05/24/00 15:56:37,12.1
05/24/00 16:20:37,11.7
05/24/00 16:44:37,10.9
05/24/00 17:08:37,9.8
05/24/00 17:32:37,9
05/24/00 17:56:37,8.2
05/24/00 18:20:37,7
05/24/00 18:44:37,5.8
05/24/00 19:08:37,4.9
05/24/00 19:32:37,4.5
05/24/00 19:56:37,4.1
05/24/00 20:20:37,3.7
05/24/00 20:44:37,3.7
05/24/00 21:08:37,3.7
05/24/00 21:32:37,3.3
05/24/00 21:56:37,4.5
05/24/00 22:20:37,4.1
05/24/00 22:44:37,4.1
05/24/00 23:08:37,2.8
05/24/00 23:32:37,3.3
05/24/00 23:56:37,3.7
05/25/00 00:20:37,2.8
05/25/00 00:44:37,2.4
05/25/00 01:08:37,2.4
05/25/00 01:32:37,2.4
05/25/00 01:56:37,2.4
05/25/00 02:20:37,2.4
05/25/00 02:44:37,2.4
05/25/00 03:08:37,2.4
05/25/00 03:32:37,2.4
05/25/00 03:56:37,2.4
05/25/00 04:20:37,2.4
05/25/00 04:44:37,2.4
05/25/00 05:08:37,2.4
05/25/00 05:32:37,2.4
05/25/00 05:56:37,2.4
05/25/00 06:20:37,2.4
05/25/00 06:44:37,2.8
05/25/00 07:08:37,2.8
05/25/00 07:32:37,3.7
05/25/00 07:56:37,4.1
05/25/00 08:20:37,4.1
05/25/00 08:44:37,4.1
05/25/00 09:08:37,4.9
05/25/00 09:32:37,6.6
05/25/00 09:56:37,6.6
05/25/00 10:20:37,9
05/25/00 10:44:37,10.9
05/25/00 11:08:37,10.9
05/25/00 11:32:37,11.3
05/25/00 11:56:37,9
05/25/00 12:20:37,9.8
05/25/00 12:44:37,10.9
05/25/00 13:08:37,11.7
05/25/00 13:32:37,13.7
05/25/00 13:56:37,10.2
05/25/00 14:20:37,10.9
05/25/00 14:44:37,12.9
05/25/00 15:08:37,13.3
05/25/00 15:32:37,12.1
05/25/00 15:56:37,10.9
05/25/00 16:20:37,9.8
05/25/00 16:44:37,9
05/25/00 17:08:37,7.8
05/25/00 17:32:37,7.8
05/25/00 17:56:37,7.8
05/25/00 18:20:37,7.8
05/25/00 18:44:37,7
05/25/00 19:08:37,5.8
05/25/00 19:32:37,5.3
05/25/00 19:56:37,5.3
05/25/00 20:20:37,4.9
05/25/00 20:44:37,4.5
05/25/00 21:08:37,3.7
05/25/00 21:32:37,4.1
05/25/00 21:56:37,4.1
05/25/00 22:20:37,4.1
05/25/00 22:44:37,4.5
05/25/00 23:08:37,4.1
05/25/00 23:32:37,3.7
05/25/00 23:56:37,3.3
05/26/00 00:20:37,2.8
05/26/00 00:44:37,4.1
05/26/00 01:08:37,4.1
05/26/00 01:32:37,4.1
05/26/00 01:56:37,4.5
05/26/00 02:20:37,3.7
05/26/00 02:44:37,3.3
05/26/00 03:08:37,3.7
05/26/00 03:32:37,3.7
05/26/00 03:56:37,3.3
05/26/00 04:20:37,2.8
05/26/00 04:44:37,2.8
05/26/00 05:08:37,3.7
05/26/00 05:32:37,3.3
05/26/00 05:56:37,3.3
05/26/00 06:20:37,3.3
05/26/00 06:44:37,3.3
05/26/00 07:08:37,3.3
05/26/00 07:32:37,3.7
05/26/00 07:56:37,5.3
05/26/00 08:20:37,4.5
05/26/00 08:44:37,5.3
05/26/00 09:08:37,7
05/26/00 09:32:37,4.9
05/26/00 09:56:37,5.3
05/26/00 10:20:37,7.4
05/26/00 10:44:37,6.6
05/26/00 11:08:37,7
05/26/00 11:32:37,7.8
05/26/00 11:56:37,8.6
05/26/00 12:20:37,7.8
05/26/00 12:44:37,8.6
05/26/00 13:08:37,7.8
05/26/00 13:32:37,7.4
05/26/00 13:56:37,8.6
05/26/00 14:20:37,7.4
05/26/00 14:44:37,9.4
05/26/00 15:08:37,7.8
05/26/00 15:32:37,8.2
05/26/00 15:56:37,10.2
05/26/00 16:20:37,7.8
05/26/00 16:44:37,7.8
05/26/00 17:08:37,7
05/26/00 17:32:37,6.2
05/26/00 17:56:37,6.2
05/26/00 18:20:37,5.8
05/26/00 18:44:37,5.3
05/26/00 19:08:37,4.9
05/26/00 19:32:37,4.9
05/26/00 19:56:37,4.5
05/26/00 20:20:37,4.1
05/26/00 20:44:37,3.7
05/26/00 21:08:37,4.1
05/26/00 21:32:37,3.3
05/26/00 21:56:37,3.3
05/26/00 22:20:37,3.7
05/26/00 22:44:37,3.7
05/26/00 23:08:37,3.7
05/26/00 23:32:37,3.7
05/26/00 23:56:37,4.1
05/27/00 00:20:37,4.1
05/27/00 00:44:37,3.7
05/27/00 01:08:37,3.3
05/27/00 01:32:37,3.3
05/27/00 01:56:37,3.3
05/27/00 02:20:37,3.3
05/27/00 02:44:37,3.3
05/27/00 03:08:37,3.7
05/27/00 03:32:37,3.7
05/27/00 03:56:37,3.3
05/27/00 04:20:37,3.3
05/27/00 04:44:37,3.3
05/27/00 05:08:37,3.3
05/27/00 05:32:37,3.7
05/27/00 05:56:37,3.7
05/27/00 06:20:37,3.7
05/27/00 06:44:37,3.7
05/27/00 07:08:37,3.7
05/27/00 07:32:37,4.1
05/27/00 07:56:37,4.1
05/27/00 08:20:37,3.7
05/27/00 08:44:37,3.7
05/27/00 09:08:37,4.1
05/27/00 09:32:37,5.3
05/27/00 09:56:37,6.2
05/27/00 10:20:37,6.2
05/27/00 10:44:37,6.6
05/27/00 11:08:37,6.2
05/27/00 11:32:37,7
05/27/00 11:56:37,5.3
05/27/00 12:20:37,6.2
05/27/00 12:44:37,6.6
05/27/00 13:08:37,11.7
05/27/00 13:32:37,9.4
05/27/00 13:56:37,8.6
05/27/00 14:20:37,9.4
05/27/00 14:44:37,10.6
05/27/00 15:08:37,10.2
05/27/00 15:32:37,14.1
05/27/00 15:56:37,9.8
05/27/00 16:20:37,10.2
05/27/00 16:44:37,10.6
05/27/00 17:08:37,7.8
05/27/00 17:32:37,9
05/27/00 17:56:37,7.4
05/27/00 18:20:37,7.8
05/27/00 18:44:37,7.4
05/27/00 19:08:37,6.6
05/27/00 19:32:37,5.8
05/27/00 19:56:37,5.3
05/27/00 20:20:37,4.9
05/27/00 20:44:37,4.9
05/27/00 21:08:37,4.9
05/27/00 21:32:37,4.5
05/27/00 21:56:37,4.5
05/27/00 22:20:37,4.1
05/27/00 22:44:37,3.7
05/27/00 23:08:37,3.7
05/27/00 23:32:37,3.7
05/27/00 23:56:37,3.7
05/28/00 00:20:37,3.7
05/28/00 00:44:37,3.7
05/28/00 01:08:37,3.3
05/28/00 01:32:37,3.3
05/28/00 01:56:37,2.8
05/28/00 02:20:37,2.8
05/28/00 02:44:37,2.4
05/28/00 03:08:37,2.4
05/28/00 03:32:37,2.4
05/28/00 03:56:37,2.4
05/28/00 04:20:37,2.4
05/28/00 04:44:37,2.4
05/28/00 05:08:37,2.4
05/28/00 05:32:37,2.4
05/28/00 05:56:37,2.4
05/28/00 06:20:37,3.7
05/28/00 06:44:37,3.3
05/28/00 07:08:37,3.3
05/28/00 07:32:37,3.3
05/28/00 07:56:37,3.7
05/28/00 08:20:37,3.7
05/28/00 08:44:37,4.1
05/28/00 09:08:37,4.9
05/28/00 09:32:37,5.3
05/28/00 09:56:37,4.9
05/28/00 10:20:37,6.6
05/28/00 10:44:37,8.2
05/28/00 11:08:37,10.9
05/28/00 11:32:37,6.6
05/28/00 11:56:37,8.6
05/28/00 12:20:37,11.3
05/28/00 12:44:37,9
05/28/00 13:08:37,8.2
05/28/00 13:32:37,8.2
05/28/00 13:56:37,7.8
05/28/00 14:20:37,7
05/28/00 14:44:37,8.2
05/28/00 15:08:37,8.6
05/28/00 15:32:37,7.8
05/28/00 15:56:37,7.8
05/28/00 16:20:37,6.6
05/28/00 16:44:37,7.4
05/28/00 17:08:37,8.6
05/28/00 17:32:37,7.4
05/28/00 17:56:37,6.6
05/28/00 18:20:37,6.6
05/28/00 18:44:37,6.2
05/28/00 19:08:37,5.8
05/28/00 19:32:37,5.3
05/28/00 19:56:37,4.9
05/28/00 20:20:37,4.5
05/28/00 20:44:37,4.5
05/28/00 21:08:37,4.5
05/28/00 21:32:37,3.7
05/28/00 21:56:37,3.7
05/28/00 22:20:37,3.3
05/28/00 22:44:37,3.3
05/28/00 23:08:37,2.8
05/28/00 23:32:37,3.3
05/28/00 23:56:37,3.3
05/29/00 00:20:37,3.7
05/29/00 00:44:37,2.8
05/29/00 01:08:37,2.8
05/29/00 01:32:37,2.4
05/29/00 01:56:37,2.4
05/29/00 02:20:37,2.4
05/29/00 02:44:37,2.4
05/29/00 03:08:37,2.4
05/29/00 03:32:37,2.4
05/29/00 03:56:37,2.4
05/29/00 04:20:37,2.4
05/29/00 04:44:37,2.4
05/29/00 05:08:37,2.4
05/29/00 05:32:37,2.4
05/29/00 05:56:37,2.4
05/29/00 06:20:37,2.8
05/29/00 06:44:37,3.3
05/29/00 07:08:37,4.1
05/29/00 07:32:37,4.5
05/29/00 07:56:37,4.1
05/29/00 08:20:37,4.9
05/29/00 08:44:37,5.3
05/29/00 09:08:37,6.2
05/29/00 09:32:37,6.6
05/29/00 09:56:37,7
05/29/00 10:20:37,7.4
05/29/00 10:44:37,7
05/29/00 11:08:37,7.4
05/29/00 11:32:37,8.6
05/29/00 11:56:37,9
05/29/00 12:20:37,9.4
05/29/00 12:44:37,8.2
05/29/00 13:08:37,9.4
05/29/00 13:32:37,8.6
05/29/00 13:56:37,7.8
05/29/00 14:20:37,7.8
05/29/00 14:44:37,9
05/29/00 15:08:37,8.6
05/29/00 15:32:37,14.8
05/29/00 15:56:37,15.2
05/29/00 16:20:37,13.3
05/29/00 16:44:37,9.4
05/29/00 17:08:37,11.3
05/29/00 17:32:37,10.6
05/29/00 17:56:37,8.6
05/29/00 18:20:37,7.4
05/29/00 18:44:37,7.8
05/29/00 19:08:37,7
05/29/00 19:32:37,6.2
05/29/00 19:56:37,5.8
05/29/00 20:20:37,5.3
05/29/00 20:44:37,5.3
05/29/00 21:08:37,4.9
05/29/00 21:32:37,4.9
05/29/00 21:56:37,4.1
05/29/00 22:20:37,4.1
05/29/00 22:44:37,3.7
05/29/00 23:08:37,4.1
05/29/00 23:32:37,3.7
05/29/00 23:56:37,3.7
05/30/00 00:20:37,3.7
05/30/00 00:44:37,3.7
05/30/00 01:08:37,2.8
05/30/00 01:32:37,2.8
05/30/00 01:56:37,2.8
05/30/00 02:20:37,3.3
05/30/00 02:44:37,3.7
05/30/00 03:08:37,3.7
05/30/00 03:32:37,3.7
05/30/00 03:56:37,2.8
05/30/00 04:20:37,3.3
05/30/00 04:44:37,3.3
05/30/00 05:08:37,2.8
05/30/00 05:32:37,2.8
05/30/00 05:56:37,2.8
05/30/00 06:20:37,2.8
05/30/00 06:44:37,2.8
05/30/00 07:08:37,3.7
05/30/00 07:32:37,4.1
05/30/00 07:56:37,4.1
05/30/00 08:20:37,4.1
05/30/00 08:44:37,4.5
05/30/00 09:08:37,4.9
05/30/00 09:32:37,4.9
05/30/00 09:56:37,5.3
05/30/00 10:20:37,5.8
05/30/00 10:44:37,6.6
05/30/00 11:08:37,7
05/30/00 11:32:37,7
05/30/00 11:56:37,8.2
05/30/00 12:20:37,8.6
05/30/00 12:44:37,9.8
05/30/00 13:08:37,10.2
05/30/00 13:32:37,9
05/30/00 13:56:37,7.4
05/30/00 14:20:37,7
05/30/00 14:44:37,7.8
05/30/00 15:08:37,7
05/30/00 15:32:37,7
05/30/00 15:56:37,7
05/30/00 16:20:37,7
05/30/00 16:44:37,6.2
05/30/00 17:08:37,6.2
05/30/00 17:32:37,5.8
05/30/00 17:56:37,5.8
05/30/00 18:20:37,5.8
05/30/00 18:44:37,5.8
05/30/00 19:08:37,5.3
05/30/00 19:32:37,4.9
05/30/00 19:56:37,4.9
05/30/00 20:20:37,4.5
05/30/00 20:44:37,4.5
05/30/00 21:08:37,4.5
