Serial Number:      94738     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
05/23/97 15:32:20,25.2
05/23/97 15:47:20,25.6
05/23/97 16:02:20,24.8
05/23/97 16:17:20,24.4
05/23/97 16:32:20,24
05/23/97 16:47:20,24.8
05/23/97 17:02:20,23.6
05/23/97 17:17:20,22.8
05/23/97 17:32:20,22.1
05/23/97 17:47:20,21.3
05/23/97 18:02:20,20.9
05/23/97 18:17:20,20.5
05/23/97 18:32:20,20.2
05/23/97 18:47:20,19.8
05/23/97 19:02:20,19.8
05/23/97 19:17:20,19.4
05/23/97 19:32:20,19.4
05/23/97 19:47:20,19.4
05/23/97 20:02:20,19
05/23/97 20:17:20,18.2
05/23/97 20:32:20,17.4
05/23/97 20:47:20,15.9
05/23/97 21:02:20,14.8
05/23/97 21:17:20,13.7
05/23/97 21:32:20,12.9
05/23/97 21:47:20,12.1
05/23/97 22:02:20,11.7
05/23/97 22:17:20,10.9
05/23/97 22:32:20,10.6
05/23/97 22:47:20,9.8
05/23/97 23:02:20,9.4
05/23/97 23:17:20,9
05/23/97 23:32:20,8.6
05/23/97 23:47:20,8.2
05/24/97 00:02:20,7.8
05/24/97 00:17:20,7.4
05/24/97 00:32:20,7.4
05/24/97 00:47:20,7
05/24/97 01:02:20,6.6
05/24/97 01:17:20,6.6
05/24/97 01:32:20,6.2
05/24/97 01:47:20,6.2
05/24/97 02:02:20,6.2
05/24/97 02:17:20,5.8
05/24/97 02:32:20,5.8
05/24/97 02:47:20,5.3
05/24/97 03:02:20,5.3
05/24/97 03:17:20,5.3
05/24/97 03:32:20,4.9
05/24/97 03:47:20,4.9
05/24/97 04:02:20,4.5
05/24/97 04:17:20,4.5
05/24/97 04:32:20,4.1
05/24/97 04:47:20,4.1
05/24/97 05:02:20,4.1
05/24/97 05:17:20,3.7
05/24/97 05:32:20,3.7
05/24/97 05:47:20,3.7
05/24/97 06:02:20,3.7
05/24/97 06:17:20,3.7
05/24/97 06:32:20,3.7
05/24/97 06:47:20,3.7
05/24/97 07:02:20,3.7
05/24/97 07:17:20,3.7
05/24/97 07:32:20,3.7
05/24/97 07:47:20,3.7
05/24/97 08:02:20,3.7
05/24/97 08:17:20,4.1
05/24/97 08:32:20,4.1
05/24/97 08:47:20,4.5
05/24/97 09:02:20,4.5
05/24/97 09:17:20,4.5
05/24/97 09:32:20,4.9
05/24/97 09:47:20,4.9
05/24/97 10:02:20,5.3
05/24/97 10:17:20,5.3
05/24/97 10:32:20,5.8
05/24/97 10:47:20,8.2
05/24/97 11:02:20,8.6
05/24/97 11:17:20,8.2
05/24/97 11:32:20,7.8
05/24/97 11:47:20,7.8
05/24/97 12:02:20,7.8
05/24/97 12:17:20,7.8
05/24/97 12:32:20,9
05/24/97 12:47:20,14.4
05/24/97 13:02:20,14.4
05/24/97 13:17:20,15.2
05/24/97 13:32:20,17.4
05/24/97 13:47:20,20.2
05/24/97 14:02:20,17.8
05/24/97 14:17:20,12.9
05/24/97 14:32:20,14.4
05/24/97 14:47:20,15.6
05/24/97 15:02:20,18.6
05/24/97 15:17:20,24
05/24/97 15:32:20,19.4
05/24/97 15:47:20,25.2
05/24/97 16:02:20,19.4
05/24/97 16:17:20,15.9
05/24/97 16:32:20,10.9
05/24/97 16:47:20,13.3
05/24/97 17:02:20,22.4
05/24/97 17:17:20,21.7
05/24/97 17:32:20,14.1
05/24/97 17:47:20,21.3
05/24/97 18:02:20,15.2
05/24/97 18:17:20,11.3
05/24/97 18:32:20,15.9
05/24/97 18:47:20,10.2
05/24/97 19:02:20,10.2
05/24/97 19:17:20,7.8
05/24/97 19:32:20,7
05/24/97 19:47:20,6.6
05/24/97 20:02:20,5.8
05/24/97 20:17:20,5.3
05/24/97 20:32:20,4.9
05/24/97 20:47:20,4.9
05/24/97 21:02:20,4.5
05/24/97 21:17:20,3.7
05/24/97 21:32:20,3.7
05/24/97 21:47:20,4.1
05/24/97 22:02:20,4.5
05/24/97 22:17:20,4.1
05/24/97 22:32:20,4.5
05/24/97 22:47:20,4.5
05/24/97 23:02:20,4.5
05/24/97 23:17:20,4.5
05/24/97 23:32:20,4.5
05/24/97 23:47:20,4.5
05/25/97 00:02:20,4.1
05/25/97 00:17:20,4.1
05/25/97 00:32:20,4.1
05/25/97 00:47:20,4.1
05/25/97 01:02:20,4.1
05/25/97 01:17:20,4.1
05/25/97 01:32:20,4.1
05/25/97 01:47:20,4.1
05/25/97 02:02:20,4.1
05/25/97 02:17:20,3.7
05/25/97 02:32:20,3.7
05/25/97 02:47:20,3.7
05/25/97 03:02:20,3.7
05/25/97 03:17:20,3.7
05/25/97 03:32:20,3.3
05/25/97 03:47:20,3.3
05/25/97 04:02:20,3.3
05/25/97 04:17:20,3.3
05/25/97 04:32:20,3.3
05/25/97 04:47:20,3.3
05/25/97 05:02:20,2.8
05/25/97 05:17:20,2.8
05/25/97 05:32:20,2.8
05/25/97 05:47:20,2.8
05/25/97 06:02:20,3.3
05/25/97 06:17:20,3.7
05/25/97 06:32:20,3.7
05/25/97 06:47:20,4.1
05/25/97 07:02:20,4.9
05/25/97 07:17:20,4.9
05/25/97 07:32:20,4.9
05/25/97 07:47:20,7
05/25/97 08:02:20,7
05/25/97 08:17:20,7.4
05/25/97 08:32:20,7.8
05/25/97 08:47:20,7.8
05/25/97 09:02:20,8.2
05/25/97 09:17:20,7
05/25/97 09:32:20,6.6
05/25/97 09:47:20,6.6
05/25/97 10:02:20,6.6
05/25/97 10:17:20,5.8
05/25/97 10:32:20,4.9
05/25/97 10:47:20,5.3
05/25/97 11:02:20,5.8
05/25/97 11:17:20,6.2
05/25/97 11:32:20,6.6
05/25/97 11:47:20,6.6
05/25/97 12:02:20,6.6
05/25/97 12:17:20,7
05/25/97 12:32:20,7
05/25/97 12:47:20,6.6
