Serial Number:      94722     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
05/22/00 09:21:29,23.6
05/22/00 09:45:29,22.4
05/22/00 10:09:29,22.4
05/22/00 10:33:29,22.4
05/22/00 10:57:29,22.4
05/22/00 11:21:29,22.4
05/22/00 11:45:29,22.8
05/22/00 12:09:29,22.8
05/22/00 12:33:29,23.2
05/22/00 12:57:29,23.2
05/22/00 13:21:29,23.2
05/22/00 13:45:29,23.2
05/22/00 14:09:29,23.2
05/22/00 14:33:29,23.2
05/22/00 14:57:29,23.2
05/22/00 15:21:29,23.6
05/22/00 15:45:29,23.6
05/22/00 16:09:29,23.6
05/22/00 16:33:29,23.6
05/22/00 16:57:29,24
05/22/00 17:21:29,24
05/22/00 17:45:29,24
05/22/00 18:09:29,24
05/22/00 18:33:29,24
05/22/00 18:57:29,24
05/22/00 19:21:29,24
05/22/00 19:45:29,24
05/22/00 20:09:29,24
05/22/00 20:33:29,24
05/22/00 20:57:29,24
05/22/00 21:21:29,24
05/22/00 21:45:29,24
05/22/00 22:09:29,24
05/22/00 22:33:29,24
05/22/00 22:57:29,23.6
05/22/00 23:21:29,23.6
05/22/00 23:45:29,23.6
05/23/00 00:09:29,23.6
05/23/00 00:33:29,23.2
05/23/00 00:57:29,23.2
05/23/00 01:21:29,23.2
05/23/00 01:45:29,23.2
05/23/00 02:09:29,23.2
05/23/00 02:33:29,22.8
05/23/00 02:57:29,22.8
05/23/00 03:21:29,22.8
05/23/00 03:45:29,22.8
05/23/00 04:09:29,22.4
05/23/00 04:33:29,22.4
05/23/00 04:57:29,22.4
05/23/00 05:21:29,22.1
05/23/00 05:45:29,22.1
05/23/00 06:09:29,22.1
05/23/00 06:33:29,22.1
05/23/00 06:57:29,21.7
05/23/00 07:21:29,21.7
05/23/00 07:45:29,21.3
05/23/00 08:09:29,20.9
05/23/00 08:33:29,19.8
05/23/00 08:57:29,17.8
05/23/00 09:21:29,16.3
05/23/00 09:45:29,14.4
05/23/00 10:09:29,14.1
05/23/00 10:33:29,14.1
05/23/00 10:57:29,15.2
05/23/00 11:21:29,15.9
05/23/00 11:45:29,18.6
05/23/00 12:09:29,19.4
05/23/00 12:33:29,19.8
05/23/00 12:57:29,37.8
05/23/00 13:21:29,4.9
05/23/00 13:45:29,2.8
05/23/00 14:09:29,2.8
05/23/00 14:33:29,2.8
05/23/00 14:57:29,3.3
05/23/00 15:21:29,3.3
05/23/00 15:45:29,3.7
05/23/00 16:09:29,3.7
05/23/00 16:33:29,3.7
05/23/00 16:57:29,3.7
05/23/00 17:21:29,3.7
05/23/00 17:45:29,3.7
05/23/00 18:09:29,3.7
05/23/00 18:33:29,3.7
05/23/00 18:57:29,3.7
05/23/00 19:21:29,4.1
05/23/00 19:45:29,3.7
05/23/00 20:09:29,3.7
05/23/00 20:33:29,3.7
05/23/00 20:57:29,3.7
05/23/00 21:21:29,4.1
05/23/00 21:45:29,4.1
05/23/00 22:09:29,4.1
05/23/00 22:33:29,3.7
05/23/00 22:57:29,3.7
05/23/00 23:21:29,3.7
05/23/00 23:45:29,3.7
05/24/00 00:09:29,3.7
05/24/00 00:33:29,3.7
05/24/00 00:57:29,3.7
05/24/00 01:21:29,3.7
05/24/00 01:45:29,3.7
05/24/00 02:09:29,3.7
05/24/00 02:33:29,3.7
05/24/00 02:57:29,3.7
05/24/00 03:21:29,3.7
05/24/00 03:45:29,3.7
05/24/00 04:09:29,3.3
05/24/00 04:33:29,3.3
05/24/00 04:57:29,3.3
05/24/00 05:21:29,3.3
05/24/00 05:45:29,3.3
05/24/00 06:09:29,3.3
05/24/00 06:33:29,3.3
05/24/00 06:57:29,3.3
05/24/00 07:21:29,3.3
05/24/00 07:45:29,3.7
05/24/00 08:09:29,3.7
05/24/00 08:33:29,3.7
05/24/00 08:57:29,3.7
05/24/00 09:21:29,4.1
05/24/00 09:45:29,4.1
05/24/00 10:09:29,4.1
05/24/00 10:33:29,4.5
05/24/00 10:57:29,4.1
05/24/00 11:21:29,4.5
05/24/00 11:45:29,4.5
05/24/00 12:09:29,4.5
05/24/00 12:33:29,4.9
05/24/00 12:57:29,4.9
05/24/00 13:21:29,5.3
05/24/00 13:45:29,5.3
05/24/00 14:09:29,5.3
05/24/00 14:33:29,5.3
05/24/00 14:57:29,5.3
05/24/00 15:21:29,5.3
05/24/00 15:45:29,4.5
05/24/00 16:09:29,4.5
05/24/00 16:33:29,4.5
05/24/00 16:57:29,4.9
05/24/00 17:21:29,4.9
05/24/00 17:45:29,4.1
05/24/00 18:09:29,3.7
05/24/00 18:33:29,3.7
05/24/00 18:57:29,3.3
05/24/00 19:21:29,3.7
05/24/00 19:45:29,3.3
05/24/00 20:09:29,3.3
05/24/00 20:33:29,3.3
05/24/00 20:57:29,3.3
05/24/00 21:21:29,3.7
05/24/00 21:45:29,3.7
05/24/00 22:09:29,3.7
05/24/00 22:33:29,3.7
05/24/00 22:57:29,3.7
05/24/00 23:21:29,3.7
05/24/00 23:45:29,3.7
05/25/00 00:09:29,3.7
05/25/00 00:33:29,3.7
05/25/00 00:57:29,3.7
05/25/00 01:21:29,3.7
05/25/00 01:45:29,3.7
05/25/00 02:09:29,3.7
05/25/00 02:33:29,3.7
05/25/00 02:57:29,3.7
05/25/00 03:21:29,3.7
05/25/00 03:45:29,3.7
05/25/00 04:09:29,3.3
05/25/00 04:33:29,3.7
05/25/00 04:57:29,3.3
05/25/00 05:21:29,3.3
05/25/00 05:45:29,3.3
05/25/00 06:09:29,3.3
05/25/00 06:33:29,3.3
05/25/00 06:57:29,3.7
05/25/00 07:21:29,3.7
05/25/00 07:45:29,3.7
05/25/00 08:09:29,3.7
05/25/00 08:33:29,3.7
05/25/00 08:57:29,3.7
05/25/00 09:21:29,4.1
05/25/00 09:45:29,4.1
05/25/00 10:09:29,4.5
05/25/00 10:33:29,4.5
05/25/00 10:57:29,4.9
05/25/00 11:21:29,4.9
05/25/00 11:45:29,4.9
05/25/00 12:09:29,4.9
05/25/00 12:33:29,4.9
05/25/00 12:57:29,4.9
05/25/00 13:21:29,4.9
05/25/00 13:45:29,5.3
05/25/00 14:09:29,5.3
05/25/00 14:33:29,5.3
05/25/00 14:57:29,5.3
05/25/00 15:21:29,5.3
05/25/00 15:45:29,5.8
05/25/00 16:09:29,5.8
05/25/00 16:33:29,5.8
05/25/00 16:57:29,6.2
05/25/00 17:21:29,5.8
05/25/00 17:45:29,5.8
05/25/00 18:09:29,5.8
05/25/00 18:33:29,5.8
05/25/00 18:57:29,5.8
05/25/00 19:21:29,5.8
05/25/00 19:45:29,5.8
05/25/00 20:09:29,5.8
05/25/00 20:33:29,5.3
05/25/00 20:57:29,5.3
05/25/00 21:21:29,4.9
05/25/00 21:45:29,4.9
05/25/00 22:09:29,4.9
05/25/00 22:33:29,4.5
05/25/00 22:57:29,4.5
05/25/00 23:21:29,4.5
05/25/00 23:45:29,4.5
05/26/00 00:09:29,4.5
05/26/00 00:33:29,4.5
05/26/00 00:57:29,4.5
05/26/00 01:21:29,4.5
05/26/00 01:45:29,4.5
05/26/00 02:09:29,4.5
05/26/00 02:33:29,4.5
05/26/00 02:57:29,4.5
05/26/00 03:21:29,4.5
05/26/00 03:45:29,4.5
05/26/00 04:09:29,4.5
05/26/00 04:33:29,4.5
05/26/00 04:57:29,4.5
05/26/00 05:21:29,4.5
05/26/00 05:45:29,4.5
05/26/00 06:09:29,4.5
05/26/00 06:33:29,4.5
05/26/00 06:57:29,4.5
05/26/00 07:21:29,4.5
05/26/00 07:45:29,4.5
05/26/00 08:09:29,4.5
05/26/00 08:33:29,4.5
05/26/00 08:57:29,4.5
05/26/00 09:21:29,4.5
05/26/00 09:45:29,4.5
05/26/00 10:09:29,4.9
05/26/00 10:33:29,4.9
05/26/00 10:57:29,4.9
05/26/00 11:21:29,4.9
05/26/00 11:45:29,4.9
05/26/00 12:09:29,4.9
05/26/00 12:33:29,4.9
05/26/00 12:57:29,4.9
05/26/00 13:21:29,4.9
05/26/00 13:45:29,4.9
05/26/00 14:09:29,4.9
05/26/00 14:33:29,4.9
05/26/00 14:57:29,5.3
05/26/00 15:21:29,5.3
05/26/00 15:45:29,5.3
05/26/00 16:09:29,5.3
05/26/00 16:33:29,5.3
05/26/00 16:57:29,5.3
05/26/00 17:21:29,5.3
05/26/00 17:45:29,5.3
05/26/00 18:09:29,5.3
05/26/00 18:33:29,5.3
05/26/00 18:57:29,5.3
05/26/00 19:21:29,4.9
05/26/00 19:45:29,4.9
05/26/00 20:09:29,4.9
05/26/00 20:33:29,4.9
05/26/00 20:57:29,4.9
05/26/00 21:21:29,4.9
05/26/00 21:45:29,4.9
05/26/00 22:09:29,4.9
05/26/00 22:33:29,4.9
05/26/00 22:57:29,4.9
05/26/00 23:21:29,4.9
05/26/00 23:45:29,4.9
05/27/00 00:09:29,4.9
05/27/00 00:33:29,4.9
05/27/00 00:57:29,4.9
05/27/00 01:21:29,4.9
05/27/00 01:45:29,4.5
05/27/00 02:09:29,4.5
05/27/00 02:33:29,4.5
05/27/00 02:57:29,4.5
05/27/00 03:21:29,4.9
05/27/00 03:45:29,4.5
05/27/00 04:09:29,4.5
05/27/00 04:33:29,4.5
05/27/00 04:57:29,4.5
05/27/00 05:21:29,4.5
05/27/00 05:45:29,4.5
05/27/00 06:09:29,4.5
05/27/00 06:33:29,4.5
05/27/00 06:57:29,4.5
05/27/00 07:21:29,4.5
05/27/00 07:45:29,4.5
05/27/00 08:09:29,4.5
05/27/00 08:33:29,4.5
05/27/00 08:57:29,4.9
05/27/00 09:21:29,4.9
05/27/00 09:45:29,4.9
05/27/00 10:09:29,5.3
05/27/00 10:33:29,5.3
05/27/00 10:57:29,5.8
05/27/00 11:21:29,6.2
05/27/00 11:45:29,5.8
05/27/00 12:09:29,5.8
05/27/00 12:33:29,5.8
05/27/00 12:57:29,6.2
05/27/00 13:21:29,6.6
05/27/00 13:45:29,6.6
05/27/00 14:09:29,6.6
05/27/00 14:33:29,6.6
05/27/00 14:57:29,6.6
05/27/00 15:21:29,6.6
05/27/00 15:45:29,6.6
05/27/00 16:09:29,6.2
05/27/00 16:33:29,6.2
05/27/00 16:57:29,6.2
05/27/00 17:21:29,6.2
05/27/00 17:45:29,6.2
05/27/00 18:09:29,6.2
05/27/00 18:33:29,6.2
05/27/00 18:57:29,6.2
05/27/00 19:21:29,5.8
05/27/00 19:45:29,5.8
05/27/00 20:09:29,5.8
05/27/00 20:33:29,5.8
05/27/00 20:57:29,5.8
05/27/00 21:21:29,5.8
05/27/00 21:45:29,5.8
05/27/00 22:09:29,5.3
05/27/00 22:33:29,5.3
05/27/00 22:57:29,5.3
05/27/00 23:21:29,5.3
05/27/00 23:45:29,5.3
05/28/00 00:09:29,5.3
05/28/00 00:33:29,5.3
05/28/00 00:57:29,5.3
05/28/00 01:21:29,5.3
05/28/00 01:45:29,5.3
05/28/00 02:09:29,5.3
05/28/00 02:33:29,5.3
05/28/00 02:57:29,5.3
05/28/00 03:21:29,5.3
05/28/00 03:45:29,5.3
05/28/00 04:09:29,4.9
05/28/00 04:33:29,4.9
05/28/00 04:57:29,4.9
05/28/00 05:21:29,4.9
05/28/00 05:45:29,4.9
05/28/00 06:09:29,4.9
05/28/00 06:33:29,4.9
05/28/00 06:57:29,4.9
05/28/00 07:21:29,4.9
05/28/00 07:45:29,4.9
05/28/00 08:09:29,4.9
05/28/00 08:33:29,5.3
05/28/00 08:57:29,5.3
05/28/00 09:21:29,5.3
05/28/00 09:45:29,5.3
05/28/00 10:09:29,5.8
05/28/00 10:33:29,6.2
05/28/00 10:57:29,5.8
05/28/00 11:21:29,5.8
05/28/00 11:45:29,5.8
05/28/00 12:09:29,6.2
05/28/00 12:33:29,6.2
05/28/00 12:57:29,6.2
05/28/00 13:21:29,6.2
05/28/00 13:45:29,6.2
05/28/00 14:09:29,6.6
05/28/00 14:33:29,6.6
05/28/00 14:57:29,6.6
05/28/00 15:21:29,7
05/28/00 15:45:29,7
05/28/00 16:09:29,6.6
05/28/00 16:33:29,6.6
05/28/00 16:57:29,7
05/28/00 17:21:29,7
05/28/00 17:45:29,6.6
05/28/00 18:09:29,6.6
05/28/00 18:33:29,6.6
05/28/00 18:57:29,6.6
05/28/00 19:21:29,6.6
05/28/00 19:45:29,6.6
05/28/00 20:09:29,6.6
05/28/00 20:33:29,6.6
05/28/00 20:57:29,6.6
05/28/00 21:21:29,6.2
05/28/00 21:45:29,6.2
05/28/00 22:09:29,6.2
05/28/00 22:33:29,6.2
05/28/00 22:57:29,6.2
05/28/00 23:21:29,6.2
05/28/00 23:45:29,5.8
05/29/00 00:09:29,5.8
05/29/00 00:33:29,5.8
05/29/00 00:57:29,5.8
05/29/00 01:21:29,5.8
05/29/00 01:45:29,5.8
05/29/00 02:09:29,5.8
05/29/00 02:33:29,5.8
05/29/00 02:57:29,5.8
05/29/00 03:21:29,5.8
05/29/00 03:45:29,5.8
05/29/00 04:09:29,5.8
05/29/00 04:33:29,5.8
05/29/00 04:57:29,5.8
05/29/00 05:21:29,5.8
05/29/00 05:45:29,5.8
05/29/00 06:09:29,5.8
05/29/00 06:33:29,5.8
05/29/00 06:57:29,5.8
05/29/00 07:21:29,5.8
05/29/00 07:45:29,5.8
05/29/00 08:09:29,5.8
05/29/00 08:33:29,6.2
05/29/00 08:57:29,6.2
05/29/00 09:21:29,6.2
05/29/00 09:45:29,6.2
05/29/00 10:09:29,6.6
05/29/00 10:33:29,6.6
05/29/00 10:57:29,6.6
05/29/00 11:21:29,7
05/29/00 11:45:29,7
05/29/00 12:09:29,7
05/29/00 12:33:29,7
05/29/00 12:57:29,7.4
05/29/00 13:21:29,7.4
05/29/00 13:45:29,7.4
05/29/00 14:09:29,7.4
05/29/00 14:33:29,7.4
05/29/00 14:57:29,7.4
05/29/00 15:21:29,7.4
05/29/00 15:45:29,7.8
05/29/00 16:09:29,7.8
05/29/00 16:33:29,7.8
05/29/00 16:57:29,7.8
05/29/00 17:21:29,7.8
05/29/00 17:45:29,7.8
05/29/00 18:09:29,7.4
05/29/00 18:33:29,7.4
05/29/00 18:57:29,7
05/29/00 19:21:29,7
05/29/00 19:45:29,7
05/29/00 20:09:29,7
05/29/00 20:33:29,7
05/29/00 20:57:29,6.6
05/29/00 21:21:29,6.6
05/29/00 21:45:29,6.6
05/29/00 22:09:29,6.6
05/29/00 22:33:29,6.6
05/29/00 22:57:29,6.6
05/29/00 23:21:29,6.6
05/29/00 23:45:29,6.6
05/30/00 00:09:29,6.6
05/30/00 00:33:29,6.2
05/30/00 00:57:29,6.2
05/30/00 01:21:29,6.2
05/30/00 01:45:29,6.2
05/30/00 02:09:29,6.2
05/30/00 02:33:29,6.2
05/30/00 02:57:29,6.2
05/30/00 03:21:29,6.2
05/30/00 03:45:29,6.2
05/30/00 04:09:29,6.2
05/30/00 04:33:29,6.2
05/30/00 04:57:29,6.2
05/30/00 05:21:29,6.2
05/30/00 05:45:29,6.2
05/30/00 06:09:29,6.2
05/30/00 06:33:29,6.2
05/30/00 06:57:29,6.2
05/30/00 07:21:29,6.2
05/30/00 07:45:29,6.2
05/30/00 08:09:29,6.2
05/30/00 08:33:29,6.2
05/30/00 08:57:29,6.2
05/30/00 09:21:29,6.2
05/30/00 09:45:29,6.6
05/30/00 10:09:29,6.6
05/30/00 10:33:29,6.6
05/30/00 10:57:29,6.6
05/30/00 11:21:29,6.6
05/30/00 11:45:29,6.6
05/30/00 12:09:29,7
05/30/00 12:33:29,7
05/30/00 12:57:29,7
05/30/00 13:21:29,7.4
05/30/00 13:45:29,7.4
05/30/00 14:09:29,7
05/30/00 14:33:29,7
05/30/00 14:57:29,7
05/30/00 15:21:29,7
05/30/00 15:45:29,7
05/30/00 16:09:29,7
05/30/00 16:33:29,7
05/30/00 16:57:29,7
05/30/00 17:21:29,7
05/30/00 17:45:29,7
05/30/00 18:09:29,6.6
05/30/00 18:33:29,6.6
05/30/00 18:57:29,6.6
05/30/00 19:21:29,6.6
05/30/00 19:45:29,6.6
05/30/00 20:09:29,6.6
05/30/00 20:33:29,6.6
05/30/00 20:57:29,6.6
05/30/00 21:21:29,6.6
05/30/00 21:45:29,6.6
05/30/00 22:09:29,6.2
05/30/00 22:33:29,6.2
05/30/00 22:57:29,6.2
05/30/00 23:21:29,6.2
05/30/00 23:45:29,6.2
05/31/00 00:09:29,6.2
05/31/00 00:33:29,6.2
05/31/00 00:57:29,6.2
05/31/00 01:21:29,6.2
05/31/00 01:45:29,6.2
05/31/00 02:09:29,6.2
05/31/00 02:33:29,6.2
05/31/00 02:57:29,6.2
05/31/00 03:21:29,6.2
05/31/00 03:45:29,6.2
05/31/00 04:09:29,6.2
05/31/00 04:33:29,5.8
05/31/00 04:57:29,6.2
05/31/00 05:21:29,5.8
05/31/00 05:45:29,5.8
05/31/00 06:09:29,5.8
05/31/00 06:33:29,5.8
05/31/00 06:57:29,5.8
05/31/00 07:21:29,5.8
05/31/00 07:45:29,6.2
05/31/00 08:09:29,6.2
05/31/00 08:33:29,6.2
05/31/00 08:57:29,6.2
05/31/00 09:21:29,6.2
05/31/00 09:45:29,6.2
05/31/00 10:09:29,6.6
05/31/00 10:33:29,6.6
05/31/00 10:57:29,6.6
05/31/00 11:21:29,6.6
05/31/00 11:45:29,6.6
05/31/00 12:09:29,7
05/31/00 12:33:29,7
05/31/00 12:57:29,7
05/31/00 13:21:29,7
05/31/00 13:45:29,7
05/31/00 14:09:29,7
05/31/00 14:33:29,7
05/31/00 14:57:29,7
05/31/00 15:21:29,7.4
05/31/00 15:45:29,7.4
05/31/00 16:09:29,7.4
05/31/00 16:33:29,7.4
05/31/00 16:57:29,7.4
05/31/00 17:21:29,7.4
05/31/00 17:45:29,7.4
05/31/00 18:09:29,7.4
05/31/00 18:33:29,7.4
05/31/00 18:57:29,7.4
05/31/00 19:21:29,7
05/31/00 19:45:29,7
05/31/00 20:09:29,7
05/31/00 20:33:29,7
05/31/00 20:57:29,6.6
05/31/00 21:21:29,6.6
05/31/00 21:45:29,6.6
05/31/00 22:09:29,6.6
05/31/00 22:33:29,6.6
05/31/00 22:57:29,6.6
05/31/00 23:21:29,6.6
05/31/00 23:45:29,6.2
06/01/00 00:09:29,6.2
06/01/00 00:33:29,6.2
06/01/00 00:57:29,6.2
06/01/00 01:21:29,6.2
06/01/00 01:45:29,6.2
06/01/00 02:09:29,6.2
06/01/00 02:33:29,6.2
06/01/00 02:57:29,5.8
06/01/00 03:21:29,5.8
06/01/00 03:45:29,6.2
06/01/00 04:09:29,6.2
06/01/00 04:33:29,6.2
06/01/00 04:57:29,6.2
06/01/00 05:21:29,6.2
06/01/00 05:45:29,6.2
06/01/00 06:09:29,6.2
06/01/00 06:33:29,6.2
06/01/00 06:57:29,6.2
06/01/00 07:21:29,6.2
06/01/00 07:45:29,6.2
06/01/00 08:09:29,6.6
06/01/00 08:33:29,6.6
06/01/00 08:57:29,7
06/01/00 09:21:29,7.4
06/01/00 09:45:29,7.4
06/01/00 10:09:29,7.8
06/01/00 10:33:29,8.2
06/01/00 10:57:29,8.2
06/01/00 11:21:29,8.2
06/01/00 11:45:29,8.2
06/01/00 12:09:29,8.6
06/01/00 12:33:29,8.6
06/01/00 12:57:29,8.2
06/01/00 13:21:29,8.2
06/01/00 13:45:29,9
06/01/00 14:09:29,9
06/01/00 14:33:29,9
06/01/00 14:57:29,9
06/01/00 15:21:29,8.6
06/01/00 15:45:29,9
06/01/00 16:09:29,9
06/01/00 16:33:29,8.6
06/01/00 16:57:29,8.6
06/01/00 17:21:29,8.6
06/01/00 17:45:29,8.6
06/01/00 18:09:29,8.2
06/01/00 18:33:29,8.2
06/01/00 18:57:29,8.2
06/01/00 19:21:29,8.2
06/01/00 19:45:29,8.2
06/01/00 20:09:29,8.2
06/01/00 20:33:29,8.2
06/01/00 20:57:29,8.2
06/01/00 21:21:29,7.8
06/01/00 21:45:29,7.8
06/01/00 22:09:29,7.8
06/01/00 22:33:29,7.8
06/01/00 22:57:29,7.8
06/01/00 23:21:29,7.8
06/01/00 23:45:29,7.8
06/02/00 00:09:29,7.8
06/02/00 00:33:29,7.8
06/02/00 00:57:29,7.8
06/02/00 01:21:29,7.8
06/02/00 01:45:29,7.8
06/02/00 02:09:29,7.8
06/02/00 02:33:29,7.8
06/02/00 02:57:29,7.8
06/02/00 03:21:29,7.8
06/02/00 03:45:29,7.8
06/02/00 04:09:29,7.8
06/02/00 04:33:29,7.4
06/02/00 04:57:29,7.4
06/02/00 05:21:29,7.4
06/02/00 05:45:29,7.4
06/02/00 06:09:29,7.4
06/02/00 06:33:29,7.4
06/02/00 06:57:29,7.4
06/02/00 07:21:29,7.4
06/02/00 07:45:29,7.4
06/02/00 08:09:29,7.8
06/02/00 08:33:29,7.8
06/02/00 08:57:29,8.2
06/02/00 09:21:29,8.2
06/02/00 09:45:29,8.6
06/02/00 10:09:29,9
06/02/00 10:33:29,9
06/02/00 10:57:29,9.4
06/02/00 11:21:29,9.8
06/02/00 11:45:29,10.2
06/02/00 12:09:29,10.6
06/02/00 12:33:29,10.9
06/02/00 12:57:29,10.6
06/02/00 13:21:29,10.9
06/02/00 13:45:29,11.3
06/02/00 14:09:29,11.3
06/02/00 14:33:29,11.7
06/02/00 14:57:29,11.7
06/02/00 15:21:29,12.1
06/02/00 15:45:29,12.1
06/02/00 16:09:29,12.1
06/02/00 16:33:29,11.7
06/02/00 16:57:29,11.7
06/02/00 17:21:29,11.7
06/02/00 17:45:29,11.7
06/02/00 18:09:29,11.7
06/02/00 18:33:29,11.7
06/02/00 18:57:29,11.3
06/02/00 19:21:29,11.3
06/02/00 19:45:29,11.3
06/02/00 20:09:29,11.3
06/02/00 20:33:29,11.3
06/02/00 20:57:29,11.3
06/02/00 21:21:29,11.3
06/02/00 21:45:29,11.3
06/02/00 22:09:29,10.9
06/02/00 22:33:29,10.9
06/02/00 22:57:29,10.9
06/02/00 23:21:29,10.9
06/02/00 23:45:29,10.6
06/03/00 00:09:29,10.6
06/03/00 00:33:29,10.6
06/03/00 00:57:29,10.2
06/03/00 01:21:29,10.2
06/03/00 01:45:29,9.8
06/03/00 02:09:29,9.8
06/03/00 02:33:29,9.8
06/03/00 02:57:29,9.4
06/03/00 03:21:29,9.4
06/03/00 03:45:29,9.4
06/03/00 04:09:29,9.4
06/03/00 04:33:29,9.4
06/03/00 04:57:29,9.4
06/03/00 05:21:29,9
06/03/00 05:45:29,9
06/03/00 06:09:29,9
06/03/00 06:33:29,9
06/03/00 06:57:29,9
06/03/00 07:21:29,9
06/03/00 07:45:29,9.4
06/03/00 08:09:29,9.4
06/03/00 08:33:29,9.8
06/03/00 08:57:29,9.8
06/03/00 09:21:29,10.2
06/03/00 09:45:29,10.6
06/03/00 10:09:29,10.6
06/03/00 10:33:29,10.9
06/03/00 10:57:29,10.9
06/03/00 11:21:29,11.3
06/03/00 11:45:29,11.3
06/03/00 12:09:29,11.3
06/03/00 12:33:29,11.7
06/03/00 12:57:29,11.7
06/03/00 13:21:29,12.1
06/03/00 13:45:29,12.1
06/03/00 14:09:29,12.5
06/03/00 14:33:29,12.5
06/03/00 14:57:29,12.5
06/03/00 15:21:29,12.5
06/03/00 15:45:29,12.5
06/03/00 16:09:29,12.5
06/03/00 16:33:29,12.5
06/03/00 16:57:29,12.5
06/03/00 17:21:29,12.5
06/03/00 17:45:29,12.5
06/03/00 18:09:29,12.5
06/03/00 18:33:29,12.5
06/03/00 18:57:29,12.5
06/03/00 19:21:29,12.5
06/03/00 19:45:29,12.5
06/03/00 20:09:29,12.5
06/03/00 20:33:29,12.5
06/03/00 20:57:29,12.9
06/03/00 21:21:29,12.5
06/03/00 21:45:29,12.5
06/03/00 22:09:29,12.5
06/03/00 22:33:29,12.5
06/03/00 22:57:29,12.5
06/03/00 23:21:29,12.5
06/03/00 23:45:29,12.1
06/04/00 00:09:29,12.1
06/04/00 00:33:29,12.1
06/04/00 00:57:29,12.1
06/04/00 01:21:29,12.1
06/04/00 01:45:29,11.7
06/04/00 02:09:29,11.7
06/04/00 02:33:29,11.7
06/04/00 02:57:29,11.3
06/04/00 03:21:29,11.3
06/04/00 03:45:29,11.3
06/04/00 04:09:29,11.3
06/04/00 04:33:29,11.3
06/04/00 04:57:29,11.3
06/04/00 05:21:29,11.3
06/04/00 05:45:29,11.3
06/04/00 06:09:29,11.3
06/04/00 06:33:29,11.3
06/04/00 06:57:29,11.3
06/04/00 07:21:29,11.3
06/04/00 07:45:29,11.3
06/04/00 08:09:29,11.3
