Serial Number:      94720     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
05/20/01 11:33:23,17.4
05/20/01 11:57:23,19
05/20/01 12:21:23,20.2
05/20/01 12:45:23,20.2
05/20/01 13:09:23,20.5
05/20/01 13:33:23,20.5
05/20/01 13:57:23,20.5
05/20/01 14:21:23,20.5
05/20/01 14:45:23,20.9
05/20/01 15:09:23,21.3
05/20/01 15:33:23,27.9
05/20/01 15:57:23,30.3
05/20/01 16:21:23,15.2
05/20/01 16:45:23,13.7
05/20/01 17:09:23,13.7
05/20/01 17:33:23,13.7
05/20/01 17:57:23,14.4
05/20/01 18:21:23,14.1
05/20/01 18:45:23,13.3
05/20/01 19:09:23,10.9
05/20/01 19:33:23,10.6
05/20/01 19:57:23,9.8
05/20/01 20:21:23,9.4
05/20/01 20:45:23,9.4
05/20/01 21:09:23,8.6
05/20/01 21:33:23,7.8
05/20/01 21:57:23,7.4
05/20/01 22:21:23,7
05/20/01 22:45:23,7
05/20/01 23:09:23,6.6
05/20/01 23:33:23,6.6
05/20/01 23:57:23,6.2
05/21/01 00:21:23,6.2
05/21/01 00:45:23,6.2
05/21/01 01:09:23,6.2
05/21/01 01:33:23,6.2
05/21/01 01:57:23,5.8
05/21/01 02:21:23,5.8
05/21/01 02:45:23,6.2
05/21/01 03:09:23,6.2
05/21/01 03:33:23,5.8
05/21/01 03:57:23,6.2
05/21/01 04:21:23,6.6
05/21/01 04:45:23,4.9
05/21/01 05:09:23,3.7
05/21/01 05:33:23,3.7
05/21/01 05:57:23,5.3
05/21/01 06:21:23,5.3
05/21/01 06:45:23,5.8
05/21/01 07:09:23,7.4
05/21/01 07:33:23,9.4
05/21/01 07:57:23,10.9
05/21/01 08:21:23,12.5
05/21/01 08:45:23,12.5
05/21/01 09:09:23,12.9
05/21/01 09:33:23,14.1
05/21/01 09:57:23,14.8
05/21/01 10:21:23,15.9
05/21/01 10:45:23,18.2
05/21/01 11:09:23,19
05/21/01 11:33:23,19.8
05/21/01 11:57:23,20.2
05/21/01 12:21:23,20.5
05/21/01 12:45:23,20.9
05/21/01 13:09:23,21.3
05/21/01 13:33:23,21.7
05/21/01 13:57:23,22.4
05/21/01 14:21:23,22.4
05/21/01 14:45:23,22.8
05/21/01 15:09:23,22.8
05/21/01 15:33:23,23.2
05/21/01 15:57:23,23.6
05/21/01 16:21:23,23.2
05/21/01 16:45:23,22.4
05/21/01 17:09:23,22.4
05/21/01 17:33:23,22.1
05/21/01 17:57:23,22.1
05/21/01 18:21:23,22.1
05/21/01 18:45:23,21.3
05/21/01 19:09:23,19
05/21/01 19:33:23,17.8
05/21/01 19:57:23,15.9
05/21/01 20:21:23,14.4
