Serial Number:      94721     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
07/06/97 16:51:14,25.2
07/06/97 17:06:14,28.3
07/06/97 17:21:14,27.1
07/06/97 17:36:14,26.3
07/06/97 17:51:14,25.6
07/06/97 18:06:14,25.9
07/06/97 18:21:14,26.3
07/06/97 18:36:14,27.1
07/06/97 18:51:14,27.5
07/06/97 19:06:14,26.7
07/06/97 19:21:14,25.2
07/06/97 19:36:14,23.6
07/06/97 19:51:14,22.8
07/06/97 20:06:14,22.1
07/06/97 20:21:14,21.3
07/06/97 20:36:14,20.9
07/06/97 20:51:14,20.2
07/06/97 21:06:14,19.4
07/06/97 21:21:14,19
07/06/97 21:36:14,18.6
07/06/97 21:51:14,18.2
07/06/97 22:06:14,17.8
07/06/97 22:21:14,19
07/06/97 22:36:14,19.8
07/06/97 22:51:14,20.2
07/06/97 23:06:14,20.5
07/06/97 23:21:14,20.9
07/06/97 23:36:14,20.9
07/06/97 23:51:14,21.3
07/07/97 00:06:14,21.7
07/07/97 00:21:14,22.1
07/07/97 00:36:14,22.1
07/07/97 00:51:14,22.1
07/07/97 01:06:14,22.1
07/07/97 01:21:14,22.1
07/07/97 01:36:14,21.7
07/07/97 01:51:14,21.7
07/07/97 02:06:14,21.3
07/07/97 02:21:14,20.9
07/07/97 02:36:14,20.9
07/07/97 02:51:14,20.5
07/07/97 03:06:14,20.5
07/07/97 03:21:14,20.2
07/07/97 03:36:14,19.8
07/07/97 03:51:14,19.8
07/07/97 04:06:14,19.4
07/07/97 04:21:14,19.4
07/07/97 04:36:14,19
07/07/97 04:51:14,19
07/07/97 05:06:14,18.6
07/07/97 05:21:14,18.6
07/07/97 05:36:14,18.2
07/07/97 05:51:14,18.2
07/07/97 06:06:14,18.6
07/07/97 06:21:14,18.6
07/07/97 06:36:14,18.6
07/07/97 06:51:14,19
07/07/97 07:06:14,19
07/07/97 07:21:14,19
07/07/97 07:36:14,19
07/07/97 07:51:14,18.6
07/07/97 08:06:14,18.2
07/07/97 08:21:14,18.2
07/07/97 08:36:14,18.2
07/07/97 08:51:14,17.8
07/07/97 09:06:14,18.6
07/07/97 09:21:14,20.2
07/07/97 09:36:14,21.3
07/07/97 09:51:14,22.8
07/07/97 10:06:14,23.2
07/07/97 10:21:14,23.6
07/07/97 10:36:14,23.2
07/07/97 10:51:14,22.8
07/07/97 11:06:14,20.9
07/07/97 11:21:14,20.2
07/07/97 11:36:14,19.8
07/07/97 11:51:14,19.8
07/07/97 12:06:14,19.8
07/07/97 12:21:14,20.5
07/07/97 12:36:14,21.3
07/07/97 12:51:14,21.7
07/07/97 13:06:14,35.7
07/07/97 13:21:14,36.6
07/07/97 13:36:14,29.8
07/07/97 13:51:14,27.5
07/07/97 14:06:14,26.3
07/07/97 14:21:14,25.6
07/07/97 14:36:14,24.8
07/07/97 14:51:14,25.6
07/07/97 15:06:14,25.6
07/07/97 15:21:14,25.9
07/07/97 15:36:14,24.4
07/07/97 15:51:14,22.8
07/07/97 16:06:14,22.4
07/07/97 16:21:14,22.8
07/07/97 16:36:14,20.5
07/07/97 16:51:14,17.4
07/07/97 17:06:14,15.9
07/07/97 17:21:14,15.6
07/07/97 17:36:14,18.6
07/07/97 17:51:14,14.4
07/07/97 18:06:14,14.8
07/07/97 18:21:14,12.9
07/07/97 18:36:14,13.3
07/07/97 18:51:14,12.5
07/07/97 19:06:14,11.3
07/07/97 19:21:14,10.9
07/07/97 19:36:14,11.7
07/07/97 19:51:14,10.6
07/07/97 20:06:14,10.2
07/07/97 20:21:14,10.2
07/07/97 20:36:14,10.2
07/07/97 20:51:14,10.2
07/07/97 21:06:14,10.2
07/07/97 21:21:14,9.8
07/07/97 21:36:14,9.8
07/07/97 21:51:14,9.4
07/07/97 22:06:14,9.4
07/07/97 22:21:14,9
07/07/97 22:36:14,9
07/07/97 22:51:14,9
07/07/97 23:06:14,9
07/07/97 23:21:14,9
07/07/97 23:36:14,9
07/07/97 23:51:14,8.6
07/08/97 00:06:14,8.6
07/08/97 00:21:14,8.6
07/08/97 00:36:14,8.6
07/08/97 00:51:14,8.6
07/08/97 01:06:14,8.6
07/08/97 01:21:14,8.6
07/08/97 01:36:14,8.6
07/08/97 01:51:14,8.6
07/08/97 02:06:14,9
07/08/97 02:21:14,9
07/08/97 02:36:14,9
07/08/97 02:51:14,9
07/08/97 03:06:14,9
07/08/97 03:21:14,9
07/08/97 03:36:14,9
07/08/97 03:51:14,9
07/08/97 04:06:14,9
07/08/97 04:21:14,9
07/08/97 04:36:14,9
07/08/97 04:51:14,9
07/08/97 05:06:14,9
07/08/97 05:21:14,9
07/08/97 05:36:14,9
07/08/97 05:51:14,8.6
07/08/97 06:06:14,8.6
07/08/97 06:21:14,8.2
07/08/97 06:36:14,8.6
07/08/97 06:51:14,8.6
07/08/97 07:06:14,8.6
07/08/97 07:21:14,8.6
07/08/97 07:36:14,8.6
07/08/97 07:51:14,8.6
07/08/97 08:06:14,9
07/08/97 08:21:14,9
07/08/97 08:36:14,8.2
07/08/97 08:51:14,8.2
07/08/97 09:06:14,8.2
07/08/97 09:21:14,8.6
07/08/97 09:36:14,9
07/08/97 09:51:14,8.6
07/08/97 10:06:14,8.6
07/08/97 10:21:14,8.6
07/08/97 10:36:14,9
07/08/97 10:51:14,9.4
07/08/97 11:06:14,9
07/08/97 11:21:14,9
07/08/97 11:36:14,9
07/08/97 11:51:14,8.6
07/08/97 12:06:14,9
07/08/97 12:21:14,9
07/08/97 12:36:14,9.4
07/08/97 12:51:14,9.8
07/08/97 13:06:14,9
07/08/97 13:21:14,9.4
07/08/97 13:36:14,9
07/08/97 13:51:14,9
07/08/97 14:06:14,9
07/08/97 14:21:14,9
07/08/97 14:36:14,9.4
07/08/97 14:51:14,9.4
07/08/97 15:06:14,9.4
07/08/97 15:21:14,9.4
07/08/97 15:36:14,9
07/08/97 15:51:14,9
07/08/97 16:06:14,9
07/08/97 16:21:14,9
07/08/97 16:36:14,9
07/08/97 16:51:14,9
07/08/97 17:06:14,9
07/08/97 17:21:14,9
07/08/97 17:36:14,8.6
07/08/97 17:51:14,8.6
07/08/97 18:06:14,8.6
07/08/97 18:21:14,8.6
07/08/97 18:36:14,8.6
07/08/97 18:51:14,8.6
07/08/97 19:06:14,8.6
07/08/97 19:21:14,8.6
07/08/97 19:36:14,8.6
07/08/97 19:51:14,8.6
07/08/97 20:06:14,8.6
07/08/97 20:21:14,8.6
07/08/97 20:36:14,8.6
07/08/97 20:51:14,8.6
07/08/97 21:06:14,8.6
07/08/97 21:21:14,8.6
07/08/97 21:36:14,8.6
07/08/97 21:51:14,8.6
07/08/97 22:06:14,8.6
07/08/97 22:21:14,8.6
07/08/97 22:36:14,8.2
07/08/97 22:51:14,8.2
07/08/97 23:06:14,8.2
07/08/97 23:21:14,8.6
07/08/97 23:36:14,8.2
07/08/97 23:51:14,8.2
07/09/97 00:06:14,8.2
07/09/97 00:21:14,8.2
07/09/97 00:36:14,7.8
07/09/97 00:51:14,7.8
07/09/97 01:06:14,7.8
07/09/97 01:21:14,7.8
07/09/97 01:36:14,7.8
07/09/97 01:51:14,7.8
07/09/97 02:06:14,7.8
07/09/97 02:21:14,7.8
07/09/97 02:36:14,7.8
07/09/97 02:51:14,8.2
07/09/97 03:06:14,8.2
07/09/97 03:21:14,8.2
07/09/97 03:36:14,8.2
07/09/97 03:51:14,8.2
07/09/97 04:06:14,8.2
07/09/97 04:21:14,7.8
07/09/97 04:36:14,7.8
07/09/97 04:51:14,7.8
07/09/97 05:06:14,7.8
07/09/97 05:21:14,7.8
07/09/97 05:36:14,7.8
07/09/97 05:51:14,7.8
07/09/97 06:06:14,7.8
07/09/97 06:21:14,8.2
07/09/97 06:36:14,8.2
07/09/97 06:51:14,8.2
07/09/97 07:06:14,7.8
07/09/97 07:21:14,7.8
07/09/97 07:36:14,7.8
07/09/97 07:51:14,8.6
07/09/97 08:06:14,9
07/09/97 08:21:14,9.4
07/09/97 08:36:14,9
07/09/97 08:51:14,9.8
07/09/97 09:06:14,9.4
07/09/97 09:21:14,9
07/09/97 09:36:14,9
07/09/97 09:51:14,9.8
07/09/97 10:06:14,9.8
07/09/97 10:21:14,9.8
07/09/97 10:36:14,10.2
07/09/97 10:51:14,9.8
07/09/97 11:06:14,9.8
07/09/97 11:21:14,10.6
07/09/97 11:36:14,10.9
07/09/97 11:51:14,11.7
07/09/97 12:06:14,10.2
07/09/97 12:21:14,10.6
07/09/97 12:36:14,9.8
07/09/97 12:51:14,9.8
07/09/97 13:06:14,9.8
07/09/97 13:21:14,9.4
07/09/97 13:36:14,9.4
07/09/97 13:51:14,9
07/09/97 14:06:14,10.2
07/09/97 14:21:14,10.9
07/09/97 14:36:14,9.8
07/09/97 14:51:14,10.2
07/09/97 15:06:14,9.8
07/09/97 15:21:14,9.4
07/09/97 15:36:14,9
07/09/97 15:51:14,9.4
07/09/97 16:06:14,9.4
07/09/97 16:21:14,8.6
07/09/97 16:36:14,8.6
07/09/97 16:51:14,9
07/09/97 17:06:14,8.6
07/09/97 17:21:14,8.6
07/09/97 17:36:14,8.6
07/09/97 17:51:14,8.6
07/09/97 18:06:14,8.2
07/09/97 18:21:14,8.2
07/09/97 18:36:14,8.6
07/09/97 18:51:14,8.6
07/09/97 19:06:14,8.2
07/09/97 19:21:14,8.2
07/09/97 19:36:14,8.2
07/09/97 19:51:14,8.2
07/09/97 20:06:14,7.8
07/09/97 20:21:14,7.8
07/09/97 20:36:14,7.8
07/09/97 20:51:14,7.8
07/09/97 21:06:14,7.8
07/09/97 21:21:14,7.8
07/09/97 21:36:14,7.8
07/09/97 21:51:14,7.8
07/09/97 22:06:14,7.8
07/09/97 22:21:14,7.8
07/09/97 22:36:14,7.8
07/09/97 22:51:14,7.8
07/09/97 23:06:14,7.4
07/09/97 23:21:14,7.4
07/09/97 23:36:14,7.4
07/09/97 23:51:14,7.4
07/10/97 00:06:14,7.4
07/10/97 00:21:14,7.4
07/10/97 00:36:14,7.4
07/10/97 00:51:14,7.4
07/10/97 01:06:14,7.4
07/10/97 01:21:14,7.4
07/10/97 01:36:14,7.4
07/10/97 01:51:14,7.4
07/10/97 02:06:14,7.4
07/10/97 02:21:14,7.4
07/10/97 02:36:14,7.4
07/10/97 02:51:14,7.4
07/10/97 03:06:14,7.4
07/10/97 03:21:14,7.4
07/10/97 03:36:14,7.4
07/10/97 03:51:14,7.4
07/10/97 04:06:14,7.4
07/10/97 04:21:14,7.4
07/10/97 04:36:14,7.4
