Serial Number:      94738     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
08/17/00 14:26:01,23.2
08/17/00 15:38:01,22.1
08/17/00 16:50:01,22.1
08/17/00 18:02:01,22.1
08/17/00 19:14:01,21.7
08/17/00 20:26:01,21.3
08/17/00 21:38:01,20.9
08/17/00 22:50:01,20.5
08/18/00 00:02:01,20.2
08/18/00 01:14:01,19.8
08/18/00 02:26:01,19.4
08/18/00 03:38:01,19
08/18/00 04:50:01,19
08/18/00 06:02:01,18.6
08/18/00 07:14:01,18.2
08/18/00 08:26:01,18.2
08/18/00 09:38:01,17.8
08/18/00 10:50:01,18.2
08/18/00 12:02:01,18.6
08/18/00 13:14:01,18.6
08/18/00 14:26:01,19
08/18/00 15:38:01,19.4
08/18/00 16:50:01,19.4
08/18/00 18:02:01,19.4
08/18/00 19:14:01,19.8
08/18/00 20:26:01,19.8
08/18/00 21:38:01,19.8
08/18/00 22:50:01,19.8
08/19/00 00:02:01,19.4
08/19/00 01:14:01,19.4
08/19/00 02:26:01,19
08/19/00 03:38:01,19
08/19/00 04:50:01,18.6
08/19/00 06:02:01,18.6
08/19/00 07:14:01,18.6
08/19/00 08:26:01,18.2
08/19/00 09:38:01,18.2
08/19/00 10:50:01,18.2
08/19/00 12:02:01,18.6
08/19/00 13:14:01,19.4
08/19/00 14:26:01,20.2
08/19/00 15:38:01,20.9
08/19/00 16:50:01,20.9
08/19/00 18:02:01,20.9
08/19/00 19:14:01,20.9
08/19/00 20:26:01,20.9
08/19/00 21:38:01,20.9
08/19/00 22:50:01,20.5
08/20/00 00:02:01,20.5
08/20/00 01:14:01,20.2
08/20/00 02:26:01,19.8
08/20/00 03:38:01,19.4
08/20/00 04:50:01,19
08/20/00 06:02:01,18.6
08/20/00 07:14:01,18.2
08/20/00 08:26:01,18.2
08/20/00 09:38:01,17.8
08/20/00 10:50:01,18.2
08/20/00 12:02:01,18.2
08/20/00 13:14:01,18.6
08/20/00 14:26:01,19
08/20/00 15:38:01,19.8
08/20/00 16:50:01,20.2
08/20/00 18:02:01,20.5
08/20/00 19:14:01,20.9
08/20/00 20:26:01,20.9
08/20/00 21:38:01,21.3
08/20/00 22:50:01,20.9
08/21/00 00:02:01,20.9
08/21/00 01:14:01,20.5
08/21/00 02:26:01,20.5
08/21/00 03:38:01,20.2
08/21/00 04:50:01,19.8
08/21/00 06:02:01,19.4
08/21/00 07:14:01,19
08/21/00 08:26:01,19
08/21/00 09:38:01,19.4
08/21/00 10:50:01,19.8
08/21/00 12:02:01,20.9
08/21/00 13:14:01,21.7
08/21/00 14:26:01,22.8
08/21/00 15:38:01,23.2
08/21/00 16:50:01,23.6
08/21/00 18:02:01,26.3
08/21/00 19:14:01,25.2
08/21/00 20:26:01,23.2
08/21/00 21:38:01,20.9
08/21/00 22:50:01,19
08/22/00 00:02:01,16.7
08/22/00 01:14:01,14.8
08/22/00 02:26:01,13.7
08/22/00 03:38:01,12.5
08/22/00 04:50:01,11.3
08/22/00 06:02:01,10.6
08/22/00 07:14:01,9.8
08/22/00 08:26:01,10.2
08/22/00 09:38:01,15.9
08/22/00 10:50:01,15.6
08/22/00 12:02:01,19
