Serial Number:      94740     --     Series: Temperature   (*C)
Date Time,Temperature   (*C)
08/17/00 14:27:21,22.8
08/17/00 15:39:21,21.7
08/17/00 16:51:21,21.7
08/17/00 18:03:21,21.7
08/17/00 19:15:21,21.7
08/17/00 20:27:21,21.3
08/17/00 21:39:21,20.9
08/17/00 22:51:21,20.2
08/18/00 00:03:21,19.8
08/18/00 01:15:21,19.4
08/18/00 02:27:21,19.4
08/18/00 03:39:21,19
08/18/00 04:51:21,18.6
08/18/00 06:03:21,18.6
08/18/00 07:15:21,18.2
08/18/00 08:27:21,17.8
08/18/00 09:39:21,17.8
08/18/00 10:51:21,17.8
08/18/00 12:03:21,18.2
08/18/00 13:15:21,18.6
08/18/00 14:27:21,19
08/18/00 15:39:21,19
08/18/00 16:51:21,19.4
08/18/00 18:03:21,19.4
08/18/00 19:15:21,19.8
08/18/00 20:27:21,19.8
08/18/00 21:39:21,19.8
08/18/00 22:51:21,19.4
08/19/00 00:03:21,19.4
08/19/00 01:15:21,19
08/19/00 02:27:21,19
08/19/00 03:39:21,18.6
08/19/00 04:51:21,18.6
08/19/00 06:03:21,18.6
08/19/00 07:15:21,18.2
08/19/00 08:27:21,18.2
08/19/00 09:39:21,18.2
08/19/00 10:51:21,18.2
08/19/00 12:03:21,18.6
08/19/00 13:15:21,19.4
08/19/00 14:27:21,20.2
08/19/00 15:39:21,20.5
08/19/00 16:51:21,20.5
08/19/00 18:03:21,20.9
08/19/00 19:15:21,20.9
08/19/00 20:27:21,20.9
08/19/00 21:39:21,20.5
08/19/00 22:51:21,20.5
08/20/00 00:03:21,20.2
08/20/00 01:15:21,20.2
08/20/00 02:27:21,19.8
08/20/00 03:39:21,19.4
08/20/00 04:51:21,19
08/20/00 06:03:21,18.6
08/20/00 07:15:21,18.2
08/20/00 08:27:21,17.8
08/20/00 09:39:21,17.8
08/20/00 10:51:21,17.8
08/20/00 12:03:21,18.2
08/20/00 13:15:21,18.6
08/20/00 14:27:21,19
08/20/00 15:39:21,19.4
08/20/00 16:51:21,20.2
08/20/00 18:03:21,20.5
08/20/00 19:15:21,20.9
08/20/00 20:27:21,20.9
08/20/00 21:39:21,20.9
08/20/00 22:51:21,20.9
08/21/00 00:03:21,20.9
08/21/00 01:15:21,20.5
08/21/00 02:27:21,20.2
08/21/00 03:39:21,20.2
08/21/00 04:51:21,19.8
08/21/00 06:03:21,19.4
08/21/00 07:15:21,19
08/21/00 08:27:21,19
08/21/00 09:39:21,19
08/21/00 10:51:21,19.8
08/21/00 12:03:21,20.5
08/21/00 13:15:21,21.7
08/21/00 14:27:21,22.4
08/21/00 15:39:21,22.8
08/21/00 16:51:21,22.8
08/21/00 18:03:21,25.6
08/21/00 19:15:21,25.6
08/21/00 20:27:21,25.2
08/21/00 21:39:21,23.6
08/21/00 22:51:21,21.3
08/22/00 00:03:21,19.4
08/22/00 01:15:21,17.4
08/22/00 02:27:21,15.6
08/22/00 03:39:21,14.4
08/22/00 04:51:21,13.3
08/22/00 06:03:21,12.1
08/22/00 07:15:21,11.3
