"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699058, SEN S/N: 20699058)","RH, % (LGR S/N: 20699058, SEN S/N: 20699058)","Coupler Detached (LGR S/N: 20699058)","Coupler Attached (LGR S/N: 20699058)","Host Connected (LGR S/N: 20699058)","Stopped (LGR S/N: 20699058)","End Of File (LGR S/N: 20699058)"
1,06/14/20 08:00:00,20.436,56.915,Logged,,,,
2,06/14/20 08:30:00,20.007,57.157,,,,,
3,06/14/20 09:00:00,19.793,57.369,,,,,
4,06/14/20 09:30:00,19.651,57.684,,,,,
5,06/14/20 10:00:00,19.579,57.978,,,,,
6,06/14/20 10:30:00,19.555,58.249,,,,,
7,06/14/20 11:00:00,19.555,58.432,,,,,
8,06/14/20 11:30:00,19.603,58.470,,,,,
9,06/14/20 12:00:00,19.651,58.508,,,,,
10,06/14/20 12:30:00,19.722,58.458,,,,,
11,06/14/20 13:00:00,19.817,58.564,,,,,
12,06/14/20 13:30:00,19.984,58.682,,,,,
13,06/14/20 14:00:00,20.126,58.704,,,,,
14,06/14/20 14:30:00,20.269,58.635,,,,,
15,06/14/20 15:00:00,20.412,58.535,,,,,
16,06/14/20 15:30:00,20.555,58.465,,,,,
17,06/14/20 16:00:00,20.722,58.307,,,,,
18,06/14/20 16:30:00,20.889,58.333,,,,,
19,06/14/20 17:00:00,21.032,58.508,,,,,
20,06/14/20 17:30:00,21.175,58.622,,,,,
21,06/14/20 18:00:00,21.318,58.644,,,,,
22,06/14/20 18:30:00,21.461,57.900,,,,,
23,06/14/20 19:00:00,21.557,57.145,,,,,
24,06/14/20 19:30:00,21.604,56.227,,,,,
25,06/14/20 20:00:00,21.676,55.557,,,,,
26,06/14/20 20:30:00,21.700,54.940,,,,,
27,06/14/20 21:00:00,21.724,54.913,,,,,
28,06/14/20 21:30:00,21.748,54.823,,,,,
29,06/14/20 22:00:00,21.795,54.674,,,,,
30,06/14/20 22:30:00,21.819,54.647,,,,,
31,06/14/20 23:00:00,21.843,54.743,,,,,
32,06/14/20 23:30:00,21.867,54.809,,,,,
33,06/15/20 00:00:00,21.867,54.871,,,,,
34,06/15/20 00:30:00,21.867,54.840,,,,,
