"Plot Title: CLRCRK_H"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685710, SEN S/N: 20685710, LBL: Temp)","Coupler Attached (LGR S/N: 20685710)","Host Connected (LGR S/N: 20685710)","Stopped (LGR S/N: 20685710)","End Of File (LGR S/N: 20685710)"
1,07/07/22 12:00:00,19.472,,,,
2,07/07/22 12:30:00,20.901,,,,
3,07/07/22 13:00:00,19.567,,,,
4,07/07/22 13:30:00,19.567,,,,
5,07/07/22 14:00:00,19.187,,,,
6,07/07/22 14:30:00,18.426,,,,
7,07/07/22 15:00:00,19.377,,,,
8,07/07/22 15:30:00,19.948,,,,
9,07/07/22 16:00:00,23.581,,,,
10,07/07/22 16:30:00,25.610,,,,
11,07/07/22 17:00:00,21.951,,,,
12,07/07/22 17:30:00,21.091,,,,
13,07/07/22 18:00:00,9.768,,,,
14,07/07/22 18:30:00,8.978,,,,
15,07/07/22 19:00:00,8.581,,,,
16,07/07/22 19:30:00,8.082,,,,
17,07/07/22 20:00:00,7.782,,,,
18,07/07/22 20:30:00,7.582,,,,
19,07/07/22 21:00:00,7.280,,,,
20,07/07/22 21:30:00,7.179,,,,
21,07/07/22 22:00:00,7.079,,,,
22,07/07/22 22:30:00,6.877,,,,
23,07/07/22 23:00:00,6.775,,,,
24,07/07/22 23:30:00,6.978,,,,
25,07/08/22 00:00:00,6.877,,,,
26,07/08/22 00:30:00,6.775,,,,
27,07/08/22 01:00:00,6.674,,,,
28,07/08/22 01:30:00,6.775,,,,
29,07/08/22 02:00:00,6.775,,,,
30,07/08/22 02:30:00,6.775,,,,
31,07/08/22 03:00:00,6.674,,,,
32,07/08/22 03:30:00,6.573,,,,
33,07/08/22 04:00:00,6.471,,,,
34,07/08/22 04:30:00,6.471,,,,
35,07/08/22 05:00:00,6.370,,,,
36,07/08/22 05:30:00,6.370,,,,
37,07/08/22 06:00:00,6.268,,,,
38,07/08/22 06:30:00,6.370,,,,
39,07/08/22 07:00:00,6.370,,,,
40,07/08/22 07:30:00,6.877,,,,
41,07/08/22 08:00:00,7.582,,,,
42,07/08/22 08:30:00,7.983,,,,
43,07/08/22 09:00:00,8.182,,,,
44,07/08/22 09:30:00,7.882,,,,
45,07/08/22 10:00:00,7.682,,,,
46,07/08/22 10:30:00,7.782,,,,
47,07/08/22 11:00:00,9.571,,,,
48,07/08/22 11:30:00,9.077,,,,
49,07/08/22 12:00:00,8.879,,,,
50,07/08/22 12:30:00,10.357,,,,
51,07/08/22 13:00:00,10.161,,,,
52,07/08/22 13:30:00,9.669,,,,
53,07/08/22 14:00:00,8.978,,,,
54,07/08/22 14:30:00,9.373,,,,
55,07/08/22 15:00:00,10.357,,,,
56,07/08/22 15:30:00,10.259,,,,
57,07/08/22 16:00:00,9.768,,,,
58,07/08/22 16:30:00,9.373,,,,
59,07/08/22 17:00:00,8.978,,,,
60,07/08/22 17:30:00,9.275,,,,
61,07/08/22 18:00:00,9.077,,,,
62,07/08/22 18:30:00,8.680,,,,
63,07/08/22 19:00:00,8.182,,,,
64,07/08/22 19:30:00,7.882,,,,
65,07/08/22 20:00:00,7.582,,,,
66,07/08/22 20:30:00,7.381,,,,
67,07/08/22 21:00:00,7.179,,,,
68,07/08/22 21:30:00,6.978,,,,
69,07/08/22 22:00:00,6.978,,,,
70,07/08/22 22:30:00,6.877,,,,
71,07/08/22 23:00:00,6.775,,,,
72,07/08/22 23:30:00,6.573,,,,
73,07/09/22 00:00:00,6.471,,,,
74,07/09/22 00:30:00,6.471,,,,
75,07/09/22 01:00:00,6.471,,,,
76,07/09/22 01:30:00,6.674,,,,
77,07/09/22 02:00:00,6.674,,,,
78,07/09/22 02:30:00,6.471,,,,
79,07/09/22 03:00:00,6.573,,,,
80,07/09/22 03:30:00,6.573,,,,
81,07/09/22 04:00:00,6.573,,,,
82,07/09/22 04:30:00,6.471,,,,
83,07/09/22 05:00:00,6.370,,,,
84,07/09/22 05:30:00,6.268,,,,
85,07/09/22 06:00:00,6.370,,,,
86,07/09/22 06:30:00,6.166,,,,
87,07/09/22 07:00:00,6.166,,,,
88,07/09/22 07:30:00,6.471,,,,
89,07/09/22 08:00:00,6.978,,,,
90,07/09/22 08:30:00,7.582,,,,
91,07/09/22 09:00:00,8.879,,,,
92,07/09/22 09:30:00,8.481,,,,
93,07/09/22 10:00:00,8.680,,,,
94,07/09/22 10:30:00,8.282,,,,
95,07/09/22 11:00:00,9.275,,,,
96,07/09/22 11:30:00,10.259,,,,
97,07/09/22 12:00:00,9.768,,,,
98,07/09/22 12:30:00,9.571,,,,
99,07/09/22 13:00:00,10.063,,,,
100,07/09/22 13:30:00,10.944,,,,
101,07/09/22 14:00:00,11.139,,,,
102,07/09/22 14:30:00,10.063,,,,
103,07/09/22 15:00:00,10.259,,,,
104,07/09/22 15:30:00,10.553,,,,
105,07/09/22 16:00:00,10.455,,,,
106,07/09/22 16:30:00,9.373,,,,
107,07/09/22 17:00:00,9.866,,,,
108,07/09/22 17:30:00,9.472,,,,
109,07/09/22 18:00:00,8.680,,,,
110,07/09/22 18:30:00,8.581,,,,
111,07/09/22 19:00:00,8.082,,,,
112,07/09/22 19:30:00,8.082,,,,
113,07/09/22 20:00:00,7.782,,,,
114,07/09/22 20:30:00,7.582,,,,
115,07/09/22 21:00:00,7.481,,,,
116,07/09/22 21:30:00,7.280,,,,
117,07/09/22 22:00:00,7.179,,,,
