"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10951902, SEN S/N: 10951902)","Coupler Attached (LGR S/N: 10951902)","Host Connected (LGR S/N: 10951902)","Stopped (LGR S/N: 10951902)","End Of File (LGR S/N: 10951902)"
1,03/10/20 18:00:00,19.472,,,,
2,03/10/20 19:00:00,19.187,,,,
3,03/10/20 20:00:00,18.045,,,,
4,03/10/20 21:00:00,19.092,,,,
5,03/10/20 22:00:00,19.472,,,,
6,03/10/20 23:00:00,19.662,,,,
7,03/11/20 00:00:00,19.662,,,,
8,03/11/20 01:00:00,19.567,,,,
9,03/11/20 02:00:00,19.472,,,,
10,03/11/20 03:00:00,19.187,,,,
11,03/11/20 04:00:00,18.901,,,,
12,03/11/20 05:00:00,18.616,,,,
13,03/11/20 06:00:00,18.331,,,,
14,03/11/20 07:00:00,18.140,,,,
15,03/11/20 08:00:00,16.332,,,,
16,03/11/20 09:00:00,17.855,,,,
17,03/11/20 10:00:00,18.616,,,,
18,03/11/20 11:00:00,19.092,,,,
19,03/11/20 12:00:00,19.377,,,,
20,03/11/20 13:00:00,19.567,,,,
21,03/11/20 14:00:00,19.662,,,,
22,03/11/20 15:00:00,19.662,,,,
23,03/11/20 16:00:00,19.472,,,,
24,03/11/20 17:00:00,19.187,,,,
25,03/11/20 18:00:00,19.092,,,,
26,03/11/20 19:00:00,18.901,,,,
27,03/11/20 20:00:00,18.711,,,,
28,03/11/20 21:00:00,18.426,,,,
29,03/11/20 22:00:00,18.140,,,,
30,03/11/20 23:00:00,17.760,,,,
31,03/12/20 00:00:00,17.379,,,,
32,03/12/20 01:00:00,16.999,,,,
33,03/12/20 02:00:00,16.618,,,,
34,03/12/20 03:00:00,16.237,,,,
35,03/12/20 04:00:00,15.760,,,,
36,03/12/20 05:00:00,15.378,,,,
37,03/12/20 06:00:00,14.996,,,,
38,03/12/20 07:00:00,14.613,,,,
39,03/12/20 08:00:00,14.900,,,,
40,03/12/20 09:00:00,16.046,,,,
41,03/12/20 10:00:00,17.475,,,,
42,03/12/20 11:00:00,18.426,,,,
43,03/12/20 12:00:00,18.901,,,,
44,03/12/20 13:00:00,19.472,,,,
45,03/12/20 14:00:00,19.758,,,,
46,03/12/20 15:00:00,19.853,,,,
47,03/12/20 16:00:00,19.662,,,,
48,03/12/20 17:00:00,19.567,,,,
49,03/12/20 18:00:00,19.377,,,,
50,03/12/20 19:00:00,19.187,,,,
51,03/12/20 20:00:00,18.901,,,,
52,03/12/20 21:00:00,18.616,,,,
53,03/12/20 22:00:00,18.331,,,,
54,03/12/20 23:00:00,17.950,,,,
55,03/13/20 00:00:00,17.570,,,,
56,03/13/20 01:00:00,17.189,,,,
57,03/13/20 02:00:00,16.808,,,,
58,03/13/20 03:00:00,16.427,,,,
59,03/13/20 04:00:00,16.046,,,,
60,03/13/20 05:00:00,15.664,,,,
61,03/13/20 06:00:00,15.282,,,,
62,03/13/20 07:00:00,14.996,,,,
63,03/13/20 08:00:00,15.091,,,,
64,03/13/20 09:00:00,16.046,,,,
65,03/13/20 10:00:00,17.284,,,,
66,03/13/20 11:00:00,18.140,,,,
67,03/13/20 12:00:00,18.711,,,,
68,03/13/20 13:00:00,18.996,,,,
69,03/13/20 14:00:00,19.282,,,,
70,03/13/20 15:00:00,19.472,,,,
71,03/13/20 16:00:00,19.472,,,,
72,03/13/20 17:00:00,19.567,,,,
73,03/13/20 18:00:00,19.567,,,,
74,03/13/20 19:00:00,19.472,,,,
75,03/13/20 20:00:00,19.092,,,,
76,03/13/20 21:00:00,18.711,,,,
77,03/13/20 22:00:00,18.236,,,,
78,03/13/20 23:00:00,17.760,,,,
79,03/14/20 00:00:00,17.379,,,,
80,03/14/20 01:00:00,16.903,,,,
81,03/14/20 02:00:00,16.523,,,,
82,03/14/20 03:00:00,16.237,,,,
83,03/14/20 04:00:00,15.855,,,,
84,03/14/20 05:00:00,15.569,,,,
85,03/14/20 06:00:00,15.282,,,,
86,03/14/20 07:00:00,14.996,,,,
87,03/14/20 08:00:00,14.709,,,,
88,03/14/20 09:00:00,14.421,,,,
89,03/14/20 10:00:00,14.613,,,,
90,03/14/20 11:00:00,14.613,,,,
91,03/14/20 12:00:00,14.421,,,,
92,03/14/20 13:00:00,14.230,,,,
93,03/14/20 14:00:00,13.942,,,,
94,03/14/20 15:00:00,13.846,,,,
95,03/14/20 16:00:00,13.750,,,,
96,03/14/20 17:00:00,13.558,,,,
97,03/14/20 18:00:00,13.461,,,,
98,03/14/20 19:00:00,13.269,,,,
99,03/14/20 20:00:00,12.980,,,,
100,03/14/20 21:00:00,12.690,,,,
101,03/14/20 22:00:00,12.497,,,,
102,03/14/20 23:00:00,12.207,,,,
103,03/15/20 00:00:00,12.013,,,,
104,03/15/20 01:00:00,11.819,,,,
105,03/15/20 02:00:00,11.625,,,,
106,03/15/20 03:00:00,11.431,,,,
107,03/15/20 04:00:00,11.236,,,,
108,03/15/20 05:00:00,11.041,,,,
109,03/15/20 06:00:00,10.846,,,,
110,03/15/20 07:00:00,11.625,,,,
111,03/15/20 08:00:00,12.980,,,,
112,03/15/20 09:00:00,13.942,,,,
113,03/15/20 10:00:00,14.517,,,,
114,03/15/20 11:00:00,14.996,,,,
115,03/15/20 12:00:00,15.282,,,,
116,03/15/20 13:00:00,15.473,,,,
117,03/15/20 14:00:00,15.664,,,,
118,03/15/20 15:00:00,15.760,,,,
119,03/15/20 16:00:00,15.760,,,,
120,03/15/20 17:00:00,15.760,,,,
121,03/15/20 18:00:00,15.664,,,,
122,03/15/20 19:00:00,15.569,,,,
