"Plot Title: CMPCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10951901, SEN S/N: 10951901, LBL: Temp)","Coupler Attached (LGR S/N: 10951901)","Host Connected (LGR S/N: 10951901)","Stopped (LGR S/N: 10951901)","End Of File (LGR S/N: 10951901)"
1,07/07/22 12:00:00,19.758,,,,
2,07/07/22 12:30:00,20.996,,,,
3,07/07/22 13:00:00,19.758,,,,
4,07/07/22 13:30:00,19.567,,,,
5,07/07/22 14:00:00,19.377,,,,
6,07/07/22 14:30:00,17.760,,,,
7,07/07/22 15:00:00,19.092,,,,
8,07/07/22 15:30:00,19.662,,,,
9,07/07/22 16:00:00,26.292,,,,
10,07/07/22 16:30:00,25.125,,,,
11,07/07/22 17:00:00,22.046,,,,
12,07/07/22 17:30:00,20.901,,,,
13,07/07/22 18:00:00,23.292,,,,
14,07/07/22 18:30:00,23.773,,,,
15,07/07/22 19:00:00,23.581,,,,
16,07/07/22 19:30:00,13.269,,,,
17,07/07/22 20:00:00,11.722,,,,
18,07/07/22 20:30:00,11.139,,,,
19,07/07/22 21:00:00,10.651,,,,
20,07/07/22 21:30:00,10.161,,,,
21,07/07/22 22:00:00,9.866,,,,
22,07/07/22 22:30:00,9.571,,,,
23,07/07/22 23:00:00,9.373,,,,
24,07/07/22 23:30:00,9.373,,,,
25,07/08/22 00:00:00,9.373,,,,
26,07/08/22 00:30:00,9.275,,,,
27,07/08/22 01:00:00,9.176,,,,
28,07/08/22 01:30:00,9.176,,,,
29,07/08/22 02:00:00,9.077,,,,
30,07/08/22 02:30:00,9.077,,,,
31,07/08/22 03:00:00,8.978,,,,
32,07/08/22 03:30:00,8.879,,,,
33,07/08/22 04:00:00,8.779,,,,
34,07/08/22 04:30:00,8.680,,,,
35,07/08/22 05:00:00,8.481,,,,
36,07/08/22 05:30:00,8.382,,,,
37,07/08/22 06:00:00,8.282,,,,
38,07/08/22 06:30:00,8.282,,,,
39,07/08/22 07:00:00,8.581,,,,
40,07/08/22 07:30:00,8.978,,,,
41,07/08/22 08:00:00,9.571,,,,
42,07/08/22 08:30:00,10.455,,,,
43,07/08/22 09:00:00,10.651,,,,
44,07/08/22 09:30:00,10.846,,,,
45,07/08/22 10:00:00,10.748,,,,
46,07/08/22 10:30:00,10.944,,,,
47,07/08/22 11:00:00,12.304,,,,
48,07/08/22 11:30:00,12.497,,,,
49,07/08/22 12:00:00,12.594,,,,
50,07/08/22 12:30:00,14.134,,,,
51,07/08/22 13:00:00,15.569,,,,
52,07/08/22 13:30:00,14.709,,,,
53,07/08/22 14:00:00,14.325,,,,
54,07/08/22 14:30:00,14.517,,,,
55,07/08/22 15:00:00,14.900,,,,
56,07/08/22 15:30:00,15.091,,,,
57,07/08/22 16:00:00,15.187,,,,
58,07/08/22 16:30:00,15.091,,,,
59,07/08/22 17:00:00,14.517,,,,
60,07/08/22 17:30:00,14.230,,,,
61,07/08/22 18:00:00,13.750,,,,
62,07/08/22 18:30:00,13.269,,,,
63,07/08/22 19:00:00,12.594,,,,
64,07/08/22 19:30:00,11.916,,,,
65,07/08/22 20:00:00,11.236,,,,
66,07/08/22 20:30:00,10.651,,,,
67,07/08/22 21:00:00,10.259,,,,
68,07/08/22 21:30:00,9.866,,,,
69,07/08/22 22:00:00,9.571,,,,
70,07/08/22 22:30:00,9.275,,,,
71,07/08/22 23:00:00,9.077,,,,
72,07/08/22 23:30:00,8.879,,,,
73,07/09/22 00:00:00,8.680,,,,
74,07/09/22 00:30:00,8.581,,,,
75,07/09/22 01:00:00,8.481,,,,
76,07/09/22 01:30:00,8.481,,,,
77,07/09/22 02:00:00,8.680,,,,
78,07/09/22 02:30:00,8.680,,,,
79,07/09/22 03:00:00,8.581,,,,
80,07/09/22 03:30:00,8.581,,,,
81,07/09/22 04:00:00,8.581,,,,
82,07/09/22 04:30:00,8.581,,,,
83,07/09/22 05:00:00,8.481,,,,
84,07/09/22 05:30:00,8.481,,,,
85,07/09/22 06:00:00,8.382,,,,
86,07/09/22 06:30:00,8.282,,,,
87,07/09/22 07:00:00,8.282,,,,
88,07/09/22 07:30:00,8.581,,,,
89,07/09/22 08:00:00,9.176,,,,
90,07/09/22 08:30:00,9.866,,,,
91,07/09/22 09:00:00,10.357,,,,
92,07/09/22 09:30:00,11.041,,,,
93,07/09/22 10:00:00,11.916,,,,
94,07/09/22 10:30:00,12.110,,,,
95,07/09/22 11:00:00,12.401,,,,
96,07/09/22 11:30:00,13.750,,,,
97,07/09/22 12:00:00,14.134,,,,
98,07/09/22 12:30:00,14.230,,,,
99,07/09/22 13:00:00,15.091,,,,
100,07/09/22 13:30:00,16.237,,,,
101,07/09/22 14:00:00,16.713,,,,
102,07/09/22 14:30:00,16.523,,,,
103,07/09/22 15:00:00,16.713,,,,
104,07/09/22 15:30:00,16.332,,,,
105,07/09/22 16:00:00,15.951,,,,
106,07/09/22 16:30:00,15.473,,,,
107,07/09/22 17:00:00,14.900,,,,
108,07/09/22 17:30:00,14.613,,,,
109,07/09/22 18:00:00,13.846,,,,
110,07/09/22 18:30:00,13.076,,,,
111,07/09/22 19:00:00,12.304,,,,
112,07/09/22 19:30:00,12.013,,,,
113,07/09/22 20:00:00,11.431,,,,
114,07/09/22 20:30:00,11.041,,,,
115,07/09/22 21:00:00,10.651,,,,
116,07/09/22 21:30:00,10.357,,,,
117,07/09/22 22:00:00,10.063,,,,
118,07/09/22 22:30:00,9.965,,,,
119,07/09/22 23:00:00,9.866,,,,
120,07/09/22 23:30:00,9.768,,,,
121,07/10/22 00:00:00,9.571,,,,
122,07/10/22 00:30:00,9.472,,,,
123,07/10/22 01:00:00,9.373,,,,
124,07/10/22 01:30:00,9.176,,,,
125,07/10/22 02:00:00,8.978,,,,
126,07/10/22 02:30:00,8.978,,,,
127,07/10/22 03:00:00,8.879,,,,
128,07/10/22 03:30:00,8.779,,,,
129,07/10/22 04:00:00,8.779,,,,
130,07/10/22 04:30:00,8.680,,,,
131,07/10/22 05:00:00,8.680,,,,
132,07/10/22 05:30:00,8.581,,,,
133,07/10/22 06:00:00,8.581,,,,
134,07/10/22 06:30:00,8.581,,,,
135,07/10/22 07:00:00,8.581,,,,
136,07/10/22 07:30:00,8.779,,,,
137,07/10/22 08:00:00,8.978,,,,
138,07/10/22 08:30:00,9.373,,,,
139,07/10/22 09:00:00,10.063,,,,
140,07/10/22 09:30:00,10.944,,,,
141,07/10/22 10:00:00,11.625,,,,
142,07/10/22 10:30:00,12.401,,,,
143,07/10/22 11:00:00,13.365,,,,
144,07/10/22 11:30:00,14.134,,,,
145,07/10/22 12:00:00,14.900,,,,
146,07/10/22 12:30:00,15.569,,,,
147,07/10/22 13:00:00,15.951,,,,
148,07/10/22 13:30:00,16.427,,,,
149,07/10/22 14:00:00,16.808,,,,
150,07/10/22 14:30:00,16.903,,,,
151,07/10/22 15:00:00,16.999,,,,
152,07/10/22 15:30:00,16.999,,,,
153,07/10/22 16:00:00,16.808,,,,
154,07/10/22 16:30:00,16.523,,,,
155,07/10/22 17:00:00,16.141,,,,
156,07/10/22 17:30:00,15.569,,,,
157,07/10/22 18:00:00,14.996,,,,
158,07/10/22 18:30:00,14.325,,,,
159,07/10/22 19:00:00,13.558,,,,
160,07/10/22 19:30:00,12.787,,,,
161,07/10/22 20:00:00,12.110,,,,
162,07/10/22 20:30:00,11.528,,,,
163,07/10/22 21:00:00,10.944,,,,
164,07/10/22 21:30:00,10.455,,,,
165,07/10/22 22:00:00,10.063,,,,
166,07/10/22 22:30:00,9.768,,,,
167,07/10/22 23:00:00,9.472,,,,
168,07/10/22 23:30:00,9.176,,,,
169,07/11/22 00:00:00,8.978,,,,
170,07/11/22 00:30:00,8.779,,,,
171,07/11/22 01:00:00,8.680,,,,
172,07/11/22 01:30:00,8.481,,,,
173,07/11/22 02:00:00,8.382,,,,
174,07/11/22 02:30:00,8.382,,,,
175,07/11/22 03:00:00,8.282,,,,
176,07/11/22 03:30:00,8.182,,,,
177,07/11/22 04:00:00,8.082,,,,
178,07/11/22 04:30:00,8.082,,,,
179,07/11/22 05:00:00,7.983,,,,
180,07/11/22 05:30:00,7.882,,,,
181,07/11/22 06:00:00,7.882,,,,
182,07/11/22 06:30:00,7.983,,,,
183,07/11/22 07:00:00,8.282,,,,
184,07/11/22 07:30:00,8.680,,,,
185,07/11/22 08:00:00,9.275,,,,
186,07/11/22 08:30:00,9.965,,,,
187,07/11/22 09:00:00,10.944,,,,
188,07/11/22 09:30:00,11.916,,,,
189,07/11/22 10:00:00,12.883,,,,
190,07/11/22 10:30:00,13.942,,,,
191,07/11/22 11:00:00,14.900,,,,
192,07/11/22 11:30:00,15.760,,,,
193,07/11/22 12:00:00,16.523,,,,
194,07/11/22 12:30:00,17.284,,,,
