"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685711, SEN S/N: 20685711)","Coupler Attached (LGR S/N: 20685711)","Host Connected (LGR S/N: 20685711)","Stopped (LGR S/N: 20685711)","End Of File (LGR S/N: 20685711)"
1,09/21/21 00:00:00,19.377,,,,
2,09/21/21 01:00:00,19.187,,,,
3,09/21/21 02:00:00,18.901,,,,
4,09/21/21 03:00:00,18.616,,,,
5,09/21/21 04:00:00,18.331,,,,
6,09/21/21 05:00:00,18.045,,,,
7,09/21/21 06:00:00,17.760,,,,
8,09/21/21 07:00:00,17.475,,,,
9,09/21/21 08:00:00,18.140,,,,
10,09/21/21 09:00:00,19.282,,,,
11,09/21/21 10:00:00,19.567,,,,
12,09/21/21 11:00:00,19.758,,,,
13,09/21/21 12:00:00,19.948,,,,
14,09/21/21 13:00:00,20.329,,,,
15,09/21/21 14:00:00,20.805,,,,
16,09/21/21 15:00:00,21.282,,,,
17,09/21/21 16:00:00,21.760,,,,
18,09/21/21 17:00:00,22.046,,,,
19,09/21/21 18:00:00,22.046,,,,
20,09/21/21 19:00:00,21.855,,,,
21,09/21/21 20:00:00,21.760,,,,
22,09/21/21 21:00:00,21.473,,,,
23,09/21/21 22:00:00,21.282,,,,
24,09/21/21 23:00:00,21.091,,,,
25,09/22/21 00:00:00,20.805,,,,
26,09/22/21 01:00:00,20.519,,,,
27,09/22/21 02:00:00,20.138,,,,
28,09/22/21 03:00:00,19.853,,,,
29,09/22/21 04:00:00,19.567,,,,
30,09/22/21 05:00:00,19.282,,,,
31,09/22/21 06:00:00,19.092,,,,
32,09/22/21 07:00:00,18.806,,,,
33,09/22/21 08:00:00,18.711,,,,
34,09/22/21 09:00:00,19.282,,,,
35,09/22/21 10:00:00,19.472,,,,
36,09/22/21 11:00:00,19.662,,,,
37,09/22/21 12:00:00,19.758,,,,
38,09/22/21 13:00:00,19.758,,,,
39,09/22/21 14:00:00,19.948,,,,
40,09/22/21 15:00:00,19.948,,,,
41,09/22/21 16:00:00,19.853,,,,
42,09/22/21 17:00:00,19.948,,,,
43,09/22/21 18:00:00,20.043,,,,
44,09/22/21 19:00:00,20.043,,,,
45,09/22/21 20:00:00,19.853,,,,
46,09/22/21 21:00:00,20.805,,,,
47,09/22/21 22:00:00,21.282,,,,
48,09/22/21 23:00:00,20.329,,,,
49,09/23/21 00:00:00,18.901,,,,
50,09/23/21 01:00:00,17.189,,,,
51,09/23/21 02:00:00,15.664,,,,
52,09/23/21 03:00:00,14.517,,,,
53,09/23/21 04:00:00,13.365,,,,
54,09/23/21 05:00:00,12.207,,,,
55,09/23/21 06:00:00,11.041,,,,
56,09/23/21 07:00:00,10.063,,,,
57,09/23/21 08:00:00,9.176,,,,
58,09/23/21 09:00:00,9.472,,,,
59,09/23/21 10:00:00,16.141,,,,
60,09/23/21 11:00:00,19.377,,,,
61,09/23/21 12:00:00,15.091,,,,
62,09/23/21 13:00:00,15.187,,,,
63,09/23/21 14:00:00,15.569,,,,
64,09/23/21 15:00:00,15.569,,,,
65,09/23/21 16:00:00,15.473,,,,
66,09/23/21 17:00:00,15.569,,,,
67,09/23/21 18:00:00,15.569,,,,
68,09/23/21 19:00:00,15.664,,,,
69,09/23/21 20:00:00,15.664,,,,
70,09/23/21 21:00:00,15.473,,,,
71,09/23/21 22:00:00,15.378,,,,
72,09/23/21 23:00:00,15.378,,,,
73,09/24/21 00:00:00,15.282,,,,
74,09/24/21 01:00:00,15.187,,,,
75,09/24/21 02:00:00,15.187,,,,
76,09/24/21 03:00:00,15.091,,,,
77,09/24/21 04:00:00,14.996,,,,
78,09/24/21 05:00:00,14.900,,,,
79,09/24/21 06:00:00,14.900,,,,
80,09/24/21 07:00:00,14.900,,,,
81,09/24/21 08:00:00,14.804,,,,
82,09/24/21 09:00:00,14.900,,,,
83,09/24/21 10:00:00,14.996,,,,
84,09/24/21 11:00:00,15.091,,,,
85,09/24/21 12:00:00,15.187,,,,
86,09/24/21 13:00:00,15.282,,,,
87,09/24/21 14:00:00,15.091,,,,
88,09/24/21 15:00:00,15.187,,,,
89,09/24/21 16:00:00,15.091,,,,
90,09/24/21 17:00:00,15.091,,,,
91,09/24/21 18:00:00,15.091,,,,
92,09/24/21 19:00:00,15.091,,,,
93,09/24/21 20:00:00,14.996,,,,
94,09/24/21 21:00:00,14.900,,,,
95,09/24/21 22:00:00,14.900,,,,
96,09/24/21 23:00:00,14.900,,,,
97,09/25/21 00:00:00,14.804,,,,
98,09/25/21 01:00:00,14.804,,,,
