"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685713, SEN S/N: 20685713)","End Of File (LGR S/N: 20685713)"
1,03/10/20 18:00:00,20.329,
2,03/10/20 19:00:00,19.567,
3,03/10/20 20:00:00,18.806,
4,03/10/20 21:00:00,18.140,
5,03/10/20 22:00:00,17.570,
6,03/10/20 23:00:00,17.094,
7,03/11/20 00:00:00,16.618,
8,03/11/20 01:00:00,16.141,
9,03/11/20 02:00:00,15.664,
10,03/11/20 03:00:00,15.187,
11,03/11/20 04:00:00,14.804,
12,03/11/20 05:00:00,14.421,
13,03/11/20 06:00:00,14.134,
14,03/11/20 07:00:00,13.942,
15,03/11/20 08:00:00,15.569,
16,03/11/20 09:00:00,18.236,
17,03/11/20 10:00:00,18.901,
18,03/11/20 11:00:00,19.282,
19,03/11/20 12:00:00,19.567,
20,03/11/20 13:00:00,19.472,
21,03/11/20 14:00:00,19.662,
22,03/11/20 15:00:00,19.662,
23,03/11/20 16:00:00,19.377,
24,03/11/20 17:00:00,19.092,
25,03/11/20 18:00:00,18.996,
26,03/11/20 19:00:00,18.806,
27,03/11/20 20:00:00,18.616,
28,03/11/20 21:00:00,18.331,
29,03/11/20 22:00:00,18.045,
30,03/11/20 23:00:00,17.665,
31,03/12/20 00:00:00,17.284,
32,03/12/20 01:00:00,16.903,
33,03/12/20 02:00:00,16.523,
34,03/12/20 03:00:00,16.046,
35,03/12/20 04:00:00,15.664,
36,03/12/20 05:00:00,15.282,
37,03/12/20 06:00:00,14.804,
38,03/12/20 07:00:00,14.613,
39,03/12/20 08:00:00,15.187,
40,03/12/20 09:00:00,16.713,
41,03/12/20 10:00:00,18.140,
42,03/12/20 11:00:00,18.996,
43,03/12/20 12:00:00,19.187,
44,03/12/20 13:00:00,19.662,
45,03/12/20 14:00:00,19.853,
46,03/12/20 15:00:00,19.853,
47,03/12/20 16:00:00,19.662,
48,03/12/20 17:00:00,19.567,
49,03/12/20 18:00:00,19.377,
50,03/12/20 19:00:00,19.092,
51,03/12/20 20:00:00,18.806,
52,03/12/20 21:00:00,18.426,
53,03/12/20 22:00:00,18.045,
54,03/12/20 23:00:00,17.665,
55,03/13/20 00:00:00,17.284,
56,03/13/20 01:00:00,16.903,
57,03/13/20 02:00:00,16.427,
58,03/13/20 03:00:00,16.046,
59,03/13/20 04:00:00,15.664,
60,03/13/20 05:00:00,15.378,
61,03/13/20 06:00:00,14.996,
62,03/13/20 07:00:00,14.709,
63,03/13/20 08:00:00,15.187,
64,03/13/20 09:00:00,16.713,
65,03/13/20 10:00:00,17.950,
66,03/13/20 11:00:00,18.711,
67,03/13/20 12:00:00,19.092,
68,03/13/20 13:00:00,19.377,
69,03/13/20 14:00:00,19.472,
70,03/13/20 15:00:00,19.567,
71,03/13/20 16:00:00,19.662,
72,03/13/20 17:00:00,19.662,
73,03/13/20 18:00:00,19.662,
74,03/13/20 19:00:00,19.377,
75,03/13/20 20:00:00,18.901,
76,03/13/20 21:00:00,18.426,
77,03/13/20 22:00:00,17.950,
78,03/13/20 23:00:00,17.475,
79,03/14/20 00:00:00,16.999,
80,03/14/20 01:00:00,16.618,
81,03/14/20 02:00:00,16.237,
82,03/14/20 03:00:00,15.951,
83,03/14/20 04:00:00,15.569,
84,03/14/20 05:00:00,15.282,
85,03/14/20 06:00:00,14.996,
86,03/14/20 07:00:00,14.709,
87,03/14/20 08:00:00,14.517,
88,03/14/20 09:00:00,14.230,
89,03/14/20 10:00:00,14.709,
90,03/14/20 11:00:00,14.517,
91,03/14/20 12:00:00,14.230,
92,03/14/20 13:00:00,14.038,
93,03/14/20 14:00:00,13.846,
94,03/14/20 15:00:00,13.654,
95,03/14/20 16:00:00,13.558,
96,03/14/20 17:00:00,13.461,
97,03/14/20 18:00:00,13.269,
98,03/14/20 19:00:00,13.076,
99,03/14/20 20:00:00,12.787,
100,03/14/20 21:00:00,12.497,
101,03/14/20 22:00:00,12.304,
102,03/14/20 23:00:00,12.110,
103,03/15/20 00:00:00,11.819,
104,03/15/20 01:00:00,11.625,
105,03/15/20 02:00:00,11.431,
106,03/15/20 03:00:00,11.236,
107,03/15/20 04:00:00,11.041,
108,03/15/20 05:00:00,10.944,
109,03/15/20 06:00:00,10.748,
110,03/15/20 07:00:00,12.207,
111,03/15/20 08:00:00,13.750,
112,03/15/20 09:00:00,14.517,
113,03/15/20 10:00:00,14.900,
114,03/15/20 11:00:00,15.282,
115,03/15/20 12:00:00,15.569,
116,03/15/20 13:00:00,15.664,
117,03/15/20 14:00:00,15.855,
118,03/15/20 15:00:00,15.855,
119,03/15/20 16:00:00,15.855,
120,03/15/20 17:00:00,15.760,
121,03/15/20 18:00:00,15.664,
122,03/15/20 19:00:00,15.473,
123,03/15/20 20:00:00,15.187,
124,03/15/20 21:00:00,14.900,
125,03/15/20 22:00:00,14.613,
126,03/15/20 23:00:00,14.421,
127,03/16/20 00:00:00,14.134,
128,03/16/20 01:00:00,13.846,
129,03/16/20 02:00:00,13.654,
130,03/16/20 03:00:00,13.365,
131,03/16/20 04:00:00,12.980,
132,03/16/20 05:00:00,12.690,
133,03/16/20 06:00:00,12.401,
134,03/16/20 07:00:00,13.076,
135,03/16/20 08:00:00,14.421,
136,03/16/20 09:00:00,16.427,
137,03/16/20 10:00:00,17.665,
138,03/16/20 11:00:00,18.426,
139,03/16/20 12:00:00,18.236,
140,03/16/20 13:00:00,18.616,
141,03/16/20 14:00:00,18.806,
142,03/16/20 15:00:00,19.092,
143,03/16/20 16:00:00,19.187,
144,03/16/20 17:00:00,19.282,
145,03/16/20 18:00:00,19.187,
146,03/16/20 19:00:00,18.901,
147,03/16/20 20:00:00,18.616,
148,03/16/20 21:00:00,18.331,
149,03/16/20 22:00:00,18.140,
150,03/16/20 23:00:00,17.855,
151,03/17/20 00:00:00,17.475,
152,03/17/20 01:00:00,17.189,
153,03/17/20 02:00:00,16.808,
154,03/17/20 03:00:00,16.427,
155,03/17/20 04:00:00,15.951,
156,03/17/20 05:00:00,15.569,
157,03/17/20 06:00:00,15.187,
158,03/17/20 07:00:00,14.804,
159,03/17/20 08:00:00,15.187,
160,03/17/20 09:00:00,16.713,
161,03/17/20 10:00:00,17.950,
162,03/17/20 11:00:00,18.806,
163,03/17/20 12:00:00,19.282,
164,03/17/20 13:00:00,19.567,
165,03/17/20 14:00:00,19.758,
166,03/17/20 15:00:00,19.948,
167,03/17/20 16:00:00,19.948,
168,03/17/20 17:00:00,19.948,
169,03/17/20 18:00:00,19.853,
170,03/17/20 19:00:00,19.758,
171,03/17/20 20:00:00,19.567,
172,03/17/20 21:00:00,19.282,
173,03/17/20 22:00:00,18.996,
174,03/17/20 23:00:00,18.711,
175,03/18/20 00:00:00,18.331,
176,03/18/20 01:00:00,17.950,
177,03/18/20 02:00:00,17.570,
178,03/18/20 03:00:00,17.189,
179,03/18/20 04:00:00,16.713,
180,03/18/20 05:00:00,16.332,
181,03/18/20 06:00:00,15.951,
182,03/18/20 07:00:00,15.569,
183,03/18/20 08:00:00,15.569,
184,03/18/20 09:00:00,16.903,
185,03/18/20 10:00:00,18.045,
186,03/18/20 11:00:00,18.806,
187,03/18/20 12:00:00,19.282,
188,03/18/20 13:00:00,19.567,
189,03/18/20 14:00:00,19.758,
190,03/18/20 15:00:00,19.948,
191,03/18/20 16:00:00,19.948,
192,03/18/20 17:00:00,19.853,
193,03/18/20 18:00:00,19.853,
194,03/18/20 19:00:00,19.662,
195,03/18/20 20:00:00,19.472,
196,03/18/20 21:00:00,19.187,
197,03/18/20 22:00:00,18.806,
198,03/18/20 23:00:00,18.521,
199,03/19/20 00:00:00,18.140,
200,03/19/20 01:00:00,17.760,
201,03/19/20 02:00:00,17.379,
202,03/19/20 03:00:00,16.999,
203,03/19/20 04:00:00,16.523,
204,03/19/20 05:00:00,16.141,
205,03/19/20 06:00:00,15.760,
206,03/19/20 07:00:00,15.378,
207,03/19/20 08:00:00,15.378,
208,03/19/20 09:00:00,16.999,
209,03/19/20 10:00:00,18.045,
210,03/19/20 11:00:00,18.806,
211,03/19/20 12:00:00,19.282,
212,03/19/20 13:00:00,19.662,
213,03/19/20 14:00:00,19.853,
214,03/19/20 15:00:00,19.948,
215,03/19/20 16:00:00,20.043,
216,03/19/20 17:00:00,19.948,
217,03/19/20 18:00:00,19.948,
218,03/19/20 19:00:00,19.472,
