"Plot Title: FORCRK"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699056, SEN S/N: 20699056, LBL: Temp)","RH, % (LGR S/N: 20699056, SEN S/N: 20699056, LBL: RH)","Coupler Detached (LGR S/N: 20699056)","Coupler Attached (LGR S/N: 20699056)","Host Connected (LGR S/N: 20699056)","Stopped (LGR S/N: 20699056)","End Of File (LGR S/N: 20699056)"
1,07/07/22 12:00:00,18.818,66.503,Logged,,,,
2,07/07/22 12:30:00,19.936,63.751,,,,,
3,07/07/22 13:00:00,14.314,77.264,,,,,
4,07/07/22 13:30:00,14.266,81.867,,,,,
5,07/07/22 14:00:00,13.738,79.168,,,,,
6,07/07/22 14:30:00,14.409,81.488,,,,,
7,07/07/22 15:00:00,14.266,77.672,,,,,
8,07/07/22 15:30:00,14.577,81.854,,,,,
9,07/07/22 16:00:00,16.153,77.509,,,,,
10,07/07/22 16:30:00,14.840,76.983,,,,,
11,07/07/22 17:00:00,13.978,79.772,,,,,
12,07/07/22 17:30:00,13.834,77.998,,,,,
13,07/07/22 18:00:00,14.481,75.563,,,,,
14,07/07/22 18:30:00,13.738,79.609,,,,,
15,07/07/22 19:00:00,12.871,83.672,,,,,
16,07/07/22 19:30:00,12.437,85.024,,,,,
17,07/07/22 20:00:00,12.219,86.334,,,,,
18,07/07/22 20:30:00,11.565,90.569,,,,,
19,07/07/22 21:00:00,11.078,93.594,,,,,
20,07/07/22 21:30:00,10.810,96.418,,,,,
21,07/07/22 22:00:00,10.296,97.058,,,,,
22,07/07/22 22:30:00,10.051,98.663,,,,,
23,07/07/22 23:00:00,9.731,97.953,,,,,
24,07/07/22 23:30:00,9.361,98.719,,,,,
25,07/08/22 00:00:00,9.089,99.556,,,,,
26,07/08/22 00:30:00,8.742,98.794,,,,,
27,07/08/22 01:00:00,8.270,99.743,,,,,
28,07/08/22 01:30:00,7.519,99.580,,,,,
29,07/08/22 02:00:00,8.965,100.000,,,,,
30,07/08/22 02:30:00,7.945,98.867,,,,,
31,07/08/22 03:00:00,8.220,100.000,,,,,
32,07/08/22 03:30:00,8.170,100.000,,,,,
33,07/08/22 04:00:00,8.419,97.120,,,,,
34,07/08/22 04:30:00,6.611,96.477,,,,,
35,07/08/22 05:00:00,6.281,97.150,,,,,
36,07/08/22 05:30:00,6.000,99.829,,,,,
37,07/08/22 06:00:00,6.102,100.000,,,,,
38,07/08/22 06:30:00,7.519,100.000,,,,,
39,07/08/22 07:00:00,9.262,100.000,,,,,
40,07/08/22 07:30:00,9.657,100.000,,,,,
41,07/08/22 08:00:00,10.001,100.000,,,,,
42,07/08/22 08:30:00,10.247,100.000,,,,,
43,07/08/22 09:00:00,11.710,92.833,,,,,
44,07/08/22 09:30:00,11.759,91.449,,,,,
45,07/08/22 10:00:00,12.025,90.163,,,,,
46,07/08/22 10:30:00,13.040,87.514,,,,,
47,07/08/22 11:00:00,13.088,83.884,,,,,
48,07/08/22 11:30:00,14.745,78.052,,,,,
49,07/08/22 12:00:00,15.414,77.578,,,,,
50,07/08/22 12:30:00,15.461,76.354,,,,,
51,07/08/22 13:00:00,14.936,76.695,,,,,
52,07/08/22 13:30:00,14.864,77.351,,,,,
53,07/08/22 14:00:00,16.868,68.324,,,,,
54,07/08/22 14:30:00,17.344,66.683,,,,,
