"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
1,07/07/22 12:00:00,18.806,,
2,07/07/22 12:30:00,20.043,,
3,07/07/22 13:00:00,14.613,,
4,07/07/22 13:30:00,3.049,,
5,07/07/22 14:00:00,3.049,,
6,07/07/22 14:30:00,16.618,,
7,07/07/22 15:00:00,22.142,,
8,07/07/22 15:30:00,6.370,,
9,07/07/22 16:00:00,6.674,,
10,07/07/22 16:30:00,6.877,,
11,07/07/22 17:00:00,6.674,,
12,07/07/22 17:30:00,6.370,,
13,07/07/22 18:00:00,6.370,,
14,07/07/22 18:30:00,6.471,,
15,07/07/22 19:00:00,6.471,,
16,07/07/22 19:30:00,6.166,,
17,07/07/22 20:00:00,5.962,,
18,07/07/22 20:30:00,5.757,,
19,07/07/22 21:00:00,5.450,,
20,07/07/22 21:30:00,5.347,,
21,07/07/22 22:00:00,5.244,,
22,07/07/22 22:30:00,5.037,,
23,07/07/22 23:00:00,4.934,,
24,07/07/22 23:30:00,4.727,,
25,07/08/22 00:00:00,4.623,,
26,07/08/22 00:30:00,4.519,,
27,07/08/22 01:00:00,4.415,,
28,07/08/22 01:30:00,4.311,,
29,07/08/22 02:00:00,4.311,,
30,07/08/22 02:30:00,4.207,,
31,07/08/22 03:00:00,4.102,,
32,07/08/22 03:30:00,4.102,,
33,07/08/22 04:00:00,4.102,,
34,07/08/22 04:30:00,3.998,,
35,07/08/22 05:00:00,3.998,,
36,07/08/22 05:30:00,3.893,,
37,07/08/22 06:00:00,3.788,,
38,07/08/22 06:30:00,3.788,,
39,07/08/22 07:00:00,3.998,,
40,07/08/22 07:30:00,4.311,,
41,07/08/22 08:00:00,4.727,,
42,07/08/22 08:30:00,5.037,,
43,07/08/22 09:00:00,5.244,,
44,07/08/22 09:30:00,5.552,,
45,07/08/22 10:00:00,5.655,,
46,07/08/22 10:30:00,5.860,,
