"Plot Title: FORUPL2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699059, SEN S/N: 20699059)","RH, % (LGR S/N: 20699059, SEN S/N: 20699059)","Coupler Detached (LGR S/N: 20699059)","Coupler Attached (LGR S/N: 20699059)","Host Connected (LGR S/N: 20699059)","Stopped (LGR S/N: 20699059)","End Of File (LGR S/N: 20699059)"
1,07/27/21 18:00:00,24.847,58.511,Logged,,,,
2,07/27/21 19:00:00,24.363,59.979,,,,,
3,07/27/21 20:00:00,24.243,60.729,,,,,
4,07/27/21 21:00:00,24.002,61.272,,,,,
5,07/27/21 22:00:00,23.713,61.745,,,,,
6,07/27/21 23:00:00,23.424,61.729,,,,,
7,07/28/21 00:00:00,23.160,61.686,,,,,
8,07/28/21 01:00:00,22.896,61.522,,,,,
9,07/28/21 02:00:00,22.609,61.414,,,,,
10,07/28/21 03:00:00,22.321,61.246,,,,,
11,07/28/21 04:00:00,22.034,61.169,,,,,
12,07/28/21 05:00:00,21.748,60.910,,,,,
13,07/28/21 06:00:00,21.461,60.590,,,,,
14,07/28/21 07:00:00,21.175,60.392,,,,,
15,07/28/21 08:00:00,20.936,60.749,,,,,
16,07/28/21 09:00:00,20.722,66.156,,,,,
17,07/28/21 10:00:00,21.963,49.525,,,,,
18,07/28/21 11:00:00,21.413,42.171,,,,,
19,07/28/21 12:00:00,24.315,38.670,,,,,
20,07/28/21 13:00:00,29.690,28.361,,,,,
21,07/28/21 14:00:00,32.639,26.823,,,,,
22,07/28/21 15:00:00,31.868,33.948,,,,,
23,07/28/21 16:00:00,36.444,31.843,,,,,
24,07/28/21 17:00:00,34.492,33.501,,,,,
25,07/28/21 18:00:00,27.407,36.161,,,,,
26,07/28/21 19:00:00,25.987,41.903,,,,,
27,07/28/21 20:00:00,23.208,39.800,,,,,
28,07/28/21 21:00:00,18.461,52.028,,,,,
29,07/28/21 22:00:00,17.843,52.468,,,,,
30,07/28/21 23:00:00,17.510,52.174,,,,,
31,07/29/21 00:00:00,17.701,50.556,,,,,
32,07/29/21 01:00:00,17.439,50.956,,,,,
33,07/29/21 02:00:00,17.153,51.877,,,,,
34,07/29/21 03:00:00,16.558,50.402,,,,,
35,07/29/21 04:00:00,16.272,46.839,,,,,
36,07/29/21 05:00:00,16.177,33.377,,,,,
37,07/29/21 06:00:00,16.606,43.124,,,,,
38,07/29/21 07:00:00,19.793,35.423,,,,,
39,07/29/21 08:00:00,21.533,31.481,,,,,
40,07/29/21 09:00:00,23.328,29.014,,,,,
41,07/29/21 10:00:00,24.774,33.640,,,,,
42,07/29/21 11:00:00,26.646,27.646,,,,,
43,07/29/21 12:00:00,27.579,26.895,,,,,
44,07/29/21 13:00:00,28.816,26.161,,,,,
45,07/29/21 14:00:00,27.554,30.716,,,,,
46,07/29/21 15:00:00,27.850,33.145,,,,,
47,07/29/21 16:00:00,27.210,36.008,,,,,
48,07/29/21 17:00:00,27.776,33.375,,,,,
49,07/29/21 18:00:00,26.573,33.938,,,,,
50,07/29/21 19:00:00,25.987,33.616,,,,,
51,07/29/21 20:00:00,24.581,35.389,,,,,
52,07/29/21 21:00:00,21.342,42.550,,,,,
53,07/29/21 22:00:00,20.507,41.681,,,,,
54,07/29/21 23:00:00,20.174,40.901,,,,,
55,07/30/21 00:00:00,20.960,37.800,,,,,
56,07/30/21 01:00:00,21.270,39.105,,,,,
57,07/30/21 02:00:00,21.342,38.721,,,,,
58,07/30/21 03:00:00,20.174,43.733,,,,,
59,07/30/21 04:00:00,21.175,38.834,,,,,
60,07/30/21 05:00:00,20.388,41.539,,,,,
61,07/30/21 06:00:00,22.561,35.030,,,,,
62,07/30/21 07:00:00,25.477,30.102,,,,,
63,07/30/21 08:00:00,27.136,27.170,,,,,
64,07/30/21 09:00:00,28.394,24.887,,,,,
65,07/30/21 10:00:00,29.790,25.159,,,,,
66,07/30/21 11:00:00,29.439,27.413,,,,,
67,07/30/21 12:00:00,29.665,25.842,,,,,
68,07/30/21 13:00:00,29.966,23.538,,,,,
69,07/30/21 14:00:00,30.343,24.468,,,,,
70,07/30/21 15:00:00,29.464,24.755,,,,,
71,07/30/21 16:00:00,28.841,26.025,,,,,
72,07/30/21 17:00:00,29.190,38.142,,,,,
73,07/30/21 18:00:00,26.695,43.291,,,,,
74,07/30/21 19:00:00,26.353,37.490,,,,,
75,07/30/21 20:00:00,25.331,45.471,,,,,
76,07/30/21 21:00:00,25.817,32.425,,,,,
77,07/30/21 22:00:00,23.497,34.455,,,,,
78,07/30/21 23:00:00,25.331,30.192,,,,,
79,07/31/21 00:00:00,26.426,27.595,,,,,
80,07/31/21 01:00:00,26.769,26.834,,,,,
81,07/31/21 02:00:00,26.451,26.947,,,,,
82,07/31/21 03:00:00,26.573,26.614,,,,,
83,07/31/21 04:00:00,26.182,29.448,,,,,
84,07/31/21 05:00:00,24.944,32.516,,,,,
85,07/31/21 06:00:00,24.823,33.577,,,,,
86,07/31/21 07:00:00,25.817,29.656,,,,,
87,07/31/21 08:00:00,25.914,30.409,,,,,
88,07/31/21 09:00:00,25.355,33.090,,,,,
89,07/31/21 10:00:00,26.207,30.468,,,,,
90,07/31/21 11:00:00,25.453,34.371,,,,,
91,07/31/21 12:00:00,26.012,31.026,,,,,
92,07/31/21 13:00:00,26.549,30.055,,,,,
93,07/31/21 14:00:00,26.549,29.920,,,,,
94,07/31/21 15:00:00,25.525,34.244,,,,,
95,07/31/21 16:00:00,25.210,36.845,,,,,
96,07/31/21 17:00:00,26.012,34.423,,,,,
97,07/31/21 18:00:00,25.258,36.086,,,,,
98,07/31/21 19:00:00,24.460,36.936,,,,,
99,07/31/21 20:00:00,23.617,41.900,,,,,
100,07/31/21 21:00:00,22.609,43.567,,,,,
101,07/31/21 22:00:00,22.561,41.684,,,,,
102,07/31/21 23:00:00,22.202,41.417,,,,,
103,08/01/21 00:00:00,21.199,45.934,,,,,
104,08/01/21 01:00:00,20.198,69.491,,,,,
105,08/01/21 02:00:00,22.705,41.668,,,,,
106,08/01/21 03:00:00,20.579,54.932,,,,,
107,08/01/21 04:00:00,22.130,46.846,,,,,
108,08/01/21 05:00:00,20.555,57.271,,,,,
109,08/01/21 06:00:00,19.270,67.587,,,,,
110,08/01/21 07:00:00,19.555,66.840,,,,,
111,08/01/21 08:00:00,19.888,71.567,,,,,
112,08/01/21 09:00:00,20.198,76.131,,,,,
113,08/01/21 10:00:00,20.793,77.225,,,,,
114,08/01/21 11:00:00,22.393,71.310,,,,,
115,08/01/21 12:00:00,25.355,61.213,,,,,
116,08/01/21 13:00:00,25.210,60.051,,,,,
117,08/01/21 14:00:00,26.891,49.210,,,,,
118,08/01/21 15:00:00,25.137,55.752,,,,,
119,08/01/21 16:00:00,24.315,58.058,,,,,
120,08/01/21 17:00:00,23.040,63.005,,,,,
121,08/01/21 18:00:00,22.561,64.255,,,,,
122,08/01/21 19:00:00,21.342,68.285,,,,,
123,08/01/21 20:00:00,20.222,68.348,,,,,
124,08/01/21 21:00:00,21.032,45.658,,,,,
125,08/01/21 22:00:00,20.555,47.222,,,,,
126,08/01/21 23:00:00,20.603,46.307,,,,,
127,08/02/21 00:00:00,20.222,47.845,,,,,
128,08/02/21 01:00:00,19.793,53.053,,,,,
129,08/02/21 02:00:00,19.841,50.971,,,,,
130,08/02/21 03:00:00,19.960,50.267,,,,,
131,08/02/21 04:00:00,20.055,49.086,,,,,
132,08/02/21 05:00:00,20.460,37.160,,,,,
133,08/02/21 06:00:00,20.722,34.360,,,,,
134,08/02/21 07:00:00,21.485,29.134,,,,,
135,08/02/21 08:00:00,22.417,39.291,,,,,
136,08/02/21 09:00:00,24.750,21.188,,,,,
137,08/02/21 10:00:00,27.382,19.782,,,,,
138,08/02/21 11:00:00,28.295,21.129,,,,,
139,08/02/21 12:00:00,29.315,18.664,,,,,
140,08/02/21 13:00:00,29.540,18.677,,,,,
141,08/02/21 14:00:00,31.001,19.041,,,,,
142,08/02/21 15:00:00,29.414,28.820,,,,,
143,08/02/21 16:00:00,26.940,45.470,,,,,
144,08/02/21 17:00:00,26.671,49.887,,,,,
145,08/02/21 18:00:00,25.598,55.945,,,,,
146,08/02/21 19:00:00,25.040,54.390,,,,,
147,08/02/21 20:00:00,24.605,54.234,,,,,
148,08/02/21 21:00:00,22.968,40.656,,,,,
149,08/02/21 22:00:00,22.920,46.817,,,,,
150,08/02/21 23:00:00,23.641,39.945,,,,,
151,08/03/21 00:00:00,23.376,38.146,,,,,
152,08/03/21 01:00:00,22.968,45.123,,,,,
153,08/03/21 02:00:00,23.256,43.771,,,,,
154,08/03/21 03:00:00,22.537,40.381,,,,,
155,08/03/21 04:00:00,22.321,37.282,,,,,
156,08/03/21 05:00:00,21.103,39.998,,,,,
157,08/03/21 06:00:00,19.817,47.698,,,,,
158,08/03/21 07:00:00,20.936,45.806,,,,,
159,08/03/21 08:00:00,24.074,34.908,,,,,
160,08/03/21 09:00:00,25.623,39.663,,,,,
161,08/03/21 10:00:00,26.304,43.963,,,,,
162,08/03/21 11:00:00,27.259,44.303,,,,,
163,08/03/21 12:00:00,28.543,43.928,,,,,
164,08/03/21 13:00:00,28.295,46.055,,,,,
165,08/03/21 14:00:00,25.501,58.114,,,,,
166,08/03/21 15:00:00,24.243,61.434,,,,,
167,08/03/21 16:00:00,22.872,62.279,,,,,
168,08/03/21 17:00:00,22.753,60.002,,,,,
169,08/03/21 18:00:00,21.939,61.154,,,,,
170,08/03/21 19:00:00,20.412,63.892,,,,,
171,08/03/21 20:00:00,19.413,64.976,,,,,
172,08/03/21 21:00:00,20.650,38.486,,,,,
173,08/03/21 22:00:00,21.151,35.225,,,,,
174,08/03/21 23:00:00,21.390,33.198,,,,,
175,08/04/21 00:00:00,20.365,35.610,,,,,
176,08/04/21 01:00:00,20.984,30.031,,,,,
177,08/04/21 02:00:00,20.793,28.877,,,,,
178,08/04/21 03:00:00,20.126,31.823,,,,,
179,08/04/21 04:00:00,20.031,34.064,,,,,
180,08/04/21 05:00:00,20.365,28.104,,,,,
181,08/04/21 06:00:00,20.293,28.367,,,,,
182,08/04/21 07:00:00,22.369,24.328,,,,,
183,08/04/21 08:00:00,24.532,20.690,,,,,
184,08/04/21 09:00:00,25.501,25.645,,,,,
185,08/04/21 10:00:00,25.137,35.142,,,,,
186,08/04/21 11:00:00,27.136,29.185,,,,,
187,08/04/21 12:00:00,27.161,32.308,,,,,
188,08/04/21 13:00:00,26.720,36.495,,,,,
189,08/04/21 14:00:00,26.573,32.997,,,,,
190,08/04/21 15:00:00,26.695,37.657,,,,,
191,08/04/21 16:00:00,26.451,40.377,,,,,
192,08/04/21 17:00:00,26.036,41.055,,,,,
193,08/04/21 18:00:00,24.798,42.618,,,,,
194,08/04/21 19:00:00,24.026,45.250,,,,,
195,08/04/21 20:00:00,22.082,51.841,,,,,
196,08/04/21 21:00:00,19.555,56.874,,,,,
197,08/04/21 22:00:00,19.199,51.601,,,,,
198,08/04/21 23:00:00,18.557,51.948,,,,,
199,08/05/21 00:00:00,18.723,47.433,,,,,
200,08/05/21 01:00:00,18.414,44.958,,,,,
201,08/05/21 02:00:00,18.461,41.163,,,,,
202,08/05/21 03:00:00,17.344,44.100,,,,,
203,08/05/21 04:00:00,16.749,51.543,,,,,
204,08/05/21 05:00:00,18.485,37.319,,,,,
205,08/05/21 06:00:00,19.103,31.634,,,,,
206,08/05/21 07:00:00,17.772,42.590,,,,,
207,08/05/21 08:00:00,18.985,33.440,,,,,
208,08/05/21 09:00:00,19.936,32.337,,,,,
209,08/05/21 10:00:00,20.174,31.661,,,,,
210,08/05/21 11:00:00,20.484,35.326,,,,,
211,08/05/21 12:00:00,19.222,51.791,,,,,
212,08/05/21 13:00:00,19.508,57.998,,,,,
213,08/05/21 14:00:00,19.532,56.349,,,,,
214,08/05/21 15:00:00,18.628,64.007,,,,,
215,08/05/21 16:00:00,17.558,63.498,,,,,
216,08/05/21 17:00:00,16.749,69.726,,,,,
217,08/05/21 18:00:00,16.010,75.480,,,,,
218,08/05/21 19:00:00,15.724,78.510,,,,,
219,08/05/21 20:00:00,14.553,84.924,,,,,
220,08/05/21 21:00:00,13.161,91.909,,,,,
221,08/05/21 22:00:00,12.509,96.471,,,,,
222,08/05/21 23:00:00,12.461,93.697,,,,,
223,08/06/21 00:00:00,12.703,93.759,,,,,
224,08/06/21 01:00:00,12.243,97.714,,,,,
225,08/06/21 02:00:00,12.630,94.819,,,,,
226,08/06/21 03:00:00,12.582,94.345,,,,,
227,08/06/21 04:00:00,11.759,98.687,,,,,
228,08/06/21 05:00:00,12.025,95.655,,,,,
229,08/06/21 06:00:00,12.122,95.808,,,,,
230,08/06/21 07:00:00,12.195,96.031,,,,,
231,08/06/21 08:00:00,12.389,96.032,,,,,
232,08/06/21 09:00:00,12.920,93.919,,,,,
233,08/06/21 10:00:00,13.112,95.305,,,,,
234,08/06/21 11:00:00,13.786,91.806,,,,,
235,08/06/21 12:00:00,14.529,92.752,,,,,
236,08/06/21 13:00:00,14.697,93.966,,,,,
237,08/06/21 14:00:00,14.314,88.724,,,,,
238,08/06/21 15:00:00,15.605,80.512,,,,,
239,08/06/21 16:00:00,13.810,87.858,,,,,
240,08/06/21 17:00:00,14.505,79.056,,,,,
241,08/06/21 18:00:00,14.505,81.729,,,,,
242,08/06/21 19:00:00,14.577,80.371,,,,,
243,08/06/21 20:00:00,12.968,87.921,,,,,
244,08/06/21 21:00:00,12.534,89.608,,,,,
245,08/06/21 22:00:00,11.880,93.031,,,,,
246,08/06/21 23:00:00,11.492,99.511,,,,,
247,08/07/21 00:00:00,11.127,93.709,,,,,
248,08/07/21 01:00:00,12.268,85.091,,,,,
249,08/07/21 02:00:00,12.098,87.922,,,,,
250,08/07/21 03:00:00,13.016,82.351,,,,,
251,08/07/21 04:00:00,13.257,83.760,,,,,
252,08/07/21 05:00:00,12.775,89.852,,,,,
253,08/07/21 06:00:00,13.738,89.220,,,,,
254,08/07/21 07:00:00,12.582,96.744,,,,,
255,08/07/21 08:00:00,16.272,65.465,,,,,
256,08/07/21 09:00:00,15.103,78.629,,,,,
257,08/07/21 10:00:00,11.759,98.687,,,,,
258,08/07/21 11:00:00,13.425,97.783,,,,,
259,08/07/21 12:00:00,13.618,99.452,,,,,
260,08/07/21 13:00:00,14.409,99.166,,,,,
261,08/07/21 14:00:00,15.223,99.085,,,,,
262,08/07/21 15:00:00,14.194,99.661,,,,,
263,08/07/21 16:00:00,13.161,99.726,,,,,
264,08/07/21 17:00:00,13.906,86.681,,,,,
265,08/07/21 18:00:00,13.040,95.311,,,,,
266,08/07/21 19:00:00,11.710,98.122,,,,,
267,08/07/21 20:00:00,11.492,97.660,,,,,
268,08/07/21 21:00:00,10.614,100.000,,,,,
269,08/07/21 22:00:00,10.100,93.670,,,,,
270,08/07/21 23:00:00,7.368,100.000,,,,,
271,08/08/21 00:00:00,6.636,100.000,,,,,
272,08/08/21 01:00:00,4.973,100.000,,,,,
273,08/08/21 02:00:00,4.869,96.025,,,,,
274,08/08/21 03:00:00,4.662,95.476,,,,,
275,08/08/21 04:00:00,4.895,91.077,,,,,
276,08/08/21 05:00:00,4.506,93.703,,,,,
277,08/08/21 06:00:00,4.714,93.684,,,,,
278,08/08/21 07:00:00,5.179,88.662,,,,,
