"Plot Title: FORUPL"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905283, SEN S/N: 9905283, LBL: Temp)","RH, % (LGR S/N: 9905283, SEN S/N: 9905283, LBL: RH)","Coupler Detached (LGR S/N: 9905283)","Coupler Attached (LGR S/N: 9905283)","Host Connected (LGR S/N: 9905283)","Stopped (LGR S/N: 9905283)","End Of File (LGR S/N: 9905283)"
1,07/07/22 12:00:00,18.842,64.609,Logged,,,,
2,07/07/22 12:30:00,19.413,67.170,,,,,
3,07/07/22 13:00:00,18.509,69.501,,,,,
4,07/07/22 13:30:00,18.271,71.462,,,,,
5,07/07/22 14:00:00,14.170,72.050,,,,,
6,07/07/22 14:30:00,14.649,75.428,,,,,
7,07/07/22 15:00:00,14.433,70.873,,,,,
8,07/07/22 15:30:00,15.891,71.525,,,,,
9,07/07/22 16:00:00,15.676,71.226,,,,,
10,07/07/22 16:30:00,14.888,71.075,,,,,
11,07/07/22 17:00:00,14.314,74.825,,,,,
12,07/07/22 17:30:00,14.481,72.452,,,,,
13,07/07/22 18:00:00,15.031,70.471,,,,,
14,07/07/22 18:30:00,14.026,76.310,,,,,
15,07/07/22 19:00:00,12.968,80.266,,,,,
16,07/07/22 19:30:00,12.437,82.383,,,,,
17,07/07/22 20:00:00,12.316,83.868,,,,,
18,07/07/22 20:30:00,11.516,88.255,,,,,
19,07/07/22 21:00:00,11.029,92.040,,,,,
20,07/07/22 21:30:00,10.834,94.601,,,,,
21,07/07/22 22:00:00,10.492,95.576,,,,,
22,07/07/22 22:30:00,10.247,96.468,,,,,
23,07/07/22 23:00:00,10.100,97.281,,,,,
24,07/07/22 23:30:00,9.903,96.826,,,,,
25,07/08/22 00:00:00,9.706,97.473,,,,,
26,07/08/22 00:30:00,9.312,96.866,,,,,
27,07/08/22 01:00:00,9.460,96.756,,,,,
28,07/08/22 01:30:00,9.361,96.729,,,,,
29,07/08/22 02:00:00,9.064,96.948,,,,,
30,07/08/22 02:30:00,8.990,95.577,,,,,
31,07/08/22 03:00:00,9.064,92.993,,,,,
32,07/08/22 03:30:00,8.668,93.979,,,,,
33,07/08/22 04:00:00,8.668,90.101,,,,,
34,07/08/22 04:30:00,8.568,89.353,,,,,
35,07/08/22 05:00:00,8.519,89.754,,,,,
36,07/08/22 05:30:00,8.270,92.761,,,,,
37,07/08/22 06:00:00,8.469,90.719,,,,,
38,07/08/22 06:30:00,10.907,78.668,,,,,
39,07/08/22 07:00:00,9.608,94.910,,,,,
40,07/08/22 07:30:00,11.370,82.844,,,,,
41,07/08/22 08:00:00,11.078,85.346,,,,,
42,07/08/22 08:30:00,10.638,91.062,,,,,
43,07/08/22 09:00:00,11.613,82.251,,,,,
44,07/08/22 09:30:00,11.492,85.630,,,,,
45,07/08/22 10:00:00,12.001,83.823,,,,,
46,07/08/22 10:30:00,12.751,82.562,,,,,
47,07/08/22 11:00:00,13.112,81.365,,,,,
48,07/08/22 11:30:00,13.978,76.105,,,,,
49,07/08/22 12:00:00,15.270,71.349,,,,,
50,07/08/22 12:30:00,16.129,64.143,,,,,
51,07/08/22 13:00:00,15.151,67.807,,,,,
52,07/08/22 13:30:00,15.700,67.674,,,,,
53,07/08/22 14:00:00,17.867,61.429,,,,,
54,07/08/22 14:30:00,17.296,60.435,,,,,
55,07/08/22 15:00:00,15.867,67.121,,,,,
56,07/08/22 15:30:00,15.629,63.674,,,,,
57,07/08/22 16:00:00,15.103,66.867,,,,,
58,07/08/22 16:30:00,15.342,67.871,,,,,
59,07/08/22 17:00:00,15.557,67.124,,,,,
60,07/08/22 17:30:00,15.103,65.436,,,,,
61,07/08/22 18:00:00,14.840,67.198,,,,,
62,07/08/22 18:30:00,15.557,63.573,,,,,
63,07/08/22 19:00:00,15.963,61.892,,,,,
64,07/08/22 19:30:00,15.748,63.250,,,,,
65,07/08/22 20:00:00,14.960,66.550,,,,,
66,07/08/22 20:30:00,14.266,68.628,,,,,
67,07/08/22 21:00:00,12.920,76.165,,,,,
68,07/08/22 21:30:00,11.807,80.694,,,,,
69,07/08/22 22:00:00,11.224,86.124,,,,,
70,07/08/22 22:30:00,10.932,88.480,,,,,
71,07/08/22 23:00:00,10.785,87.867,,,,,
72,07/08/22 23:30:00,10.198,90.149,,,,,
73,07/09/22 00:00:00,9.977,88.559,,,,,
74,07/09/22 00:30:00,10.541,85.087,,,,,
75,07/09/22 01:00:00,10.296,88.951,,,,,
76,07/09/22 01:30:00,9.854,90.192,,,,,
77,07/09/22 02:00:00,9.558,93.961,,,,,
78,07/09/22 02:30:00,9.682,89.579,,,,,
79,07/09/22 03:00:00,11.273,77.373,,,,,
80,07/09/22 03:30:00,10.492,86.004,,,,,
81,07/09/22 04:00:00,11.540,79.407,,,,,
82,07/09/22 04:30:00,10.883,71.607,,,,,
83,07/09/22 05:00:00,9.805,74.579,,,,,
84,07/09/22 05:30:00,10.761,74.441,,,,,
85,07/09/22 06:00:00,11.783,68.713,,,,,
86,07/09/22 06:30:00,12.461,67.806,,,,,
87,07/09/22 07:00:00,12.871,61.792,,,,,
88,07/09/22 07:30:00,13.497,65.212,,,,,
89,07/09/22 08:00:00,13.786,61.264,,,,,
90,07/09/22 08:30:00,13.642,66.779,,,,,
91,07/09/22 09:00:00,14.314,64.536,,,,,
92,07/09/22 09:30:00,14.098,67.093,,,,,
93,07/09/22 10:00:00,14.409,67.845,,,,,
94,07/09/22 10:30:00,13.906,71.258,,,,,
95,07/09/22 11:00:00,15.031,69.203,,,,,
96,07/09/22 11:30:00,15.891,60.866,,,,,
97,07/09/22 12:00:00,14.745,67.210,,,,,
98,07/09/22 12:30:00,16.129,62.989,,,,,
99,07/09/22 13:00:00,16.487,61.203,,,,,
100,07/09/22 13:30:00,15.414,70.658,,,,,
101,07/09/22 14:00:00,15.819,67.521,,,,,
102,07/09/22 14:30:00,15.175,68.970,,,,,
103,07/09/22 15:00:00,15.390,67.647,,,,,
104,07/09/22 15:30:00,15.461,67.572,,,,,
105,07/09/22 16:00:00,16.987,59.844,,,,,
106,07/09/22 16:30:00,16.296,61.231,,,,,
107,07/09/22 17:00:00,16.511,62.518,,,,,
108,07/09/22 17:30:00,15.390,65.251,,,,,
109,07/09/22 18:00:00,14.864,68.508,,,,,
110,07/09/22 18:30:00,14.888,67.556,,,,,
111,07/09/22 19:00:00,13.281,75.234,,,,,
112,07/09/22 19:30:00,12.896,78.683,,,,,
113,07/09/22 20:00:00,12.098,81.765,,,,,
114,07/09/22 20:30:00,11.394,86.324,,,,,
115,07/09/22 21:00:00,10.687,92.158,,,,,
116,07/09/22 21:30:00,10.394,95.195,,,,,
117,07/09/22 22:00:00,10.247,95.106,,,,,
118,07/09/22 22:30:00,10.051,96.365,,,,,
119,07/09/22 23:00:00,9.558,97.632,,,,,
120,07/09/22 23:30:00,9.188,98.027,,,,,
121,07/10/22 00:00:00,8.866,98.285,,,,,
122,07/10/22 00:30:00,8.120,98.275,,,,,
123,07/10/22 01:00:00,7.820,98.438,,,,,
124,07/10/22 01:30:00,10.565,61.699,,,,,
125,07/10/22 02:00:00,8.792,90.852,,,,,
126,07/10/22 02:30:00,7.770,95.873,,,,,
127,07/10/22 03:00:00,6.661,95.698,,,,,
128,07/10/22 03:30:00,7.192,90.599,,,,,
129,07/10/22 04:00:00,7.695,84.814,,,,,
130,07/10/22 04:30:00,8.519,77.909,,,,,
131,07/10/22 05:00:00,7.770,82.238,,,,,
132,07/10/22 05:30:00,8.195,79.815,,,,,
133,07/10/22 06:00:00,6.661,91.126,,,,,
134,07/10/22 06:30:00,6.965,91.813,,,,,
135,07/10/22 07:00:00,8.070,81.211,,,,,
136,07/10/22 07:30:00,8.965,79.553,,,,,
137,07/10/22 08:00:00,9.386,81.964,,,,,
138,07/10/22 08:30:00,10.736,78.987,,,,,
139,07/10/22 09:00:00,11.443,74.105,,,,,
140,07/10/22 09:30:00,12.582,67.943,,,,,
141,07/10/22 10:00:00,12.703,67.677,,,,,
142,07/10/22 10:30:00,14.074,59.110,,,,,
143,07/10/22 11:00:00,14.290,57.315,,,,,
144,07/10/22 11:30:00,15.366,58.023,,,,,
145,07/10/22 12:00:00,15.581,59.619,,,,,
146,07/10/22 12:30:00,15.533,60.867,,,,,
147,07/10/22 13:00:00,16.272,60.899,,,,,
148,07/10/22 13:30:00,17.153,59.570,,,,,
149,07/10/22 14:00:00,16.892,58.714,,,,,
150,07/10/22 14:30:00,17.582,56.332,,,,,
151,07/10/22 15:00:00,16.796,60.204,,,,,
152,07/10/22 15:30:00,16.749,60.527,,,,,
153,07/10/22 16:00:00,17.272,60.822,,,,,
154,07/10/22 16:30:00,17.843,60.944,,,,,
155,07/10/22 17:00:00,17.796,60.636,,,,,
156,07/10/22 17:30:00,17.534,62.152,,,,,
