"Plot Title: GEOCRKW_L"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685706, SEN S/N: 20685706, LBL: Temp)","Coupler Attached (LGR S/N: 20685706)","Host Connected (LGR S/N: 20685706)","Stopped (LGR S/N: 20685706)","End Of File (LGR S/N: 20685706)"
1,07/07/22 12:00:00,19.377,,,,
2,07/07/22 12:30:00,20.138,,,,
3,07/07/22 13:00:00,19.472,,,,
4,07/07/22 13:30:00,19.377,,,,
5,07/07/22 14:00:00,19.853,,,,
6,07/07/22 14:30:00,18.521,,,,
7,07/07/22 15:00:00,19.377,,,,
8,07/07/22 15:30:00,19.662,,,,
9,07/07/22 16:00:00,23.388,,,,
10,07/07/22 16:30:00,25.222,,,,
11,07/07/22 17:00:00,22.238,,,,
12,07/07/22 17:30:00,21.187,,,,
13,07/07/22 18:00:00,23.773,,,,
14,07/07/22 18:30:00,23.966,,,,
15,07/07/22 19:00:00,24.351,,,,
16,07/07/22 19:30:00,9.866,,,,
17,07/07/22 20:00:00,9.669,,,,
18,07/07/22 20:30:00,9.472,,,,
19,07/07/22 21:00:00,9.275,,,,
20,07/07/22 21:30:00,9.077,,,,
21,07/07/22 22:00:00,8.879,,,,
22,07/07/22 22:30:00,8.779,,,,
23,07/07/22 23:00:00,8.680,,,,
24,07/07/22 23:30:00,8.581,,,,
25,07/08/22 00:00:00,8.581,,,,
26,07/08/22 00:30:00,8.481,,,,
27,07/08/22 01:00:00,8.382,,,,
28,07/08/22 01:30:00,8.382,,,,
29,07/08/22 02:00:00,8.382,,,,
30,07/08/22 02:30:00,8.382,,,,
31,07/08/22 03:00:00,8.282,,,,
32,07/08/22 03:30:00,8.282,,,,
33,07/08/22 04:00:00,8.182,,,,
34,07/08/22 04:30:00,8.182,,,,
35,07/08/22 05:00:00,8.082,,,,
36,07/08/22 05:30:00,7.983,,,,
37,07/08/22 06:00:00,7.882,,,,
38,07/08/22 06:30:00,7.882,,,,
39,07/08/22 07:00:00,7.983,,,,
40,07/08/22 07:30:00,8.082,,,,
41,07/08/22 08:00:00,8.282,,,,
42,07/08/22 08:30:00,8.581,,,,
43,07/08/22 09:00:00,8.779,,,,
44,07/08/22 09:30:00,8.879,,,,
45,07/08/22 10:00:00,8.879,,,,
