"Plot Title: GEOCRK"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10172864, SEN S/N: 10172864, LBL: Temp)","Coupler Attached (LGR S/N: 10172864)","Host Connected (LGR S/N: 10172864)","Stopped (LGR S/N: 10172864)","End Of File (LGR S/N: 10172864)"
1,07/07/22 12:00:00,20.138,,,,
2,07/07/22 12:30:00,20.901,,,,
3,07/07/22 13:00:00,18.901,,,,
4,07/07/22 13:30:00,20.138,,,,
5,07/07/22 14:00:00,19.567,,,,
6,07/07/22 14:30:00,19.092,,,,
7,07/07/22 15:00:00,19.377,,,,
8,07/07/22 15:30:00,19.853,,,,
9,07/07/22 16:00:00,34.903,,,,
10,07/07/22 16:30:00,24.931,,,,
11,07/07/22 17:00:00,23.004,,,,
12,07/07/22 17:30:00,21.378,,,,
13,07/07/22 18:00:00,24.255,,,,
14,07/07/22 18:30:00,23.581,,,,
15,07/07/22 19:00:00,23.388,,,,
16,07/07/22 19:30:00,21.664,,,,
17,07/07/22 20:00:00,20.138,,,,
18,07/07/22 20:30:00,20.138,,,,
19,07/07/22 21:00:00,19.187,,,,
20,07/07/22 21:30:00,17.760,,,,
21,07/07/22 22:00:00,16.903,,,,
22,07/07/22 22:30:00,16.141,,,,
23,07/07/22 23:00:00,15.282,,,,
24,07/07/22 23:30:00,14.709,,,,
25,07/08/22 00:00:00,14.804,,,,
26,07/08/22 00:30:00,14.996,,,,
27,07/08/22 01:00:00,15.187,,,,
28,07/08/22 01:30:00,15.091,,,,
29,07/08/22 02:00:00,14.996,,,,
30,07/08/22 02:30:00,14.804,,,,
31,07/08/22 03:00:00,14.613,,,,
32,07/08/22 03:30:00,14.325,,,,
33,07/08/22 04:00:00,13.942,,,,
34,07/08/22 04:30:00,13.654,,,,
35,07/08/22 05:00:00,13.365,,,,
36,07/08/22 05:30:00,12.980,,,,
37,07/08/22 06:00:00,12.690,,,,
38,07/08/22 06:30:00,12.304,,,,
39,07/08/22 07:00:00,12.013,,,,
40,07/08/22 07:30:00,11.916,,,,
41,07/08/22 08:00:00,11.916,,,,
42,07/08/22 08:30:00,12.013,,,,
43,07/08/22 09:00:00,12.304,,,,
44,07/08/22 09:30:00,13.654,,,,
45,07/08/22 10:00:00,18.426,,,,
46,07/08/22 10:30:00,18.806,,,,
47,07/08/22 11:00:00,19.948,,,,
48,07/08/22 11:30:00,21.282,,,,
49,07/08/22 12:00:00,23.100,,,,
50,07/08/22 12:30:00,27.272,,,,
