"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137161, SEN S/N: 20137161)","End Of File (LGR S/N: 20137161)"
1,03/10/20 06:00:00 PM,19.567,
2,03/10/20 07:00:00 PM,19.472,
3,03/10/20 08:00:00 PM,18.901,
4,03/10/20 09:00:00 PM,18.901,
5,03/10/20 10:00:00 PM,19.472,
6,03/10/20 11:00:00 PM,19.662,
7,03/11/20 12:00:00 AM,19.758,
8,03/11/20 01:00:00 AM,19.662,
9,03/11/20 02:00:00 AM,19.472,
10,03/11/20 03:00:00 AM,19.282,
11,03/11/20 04:00:00 AM,18.996,
12,03/11/20 05:00:00 AM,18.711,
13,03/11/20 06:00:00 AM,18.426,
14,03/11/20 07:00:00 AM,18.236,
15,03/11/20 08:00:00 AM,17.094,
16,03/11/20 09:00:00 AM,17.950,
17,03/11/20 10:00:00 AM,18.711,
18,03/11/20 11:00:00 AM,19.092,
19,03/11/20 12:00:00 PM,19.377,
20,03/11/20 01:00:00 PM,19.472,
21,03/11/20 02:00:00 PM,19.567,
22,03/11/20 03:00:00 PM,19.567,
23,03/11/20 04:00:00 PM,19.282,
24,03/11/20 05:00:00 PM,19.092,
25,03/11/20 06:00:00 PM,18.996,
26,03/11/20 07:00:00 PM,18.806,
27,03/11/20 08:00:00 PM,18.616,
28,03/11/20 09:00:00 PM,18.331,
29,03/11/20 10:00:00 PM,18.045,
30,03/11/20 11:00:00 PM,17.665,
31,03/12/20 12:00:00 AM,17.284,
32,03/12/20 01:00:00 AM,16.903,
33,03/12/20 02:00:00 AM,16.523,
34,03/12/20 03:00:00 AM,16.141,
35,03/12/20 04:00:00 AM,15.760,
36,03/12/20 05:00:00 AM,15.282,
37,03/12/20 06:00:00 AM,14.900,
38,03/12/20 07:00:00 AM,14.517,
39,03/12/20 08:00:00 AM,14.900,
40,03/12/20 09:00:00 AM,16.237,
41,03/12/20 10:00:00 AM,17.665,
42,03/12/20 11:00:00 AM,18.616,
43,03/12/20 12:00:00 PM,18.996,
44,03/12/20 01:00:00 PM,19.472,
45,03/12/20 02:00:00 PM,19.662,
46,03/12/20 03:00:00 PM,19.853,
47,03/12/20 04:00:00 PM,19.662,
48,03/12/20 05:00:00 PM,19.567,
49,03/12/20 06:00:00 PM,19.282,
50,03/12/20 07:00:00 PM,19.092,
51,03/12/20 08:00:00 PM,18.806,
52,03/12/20 09:00:00 PM,18.426,
53,03/12/20 10:00:00 PM,18.045,
54,03/12/20 11:00:00 PM,17.760,
55,03/13/20 12:00:00 AM,17.284,
56,03/13/20 01:00:00 AM,16.903,
57,03/13/20 02:00:00 AM,16.523,
58,03/13/20 03:00:00 AM,16.141,
59,03/13/20 04:00:00 AM,15.760,
60,03/13/20 05:00:00 AM,15.378,
61,03/13/20 06:00:00 AM,14.996,
62,03/13/20 07:00:00 AM,14.709,
63,03/13/20 08:00:00 AM,14.996,
64,03/13/20 09:00:00 AM,16.332,
65,03/13/20 10:00:00 AM,17.570,
66,03/13/20 11:00:00 AM,18.426,
67,03/13/20 12:00:00 PM,18.901,
68,03/13/20 01:00:00 PM,19.187,
69,03/13/20 02:00:00 PM,19.377,
70,03/13/20 03:00:00 PM,19.472,
71,03/13/20 04:00:00 PM,19.567,
72,03/13/20 05:00:00 PM,19.567,
73,03/13/20 06:00:00 PM,19.567,
74,03/13/20 07:00:00 PM,19.377,
75,03/13/20 08:00:00 PM,18.996,
76,03/13/20 09:00:00 PM,18.426,
77,03/13/20 10:00:00 PM,17.950,
78,03/13/20 11:00:00 PM,17.475,
79,03/14/20 12:00:00 AM,17.094,
80,03/14/20 01:00:00 AM,16.713,
81,03/14/20 02:00:00 AM,16.332,
82,03/14/20 03:00:00 AM,15.951,
83,03/14/20 04:00:00 AM,15.664,
84,03/14/20 05:00:00 AM,15.282,
85,03/14/20 06:00:00 AM,14.996,
86,03/14/20 07:00:00 AM,14.709,
87,03/14/20 08:00:00 AM,14.517,
88,03/14/20 09:00:00 AM,14.230,
89,03/14/20 10:00:00 AM,14.613,
90,03/14/20 11:00:00 AM,14.421,
91,03/14/20 12:00:00 PM,14.230,
92,03/14/20 01:00:00 PM,14.038,
93,03/14/20 02:00:00 PM,13.750,
94,03/14/20 03:00:00 PM,13.654,
95,03/14/20 04:00:00 PM,13.558,
96,03/14/20 05:00:00 PM,13.461,
97,03/14/20 06:00:00 PM,13.269,
98,03/14/20 07:00:00 PM,13.076,
99,03/14/20 08:00:00 PM,12.787,
100,03/14/20 09:00:00 PM,12.497,
101,03/14/20 10:00:00 PM,12.304,
102,03/14/20 11:00:00 PM,12.013,
103,03/15/20 12:00:00 AM,11.819,
104,03/15/20 01:00:00 AM,11.625,
105,03/15/20 02:00:00 AM,11.431,
106,03/15/20 03:00:00 AM,11.236,
107,03/15/20 04:00:00 AM,11.041,
108,03/15/20 05:00:00 AM,10.846,
109,03/15/20 06:00:00 AM,10.651,
110,03/15/20 07:00:00 AM,11.722,
111,03/15/20 08:00:00 AM,13.269,
112,03/15/20 09:00:00 AM,14.134,
113,03/15/20 10:00:00 AM,14.709,
114,03/15/20 11:00:00 AM,15.091,
115,03/15/20 12:00:00 PM,15.378,
116,03/15/20 01:00:00 PM,15.569,
117,03/15/20 02:00:00 PM,15.664,
118,03/15/20 03:00:00 PM,15.760,
119,03/15/20 04:00:00 PM,15.760,
120,03/15/20 05:00:00 PM,15.760,
121,03/15/20 06:00:00 PM,15.664,
122,03/15/20 07:00:00 PM,15.473,
123,03/15/20 08:00:00 PM,15.187,
124,03/15/20 09:00:00 PM,14.900,
125,03/15/20 10:00:00 PM,14.613,
126,03/15/20 11:00:00 PM,14.421,
127,03/16/20 12:00:00 AM,14.134,
128,03/16/20 01:00:00 AM,13.846,
129,03/16/20 02:00:00 AM,13.654,
130,03/16/20 03:00:00 AM,13.269,
131,03/16/20 04:00:00 AM,13.076,
132,03/16/20 05:00:00 AM,12.690,
133,03/16/20 06:00:00 AM,12.401,
134,03/16/20 07:00:00 AM,12.787,
135,03/16/20 08:00:00 AM,14.038,
136,03/16/20 09:00:00 AM,15.855,
137,03/16/20 10:00:00 AM,17.284,
138,03/16/20 11:00:00 AM,18.140,
139,03/16/20 12:00:00 PM,18.140,
140,03/16/20 01:00:00 PM,18.521,
141,03/16/20 02:00:00 PM,18.806,
142,03/16/20 03:00:00 PM,18.996,
143,03/16/20 04:00:00 PM,19.187,
144,03/16/20 05:00:00 PM,19.282,
145,03/16/20 06:00:00 PM,19.187,
146,03/16/20 07:00:00 PM,18.901,
147,03/16/20 08:00:00 PM,18.616,
148,03/16/20 09:00:00 PM,18.331,
149,03/16/20 10:00:00 PM,18.045,
150,03/16/20 11:00:00 PM,17.760,
151,03/17/20 12:00:00 AM,17.475,
152,03/17/20 01:00:00 AM,17.189,
153,03/17/20 02:00:00 AM,16.808,
154,03/17/20 03:00:00 AM,16.427,
155,03/17/20 04:00:00 AM,15.951,
156,03/17/20 05:00:00 AM,15.569,
157,03/17/20 06:00:00 AM,15.187,
158,03/17/20 07:00:00 AM,14.804,
159,03/17/20 08:00:00 AM,14.996,
160,03/17/20 09:00:00 AM,16.427,
161,03/17/20 10:00:00 AM,17.665,
162,03/17/20 11:00:00 AM,18.521,
163,03/17/20 12:00:00 PM,19.092,
164,03/17/20 01:00:00 PM,19.472,
165,03/17/20 02:00:00 PM,19.662,
166,03/17/20 03:00:00 PM,19.853,
167,03/17/20 04:00:00 PM,19.948,
168,03/17/20 05:00:00 PM,19.853,
169,03/17/20 06:00:00 PM,19.853,
170,03/17/20 07:00:00 PM,19.662,
171,03/17/20 08:00:00 PM,19.472,
172,03/17/20 09:00:00 PM,19.282,
173,03/17/20 10:00:00 PM,18.996,
174,03/17/20 11:00:00 PM,18.711,
175,03/18/20 12:00:00 AM,18.331,
176,03/18/20 01:00:00 AM,17.950,
177,03/18/20 02:00:00 AM,17.570,
178,03/18/20 03:00:00 AM,17.189,
179,03/18/20 04:00:00 AM,16.713,
180,03/18/20 05:00:00 AM,16.332,
181,03/18/20 06:00:00 AM,15.951,
182,03/18/20 07:00:00 AM,15.569,
183,03/18/20 08:00:00 AM,15.473,
184,03/18/20 09:00:00 AM,16.618,
185,03/18/20 10:00:00 AM,17.760,
186,03/18/20 11:00:00 AM,18.521,
187,03/18/20 12:00:00 PM,19.092,
188,03/18/20 01:00:00 PM,19.472,
189,03/18/20 02:00:00 PM,19.662,
190,03/18/20 03:00:00 PM,19.853,
191,03/18/20 04:00:00 PM,19.853,
192,03/18/20 05:00:00 PM,19.853,
193,03/18/20 06:00:00 PM,19.758,
194,03/18/20 07:00:00 PM,19.662,
195,03/18/20 08:00:00 PM,19.377,
196,03/18/20 09:00:00 PM,19.092,
197,03/18/20 10:00:00 PM,18.806,
198,03/18/20 11:00:00 PM,18.521,
199,03/19/20 12:00:00 AM,18.140,
200,03/19/20 01:00:00 AM,17.760,
201,03/19/20 02:00:00 AM,17.379,
202,03/19/20 03:00:00 AM,16.999,
203,03/19/20 04:00:00 AM,16.523,
204,03/19/20 05:00:00 AM,16.141,
205,03/19/20 06:00:00 AM,15.760,
206,03/19/20 07:00:00 AM,15.378,
207,03/19/20 08:00:00 AM,15.282,
208,03/19/20 09:00:00 AM,16.618,
209,03/19/20 10:00:00 AM,17.760,
210,03/19/20 11:00:00 AM,18.521,
211,03/19/20 12:00:00 PM,19.092,
212,03/19/20 01:00:00 PM,19.472,
213,03/19/20 02:00:00 PM,19.662,
214,03/19/20 03:00:00 PM,19.853,
215,03/19/20 04:00:00 PM,19.948,
216,03/19/20 05:00:00 PM,19.948,
217,03/19/20 06:00:00 PM,19.853,
218,03/19/20 07:00:00 PM,19.567,
219,03/19/20 08:00:00 PM,19.187,
220,03/19/20 09:00:00 PM,18.996,
221,03/19/20 10:00:00 PM,18.711,
222,03/19/20 11:00:00 PM,18.426,
223,03/20/20 12:00:00 AM,18.236,
224,03/20/20 01:00:00 AM,17.855,
225,03/20/20 02:00:00 AM,17.570,
226,03/20/20 03:00:00 AM,17.189,
227,03/20/20 04:00:00 AM,16.903,
228,03/20/20 05:00:00 AM,16.523,
229,03/20/20 06:00:00 AM,16.141,
230,03/20/20 07:00:00 AM,15.760,
231,03/20/20 08:00:00 AM,15.569,
232,03/20/20 09:00:00 AM,16.713,
233,03/20/20 10:00:00 AM,17.760,
234,03/20/20 11:00:00 AM,18.426,
235,03/20/20 12:00:00 PM,17.760,
236,03/20/20 01:00:00 PM,17.665,
237,03/20/20 02:00:00 PM,18.045,
238,03/20/20 03:00:00 PM,18.331,
239,03/20/20 04:00:00 PM,18.521,
240,03/20/20 05:00:00 PM,19.187,
241,03/20/20 06:00:00 PM,19.567,
242,03/20/20 07:00:00 PM,19.662,
243,03/20/20 08:00:00 PM,19.567,
244,03/20/20 09:00:00 PM,19.377,
245,03/20/20 10:00:00 PM,19.187,
246,03/20/20 11:00:00 PM,18.806,
247,03/21/20 12:00:00 AM,18.521,
248,03/21/20 01:00:00 AM,18.140,
249,03/21/20 02:00:00 AM,17.760,
250,03/21/20 03:00:00 AM,17.379,
251,03/21/20 04:00:00 AM,16.903,
252,03/21/20 05:00:00 AM,16.523,
253,03/21/20 06:00:00 AM,16.141,
254,03/21/20 07:00:00 AM,15.760,
255,03/21/20 08:00:00 AM,15.378,
256,03/21/20 09:00:00 AM,14.996,
257,03/21/20 10:00:00 AM,14.996,
258,03/21/20 11:00:00 AM,14.900,
259,03/21/20 12:00:00 PM,14.804,
260,03/21/20 01:00:00 PM,14.709,
261,03/21/20 02:00:00 PM,14.804,
262,03/21/20 03:00:00 PM,14.996,
263,03/21/20 04:00:00 PM,15.187,
264,03/21/20 05:00:00 PM,15.378,
265,03/21/20 06:00:00 PM,15.473,
266,03/21/20 07:00:00 PM,15.473,
267,03/21/20 08:00:00 PM,15.473,
268,03/21/20 09:00:00 PM,15.378,
269,03/21/20 10:00:00 PM,15.282,
270,03/21/20 11:00:00 PM,15.187,
271,03/22/20 12:00:00 AM,14.996,
272,03/22/20 01:00:00 AM,14.709,
273,03/22/20 02:00:00 AM,14.517,
274,03/22/20 03:00:00 AM,14.230,
275,03/22/20 04:00:00 AM,13.942,
276,03/22/20 05:00:00 AM,13.654,
277,03/22/20 06:00:00 AM,13.365,
278,03/22/20 07:00:00 AM,13.365,
279,03/22/20 08:00:00 AM,14.134,
280,03/22/20 09:00:00 AM,14.804,
281,03/22/20 10:00:00 AM,14.996,
282,03/22/20 11:00:00 AM,15.187,
283,03/22/20 12:00:00 PM,15.378,
284,03/22/20 01:00:00 PM,15.569,
285,03/22/20 02:00:00 PM,15.760,
286,03/22/20 03:00:00 PM,15.951,
287,03/22/20 04:00:00 PM,16.046,
288,03/22/20 05:00:00 PM,16.141,
289,03/22/20 06:00:00 PM,16.141,
290,03/22/20 07:00:00 PM,16.046,
291,03/22/20 08:00:00 PM,16.046,
292,03/22/20 09:00:00 PM,15.951,
293,03/22/20 10:00:00 PM,15.855,
294,03/22/20 11:00:00 PM,15.760,
295,03/23/20 12:00:00 AM,15.664,
296,03/23/20 01:00:00 AM,15.473,
297,03/23/20 02:00:00 AM,15.378,
298,03/23/20 03:00:00 AM,15.187,
299,03/23/20 04:00:00 AM,14.996,
300,03/23/20 05:00:00 AM,14.804,
301,03/23/20 06:00:00 AM,14.613,
302,03/23/20 07:00:00 AM,14.613,
303,03/23/20 08:00:00 AM,15.091,
304,03/23/20 09:00:00 AM,16.332,
305,03/23/20 10:00:00 AM,17.570,
306,03/23/20 11:00:00 AM,18.426,
307,03/23/20 12:00:00 PM,18.901,
308,03/23/20 01:00:00 PM,19.282,
309,03/23/20 02:00:00 PM,19.472,
310,03/23/20 03:00:00 PM,19.567,
311,03/23/20 04:00:00 PM,19.662,
312,03/23/20 05:00:00 PM,19.662,
313,03/23/20 06:00:00 PM,19.662,
314,03/23/20 07:00:00 PM,19.472,
315,03/23/20 08:00:00 PM,19.187,
316,03/23/20 09:00:00 PM,18.711,
317,03/23/20 10:00:00 PM,18.331,
318,03/23/20 11:00:00 PM,17.950,
319,03/24/20 12:00:00 AM,17.570,
320,03/24/20 01:00:00 AM,17.284,
321,03/24/20 02:00:00 AM,16.903,
322,03/24/20 03:00:00 AM,16.618,
323,03/24/20 04:00:00 AM,16.332,
324,03/24/20 05:00:00 AM,16.046,
325,03/24/20 06:00:00 AM,15.760,
326,03/24/20 07:00:00 AM,15.473,
327,03/24/20 08:00:00 AM,15.473,
328,03/24/20 09:00:00 AM,16.618,
329,03/24/20 10:00:00 AM,17.760,
330,03/24/20 11:00:00 AM,18.521,
331,03/24/20 12:00:00 PM,18.996,
332,03/24/20 01:00:00 PM,19.282,
333,03/24/20 02:00:00 PM,19.472,
334,03/24/20 03:00:00 PM,19.567,
335,03/24/20 04:00:00 PM,19.567,
336,03/24/20 05:00:00 PM,19.567,
337,03/24/20 06:00:00 PM,19.567,
338,03/24/20 07:00:00 PM,19.282,
339,03/24/20 08:00:00 PM,18.996,
340,03/24/20 09:00:00 PM,18.616,
341,03/24/20 10:00:00 PM,18.140,
342,03/24/20 11:00:00 PM,17.760,
343,03/25/20 12:00:00 AM,17.379,
344,03/25/20 01:00:00 AM,16.999,
345,03/25/20 02:00:00 AM,16.618,
346,03/25/20 03:00:00 AM,16.237,
347,03/25/20 04:00:00 AM,15.951,
348,03/25/20 05:00:00 AM,15.569,
349,03/25/20 06:00:00 AM,15.282,
350,03/25/20 07:00:00 AM,14.996,
351,03/25/20 08:00:00 AM,15.187,
352,03/25/20 09:00:00 AM,16.523,
353,03/25/20 10:00:00 AM,17.094,
354,03/25/20 11:00:00 AM,17.284,
355,03/25/20 12:00:00 PM,17.379,
356,03/25/20 01:00:00 PM,17.094,
357,03/25/20 02:00:00 PM,16.999,
358,03/25/20 03:00:00 PM,16.903,
359,03/25/20 04:00:00 PM,16.903,
360,03/25/20 05:00:00 PM,16.999,
361,03/25/20 06:00:00 PM,16.903,
362,03/25/20 07:00:00 PM,16.808,
363,03/25/20 08:00:00 PM,16.618,
364,03/25/20 09:00:00 PM,16.332,
365,03/25/20 10:00:00 PM,16.046,
366,03/25/20 11:00:00 PM,15.760,
367,03/26/20 12:00:00 AM,15.473,
368,03/26/20 01:00:00 AM,15.091,
369,03/26/20 02:00:00 AM,14.900,
370,03/26/20 03:00:00 AM,14.613,
371,03/26/20 04:00:00 AM,14.325,
372,03/26/20 05:00:00 AM,14.038,
373,03/26/20 06:00:00 AM,13.750,
374,03/26/20 07:00:00 AM,13.750,
375,03/26/20 08:00:00 AM,14.517,
376,03/26/20 09:00:00 AM,15.951,
377,03/26/20 10:00:00 AM,17.284,
378,03/26/20 11:00:00 AM,18.140,
379,03/26/20 12:00:00 PM,18.711,
380,03/26/20 01:00:00 PM,19.092,
381,03/26/20 02:00:00 PM,19.282,
382,03/26/20 03:00:00 PM,19.472,
383,03/26/20 04:00:00 PM,19.567,
384,03/26/20 05:00:00 PM,19.662,
385,03/26/20 06:00:00 PM,19.662,
386,03/26/20 07:00:00 PM,19.472,
387,03/26/20 08:00:00 PM,19.092,
388,03/26/20 09:00:00 PM,18.711,
389,03/26/20 10:00:00 PM,18.236,
390,03/26/20 11:00:00 PM,17.855,
391,03/27/20 12:00:00 AM,17.475,
392,03/27/20 01:00:00 AM,17.094,
393,03/27/20 02:00:00 AM,16.713,
394,03/27/20 03:00:00 AM,16.332,
395,03/27/20 04:00:00 AM,16.046,
396,03/27/20 05:00:00 AM,15.760,
397,03/27/20 06:00:00 AM,15.378,
398,03/27/20 07:00:00 AM,15.187,
399,03/27/20 08:00:00 AM,15.282,
400,03/27/20 09:00:00 AM,16.427,
401,03/27/20 10:00:00 AM,17.570,
402,03/27/20 11:00:00 AM,18.331,
403,03/27/20 12:00:00 PM,18.806,
404,03/27/20 01:00:00 PM,19.092,
405,03/27/20 02:00:00 PM,19.282,
406,03/27/20 03:00:00 PM,19.472,
407,03/27/20 04:00:00 PM,19.567,
408,03/27/20 05:00:00 PM,19.567,
409,03/27/20 06:00:00 PM,19.567,
410,03/27/20 07:00:00 PM,19.377,
411,03/27/20 08:00:00 PM,18.996,
