"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137159, SEN S/N: 20137159)","Coupler Attached (LGR S/N: 20137159)","Host Connected (LGR S/N: 20137159)","Stopped (LGR S/N: 20137159)","End Of File (LGR S/N: 20137159)"
1,03/10/20 06:00:00 PM,19.567,,,,
2,03/10/20 07:00:00 PM,19.282,,,,
3,03/10/20 08:00:00 PM,18.711,,,,
4,03/10/20 09:00:00 PM,18.996,,,,
5,03/10/20 10:00:00 PM,19.472,,,,
6,03/10/20 11:00:00 PM,19.662,,,,
7,03/11/20 12:00:00 AM,19.758,,,,
8,03/11/20 01:00:00 AM,19.758,,,,
9,03/11/20 02:00:00 AM,19.662,,,,
10,03/11/20 03:00:00 AM,19.377,,,,
11,03/11/20 04:00:00 AM,19.187,,,,
12,03/11/20 05:00:00 AM,18.901,,,,
13,03/11/20 06:00:00 AM,18.616,,,,
14,03/11/20 07:00:00 AM,18.331,,,,
15,03/11/20 08:00:00 AM,17.284,,,,
16,03/11/20 09:00:00 AM,17.760,,,,
17,03/11/20 10:00:00 AM,18.521,,,,
18,03/11/20 11:00:00 AM,19.092,,,,
19,03/11/20 12:00:00 PM,19.377,,,,
20,03/11/20 01:00:00 PM,19.567,,,,
21,03/11/20 02:00:00 PM,19.662,,,,
22,03/11/20 03:00:00 PM,19.567,,,,
23,03/11/20 04:00:00 PM,19.377,,,,
24,03/11/20 05:00:00 PM,19.187,,,,
25,03/11/20 06:00:00 PM,19.092,,,,
26,03/11/20 07:00:00 PM,18.901,,,,
27,03/11/20 08:00:00 PM,18.711,,,,
28,03/11/20 09:00:00 PM,18.426,,,,
29,03/11/20 10:00:00 PM,18.140,,,,
30,03/11/20 11:00:00 PM,17.760,,,,
31,03/12/20 12:00:00 AM,17.379,,,,
32,03/12/20 01:00:00 AM,16.999,,,,
33,03/12/20 02:00:00 AM,16.618,,,,
34,03/12/20 03:00:00 AM,16.141,,,,
35,03/12/20 04:00:00 AM,15.760,,,,
36,03/12/20 05:00:00 AM,15.378,,,,
37,03/12/20 06:00:00 AM,14.900,,,,
38,03/12/20 07:00:00 AM,14.613,,,,
39,03/12/20 08:00:00 AM,14.900,,,,
40,03/12/20 09:00:00 AM,16.141,,,,
41,03/12/20 10:00:00 AM,17.570,,,,
42,03/12/20 11:00:00 AM,18.521,,,,
43,03/12/20 12:00:00 PM,18.901,,,,
44,03/12/20 01:00:00 PM,19.472,,,,
45,03/12/20 02:00:00 PM,19.758,,,,
46,03/12/20 03:00:00 PM,19.853,,,,
47,03/12/20 04:00:00 PM,19.758,,,,
48,03/12/20 05:00:00 PM,19.567,,,,
49,03/12/20 06:00:00 PM,19.377,,,,
50,03/12/20 07:00:00 PM,19.187,,,,
51,03/12/20 08:00:00 PM,18.901,,,,
52,03/12/20 09:00:00 PM,18.616,,,,
53,03/12/20 10:00:00 PM,18.236,,,,
54,03/12/20 11:00:00 PM,17.855,,,,
55,03/13/20 12:00:00 AM,17.475,,,,
56,03/13/20 01:00:00 AM,17.094,,,,
57,03/13/20 02:00:00 AM,16.618,,,,
58,03/13/20 03:00:00 AM,16.237,,,,
59,03/13/20 04:00:00 AM,15.855,,,,
60,03/13/20 05:00:00 AM,15.473,,,,
61,03/13/20 06:00:00 AM,15.187,,,,
62,03/13/20 07:00:00 AM,14.804,,,,
63,03/13/20 08:00:00 AM,14.996,,,,
64,03/13/20 09:00:00 AM,16.141,,,,
65,03/13/20 10:00:00 AM,17.379,,,,
66,03/13/20 11:00:00 AM,18.236,,,,
67,03/13/20 12:00:00 PM,18.806,,,,
68,03/13/20 01:00:00 PM,19.187,,,,
69,03/13/20 02:00:00 PM,19.377,,,,
70,03/13/20 03:00:00 PM,19.472,,,,
71,03/13/20 04:00:00 PM,19.567,,,,
