"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685715, SEN S/N: 20685715)","Host Connected (LGR S/N: 20685715)","Coupler Attached (LGR S/N: 20685715)","Stopped (LGR S/N: 20685715)","End Of File (LGR S/N: 20685715)"
1,03/10/20 06:00:00 PM,19.948,,,,
2,03/10/20 07:00:00 PM,19.187,,,,
3,03/10/20 08:00:00 PM,18.521,,,,
4,03/10/20 09:00:00 PM,17.950,,,,
5,03/10/20 10:00:00 PM,17.475,,,,
6,03/10/20 11:00:00 PM,16.999,,,,
7,03/11/20 12:00:00 AM,16.523,,,,
8,03/11/20 01:00:00 AM,16.046,,,,
9,03/11/20 02:00:00 AM,15.569,,,,
10,03/11/20 03:00:00 AM,15.187,,,,
11,03/11/20 04:00:00 AM,14.804,,,,
12,03/11/20 05:00:00 AM,14.421,,,,
13,03/11/20 06:00:00 AM,14.134,,,,
14,03/11/20 07:00:00 AM,13.846,,,,
15,03/11/20 08:00:00 AM,16.332,,,,
16,03/11/20 09:00:00 AM,18.140,,,,
17,03/11/20 10:00:00 AM,18.806,,,,
18,03/11/20 11:00:00 AM,19.187,,,,
19,03/11/20 12:00:00 PM,19.472,,,,
20,03/11/20 01:00:00 PM,19.472,,,,
21,03/11/20 02:00:00 PM,19.567,,,,
22,03/11/20 03:00:00 PM,19.567,,,,
23,03/11/20 04:00:00 PM,19.377,,,,
24,03/11/20 05:00:00 PM,19.092,,,,
25,03/11/20 06:00:00 PM,18.996,,,,
26,03/11/20 07:00:00 PM,18.806,,,,
27,03/11/20 08:00:00 PM,18.616,,,,
28,03/11/20 09:00:00 PM,18.331,,,,
29,03/11/20 10:00:00 PM,18.045,,,,
30,03/11/20 11:00:00 PM,17.665,,,,
31,03/12/20 12:00:00 AM,17.284,,,,
32,03/12/20 01:00:00 AM,16.903,,,,
33,03/12/20 02:00:00 AM,16.523,,,,
34,03/12/20 03:00:00 AM,16.046,,,,
35,03/12/20 04:00:00 AM,15.664,,,,
36,03/12/20 05:00:00 AM,15.282,,,,
37,03/12/20 06:00:00 AM,14.804,,,,
38,03/12/20 07:00:00 AM,14.517,,,,
39,03/12/20 08:00:00 AM,15.091,,,,
40,03/12/20 09:00:00 AM,16.523,,,,
41,03/12/20 10:00:00 AM,17.950,,,,
42,03/12/20 11:00:00 AM,18.806,,,,
43,03/12/20 12:00:00 PM,19.092,,,,
44,03/12/20 01:00:00 PM,19.567,,,,
45,03/12/20 02:00:00 PM,19.758,,,,
46,03/12/20 03:00:00 PM,19.853,,,,
47,03/12/20 04:00:00 PM,19.662,,,,
48,03/12/20 05:00:00 PM,19.567,,,,
49,03/12/20 06:00:00 PM,19.282,,,,
50,03/12/20 07:00:00 PM,19.092,,,,
51,03/12/20 08:00:00 PM,18.806,,,,
52,03/12/20 09:00:00 PM,18.426,,,,
53,03/12/20 10:00:00 PM,18.045,,,,
54,03/12/20 11:00:00 PM,17.665,,,,
55,03/13/20 12:00:00 AM,17.284,,,,
56,03/13/20 01:00:00 AM,16.903,,,,
57,03/13/20 02:00:00 AM,16.427,,,,
58,03/13/20 03:00:00 AM,16.046,,,,
59,03/13/20 04:00:00 AM,15.664,,,,
60,03/13/20 05:00:00 AM,15.378,,,,
61,03/13/20 06:00:00 AM,14.996,,,,
62,03/13/20 07:00:00 AM,14.709,,,,
63,03/13/20 08:00:00 AM,15.091,,,,
64,03/13/20 09:00:00 AM,16.523,,,,
65,03/13/20 10:00:00 AM,17.760,,,,
66,03/13/20 11:00:00 AM,18.521,,,,
67,03/13/20 12:00:00 PM,18.996,,,,
68,03/13/20 01:00:00 PM,19.282,,,,
69,03/13/20 02:00:00 PM,19.472,,,,
70,03/13/20 03:00:00 PM,19.567,,,,
71,03/13/20 04:00:00 PM,19.567,,,,
72,03/13/20 05:00:00 PM,19.662,,,,
73,03/13/20 06:00:00 PM,19.567,,,,
74,03/13/20 07:00:00 PM,19.377,,,,
75,03/13/20 08:00:00 PM,18.901,,,,
76,03/13/20 09:00:00 PM,18.426,,,,
77,03/13/20 10:00:00 PM,17.950,,,,
78,03/13/20 11:00:00 PM,17.475,,,,
79,03/14/20 12:00:00 AM,16.999,,,,
80,03/14/20 01:00:00 AM,16.618,,,,
81,03/14/20 02:00:00 AM,16.237,,,,
82,03/14/20 03:00:00 AM,15.951,,,,
83,03/14/20 04:00:00 AM,15.569,,,,
84,03/14/20 05:00:00 AM,15.282,,,,
85,03/14/20 06:00:00 AM,14.996,,,,
86,03/14/20 07:00:00 AM,14.709,,,,
87,03/14/20 08:00:00 AM,14.421,,,,
88,03/14/20 09:00:00 AM,14.230,,,,
89,03/14/20 10:00:00 AM,14.613,,,,
90,03/14/20 11:00:00 AM,14.517,,,,
91,03/14/20 12:00:00 PM,14.230,,,,
92,03/14/20 01:00:00 PM,14.038,,,,
93,03/14/20 02:00:00 PM,13.750,,,,
94,03/14/20 03:00:00 PM,13.654,,,,
95,03/14/20 04:00:00 PM,13.558,,,,
96,03/14/20 05:00:00 PM,13.461,,,,
97,03/14/20 06:00:00 PM,13.269,,,,
98,03/14/20 07:00:00 PM,13.076,,,,
99,03/14/20 08:00:00 PM,12.787,,,,
100,03/14/20 09:00:00 PM,12.497,,,,
101,03/14/20 10:00:00 PM,12.304,,,,
102,03/14/20 11:00:00 PM,12.013,,,,
103,03/15/20 12:00:00 AM,11.819,,,,
104,03/15/20 01:00:00 AM,11.625,,,,
105,03/15/20 02:00:00 AM,11.431,,,,
106,03/15/20 03:00:00 AM,11.236,,,,
107,03/15/20 04:00:00 AM,11.041,,,,
108,03/15/20 05:00:00 AM,10.846,,,,
109,03/15/20 06:00:00 AM,10.651,,,,
110,03/15/20 07:00:00 AM,12.013,,,,
111,03/15/20 08:00:00 AM,13.461,,,,
112,03/15/20 09:00:00 AM,14.325,,,,
113,03/15/20 10:00:00 AM,14.804,,,,
114,03/15/20 11:00:00 AM,15.187,,,,
115,03/15/20 12:00:00 PM,15.473,,,,
116,03/15/20 01:00:00 PM,15.664,,,,
117,03/15/20 02:00:00 PM,15.760,,,,
118,03/15/20 03:00:00 PM,15.855,,,,
119,03/15/20 04:00:00 PM,15.760,,,,
120,03/15/20 05:00:00 PM,15.760,,,,
121,03/15/20 06:00:00 PM,15.664,,,,
122,03/15/20 07:00:00 PM,15.473,,,,
123,03/15/20 08:00:00 PM,15.187,,,,
124,03/15/20 09:00:00 PM,14.900,,,,
125,03/15/20 10:00:00 PM,14.613,,,,
126,03/15/20 11:00:00 PM,14.325,,,,
127,03/16/20 12:00:00 AM,14.134,,,,
128,03/16/20 01:00:00 AM,13.846,,,,
129,03/16/20 02:00:00 AM,13.654,,,,
130,03/16/20 03:00:00 AM,13.269,,,,
131,03/16/20 04:00:00 AM,12.980,,,,
132,03/16/20 05:00:00 AM,12.690,,,,
133,03/16/20 06:00:00 AM,12.401,,,,
134,03/16/20 07:00:00 AM,12.980,,,,
135,03/16/20 08:00:00 AM,14.230,,,,
136,03/16/20 09:00:00 AM,16.141,,,,
137,03/16/20 10:00:00 AM,17.475,,,,
138,03/16/20 11:00:00 AM,18.331,,,,
139,03/16/20 12:00:00 PM,18.236,,,,
140,03/16/20 01:00:00 PM,18.616,,,,
