"Plot Title: PMPWEB2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560916, SEN S/N: 10560916)","RH, % (LGR S/N: 10560916, SEN S/N: 10560916)","Coupler Detached (LGR S/N: 10560916)","Coupler Attached (LGR S/N: 10560916)","Host Connected (LGR S/N: 10560916)","Stopped (LGR S/N: 10560916)","End Of File (LGR S/N: 10560916)"
1,07/27/21 18:00:00,25.428,57.979,Logged,,,,
2,07/27/21 19:00:00,24.436,60.637,,,,,
3,07/27/21 20:00:00,24.243,61.556,,,,,
4,07/27/21 21:00:00,24.002,62.128,,,,,
5,07/27/21 22:00:00,23.689,62.595,,,,,
6,07/27/21 23:00:00,23.424,62.613,,,,,
7,07/28/21 00:00:00,23.136,62.565,,,,,
8,07/28/21 01:00:00,22.872,62.431,,,,,
9,07/28/21 02:00:00,22.585,62.292,,,,,
10,07/28/21 03:00:00,22.298,62.093,,,,,
11,07/28/21 04:00:00,22.011,61.986,,,,,
12,07/28/21 05:00:00,21.748,61.791,,,,,
13,07/28/21 06:00:00,21.437,61.468,,,,,
14,07/28/21 07:00:00,21.151,61.270,,,,,
15,07/28/21 08:00:00,20.936,61.538,,,,,
16,07/28/21 09:00:00,20.698,66.746,,,,,
17,07/28/21 10:00:00,21.987,49.591,,,,,
18,07/28/21 11:00:00,21.413,45.001,,,,,
19,07/28/21 12:00:00,24.002,39.655,,,,,
20,07/28/21 13:00:00,28.593,30.531,,,,,
21,07/28/21 14:00:00,31.586,28.060,,,,,
22,07/28/21 15:00:00,30.117,36.760,,,,,
23,07/28/21 16:00:00,34.281,34.304,,,,,
24,07/28/21 17:00:00,33.678,32.845,,,,,
25,07/28/21 18:00:00,27.112,37.798,,,,,
26,07/28/21 19:00:00,28.444,39.198,,,,,
27,07/28/21 20:00:00,29.165,37.069,,,,,
28,07/28/21 21:00:00,27.899,32.406,,,,,
29,07/28/21 22:00:00,24.677,39.004,,,,,
30,07/28/21 23:00:00,23.665,40.470,,,,,
31,07/29/21 00:00:00,22.393,41.828,,,,,
32,07/29/21 01:00:00,21.127,42.461,,,,,
33,07/29/21 02:00:00,20.007,42.558,,,,,
34,07/29/21 03:00:00,19.032,43.631,,,,,
35,07/29/21 04:00:00,18.152,44.291,,,,,
36,07/29/21 05:00:00,17.463,44.590,,,,,
37,07/29/21 06:00:00,16.963,44.150,,,,,
38,07/29/21 07:00:00,17.486,50.216,,,,,
39,07/29/21 08:00:00,17.843,57.438,,,,,
40,07/29/21 09:00:00,21.891,47.422,,,,,
41,07/29/21 10:00:00,26.109,33.493,,,,,
42,07/29/21 11:00:00,28.642,28.211,,,,,
43,07/29/21 12:00:00,29.815,27.717,,,,,
44,07/29/21 13:00:00,30.925,26.592,,,,,
45,07/29/21 14:00:00,30.646,29.605,,,,,
46,07/29/21 15:00:00,30.900,30.449,,,,,
47,07/29/21 16:00:00,30.824,32.902,,,,,
