"Plot Title: PPCAST2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133753, SEN S/N: 20133753)","RH, % (LGR S/N: 20133753, SEN S/N: 20133753)","Coupler Detached (LGR S/N: 20133753)","Bad Battery (LGR S/N: 20133753)","Good Battery (LGR S/N: 20133753)","Coupler Attached (LGR S/N: 20133753)","Host Connected (LGR S/N: 20133753)","Stopped (LGR S/N: 20133753)","End Of File (LGR S/N: 20133753)"
1,07/27/21 18:00:00,24.363,62.065,Logged,,,,,,
2,07/27/21 19:00:00,24.074,62.567,,,,,,,
3,07/27/21 20:00:00,23.954,62.456,,,,,,,
4,07/27/21 21:00:00,23.833,62.375,,,,,,,
5,07/27/21 22:00:00,23.617,62.279,,,,,,,
6,07/27/21 23:00:00,23.376,62.118,,,,,,,
7,07/28/21 00:00:00,23.136,61.926,,,,,,,
8,07/28/21 01:00:00,22.872,61.701,,,,,,,
9,07/28/21 02:00:00,22.609,61.475,,,,,,,
10,07/28/21 03:00:00,22.321,61.276,,,,,,,
11,07/28/21 04:00:00,22.034,61.078,,,,,,,
12,07/28/21 05:00:00,21.772,60.914,,,,,,,
13,07/28/21 06:00:00,21.485,60.655,,,,,,,
14,07/28/21 07:00:00,21.199,60.396,,,,,,,
15,07/28/21 08:00:00,20.984,60.544,,,,,,,
16,07/28/21 09:00:00,20.746,62.594,,,,,,,
17,07/28/21 10:00:00,21.056,58.849,,,,,,,
18,07/28/21 11:00:00,21.032,50.096,,,,,,,
19,07/28/21 12:00:00,21.581,49.032,,,,,,,
20,07/28/21 13:00:00,23.785,44.350,,,,,,,
21,07/28/21 14:00:00,27.530,38.173,,,,,,,
22,07/28/21 15:00:00,27.825,45.119,,,,,,,
23,07/28/21 16:00:00,30.293,48.611,,,,,,,
24,07/28/21 17:00:00,32.381,39.339,,,,,,,
25,07/28/21 18:00:00,29.215,33.234,,,,,,,
26,07/28/21 19:00:00,28.493,39.402,,,,,,,
27,07/28/21 20:00:00,28.791,39.334,,,,,,,
28,07/28/21 21:00:00,27.875,36.440,,,,,,,
29,07/28/21 22:00:00,26.891,37.311,,,,,,,
30,07/28/21 23:00:00,26.085,37.629,,,,,,,
31,07/29/21 00:00:00,24.919,38.106,,,,,,,
