"Plot Title: PPUPL1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560917, SEN S/N: 10560917, LBL: Temp)","RH, % (LGR S/N: 10560917, SEN S/N: 10560917, LBL: RH)","Coupler Detached (LGR S/N: 10560917)","Coupler Attached (LGR S/N: 10560917)","Host Connected (LGR S/N: 10560917)","Stopped (LGR S/N: 10560917)","End Of File (LGR S/N: 10560917)"
1,07/07/22 12:00:00,18.652,64.190,Logged,,,,
2,07/07/22 12:30:00,19.555,64.732,,,,,
3,07/07/22 13:00:00,18.509,64.076,,,,,
4,07/07/22 13:30:00,18.152,70.250,,,,,
5,07/07/22 14:00:00,18.771,62.177,,,,,
6,07/07/22 14:30:00,18.794,64.512,,,,,
7,07/07/22 15:00:00,19.222,68.049,,,,,
8,07/07/22 15:30:00,19.651,69.625,,,,,
9,07/07/22 16:00:00,19.199,70.038,,,,,
10,07/07/22 16:30:00,21.342,68.166,,,,,
11,07/07/22 17:00:00,21.008,57.155,,,,,
12,07/07/22 17:30:00,20.627,58.262,,,,,
13,07/07/22 18:00:00,24.532,53.815,,,,,
14,07/07/22 18:30:00,22.417,48.506,,,,,
15,07/07/22 19:00:00,16.392,65.750,,,,,
16,07/07/22 19:30:00,15.605,67.889,,,,,
17,07/07/22 20:00:00,15.103,71.574,,,,,
18,07/07/22 20:30:00,13.329,82.964,,,,,
19,07/07/22 21:00:00,12.509,86.855,,,,,
20,07/07/22 21:30:00,12.243,88.959,,,,,
21,07/07/22 22:00:00,11.807,90.396,,,,,
22,07/07/22 22:30:00,11.346,94.303,,,,,
23,07/07/22 23:00:00,11.005,95.231,,,,,
24,07/07/22 23:30:00,11.467,96.697,,,,,
25,07/08/22 00:00:00,11.467,96.596,,,,,
26,07/08/22 00:30:00,11.443,96.235,,,,,
27,07/08/22 01:00:00,11.102,96.598,,,,,
28,07/08/22 01:30:00,10.956,97.389,,,,,
29,07/08/22 02:00:00,10.834,97.732,,,,,
30,07/08/22 02:30:00,10.858,97.838,,,,,
31,07/08/22 03:00:00,10.810,97.875,,,,,
32,07/08/22 03:30:00,10.320,97.015,,,,,
33,07/08/22 04:00:00,9.854,97.263,,,,,
34,07/08/22 04:30:00,9.657,96.659,,,,,
35,07/08/22 05:00:00,9.015,96.560,,,,,
36,07/08/22 05:30:00,8.891,95.625,,,,,
37,07/08/22 06:00:00,8.593,94.968,,,,,
38,07/08/22 06:30:00,11.856,87.309,,,,,
39,07/08/22 07:00:00,13.329,86.944,,,,,
40,07/08/22 07:30:00,12.920,85.083,,,,,
41,07/08/22 08:00:00,13.112,85.235,,,,,
42,07/08/22 08:30:00,14.050,81.162,,,,,
43,07/08/22 09:00:00,15.151,75.277,,,,,
44,07/08/22 09:30:00,13.209,86.168,,,,,
45,07/08/22 10:00:00,13.690,81.602,,,,,
46,07/08/22 10:30:00,16.010,70.685,,,,,
47,07/08/22 11:00:00,17.605,66.435,,,,,
48,07/08/22 11:30:00,16.630,65.233,,,,,
49,07/08/22 12:00:00,20.103,54.213,,,,,
50,07/08/22 12:30:00,20.031,51.403,,,,,
51,07/08/22 13:00:00,18.105,57.143,,,,,
52,07/08/22 13:30:00,17.534,60.774,,,,,
53,07/08/22 14:00:00,18.461,58.688,,,,,
54,07/08/22 14:30:00,18.461,58.232,,,,,
55,07/08/22 15:00:00,19.555,55.800,,,,,
56,07/08/22 15:30:00,18.129,58.878,,,,,
57,07/08/22 16:00:00,17.986,58.735,,,,,
58,07/08/22 16:30:00,17.891,57.171,,,,,
59,07/08/22 17:00:00,17.938,59.393,,,,,
60,07/08/22 17:30:00,18.271,57.929,,,,,
61,07/08/22 18:00:00,18.295,54.661,,,,,
