"Plot Title: PPWET12021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133751, SEN S/N: 20133751)","RH, % (LGR S/N: 20133751, SEN S/N: 20133751)","Coupler Detached (LGR S/N: 20133751)","Coupler Attached (LGR S/N: 20133751)","Host Connected (LGR S/N: 20133751)","Stopped (LGR S/N: 20133751)","End Of File (LGR S/N: 20133751)"
1,07/27/21 18:00:00,25.744,55.904,Logged,,,,
2,07/27/21 19:00:00,24.460,59.656,,,,,
3,07/27/21 20:00:00,24.146,61.020,,,,,
4,07/27/21 21:00:00,23.905,61.777,,,,,
5,07/27/21 22:00:00,23.617,62.126,,,,,
6,07/27/21 23:00:00,23.352,62.175,,,,,
7,07/28/21 00:00:00,23.064,62.067,,,,,
8,07/28/21 01:00:00,22.776,61.929,,,,,
9,07/28/21 02:00:00,22.489,61.790,,,,,
10,07/28/21 03:00:00,22.178,61.557,,,,,
11,07/28/21 04:00:00,21.891,61.541,,,,,
12,07/28/21 05:00:00,21.604,61.191,,,,,
13,07/28/21 06:00:00,21.318,60.811,,,,,
14,07/28/21 07:00:00,21.032,60.643,,,,,
15,07/28/21 08:00:00,20.841,61.219,,,,,
16,07/28/21 09:00:00,20.674,67.425,,,,,
17,07/28/21 10:00:00,21.413,46.502,,,,,
18,07/28/21 11:00:00,21.056,40.837,,,,,
19,07/28/21 12:00:00,22.106,40.334,,,,,
20,07/28/21 13:00:00,25.258,36.185,,,,,
21,07/28/21 14:00:00,29.315,31.000,,,,,
22,07/28/21 15:00:00,29.315,41.810,,,,,
23,07/28/21 16:00:00,33.105,38.336,,,,,
24,07/28/21 17:00:00,33.652,32.740,,,,,
25,07/28/21 18:00:00,29.389,34.231,,,,,
26,07/28/21 19:00:00,28.667,38.555,,,,,
27,07/28/21 20:00:00,28.941,38.183,,,,,
28,07/28/21 21:00:00,28.345,34.202,,,,,
29,07/28/21 22:00:00,26.965,35.851,,,,,
30,07/28/21 23:00:00,25.890,36.580,,,,,
31,07/29/21 00:00:00,24.726,37.161,,,,,
32,07/29/21 01:00:00,23.400,37.688,,,,,
33,07/29/21 02:00:00,22.130,37.887,,,,,
34,07/29/21 03:00:00,20.984,39.009,,,,,
35,07/29/21 04:00:00,19.936,39.808,,,,,
36,07/29/21 05:00:00,19.056,40.456,,,,,
37,07/29/21 06:00:00,18.319,40.793,,,,,
38,07/29/21 07:00:00,18.010,46.397,,,,,
39,07/29/21 08:00:00,18.533,54.357,,,,,
40,07/29/21 09:00:00,22.274,58.854,,,,,
41,07/29/21 10:00:00,21.246,59.123,,,,,
42,07/29/21 11:00:00,23.521,55.329,,,,,
43,07/29/21 12:00:00,25.089,44.504,,,,,
44,07/29/21 13:00:00,26.916,39.105,,,,,
45,07/29/21 14:00:00,27.431,43.309,,,,,
46,07/29/21 15:00:00,27.628,43.659,,,,,
47,07/29/21 16:00:00,27.333,44.344,,,,,
48,07/29/21 17:00:00,27.112,42.553,,,,,
49,07/29/21 18:00:00,26.402,42.080,,,,,
50,07/29/21 19:00:00,24.895,42.173,,,,,
51,07/29/21 20:00:00,22.537,44.814,,,,,
52,07/29/21 21:00:00,19.032,51.858,,,,,
53,07/29/21 22:00:00,16.939,58.903,,,,,
54,07/29/21 23:00:00,16.249,61.134,,,,,
55,07/30/21 00:00:00,14.266,68.917,,,,,
56,07/30/21 01:00:00,13.353,75.276,,,,,
57,07/30/21 02:00:00,13.064,84.417,,,,,
58,07/30/21 03:00:00,13.305,78.661,,,,,
59,07/30/21 04:00:00,13.810,74.920,,,,,
60,07/30/21 05:00:00,13.112,83.403,,,,,
61,07/30/21 06:00:00,12.992,78.759,,,,,
62,07/30/21 07:00:00,14.553,92.888,,,,,
63,07/30/21 08:00:00,17.915,82.459,,,,,
64,07/30/21 09:00:00,21.652,68.548,,,,,
65,07/30/21 10:00:00,24.726,57.655,,,,,
66,07/30/21 11:00:00,27.653,45.880,,,,,
67,07/30/21 12:00:00,29.715,34.430,,,,,
68,07/30/21 13:00:00,31.128,31.495,,,,,
