"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560915, SEN S/N: 10560915)","RH, % (LGR S/N: 10560915, SEN S/N: 10560915)","Coupler Detached (LGR S/N: 10560915)","Coupler Attached (LGR S/N: 10560915)","Host Connected (LGR S/N: 10560915)","Stopped (LGR S/N: 10560915)","End Of File (LGR S/N: 10560915)"
1,06/09/20 13:00:00,21.843,54.961,Logged,,,,
2,06/09/20 13:30:00,21.079,55.748,,,,,
3,06/09/20 14:00:00,20.698,56.216,,,,,
4,06/09/20 14:30:00,20.484,56.553,,,,,
5,06/09/20 15:00:00,20.365,56.750,,,,,
6,06/09/20 15:30:00,20.269,56.828,,,,,
7,06/09/20 16:00:00,20.246,56.886,,,,,
8,06/09/20 16:30:00,20.222,56.975,,,,,
9,06/09/20 17:00:00,20.222,57.097,,,,,
10,06/09/20 17:30:00,20.222,57.159,,,,,
11,06/09/20 18:00:00,20.293,57.200,,,,,
12,06/09/20 18:30:00,20.341,57.238,,,,,
13,06/09/20 19:00:00,20.388,57.276,,,,,
14,06/09/20 19:30:00,20.365,57.426,,,,,
15,06/09/20 20:00:00,20.317,57.725,,,,,
16,06/09/20 20:30:00,20.269,57.901,,,,,
17,06/09/20 21:00:00,20.222,58.016,,,,,
18,06/09/20 21:30:00,20.222,58.169,,,,,
19,06/09/20 22:00:00,20.198,58.257,,,,,
20,06/09/20 22:30:00,20.222,58.291,,,,,
21,06/09/20 23:00:00,20.222,58.322,,,,,
22,06/09/20 23:30:00,20.246,58.356,,,,,
23,06/10/20 00:00:00,20.246,58.417,,,,,
24,06/10/20 00:30:00,20.246,58.448,,,,,
25,06/10/20 01:00:00,20.246,58.509,,,,,
26,06/10/20 01:30:00,20.222,58.536,,,,,
27,06/10/20 02:00:00,20.222,58.597,,,,,
28,06/10/20 02:30:00,20.222,58.627,,,,,
29,06/10/20 03:00:00,20.198,58.654,,,,,
30,06/10/20 03:30:00,20.174,58.711,,,,,
31,06/10/20 04:00:00,20.174,58.772,,,,,
32,06/10/20 04:30:00,20.150,58.799,,,,,
33,06/10/20 05:00:00,20.126,58.856,,,,,
34,06/10/20 05:30:00,20.103,58.914,,,,,
35,06/10/20 06:00:00,20.079,59.001,,,,,
36,06/10/20 06:30:00,20.103,59.096,,,,,
37,06/10/20 07:00:00,20.174,59.199,,,,,
