"Plot Title: RDRCRK2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10943620, SEN S/N: 10943620, LBL: Temp)","RH, % (LGR S/N: 10943620, SEN S/N: 10943620, LBL: RH)","Coupler Detached (LGR S/N: 10943620)","Coupler Attached (LGR S/N: 10943620)","Host Connected (LGR S/N: 10943620)","Stopped (LGR S/N: 10943620)","End Of File (LGR S/N: 10943620)"
1,07/27/21 18:00:00,23.665,65.378,Logged,,,,
2,07/27/21 19:00:00,23.954,63.733,,,,,
3,07/27/21 20:00:00,23.954,63.338,,,,,
4,07/27/21 21:00:00,23.833,63.227,,,,,
5,07/27/21 22:00:00,23.617,63.252,,,,,
6,07/27/21 23:00:00,23.400,63.186,,,,,
7,07/28/21 00:00:00,23.160,63.025,,,,,
8,07/28/21 01:00:00,22.920,62.863,,,,,
9,07/28/21 02:00:00,22.657,62.699,,,,,
10,07/28/21 03:00:00,22.393,62.534,,,,,
11,07/28/21 04:00:00,22.106,62.365,,,,,
12,07/28/21 05:00:00,21.843,62.201,,,,,
13,07/28/21 06:00:00,21.557,61.972,,,,,
14,07/28/21 07:00:00,21.270,61.774,,,,,
15,07/28/21 08:00:00,21.032,61.796,,,,,
16,07/28/21 09:00:00,20.817,63.720,,,,,
17,07/28/21 10:00:00,21.366,61.547,,,,,
18,07/28/21 11:00:00,21.175,51.434,,,,,
19,07/28/21 12:00:00,22.633,49.961,,,,,
20,07/28/21 13:00:00,26.573,42.361,,,,,
21,07/28/21 14:00:00,30.621,35.021,,,,,
22,07/28/21 15:00:00,31.255,38.653,,,,,
23,07/28/21 16:00:00,35.904,37.189,,,,,
24,07/28/21 17:00:00,34.519,38.139,,,,,
25,07/28/21 18:00:00,28.369,36.790,,,,,
26,07/28/21 19:00:00,28.642,39.783,,,,,
27,07/28/21 20:00:00,28.916,39.313,,,,,
28,07/28/21 21:00:00,27.161,38.435,,,,,
29,07/28/21 22:00:00,25.890,39.065,,,,,
30,07/28/21 23:00:00,25.307,39.498,,,,,
31,07/29/21 00:00:00,24.146,40.195,,,,,
32,07/29/21 01:00:00,22.848,40.740,,,,,
33,07/29/21 02:00:00,21.628,40.964,,,,,
34,07/29/21 03:00:00,20.555,41.751,,,,,
35,07/29/21 04:00:00,19.603,42.416,,,,,
36,07/29/21 05:00:00,18.794,42.900,,,,,
37,07/29/21 06:00:00,18.105,42.948,,,,,
38,07/29/21 07:00:00,18.176,47.741,,,,,
39,07/29/21 08:00:00,14.098,70.551,,,,,
40,07/29/21 09:00:00,14.002,85.819,,,,,
41,07/29/21 10:00:00,17.177,77.131,,,,,
42,07/29/21 11:00:00,20.650,55.931,,,,,
43,07/29/21 12:00:00,23.809,43.609,,,,,
44,07/29/21 13:00:00,27.407,33.038,,,,,
45,07/29/21 14:00:00,29.240,34.183,,,,,
46,07/29/21 15:00:00,29.615,34.387,,,,,
47,07/29/21 16:00:00,29.565,36.437,,,,,
48,07/29/21 17:00:00,29.315,35.337,,,,,
49,07/29/21 18:00:00,28.245,35.034,,,,,
50,07/29/21 19:00:00,26.720,35.058,,,,,
51,07/29/21 20:00:00,23.280,45.289,,,,,
52,07/29/21 21:00:00,18.557,56.081,,,,,
53,07/29/21 22:00:00,15.986,64.502,,,,,
54,07/29/21 23:00:00,14.529,69.715,,,,,
55,07/30/21 00:00:00,13.858,72.273,,,,,
56,07/30/21 01:00:00,13.930,72.458,,,,,
57,07/30/21 02:00:00,14.673,69.108,,,,,
58,07/30/21 03:00:00,14.457,70.878,,,,,
59,07/30/21 04:00:00,14.266,73.148,,,,,
60,07/30/21 05:00:00,14.745,69.410,,,,,
61,07/30/21 06:00:00,15.127,70.316,,,,,
62,07/30/21 07:00:00,14.768,76.212,,,,,
63,07/30/21 08:00:00,15.390,81.568,,,,,
64,07/30/21 09:00:00,20.722,67.670,,,,,
65,07/30/21 10:00:00,25.963,44.444,,,,,
66,07/30/21 11:00:00,26.744,41.297,,,,,
67,07/30/21 12:00:00,27.604,38.945,,,,,
68,07/30/21 13:00:00,28.617,35.943,,,,,
69,07/30/21 14:00:00,29.115,33.225,,,,,
70,07/30/21 15:00:00,27.998,35.749,,,,,
71,07/30/21 16:00:00,25.623,46.282,,,,,
72,07/30/21 17:00:00,25.380,62.077,,,,,
73,07/30/21 18:00:00,25.574,51.654,,,,,
74,07/30/21 19:00:00,22.609,62.418,,,,,
75,07/30/21 20:00:00,21.581,66.396,,,,,
76,07/30/21 21:00:00,19.175,72.359,,,,,
77,07/30/21 22:00:00,17.796,75.160,,,,,
78,07/30/21 23:00:00,16.892,78.225,,,,,
79,07/31/21 00:00:00,16.915,77.133,,,,,
80,07/31/21 01:00:00,17.201,74.471,,,,,
81,07/31/21 02:00:00,17.320,73.723,,,,,
82,07/31/21 03:00:00,18.461,66.882,,,,,
83,07/31/21 04:00:00,18.343,70.489,,,,,
84,07/31/21 05:00:00,18.461,63.263,,,,,
85,07/31/21 06:00:00,19.627,62.469,,,,,
86,07/31/21 07:00:00,18.366,64.320,,,,,
87,07/31/21 08:00:00,18.010,72.019,,,,,
88,07/31/21 09:00:00,18.105,77.324,,,,,
89,07/31/21 10:00:00,18.699,71.689,,,,,
90,07/31/21 11:00:00,20.841,60.400,,,,,
91,07/31/21 12:00:00,18.889,70.010,,,,,
92,07/31/21 13:00:00,18.913,78.397,,,,,
93,07/31/21 14:00:00,20.079,60.824,,,,,
94,07/31/21 15:00:00,20.460,59.701,,,,,
95,07/31/21 16:00:00,21.867,56.945,,,,,
96,07/31/21 17:00:00,21.199,66.805,,,,,
97,07/31/21 18:00:00,19.841,68.397,,,,,
98,07/31/21 19:00:00,19.555,68.727,,,,,
99,07/31/21 20:00:00,18.628,71.327,,,,,
100,07/31/21 21:00:00,18.224,70.990,,,,,
101,07/31/21 22:00:00,17.819,70.623,,,,,
102,07/31/21 23:00:00,17.986,83.689,,,,,
103,08/01/21 00:00:00,17.272,85.717,,,,,
104,08/01/21 01:00:00,18.224,81.556,,,,,
105,08/01/21 02:00:00,19.151,78.870,,,,,
106,08/01/21 03:00:00,18.509,80.754,,,,,
107,08/01/21 04:00:00,17.058,87.429,,,,,
108,08/01/21 05:00:00,16.582,89.650,,,,,
109,08/01/21 06:00:00,16.272,89.094,,,,,
110,08/01/21 07:00:00,16.701,93.332,,,,,
111,08/01/21 08:00:00,17.510,93.644,,,,,
112,08/01/21 09:00:00,18.176,93.075,,,,,
113,08/01/21 10:00:00,19.508,88.146,,,,,
114,08/01/21 11:00:00,21.127,82.389,,,,,
115,08/01/21 12:00:00,22.489,76.883,,,,,
116,08/01/21 13:00:00,24.412,68.839,,,,,
117,08/01/21 14:00:00,24.944,65.022,,,,,
118,08/01/21 15:00:00,26.573,56.119,,,,,
119,08/01/21 16:00:00,26.622,54.994,,,,,
120,08/01/21 17:00:00,25.963,56.624,,,,,
121,08/01/21 18:00:00,24.823,59.280,,,,,
122,08/01/21 19:00:00,22.753,65.191,,,,,
123,08/01/21 20:00:00,20.293,70.915,,,,,
124,08/01/21 21:00:00,17.249,80.035,,,,,
125,08/01/21 22:00:00,15.247,85.760,,,,,
126,08/01/21 23:00:00,13.930,89.795,,,,,
127,08/02/21 00:00:00,13.137,89.757,,,,,
128,08/02/21 01:00:00,12.485,92.567,,,,,
129,08/02/21 02:00:00,12.219,93.942,,,,,
130,08/02/21 03:00:00,11.710,94.066,,,,,
131,08/02/21 04:00:00,11.419,94.832,,,,,
132,08/02/21 05:00:00,11.370,94.947,,,,,
133,08/02/21 06:00:00,11.102,95.789,,,,,
134,08/02/21 07:00:00,11.321,96.708,,,,,
135,08/02/21 08:00:00,12.847,98.182,,,,,
136,08/02/21 09:00:00,16.177,98.429,,,,,
137,08/02/21 10:00:00,17.724,95.690,,,,,
138,08/02/21 11:00:00,19.817,67.331,,,,,
139,08/02/21 12:00:00,22.848,43.304,,,,,
140,08/02/21 13:00:00,24.146,40.621,,,,,
141,08/02/21 14:00:00,24.557,49.611,,,,,
142,08/02/21 15:00:00,28.543,43.075,,,,,
143,08/02/21 16:00:00,28.816,46.020,,,,,
144,08/02/21 17:00:00,28.147,50.337,,,,,
145,08/02/21 18:00:00,26.916,56.577,,,,,
146,08/02/21 19:00:00,25.162,60.906,,,,,
147,08/02/21 20:00:00,22.202,72.271,,,,,
148,08/02/21 21:00:00,19.532,78.045,,,,,
149,08/02/21 22:00:00,17.843,73.712,,,,,
150,08/02/21 23:00:00,17.201,73.328,,,,,
