"Plot Title: RDRCRK"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10943620, SEN S/N: 10943620, LBL: Temp)","RH, % (LGR S/N: 10943620, SEN S/N: 10943620, LBL: RH)","Coupler Detached (LGR S/N: 10943620)","Coupler Attached (LGR S/N: 10943620)","Host Connected (LGR S/N: 10943620)","Stopped (LGR S/N: 10943620)","End Of File (LGR S/N: 10943620)"
1,07/07/22 12:00:00,19.080,64.084,Logged,,,,
2,07/07/22 12:30:00,19.865,63.320,,,,,
3,07/07/22 13:00:00,18.176,63.036,,,,,
4,07/07/22 13:30:00,19.080,65.275,,,,,
5,07/07/22 14:00:00,18.461,62.456,,,,,
6,07/07/22 14:30:00,19.389,68.256,,,,,
7,07/07/22 15:00:00,18.889,75.237,,,,,
8,07/07/22 15:30:00,18.889,70.738,,,,,
9,07/07/22 16:00:00,17.106,71.442,,,,,
10,07/07/22 16:30:00,15.891,73.726,,,,,
11,07/07/22 17:00:00,15.079,77.760,,,,,
12,07/07/22 17:30:00,15.008,74.712,,,,,
13,07/07/22 18:00:00,16.034,70.949,,,,,
14,07/07/22 18:30:00,15.461,74.860,,,,,
15,07/07/22 19:00:00,15.390,75.749,,,,,
16,07/07/22 19:30:00,14.936,77.031,,,,,
17,07/07/22 20:00:00,14.146,80.936,,,,,
18,07/07/22 20:30:00,13.353,85.237,,,,,
19,07/07/22 21:00:00,12.485,88.438,,,,,
20,07/07/22 21:30:00,11.856,92.277,,,,,
21,07/07/22 22:00:00,11.248,92.817,,,,,
22,07/07/22 22:30:00,10.638,94.753,,,,,
23,07/07/22 23:00:00,10.516,95.936,,,,,
24,07/07/22 23:30:00,10.394,96.859,,,,,
25,07/08/22 00:00:00,10.369,97.254,,,,,
26,07/08/22 00:30:00,10.247,97.521,,,,,
27,07/08/22 01:00:00,10.296,97.884,,,,,
28,07/08/22 01:30:00,10.026,97.785,,,,,
29,07/08/22 02:00:00,10.149,98.292,,,,,
30,07/08/22 02:30:00,9.731,97.829,,,,,
31,07/08/22 03:00:00,9.534,98.272,,,,,
32,07/08/22 03:30:00,9.386,98.330,,,,,
33,07/08/22 04:00:00,8.792,97.942,,,,,
34,07/08/22 04:30:00,8.543,98.245,,,,,
35,07/08/22 05:00:00,7.920,97.874,,,,,
36,07/08/22 05:30:00,7.745,97.925,,,,,
37,07/08/22 06:00:00,7.594,97.784,,,,,
38,07/08/22 06:30:00,8.295,98.571,,,,,
39,07/08/22 07:00:00,9.213,98.703,,,,,
40,07/08/22 07:30:00,9.583,98.880,,,,,
41,07/08/22 08:00:00,9.879,99.012,,,,,
42,07/08/22 08:30:00,10.149,99.013,,,,,
43,07/08/22 09:00:00,11.151,98.619,,,,,
44,07/08/22 09:30:00,11.832,93.482,,,,,
45,07/08/22 10:00:00,12.485,89.334,,,,,
46,07/08/22 10:30:00,13.088,89.955,,,,,
47,07/08/22 11:00:00,13.978,85.491,,,,,
48,07/08/22 11:30:00,16.034,78.156,,,,,
49,07/08/22 12:00:00,16.511,76.655,,,,,
50,07/08/22 12:30:00,16.106,73.882,,,,,
51,07/08/22 13:00:00,16.415,72.745,,,,,
52,07/08/22 13:30:00,16.534,72.997,,,,,
53,07/08/22 14:00:00,18.010,68.211,,,,,
54,07/08/22 14:30:00,18.485,61.830,,,,,
55,07/08/22 15:00:00,17.011,66.829,,,,,
56,07/08/22 15:30:00,17.558,64.330,,,,,
57,07/08/22 16:00:00,17.082,64.514,,,,,
58,07/08/22 16:30:00,17.701,63.938,,,,,
59,07/08/22 17:00:00,17.177,64.294,,,,,
60,07/08/22 17:30:00,17.201,63.853,,,,,
61,07/08/22 18:00:00,17.320,63.339,,,,,
62,07/08/22 18:30:00,16.987,63.045,,,,,
63,07/08/22 19:00:00,16.463,62.510,,,,,
64,07/08/22 19:30:00,15.939,63.608,,,,,
65,07/08/22 20:00:00,15.270,66.168,,,,,
66,07/08/22 20:30:00,14.218,73.677,,,,,
67,07/08/22 21:00:00,13.016,80.551,,,,,
68,07/08/22 21:30:00,11.370,85.894,,,,,
69,07/08/22 22:00:00,10.198,91.364,,,,,
70,07/08/22 22:30:00,9.682,93.357,,,,,
71,07/08/22 23:00:00,9.336,94.611,,,,,
72,07/08/22 23:30:00,8.717,95.152,,,,,
73,07/09/22 00:00:00,8.469,96.012,,,,,
74,07/09/22 00:30:00,8.220,96.519,,,,,
75,07/09/22 01:00:00,8.170,97.548,,,,,
76,07/09/22 01:30:00,8.668,97.982,,,,,
77,07/09/22 02:00:00,8.070,97.768,,,,,
78,07/09/22 02:30:00,7.720,97.671,,,,,
79,07/09/22 03:00:00,7.217,97.705,,,,,
80,07/09/22 03:30:00,7.116,98.095,,,,,
