"Plot Title: RDRCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137141, SEN S/N: 20137141, LBL: Temp)","Coupler Attached (LGR S/N: 20137141)","Coupler Detached (LGR S/N: 20137141)","Host Connected (LGR S/N: 20137141)","Stopped (LGR S/N: 20137141)","End Of File (LGR S/N: 20137141)"
1,07/07/22 12:00:00,18.806,,,,,
2,07/07/22 12:30:00,20.424,,,,,
3,07/07/22 13:00:00,19.187,,,,,
4,07/07/22 13:30:00,18.806,,,,,
5,07/07/22 14:00:00,19.282,,,,,
6,07/07/22 14:30:00,18.426,,,,,
7,07/07/22 15:00:00,19.948,,,,,
8,07/07/22 15:30:00,20.519,,,,,
9,07/07/22 16:00:00,22.142,,,,,
10,07/07/22 16:06:55,,Logged,,,,
11,07/07/22 16:06:56,,,Logged,,,
12,07/07/22 16:30:00,22.046,,,,,
13,07/07/22 17:00:00,21.378,,,,,
14,07/07/22 17:30:00,20.329,,,,,
15,07/07/22 18:00:00,23.773,,,,,
16,07/07/22 18:30:00,22.238,,,,,
17,07/07/22 19:00:00,25.319,,,,,
18,07/07/22 19:30:00,19.567,,,,,
19,07/07/22 20:00:00,19.758,,,,,
20,07/07/22 20:30:00,18.140,,,,,
21,07/07/22 21:00:00,16.618,,,,,
22,07/07/22 21:30:00,16.523,,,,,
23,07/07/22 22:00:00,16.141,,,,,
24,07/07/22 22:30:00,15.760,,,,,
25,07/07/22 23:00:00,15.187,,,,,
26,07/07/22 23:30:00,14.709,,,,,
27,07/08/22 00:00:00,14.804,,,,,
28,07/08/22 00:30:00,14.996,,,,,
29,07/08/22 01:00:00,15.091,,,,,
30,07/08/22 01:30:00,14.996,,,,,
31,07/08/22 02:00:00,14.900,,,,,
32,07/08/22 02:30:00,14.709,,,,,
33,07/08/22 03:00:00,14.517,,,,,
34,07/08/22 03:30:00,14.230,,,,,
35,07/08/22 04:00:00,13.846,,,,,
36,07/08/22 04:30:00,13.558,,,,,
37,07/08/22 05:00:00,13.269,,,,,
38,07/08/22 05:30:00,12.980,,,,,
39,07/08/22 06:00:00,12.594,,,,,
40,07/08/22 06:30:00,12.304,,,,,
41,07/08/22 07:00:00,12.013,,,,,
42,07/08/22 07:30:00,11.916,,,,,
43,07/08/22 08:00:00,11.916,,,,,
44,07/08/22 08:30:00,12.013,,,,,
45,07/08/22 09:00:00,12.497,,,,,
46,07/08/22 09:30:00,14.900,,,,,
47,07/08/22 10:00:00,19.948,,,,,
48,07/08/22 10:30:00,18.806,,,,,
49,07/08/22 11:00:00,18.996,,,,,
50,07/08/22 11:30:00,20.043,,,,,
51,07/08/22 12:00:00,23.196,,,,,
52,07/08/22 12:30:00,25.610,,,,,
53,07/08/22 13:00:00,30.558,,,,,
54,07/08/22 13:30:00,29.752,,,,,
55,07/08/22 14:00:00,30.558,,,,,
56,07/08/22 14:30:00,35.864,,,,,
57,07/08/22 15:00:00,29.352,,,,,
58,07/08/22 15:30:00,25.805,,,,,
59,07/08/22 16:00:00,28.258,,,,,
60,07/08/22 16:30:00,29.752,,,,,
61,07/08/22 17:00:00,33.953,,,,,
62,07/08/22 17:30:00,29.752,,,,,
63,07/08/22 18:00:00,23.100,,,,,
64,07/08/22 18:30:00,22.621,,,,,
65,07/08/22 19:00:00,22.429,,,,,
66,07/08/22 19:30:00,17.379,,,,,
67,07/08/22 20:00:00,19.092,,,,,
68,07/08/22 20:30:00,4.102,,,,,
69,07/08/22 21:00:00,4.102,,,,,
70,07/08/22 21:30:00,4.102,,,,,
