"Plot Title: RDRUPL2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905284, SEN S/N: 9905284)","RH, % (LGR S/N: 9905284, SEN S/N: 9905284)","Coupler Detached (LGR S/N: 9905284)","Coupler Attached (LGR S/N: 9905284)","Host Connected (LGR S/N: 9905284)","Stopped (LGR S/N: 9905284)","End Of File (LGR S/N: 9905284)"
1,07/27/21 18:00:00,23.809,65.312,Logged,,,,
2,07/27/21 19:00:00,24.002,63.346,,,,,
3,07/27/21 20:00:00,23.930,63.213,,,,,
4,07/27/21 21:00:00,23.857,63.170,,,,,
5,07/27/21 22:00:00,23.689,63.021,,,,,
6,07/27/21 23:00:00,23.521,62.780,,,,,
7,07/28/21 00:00:00,23.304,62.532,,,,,
8,07/28/21 01:00:00,23.088,62.253,,,,,
9,07/28/21 02:00:00,22.824,61.997,,,,,
10,07/28/21 03:00:00,22.561,61.741,,,,,
11,07/28/21 04:00:00,22.298,61.577,,,,,
12,07/28/21 05:00:00,22.034,61.352,,,,,
13,07/28/21 06:00:00,21.748,61.062,,,,,
14,07/28/21 07:00:00,21.461,60.834,,,,,
15,07/28/21 08:00:00,21.199,61.156,,,,,
16,07/28/21 09:00:00,20.984,63.628,,,,,
17,07/28/21 10:00:00,21.103,60.928,,,,,
18,07/28/21 11:00:00,21.151,47.392,,,,,
19,07/28/21 12:00:00,21.366,51.555,,,,,
20,07/28/21 13:00:00,23.617,47.192,,,,,
21,07/28/21 14:00:00,27.579,40.234,,,,,
22,07/28/21 15:00:00,28.617,47.232,,,,,
23,07/28/21 16:00:00,32.278,48.894,,,,,
24,07/28/21 17:00:00,33.495,42.002,,,,,
25,07/28/21 18:00:00,29.565,34.551,,,,,
26,07/28/21 19:00:00,28.295,40.740,,,,,
27,07/28/21 20:00:00,28.990,38.288,,,,,
28,07/28/21 21:00:00,28.295,35.576,,,,,
29,07/28/21 22:00:00,26.256,37.845,,,,,
30,07/28/21 23:00:00,25.380,38.681,,,,,
31,07/29/21 00:00:00,24.339,39.297,,,,,
32,07/29/21 01:00:00,23.088,39.526,,,,,
33,07/29/21 02:00:00,21.867,39.592,,,,,
34,07/29/21 03:00:00,20.770,40.870,,,,,
35,07/29/21 04:00:00,19.770,41.663,,,,,
36,07/29/21 05:00:00,18.913,42.241,,,,,
37,07/29/21 06:00:00,18.200,42.320,,,,,
38,07/29/21 07:00:00,18.010,50.006,,,,,
39,07/29/21 08:00:00,16.296,62.780,,,,,
40,07/29/21 09:00:00,21.270,44.663,,,,,
41,07/29/21 10:00:00,25.671,39.503,,,,,
42,07/29/21 11:00:00,28.593,33.989,,,,,
43,07/29/21 12:00:00,30.343,28.068,,,,,
44,07/29/21 13:00:00,31.637,26.853,,,,,
45,07/29/21 14:00:00,31.433,30.767,,,,,
46,07/29/21 15:00:00,31.484,31.868,,,,,
47,07/29/21 16:00:00,30.950,34.408,,,,,
48,07/29/21 17:00:00,30.293,33.805,,,,,
49,07/29/21 18:00:00,29.165,33.229,,,,,
50,07/29/21 19:00:00,27.653,33.836,,,,,
