"Plot Title: RDRUPL"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133750, SEN S/N: 20133750, LBL: Temp)","RH, % (LGR S/N: 20133750, SEN S/N: 20133750, LBL: RH)","Coupler Detached (LGR S/N: 20133750)","Coupler Attached (LGR S/N: 20133750)","Host Connected (LGR S/N: 20133750)","Stopped (LGR S/N: 20133750)","End Of File (LGR S/N: 20133750)"
1,07/07/22 12:00:00,18.533,66.187,Logged,,,,
2,07/07/22 12:30:00,19.365,66.007,,,,,
3,07/07/22 13:00:00,18.057,63.434,,,,,
4,07/07/22 13:30:00,19.199,66.688,,,,,
5,07/07/22 14:00:00,18.533,62.857,,,,,
6,07/07/22 14:30:00,18.985,65.169,,,,,
7,07/07/22 15:00:00,19.579,68.526,,,,,
8,07/07/22 15:30:00,19.984,68.040,,,,,
9,07/07/22 16:00:00,21.413,59.760,,,,,
10,07/07/22 16:30:00,16.344,68.024,,,,,
11,07/07/22 17:00:00,15.891,71.267,,,,,
12,07/07/22 17:30:00,16.463,68.832,,,,,
13,07/07/22 18:00:00,17.486,62.771,,,,,
14,07/07/22 18:30:00,16.272,69.724,,,,,
15,07/07/22 19:00:00,16.654,65.561,,,,,
16,07/07/22 19:30:00,16.439,66.258,,,,,
17,07/07/22 20:00:00,15.509,70.820,,,,,
18,07/07/22 20:30:00,13.305,83.393,,,,,
19,07/07/22 21:00:00,12.389,87.543,,,,,
20,07/07/22 21:30:00,12.195,90.336,,,,,
21,07/07/22 22:00:00,11.710,90.267,,,,,
22,07/07/22 22:30:00,11.321,94.985,,,,,
23,07/07/22 23:00:00,11.127,95.771,,,,,
24,07/07/22 23:30:00,11.200,96.220,,,,,
25,07/08/22 00:00:00,11.224,95.873,,,,,
26,07/08/22 00:30:00,11.321,95.797,,,,,
27,07/08/22 01:00:00,11.224,95.923,,,,,
28,07/08/22 01:30:00,10.761,96.858,,,,,
29,07/08/22 02:00:00,10.834,97.381,,,,,
30,07/08/22 02:30:00,10.173,96.749,,,,,
31,07/08/22 03:00:00,10.026,96.860,,,,,
32,07/08/22 03:30:00,9.583,96.589,,,,,
33,07/08/22 04:00:00,9.114,96.312,,,,,
34,07/08/22 04:30:00,8.494,95.092,,,,,
35,07/08/22 05:00:00,7.920,95.639,,,,,
36,07/08/22 05:30:00,7.745,96.514,,,,,
37,07/08/22 06:00:00,7.720,96.034,,,,,
38,07/08/22 06:30:00,9.015,97.731,,,,,
39,07/08/22 07:00:00,9.854,96.613,,,,,
40,07/08/22 07:30:00,10.369,97.154,,,,,
41,07/08/22 08:00:00,10.810,95.762,,,,,
42,07/08/22 08:30:00,12.025,89.010,,,,,
43,07/08/22 09:00:00,13.594,81.908,,,,,
44,07/08/22 09:30:00,13.978,80.322,,,,,
45,07/08/22 10:00:00,14.745,76.010,,,,,
46,07/08/22 10:30:00,14.840,80.538,,,,,
47,07/08/22 11:00:00,16.892,72.895,,,,,
48,07/08/22 11:30:00,19.603,64.054,,,,,
49,07/08/22 12:00:00,18.675,61.019,,,,,
50,07/08/22 12:30:00,19.056,61.382,,,,,
51,07/08/22 13:00:00,19.222,57.893,,,,,
52,07/08/22 13:30:00,18.985,60.406,,,,,
53,07/08/22 14:00:00,20.079,56.554,,,,,
54,07/08/22 14:30:00,19.508,55.054,,,,,
55,07/08/22 15:00:00,17.653,61.394,,,,,
56,07/08/22 15:30:00,18.985,55.715,,,,,
57,07/08/22 16:00:00,17.510,60.590,,,,,
58,07/08/22 16:30:00,19.103,60.122,,,,,
59,07/08/22 17:00:00,17.677,61.037,,,,,
60,07/08/22 17:30:00,18.343,60.152,,,,,
61,07/08/22 18:00:00,18.414,55.967,,,,,
62,07/08/22 18:30:00,18.390,52.297,,,,,
63,07/08/22 19:00:00,18.224,52.708,,,,,
64,07/08/22 19:30:00,18.057,53.148,,,,,
65,07/08/22 20:00:00,17.534,55.041,,,,,
66,07/08/22 20:30:00,16.463,61.706,,,,,
67,07/08/22 21:00:00,13.906,73.586,,,,,
68,07/08/22 21:30:00,12.243,80.436,,,,,
69,07/08/22 22:00:00,11.880,84.787,,,,,
70,07/08/22 22:30:00,11.419,88.415,,,,,
71,07/08/22 23:00:00,10.834,91.267,,,,,
72,07/08/22 23:30:00,9.903,92.675,,,,,
73,07/09/22 00:00:00,8.941,96.265,,,,,
74,07/09/22 00:30:00,9.756,97.187,,,,,
75,07/09/22 01:00:00,9.706,97.423,,,,,
76,07/09/22 01:30:00,9.509,96.243,,,,,
77,07/09/22 02:00:00,9.064,97.048,,,,,
78,07/09/22 02:30:00,7.970,97.245,,,,,
79,07/09/22 03:00:00,7.569,97.432,,,,,
80,07/09/22 03:30:00,7.645,97.848,,,,,
81,07/09/22 04:00:00,7.268,97.102,,,,,
82,07/09/22 04:30:00,7.619,96.405,,,,,
83,07/09/22 05:00:00,7.970,91.411,,,,,
84,07/09/22 05:30:00,7.820,91.142,,,,,
85,07/09/22 06:00:00,8.020,92.315,,,,,
86,07/09/22 06:30:00,8.792,93.531,,,,,
87,07/09/22 07:00:00,10.247,90.601,,,,,
88,07/09/22 07:30:00,11.637,83.228,,,,,
89,07/09/22 08:00:00,12.727,79.555,,,,,
90,07/09/22 08:30:00,15.318,70.209,,,,,
91,07/09/22 09:00:00,16.987,64.350,,,,,
92,07/09/22 09:30:00,16.225,66.337,,,,,
93,07/09/22 10:00:00,16.630,64.318,,,,,
94,07/09/22 10:30:00,15.629,67.952,,,,,
95,07/09/22 11:00:00,16.915,66.225,,,,,
96,07/09/22 11:30:00,18.937,60.247,,,,,
97,07/09/22 12:00:00,18.675,57.992,,,,,
98,07/09/22 12:30:00,19.199,56.422,,,,,
99,07/09/22 13:00:00,18.699,56.163,,,,,
100,07/09/22 13:30:00,19.698,58.759,,,,,
101,07/09/22 14:00:00,17.986,62.705,,,,,
102,07/09/22 14:30:00,17.320,63.428,,,,,
103,07/09/22 15:00:00,17.130,63.485,,,,,
104,07/09/22 15:30:00,18.747,59.187,,,,,
105,07/09/22 16:00:00,19.032,57.070,,,,,
106,07/09/22 16:30:00,18.057,58.078,,,,,
107,07/09/22 17:00:00,17.986,58.250,,,,,
108,07/09/22 17:30:00,18.010,59.495,,,,,
109,07/09/22 18:00:00,17.796,59.883,,,,,
110,07/09/22 18:30:00,17.486,59.351,,,,,
111,07/09/22 19:00:00,15.055,68.977,,,,,
112,07/09/22 19:30:00,14.745,72.617,,,,,
113,07/09/22 20:00:00,13.738,75.943,,,,,
