"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133754, SEN S/N: 20133754)","RH, % (LGR S/N: 20133754, SEN S/N: 20133754)","Coupler Detached (LGR S/N: 20133754)","Coupler Attached (LGR S/N: 20133754)","Host Connected (LGR S/N: 20133754)","Stopped (LGR S/N: 20133754)","End Of File (LGR S/N: 20133754)"
1,06/14/20 08:00:00,20.388,57.521,Logged,,,,
2,06/14/20 08:30:00,20.031,57.895,,,,,
3,06/14/20 09:00:00,19.841,58.080,,,,,
4,06/14/20 09:30:00,19.698,58.393,,,,,
5,06/14/20 10:00:00,19.627,58.748,,,,,
6,06/14/20 10:30:00,19.603,59.018,,,,,
7,06/14/20 11:00:00,19.603,59.201,,,,,
8,06/14/20 11:30:00,19.627,59.296,,,,,
9,06/14/20 12:00:00,19.651,59.360,,,,,
10,06/14/20 12:30:00,19.722,59.402,,,,,
11,06/14/20 13:00:00,19.793,59.626,,,,,
12,06/14/20 13:30:00,19.888,59.914,,,,,
13,06/14/20 14:00:00,20.007,60.024,,,,,
14,06/14/20 14:30:00,20.150,60.016,,,,,
15,06/14/20 15:00:00,20.269,59.975,,,,,
16,06/14/20 15:30:00,20.412,59.876,,,,,
17,06/14/20 16:00:00,20.555,59.807,,,,,
18,06/14/20 16:30:00,20.698,60.073,,,,,
19,06/14/20 17:00:00,20.841,60.278,,,,,
20,06/14/20 17:30:00,20.984,60.514,,,,,
21,06/14/20 18:00:00,21.127,60.354,,,,,
22,06/14/20 18:30:00,21.270,59.188,,,,,
23,06/14/20 19:00:00,21.366,58.161,,,,,
24,06/14/20 19:30:00,21.461,57.069,,,,,
25,06/14/20 20:00:00,21.509,56.398,,,,,
26,06/14/20 20:30:00,21.557,55.818,,,,,
27,06/14/20 21:00:00,21.604,55.918,,,,,
28,06/14/20 21:30:00,21.652,55.832,,,,,
29,06/14/20 22:00:00,21.700,55.591,,,,,
30,06/14/20 22:30:00,21.724,55.626,,,,,
31,06/14/20 23:00:00,21.772,55.819,,,,,
32,06/14/20 23:30:00,21.795,55.915,,,,,
33,06/15/20 00:00:00,21.819,55.950,,,,,
34,06/15/20 00:30:00,21.819,55.826,,,,,
35,06/15/20 01:00:00,21.795,55.853,,,,,
36,06/15/20 01:30:00,21.772,56.128,,,,,
37,06/15/20 02:00:00,21.748,56.372,,,,,
38,06/15/20 02:30:00,21.748,56.588,,,,,
39,06/15/20 03:00:00,21.700,56.735,,,,,
40,06/15/20 03:30:00,21.676,56.824,,,,,
41,06/15/20 04:00:00,21.604,56.906,,,,,
42,06/15/20 04:30:00,21.557,56.991,,,,,
43,06/15/20 05:00:00,21.509,57.046,,,,,
44,06/15/20 05:30:00,21.437,57.035,,,,,
45,06/15/20 06:00:00,21.366,57.117,,,,,
46,06/15/20 06:30:00,21.223,57.372,,,,,
47,06/15/20 07:00:00,20.317,56.497,,,,,
48,06/15/20 07:30:00,19.508,58.090,,,,,
49,06/15/20 08:00:00,21.223,55.800,,,,,
50,06/15/20 08:30:00,20.484,55.598,,,,,
51,06/15/20 09:00:00,19.912,57.234,,,,,
52,06/15/20 09:30:00,19.555,59.102,,,,,
53,06/15/20 10:00:00,19.175,60.768,,,,,
54,06/15/20 10:30:00,18.889,61.746,,,,,
55,06/15/20 11:00:00,18.580,62.805,,,,,
56,06/15/20 11:30:00,18.390,63.520,,,,,
57,06/15/20 12:00:00,18.295,64.575,,,,,
58,06/15/20 12:30:00,18.271,65.135,,,,,
59,06/15/20 13:00:00,18.271,65.105,,,,,
60,06/15/20 13:30:00,18.247,65.693,,,,,
61,06/15/20 14:00:00,18.176,65.325,,,,,
62,06/15/20 14:30:00,17.986,66.267,,,,,
63,06/15/20 15:00:00,17.796,68.201,,,,,
64,06/15/20 15:30:00,17.796,68.640,,,,,
65,06/15/20 16:00:00,17.915,68.369,,,,,
66,06/15/20 16:30:00,18.010,68.123,,,,,
67,06/15/20 17:00:00,18.033,67.629,,,,,
68,06/15/20 17:30:00,18.010,67.155,,,,,
69,06/15/20 18:00:00,18.010,66.890,,,,,
70,06/15/20 18:30:00,17.986,66.591,,,,,
71,06/15/20 19:00:00,17.938,66.229,,,,,
72,06/15/20 19:30:00,17.891,65.926,,,,,
73,06/15/20 20:00:00,17.843,65.652,,,,,
74,06/15/20 20:30:00,17.796,65.437,,,,,
75,06/15/20 21:00:00,17.724,65.188,,,,,
