"Plot Title: SL Sunken Island Bottom 2019_2020"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10172857, SEN S/N: 10172857, LBL: SL Sunken Island Bottom 2019)","Coupler Attached (LGR S/N: 10172857)","Host Connected (LGR S/N: 10172857)","Stopped (LGR S/N: 10172857)","End Of File (LGR S/N: 10172857)"
1,09/04/19 18:00:00,10.748,,,,
2,09/04/19 19:00:00,9.669,,,,
3,09/04/19 20:00:00,9.768,,,,
4,09/04/19 21:00:00,12.110,,,,
5,09/04/19 22:00:00,12.690,,,,
6,09/04/19 23:00:00,12.690,,,,
7,09/05/19 00:00:00,12.594,,,,
8,09/05/19 01:00:00,12.207,,,,
9,09/05/19 02:00:00,12.594,,,,
10,09/05/19 03:00:00,12.980,,,,
11,09/05/19 04:00:00,12.690,,,,
12,09/05/19 05:00:00,13.173,,,,
13,09/05/19 06:00:00,13.365,,,,
14,09/05/19 07:00:00,12.980,,,,
15,09/05/19 08:00:00,11.916,,,,
16,09/05/19 09:00:00,11.625,,,,
17,09/05/19 10:00:00,11.528,,,,
18,09/05/19 11:00:00,12.497,,,,
19,09/05/19 12:00:00,13.750,,,,
20,09/05/19 13:00:00,12.304,,,,
21,09/05/19 14:00:00,11.722,,,,
22,09/05/19 15:00:00,10.357,,,,
23,09/05/19 16:00:00,9.965,,,,
24,09/05/19 17:00:00,10.161,,,,
25,09/05/19 18:00:00,11.139,,,,
26,09/05/19 19:00:00,12.787,,,,
27,09/05/19 20:00:00,11.334,,,,
28,09/05/19 21:00:00,10.748,,,,
29,09/05/19 22:00:00,11.041,,,,
30,09/05/19 23:00:00,11.236,,,,
31,09/06/19 00:00:00,11.236,,,,
32,09/06/19 01:00:00,12.207,,,,
33,09/06/19 02:00:00,11.916,,,,
34,09/06/19 03:00:00,11.625,,,,
35,09/06/19 04:00:00,11.041,,,,
36,09/06/19 05:00:00,10.259,,,,
37,09/06/19 06:00:00,11.139,,,,
38,09/06/19 07:00:00,10.944,,,,
39,09/06/19 08:00:00,11.139,,,,
40,09/06/19 09:00:00,10.944,,,,
41,09/06/19 10:00:00,10.455,,,,
42,09/06/19 11:00:00,11.041,,,,
43,09/06/19 12:00:00,11.139,,,,
44,09/06/19 13:00:00,12.207,,,,
45,09/06/19 14:00:00,11.236,,,,
46,09/06/19 15:00:00,10.063,,,,
47,09/06/19 16:00:00,9.571,,,,
48,09/06/19 17:00:00,9.669,,,,
49,09/06/19 18:00:00,10.259,,,,
50,09/06/19 19:00:00,9.965,,,,
51,09/06/19 20:00:00,10.553,,,,
52,09/06/19 21:00:00,12.980,,,,
53,09/06/19 22:00:00,12.110,,,,
54,09/06/19 23:00:00,13.750,,,,
55,09/07/19 00:00:00,12.980,,,,
56,09/07/19 01:00:00,13.269,,,,
57,09/07/19 02:00:00,12.497,,,,
58,09/07/19 03:00:00,13.173,,,,
59,09/07/19 04:00:00,13.461,,,,
60,09/07/19 05:00:00,12.690,,,,
61,09/07/19 06:00:00,12.690,,,,
62,09/07/19 07:00:00,11.916,,,,
63,09/07/19 08:00:00,11.528,,,,
64,09/07/19 09:00:00,12.883,,,,
65,09/07/19 10:00:00,13.942,,,,
66,09/07/19 11:00:00,14.134,,,,
67,09/07/19 12:00:00,13.461,,,,
68,09/07/19 13:00:00,11.819,,,,
69,09/07/19 14:00:00,11.431,,,,
70,09/07/19 15:00:00,11.528,,,,
71,09/07/19 16:00:00,11.334,,,,
72,09/07/19 17:00:00,10.846,,,,
73,09/07/19 18:00:00,11.334,,,,
74,09/07/19 19:00:00,11.139,,,,
75,09/07/19 20:00:00,11.041,,,,
76,09/07/19 21:00:00,10.553,,,,
77,09/07/19 22:00:00,10.161,,,,
