"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20137161, SEN S/N: 20137161)","Coupler Attached (LGR S/N: 20137161)","Host Connected (LGR S/N: 20137161)","Stopped (LGR S/N: 20137161)","End Of File (LGR S/N: 20137161)"
1,09/21/21 00:00:00,19.377,,,,
2,09/21/21 01:00:00,19.187,,,,
3,09/21/21 02:00:00,18.901,,,,
4,09/21/21 03:00:00,18.616,,,,
5,09/21/21 04:00:00,18.331,,,,
6,09/21/21 05:00:00,18.045,,,,
7,09/21/21 06:00:00,17.760,,,,
8,09/21/21 07:00:00,17.570,,,,
9,09/21/21 08:00:00,18.236,,,,
10,09/21/21 09:00:00,19.282,,,,
11,09/21/21 10:00:00,19.567,,,,
12,09/21/21 11:00:00,19.758,,,,
13,09/21/21 12:00:00,19.948,,,,
14,09/21/21 13:00:00,20.234,,,,
15,09/21/21 14:00:00,20.710,,,,
16,09/21/21 15:00:00,21.187,,,,
17,09/21/21 16:00:00,21.664,,,,
18,09/21/21 17:00:00,21.951,,,,
19,09/21/21 18:00:00,21.951,,,,
20,09/21/21 19:00:00,21.855,,,,
21,09/21/21 20:00:00,21.664,,,,
22,09/21/21 21:00:00,21.473,,,,
23,09/21/21 22:00:00,21.282,,,,
24,09/21/21 23:00:00,20.996,,,,
25,09/22/21 00:00:00,20.805,,,,
26,09/22/21 01:00:00,20.424,,,,
27,09/22/21 02:00:00,20.234,,,,
28,09/22/21 03:00:00,19.853,,,,
29,09/22/21 04:00:00,19.567,,,,
30,09/22/21 05:00:00,19.282,,,,
31,09/22/21 06:00:00,19.092,,,,
32,09/22/21 07:00:00,18.806,,,,
33,09/22/21 08:00:00,18.711,,,,
34,09/22/21 09:00:00,19.282,,,,
35,09/22/21 10:00:00,19.472,,,,
36,09/22/21 11:00:00,19.567,,,,
37,09/22/21 12:00:00,19.662,,,,
38,09/22/21 13:00:00,19.758,,,,
39,09/22/21 14:00:00,19.948,,,,
40,09/22/21 15:00:00,19.853,,,,
41,09/22/21 16:00:00,19.853,,,,
42,09/22/21 17:00:00,19.853,,,,
43,09/22/21 18:00:00,19.948,,,,
44,09/22/21 19:00:00,20.043,,,,
45,09/22/21 20:00:00,19.758,,,,
46,09/22/21 21:00:00,20.805,,,,
47,09/22/21 22:00:00,21.187,,,,
48,09/22/21 23:00:00,20.138,,,,
49,09/23/21 00:00:00,18.711,,,,
50,09/23/21 01:00:00,16.999,,,,
51,09/23/21 02:00:00,15.569,,,,
52,09/23/21 03:00:00,14.325,,,,
53,09/23/21 04:00:00,13.269,,,,
54,09/23/21 05:00:00,12.110,,,,
55,09/23/21 06:00:00,10.944,,,,
56,09/23/21 07:00:00,9.965,,,,
57,09/23/21 08:00:00,9.077,,,,
58,09/23/21 09:00:00,9.866,,,,
59,09/23/21 10:00:00,16.427,,,,
60,09/23/21 11:00:00,19.758,,,,
61,09/23/21 12:00:00,19.472,,,,
62,09/23/21 13:00:00,17.950,,,,
63,09/23/21 14:00:00,18.236,,,,
64,09/23/21 15:00:00,18.045,,,,
65,09/23/21 16:00:00,17.284,,,,
66,09/23/21 17:00:00,16.523,,,,
67,09/23/21 18:00:00,15.760,,,,
68,09/23/21 19:00:00,15.378,,,,
69,09/23/21 20:00:00,15.282,,,,
70,09/23/21 21:00:00,15.187,,,,
71,09/23/21 22:00:00,15.187,,,,
72,09/23/21 23:00:00,15.187,,,,
73,09/24/21 00:00:00,15.091,,,,
74,09/24/21 01:00:00,15.091,,,,
75,09/24/21 02:00:00,14.996,,,,
76,09/24/21 03:00:00,14.996,,,,
77,09/24/21 04:00:00,14.900,,,,
78,09/24/21 05:00:00,14.900,,,,
79,09/24/21 06:00:00,14.804,,,,
80,09/24/21 07:00:00,14.804,,,,
81,09/24/21 08:00:00,14.804,,,,
82,09/24/21 09:00:00,14.804,,,,
83,09/24/21 10:00:00,14.804,,,,
84,09/24/21 11:00:00,14.996,,,,
85,09/24/21 12:00:00,15.951,,,,
86,09/24/21 13:00:00,17.760,,,,
87,09/24/21 14:00:00,17.760,,,,
88,09/24/21 15:00:00,17.760,,,,
89,09/24/21 16:00:00,17.379,,,,
90,09/24/21 17:00:00,16.713,,,,
91,09/24/21 18:00:00,16.046,,,,
92,09/24/21 19:00:00,15.378,,,,
93,09/24/21 20:00:00,15.091,,,,
94,09/24/21 21:00:00,15.091,,,,
95,09/24/21 22:00:00,14.996,,,,
96,09/24/21 23:00:00,14.900,,,,
97,09/25/21 00:00:00,14.900,,,,
98,09/25/21 01:00:00,14.900,,,,
