"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133748, SEN S/N: 20133748)","RH, % (LGR S/N: 20133748, SEN S/N: 20133748)","Coupler Detached (LGR S/N: 20133748)","Coupler Attached (LGR S/N: 20133748)","Host Connected (LGR S/N: 20133748)","Stopped (LGR S/N: 20133748)","End Of File (LGR S/N: 20133748)"
1,06/14/20 08:00:00,20.150,58.250,Logged,,,,
2,06/14/20 08:30:00,19.746,58.706,,,,,
3,06/14/20 09:00:00,19.555,58.980,,,,,
4,06/14/20 09:30:00,19.436,59.630,,,,,
5,06/14/20 10:00:00,19.365,59.982,,,,,
6,06/14/20 10:30:00,19.436,60.145,,,,,
7,06/14/20 11:00:00,19.484,60.032,,,,,
8,06/14/20 11:30:00,19.555,59.800,,,,,
9,06/14/20 12:00:00,19.651,59.603,,,,,
10,06/14/20 12:30:00,19.746,59.527,,,,,
11,06/14/20 13:00:00,19.936,59.466,,,,,
12,06/14/20 13:30:00,20.126,59.435,,,,,
13,06/14/20 14:00:00,20.341,59.134,,,,,
14,06/14/20 14:30:00,20.484,58.943,,,,,
15,06/14/20 15:00:00,20.650,58.663,,,,,
16,06/14/20 15:30:00,20.817,58.383,,,,,
17,06/14/20 16:00:00,21.008,58.045,,,,,
18,06/14/20 16:30:00,21.223,58.507,,,,,
19,06/14/20 17:00:00,21.366,58.652,,,,,
20,06/14/20 17:30:00,21.509,59.072,,,,,
21,06/14/20 18:00:00,21.652,58.113,,,,,
22,06/14/20 18:30:00,21.724,56.461,,,,,
23,06/14/20 19:00:00,21.795,55.078,,,,,
24,06/14/20 19:30:00,21.819,54.305,,,,,
25,06/14/20 20:00:00,21.819,53.370,,,,,
26,06/14/20 20:30:00,21.795,53.553,,,,,
27,06/14/20 21:00:00,21.795,54.052,,,,,
28,06/14/20 21:30:00,21.819,54.149,,,,,
29,06/14/20 22:00:00,21.843,54.090,,,,,
30,06/14/20 22:30:00,21.843,54.557,,,,,
31,06/14/20 23:00:00,21.867,54.902,,,,,
32,06/14/20 23:30:00,21.867,55.151,,,,,
33,06/15/20 00:00:00,21.843,55.209,,,,,
34,06/15/20 00:30:00,21.795,55.202,,,,,
35,06/15/20 01:00:00,21.748,55.598,,,,,
