"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699057, SEN S/N: 20699057)","RH, % (LGR S/N: 20699057, SEN S/N: 20699057)","Coupler Detached (LGR S/N: 20699057)","Coupler Attached (LGR S/N: 20699057)","Host Connected (LGR S/N: 20699057)","Stopped (LGR S/N: 20699057)","End Of File (LGR S/N: 20699057)"
1,06/09/20 13:00:00,22.011,52.990,Logged,,,,
2,06/09/20 13:30:00,21.223,54.033,,,,,
3,06/09/20 14:00:00,20.817,54.688,,,,,
4,06/09/20 14:30:00,20.555,55.114,,,,,
5,06/09/20 15:00:00,20.388,55.337,,,,,
6,06/09/20 15:30:00,20.293,55.446,,,,,
7,06/09/20 16:00:00,20.222,55.559,,,,,
8,06/09/20 16:30:00,20.198,55.648,,,,,
9,06/09/20 17:00:00,20.198,55.741,,,,,
10,06/09/20 17:30:00,20.222,55.837,,,,,
11,06/09/20 18:00:00,20.246,55.871,,,,,
12,06/09/20 18:30:00,20.293,55.940,,,,,
13,06/09/20 19:00:00,20.341,55.978,,,,,
14,06/09/20 19:30:00,20.365,56.104,,,,,
15,06/09/20 20:00:00,20.317,56.282,,,,,
16,06/09/20 20:30:00,20.293,56.432,,,,,
17,06/09/20 21:00:00,20.269,56.552,,,,,
18,06/09/20 21:30:00,20.222,56.637,,,,,
19,06/09/20 22:00:00,20.222,56.760,,,,,
20,06/09/20 22:30:00,20.222,56.821,,,,,
21,06/09/20 23:00:00,20.222,56.852,,,,,
22,06/09/20 23:30:00,20.222,56.913,,,,,
23,06/10/20 00:00:00,20.246,56.947,,,,,
24,06/10/20 00:30:00,20.246,57.009,,,,,
25,06/10/20 01:00:00,20.222,57.067,,,,,
26,06/10/20 01:30:00,20.222,57.097,,,,,
27,06/10/20 02:00:00,20.222,57.128,,,,,
28,06/10/20 02:30:00,20.222,57.159,,,,,
29,06/10/20 03:00:00,20.198,57.186,,,,,
30,06/10/20 03:30:00,20.198,57.216,,,,,
31,06/10/20 04:00:00,20.174,57.274,,,,,
32,06/10/20 04:30:00,20.150,57.301,,,,,
33,06/10/20 05:00:00,20.126,57.359,,,,,
34,06/10/20 05:30:00,20.126,57.420,,,,,
35,06/10/20 06:00:00,20.103,57.508,,,,,
36,06/10/20 06:30:00,20.103,57.631,,,,,
37,06/10/20 07:00:00,20.150,57.791,,,,,
38,06/10/20 07:30:00,20.174,57.978,,,,,
