"Plot Title: UPLSNW2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20684633, SEN S/N: 20684633)","RH, % (LGR S/N: 20684633, SEN S/N: 20684633)","Coupler Detached (LGR S/N: 20684633)","Coupler Attached (LGR S/N: 20684633)","Host Connected (LGR S/N: 20684633)","Stopped (LGR S/N: 20684633)","End Of File (LGR S/N: 20684633)"
1,07/27/21 18:00:00,25.186,56.915,Logged,,,,
2,07/27/21 19:00:00,24.388,60.229,,,,,
3,07/27/21 20:00:00,24.122,61.108,,,,,
4,07/27/21 21:00:00,23.905,61.624,,,,,
5,07/27/21 22:00:00,23.665,61.829,,,,,
6,07/27/21 23:00:00,23.424,61.760,,,,,
7,07/28/21 00:00:00,23.184,61.629,,,,,
8,07/28/21 01:00:00,22.920,61.465,,,,,
9,07/28/21 02:00:00,22.633,61.266,,,,,
10,07/28/21 03:00:00,22.369,61.071,,,,,
11,07/28/21 04:00:00,22.082,60.964,,,,,
12,07/28/21 05:00:00,21.795,60.705,,,,,
13,07/28/21 06:00:00,21.509,60.354,,,,,
14,07/28/21 07:00:00,21.223,60.156,,,,,
15,07/28/21 08:00:00,20.984,60.575,,,,,
16,07/28/21 09:00:00,20.770,64.462,,,,,
17,07/28/21 10:00:00,21.390,60.579,,,,,
18,07/28/21 11:00:00,21.175,47.713,,,,,
19,07/28/21 12:00:00,22.561,47.793,,,,,
20,07/28/21 13:00:00,26.012,40.921,,,,,
21,07/28/21 14:00:00,29.966,36.140,,,,,
22,07/28/21 15:00:00,30.697,39.298,,,,,
23,07/28/21 16:00:00,35.182,38.341,,,,,
24,07/28/21 17:00:00,34.308,38.862,,,,,
25,07/28/21 18:00:00,28.841,34.888,,,,,
26,07/28/21 19:00:00,28.791,38.368,,,,,
27,07/28/21 20:00:00,29.215,37.141,,,,,
28,07/28/21 21:00:00,26.842,33.324,,,,,
29,07/28/21 22:00:00,23.954,39.650,,,,,
30,07/28/21 23:00:00,23.016,41.052,,,,,
31,07/29/21 00:00:00,21.604,42.580,,,,,
32,07/29/21 01:00:00,20.317,43.397,,,,,
33,07/29/21 02:00:00,19.246,43.464,,,,,
34,07/29/21 03:00:00,18.319,44.375,,,,,
35,07/29/21 04:00:00,17.510,44.976,,,,,
36,07/29/21 05:00:00,16.892,45.185,,,,,
37,07/29/21 06:00:00,16.534,44.668,,,,,
38,07/29/21 07:00:00,17.748,48.972,,,,,
39,07/29/21 08:00:00,17.677,60.436,,,,,
40,07/29/21 09:00:00,22.729,59.784,,,,,
41,07/29/21 10:00:00,23.737,48.166,,,,,
42,07/29/21 11:00:00,26.818,44.121,,,,,
43,07/29/21 12:00:00,24.243,51.157,,,,,
44,07/29/21 13:00:00,25.890,41.499,,,,,
45,07/29/21 14:00:00,27.161,37.271,,,,,
46,07/29/21 15:00:00,27.063,40.640,,,,,
47,07/29/21 16:00:00,26.329,51.119,,,,,
48,07/29/21 17:00:00,25.817,43.321,,,,,
49,07/29/21 18:00:00,24.171,49.656,,,,,
50,07/29/21 19:00:00,22.250,56.570,,,,,
51,07/29/21 20:00:00,20.269,58.054,,,,,
52,07/29/21 21:00:00,17.272,65.404,,,,,
53,07/29/21 22:00:00,15.294,72.126,,,,,
54,07/29/21 23:00:00,13.570,76.523,,,,,
55,07/30/21 00:00:00,11.953,82.139,,,,,
56,07/30/21 01:00:00,11.321,86.783,,,,,
57,07/30/21 02:00:00,10.932,89.317,,,,,
58,07/30/21 03:00:00,10.883,90.138,,,,,
59,07/30/21 04:00:00,10.858,92.665,,,,,
60,07/30/21 05:00:00,10.712,94.111,,,,,
61,07/30/21 06:00:00,10.761,95.445,,,,,
62,07/30/21 07:00:00,12.122,99.063,,,,,
63,07/30/21 08:00:00,15.605,99.495,,,,,
64,07/30/21 09:00:00,19.222,95.426,,,,,
65,07/30/21 10:00:00,23.112,58.337,,,,,
66,07/30/21 11:00:00,26.378,45.402,,,,,
67,07/30/21 12:00:00,28.816,33.604,,,,,
68,07/30/21 13:00:00,30.495,29.181,,,,,
69,07/30/21 14:00:00,30.672,28.713,,,,,
70,07/30/21 15:00:00,29.140,35.152,,,,,
71,07/30/21 16:00:00,25.744,53.355,,,,,
72,07/30/21 17:00:00,25.040,65.251,,,,,
73,07/30/21 18:00:00,24.074,66.893,,,,,
74,07/30/21 19:00:00,22.561,66.029,,,,,
75,07/30/21 20:00:00,21.795,71.461,,,,,
76,07/30/21 21:00:00,19.555,76.058,,,,,
77,07/30/21 22:00:00,17.938,79.624,,,,,
78,07/30/21 23:00:00,16.915,83.283,,,,,
79,07/31/21 00:00:00,16.868,86.600,,,,,
80,07/31/21 01:00:00,16.844,87.998,,,,,
81,07/31/21 02:00:00,16.415,88.110,,,,,
82,07/31/21 03:00:00,16.701,91.328,,,,,
83,07/31/21 04:00:00,17.463,86.739,,,,,
84,07/31/21 05:00:00,17.891,76.089,,,,,
85,07/31/21 06:00:00,19.199,73.259,,,,,
86,07/31/21 07:00:00,18.509,72.202,,,,,
87,07/31/21 08:00:00,18.414,81.291,,,,,
88,07/31/21 09:00:00,18.699,85.856,,,,,
89,07/31/21 10:00:00,19.127,80.216,,,,,
90,07/31/21 11:00:00,20.841,76.118,,,,,
91,07/31/21 12:00:00,19.674,84.291,,,,,
92,07/31/21 13:00:00,19.984,84.804,,,,,
93,07/31/21 14:00:00,20.150,87.152,,,,,
94,07/31/21 15:00:00,20.603,80.222,,,,,
95,07/31/21 16:00:00,22.321,57.816,,,,,
96,07/31/21 17:00:00,21.485,82.692,,,,,
97,07/31/21 18:00:00,20.341,82.523,,,,,
98,07/31/21 19:00:00,19.888,85.747,,,,,
99,07/31/21 20:00:00,19.246,88.219,,,,,
100,07/31/21 21:00:00,18.390,88.043,,,,,
101,07/31/21 22:00:00,17.510,90.438,,,,,
102,07/31/21 23:00:00,18.889,88.270,,,,,
103,08/01/21 00:00:00,17.772,91.382,,,,,
104,08/01/21 01:00:00,19.175,85.637,,,,,
105,08/01/21 02:00:00,18.557,88.866,,,,,
106,08/01/21 03:00:00,18.057,88.881,,,,,
107,08/01/21 04:00:00,17.368,92.289,,,,,
108,08/01/21 05:00:00,17.225,91.882,,,,,
109,08/01/21 06:00:00,16.796,92.778,,,,,
110,08/01/21 07:00:00,16.796,95.317,,,,,
111,08/01/21 08:00:00,18.509,93.635,,,,,
112,08/01/21 09:00:00,20.079,89.151,,,,,
113,08/01/21 10:00:00,20.770,85.204,,,,,
114,08/01/21 11:00:00,21.437,84.635,,,,,
115,08/01/21 12:00:00,23.040,78.375,,,,,
116,08/01/21 13:00:00,23.954,73.837,,,,,
117,08/01/21 14:00:00,24.919,68.153,,,,,
118,08/01/21 15:00:00,24.823,63.209,,,,,
119,08/01/21 16:00:00,24.484,66.514,,,,,
120,08/01/21 17:00:00,24.146,66.064,,,,,
121,08/01/21 18:00:00,23.328,67.151,,,,,
122,08/01/21 19:00:00,21.485,73.996,,,,,
123,08/01/21 20:00:00,19.436,79.353,,,,,
124,08/01/21 21:00:00,17.034,82.870,,,,,
125,08/01/21 22:00:00,14.745,85.454,,,,,
126,08/01/21 23:00:00,12.389,89.362,,,,,
127,08/02/21 00:00:00,11.248,91.372,,,,,
128,08/02/21 01:00:00,10.541,92.429,,,,,
129,08/02/21 02:00:00,10.173,93.689,,,,,
130,08/02/21 03:00:00,10.198,94.687,,,,,
131,08/02/21 04:00:00,9.952,94.977,,,,,
