"Plot Title: UPLSNE"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560915, SEN S/N: 10560915, LBL: Temp)","RH, % (LGR S/N: 10560915, SEN S/N: 10560915, LBL: RH)","Coupler Detached (LGR S/N: 10560915)","Coupler Attached (LGR S/N: 10560915)","Host Connected (LGR S/N: 10560915)","Stopped (LGR S/N: 10560915)","End Of File (LGR S/N: 10560915)"
1,07/07/22 12:00:00,18.699,65.476,Logged,,,,
2,07/07/22 12:30:00,19.817,63.491,,,,,
3,07/07/22 13:00:00,17.915,61.316,,,,,
4,07/07/22 13:30:00,17.558,67.865,,,,,
5,07/07/22 14:00:00,18.366,62.410,,,,,
6,07/07/22 14:30:00,19.270,68.822,,,,,
7,07/07/22 15:00:00,18.771,72.541,,,,,
8,07/07/22 15:30:00,18.985,69.501,,,,,
9,07/07/22 16:00:00,20.126,70.387,,,,,
10,07/07/22 16:30:00,22.537,64.552,,,,,
11,07/07/22 17:00:00,22.944,55.463,,,,,
12,07/07/22 17:30:00,23.064,54.733,,,,,
13,07/07/22 18:00:00,22.896,54.366,,,,,
14,07/07/22 18:30:00,22.705,53.807,,,,,
15,07/07/22 19:00:00,22.226,53.364,,,,,
16,07/07/22 19:30:00,21.413,53.437,,,,,
17,07/07/22 20:00:00,20.555,54.216,,,,,
18,07/07/22 20:30:00,19.770,54.907,,,,,
19,07/07/22 21:00:00,18.794,55.533,,,,,
20,07/07/22 21:30:00,17.891,59.808,,,,,
21,07/07/22 22:00:00,19.341,57.423,,,,,
22,07/07/22 22:30:00,20.507,55.848,,,,,
23,07/07/22 23:00:00,19.912,56.590,,,,,
24,07/07/22 23:30:00,18.699,57.843,,,,,
25,07/08/22 00:00:00,17.629,58.558,,,,,
26,07/08/22 00:30:00,16.677,59.042,,,,,
27,07/08/22 01:00:00,15.796,59.444,,,,,
28,07/08/22 01:30:00,15.008,59.946,,,,,
29,07/08/22 02:00:00,14.385,60.442,,,,,
30,07/08/22 02:30:00,13.882,60.835,,,,,
31,07/08/22 03:00:00,13.377,61.167,,,,,
32,07/08/22 03:30:00,12.847,61.434,,,,,
33,07/08/22 04:00:00,12.389,61.858,,,,,
34,07/08/22 04:30:00,11.953,62.020,,,,,
35,07/08/22 05:00:00,11.516,62.181,,,,,
36,07/08/22 05:30:00,11.053,62.425,,,,,
37,07/08/22 06:00:00,10.663,62.738,,,,,
38,07/08/22 06:30:00,10.443,63.137,,,,,
39,07/08/22 07:00:00,10.516,63.702,,,,,
40,07/08/22 07:30:00,10.834,66.013,,,,,
41,07/08/22 08:00:00,11.175,66.593,,,,,
42,07/08/22 08:30:00,11.492,68.573,,,,,
43,07/08/22 09:00:00,13.546,71.103,,,,,
44,07/08/22 09:30:00,15.986,70.767,,,,,
45,07/08/22 10:00:00,17.034,68.995,,,,,
46,07/08/22 10:30:00,17.986,68.382,,,,,
47,07/08/22 11:00:00,24.339,52.939,,,,,
48,07/08/22 11:30:00,23.472,61.493,,,,,
49,07/08/22 12:00:00,27.751,44.785,,,,,
50,07/08/22 12:30:00,30.419,46.606,,,,,
51,07/08/22 13:00:00,31.128,46.888,,,,,
52,07/08/22 13:30:00,30.444,46.609,,,,,
53,07/08/22 14:00:00,30.596,35.188,,,,,
54,07/08/22 14:30:00,29.690,34.833,,,,,
55,07/08/22 15:00:00,25.647,39.830,,,,,
56,07/08/22 15:30:00,23.280,53.043,,,,,
57,07/08/22 16:00:00,24.919,55.032,,,,,
58,07/08/22 16:30:00,27.604,51.482,,,,,
59,07/08/22 17:00:00,28.196,48.991,,,,,
60,07/08/22 17:30:00,27.186,45.856,,,,,
61,07/08/22 18:00:00,20.341,55.546,,,,,
62,07/08/22 18:30:00,17.796,59.128,,,,,
63,07/08/22 19:00:00,16.844,65.683,,,,,
64,07/08/22 19:30:00,15.891,64.604,,,,,
65,07/08/22 20:00:00,14.888,67.759,,,,,
66,07/08/22 20:30:00,13.786,76.986,,,,,
67,07/08/22 21:00:00,12.630,81.503,,,,,
68,07/08/22 21:30:00,11.540,84.975,,,,,
69,07/08/22 22:00:00,11.029,88.005,,,,,
70,07/08/22 22:30:00,10.614,89.343,,,,,
71,07/08/22 23:00:00,10.001,89.399,,,,,
72,07/08/22 23:30:00,9.361,88.278,,,,,
73,07/09/22 00:00:00,9.064,89.710,,,,,
74,07/09/22 00:30:00,8.742,91.583,,,,,
75,07/09/22 01:00:00,9.015,93.666,,,,,
76,07/09/22 01:30:00,9.805,95.543,,,,,
77,07/09/22 02:00:00,10.100,95.521,,,,,
78,07/09/22 02:30:00,9.632,94.183,,,,,
79,07/09/22 03:00:00,9.509,94.556,,,,,
80,07/09/22 03:30:00,9.706,95.164,,,,,
81,07/09/22 04:00:00,9.608,94.885,,,,,
82,07/09/22 04:30:00,9.262,94.288,,,,,
83,07/09/22 05:00:00,8.717,93.739,,,,,
84,07/09/22 05:30:00,8.270,93.748,,,,,
85,07/09/22 06:00:00,7.920,94.286,,,,,
86,07/09/22 06:30:00,8.095,94.860,,,,,
87,07/09/22 07:00:00,8.866,96.470,,,,,
88,07/09/22 07:30:00,10.296,97.184,,,,,
89,07/09/22 08:00:00,11.565,97.152,,,,,
90,07/09/22 08:30:00,13.401,84.064,,,,,
91,07/09/22 09:00:00,15.223,78.877,,,,,
92,07/09/22 09:30:00,15.700,70.396,,,,,
93,07/09/22 10:00:00,16.368,69.191,,,,,
94,07/09/22 10:30:00,15.915,69.542,,,,,
95,07/09/22 11:00:00,16.582,71.945,,,,,
96,07/09/22 11:30:00,17.843,63.010,,,,,
97,07/09/22 12:00:00,18.129,58.818,,,,,
98,07/09/22 12:30:00,18.081,61.464,,,,,
99,07/09/22 13:00:00,18.414,58.862,,,,,
100,07/09/22 13:30:00,19.436,60.176,,,,,
101,07/09/22 14:00:00,19.532,60.766,,,,,
102,07/09/22 14:30:00,18.675,63.508,,,,,
103,07/09/22 15:00:00,18.200,61.933,,,,,
104,07/09/22 15:30:00,18.794,61.701,,,,,
105,07/09/22 16:00:00,18.461,59.536,,,,,
106,07/09/22 16:30:00,17.938,58.879,,,,,
107,07/09/22 17:00:00,17.986,61.568,,,,,
108,07/09/22 17:30:00,17.843,61.575,,,,,
109,07/09/22 18:00:00,17.272,64.665,,,,,
110,07/09/22 18:30:00,16.439,65.700,,,,,
111,07/09/22 19:00:00,15.342,69.492,,,,,
112,07/09/22 19:30:00,15.127,73.631,,,,,
113,07/09/22 20:00:00,14.457,74.403,,,,,
114,07/09/22 20:30:00,13.666,79.842,,,,,
115,07/09/22 21:00:00,13.161,84.655,,,,,
116,07/09/22 21:30:00,12.751,86.753,,,,,
117,07/09/22 22:00:00,12.195,88.104,,,,,
118,07/09/22 22:30:00,11.710,90.814,,,,,
119,07/09/22 23:00:00,11.540,91.239,,,,,
120,07/09/22 23:30:00,11.297,90.918,,,,,
121,07/10/22 00:00:00,10.883,90.138,,,,,
122,07/10/22 00:30:00,10.785,90.944,,,,,
123,07/10/22 01:00:00,10.516,89.891,,,,,
124,07/10/22 01:30:00,10.173,90.272,,,,,
125,07/10/22 02:00:00,9.188,88.027,,,,,
126,07/10/22 02:30:00,9.089,93.228,,,,,
127,07/10/22 03:00:00,9.312,92.828,,,,,
128,07/10/22 03:30:00,9.139,93.088,,,,,
129,07/10/22 04:00:00,8.866,93.221,,,,,
130,07/10/22 04:30:00,8.668,94.282,,,,,
131,07/10/22 05:00:00,8.519,94.394,,,,,
132,07/10/22 05:30:00,8.519,94.898,,,,,
133,07/10/22 06:00:00,8.394,95.266,,,,,
134,07/10/22 06:30:00,8.295,95.490,,,,,
135,07/10/22 07:00:00,8.245,95.977,,,,,
136,07/10/22 07:30:00,8.568,96.314,,,,,
137,07/10/22 08:00:00,8.817,95.630,,,,,
138,07/10/22 08:30:00,9.435,95.218,,,,,
139,07/10/22 09:00:00,10.858,90.496,,,,,
140,07/10/22 09:30:00,12.920,78.495,,,,,
141,07/10/22 10:00:00,14.194,69.393,,,,,
142,07/10/22 10:30:00,15.581,69.710,,,,,
143,07/10/22 11:00:00,16.487,63.672,,,,,
144,07/10/22 11:30:00,17.249,60.848,,,,,
145,07/10/22 12:00:00,17.843,61.485,,,,,
146,07/10/22 12:30:00,18.366,63.843,,,,,
147,07/10/22 13:00:00,18.461,62.546,,,,,
148,07/10/22 13:30:00,18.866,62.493,,,,,
149,07/10/22 14:00:00,19.151,64.096,,,,,
150,07/10/22 14:30:00,19.460,60.996,,,,,
151,07/10/22 15:00:00,19.460,60.421,,,,,
152,07/10/22 15:30:00,19.222,61.349,,,,,
153,07/10/22 16:00:00,19.127,62.296,,,,,
154,07/10/22 16:30:00,19.246,61.654,,,,,
155,07/10/22 17:00:00,19.389,63.808,,,,,
156,07/10/22 17:30:00,19.341,62.812,,,,,
157,07/10/22 18:00:00,18.913,65.246,,,,,
158,07/10/22 18:30:00,18.461,66.646,,,,,
159,07/10/22 19:00:00,17.534,72.820,,,,,
160,07/10/22 19:30:00,16.606,76.844,,,,,
161,07/10/22 20:00:00,15.533,78.358,,,,,
162,07/10/22 20:30:00,14.529,81.240,,,,,
163,07/10/22 21:00:00,13.642,83.388,,,,,
164,07/10/22 21:30:00,12.606,84.365,,,,,
165,07/10/22 22:00:00,11.565,85.221,,,,,
166,07/10/22 22:30:00,10.443,84.665,,,,,
167,07/10/22 23:00:00,9.706,86.081,,,,,
168,07/10/22 23:30:00,8.941,87.366,,,,,
169,07/11/22 00:00:00,8.618,89.081,,,,,
170,07/11/22 00:30:00,8.095,88.512,,,,,
171,07/11/22 01:00:00,7.720,89.142,,,,,
172,07/11/22 01:30:00,7.419,90.555,,,,,
173,07/11/22 02:00:00,7.293,90.523,,,,,
174,07/11/22 02:30:00,7.066,91.738,,,,,
175,07/11/22 03:00:00,6.940,91.452,,,,,
176,07/11/22 03:30:00,6.712,91.419,,,,,
177,07/11/22 04:00:00,6.712,92.935,,,,,
178,07/11/22 04:30:00,6.636,92.184,,,,,
179,07/11/22 05:00:00,6.382,92.068,,,,,
180,07/11/22 05:30:00,6.382,93.126,,,,,
181,07/11/22 06:00:00,6.458,93.246,,,,,
182,07/11/22 06:30:00,7.393,95.796,,,,,
183,07/11/22 07:00:00,9.163,97.075,,,,,
184,07/11/22 07:30:00,11.297,97.306,,,,,
185,07/11/22 08:00:00,13.642,96.187,,,,,
186,07/11/22 08:30:00,14.888,84.459,,,,,
187,07/11/22 09:00:00,17.653,70.389,,,,,
188,07/11/22 09:30:00,20.222,65.384,,,,,
189,07/11/22 10:00:00,21.891,51.972,,,,,
190,07/11/22 10:30:00,23.328,53.269,,,,,
191,07/11/22 11:00:00,24.702,48.896,,,,,
192,07/11/22 11:30:00,25.477,47.070,,,,,
193,07/11/22 12:00:00,26.182,43.428,,,,,
194,07/11/22 12:30:00,26.646,39.077,,,,,
195,07/11/22 13:00:00,27.087,39.917,,,,,
