"Plot Title: UPLSNE2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20699056, SEN S/N: 20699056)","RH, % (LGR S/N: 20699056, SEN S/N: 20699056)","Coupler Detached (LGR S/N: 20699056)","Coupler Attached (LGR S/N: 20699056)","Host Connected (LGR S/N: 20699056)","Stopped (LGR S/N: 20699056)","End Of File (LGR S/N: 20699056)"
1,07/27/21 18:00:00,23.232,65.725,Logged,,,,
2,07/27/21 19:00:00,23.833,63.834,,,,,
3,07/27/21 20:00:00,23.954,62.913,,,,,
4,07/27/21 21:00:00,23.881,62.505,,,,,
5,07/27/21 22:00:00,23.689,62.291,,,,,
6,07/27/21 23:00:00,23.497,62.107,,,,,
7,07/28/21 00:00:00,23.280,61.889,,,,,
8,07/28/21 01:00:00,23.064,61.640,,,,,
9,07/28/21 02:00:00,22.800,61.445,,,,,
10,07/28/21 03:00:00,22.561,61.254,,,,,
11,07/28/21 04:00:00,22.274,61.056,,,,,
12,07/28/21 05:00:00,22.011,60.922,,,,,
13,07/28/21 06:00:00,21.724,60.693,,,,,
14,07/28/21 07:00:00,21.437,60.495,,,,,
15,07/28/21 08:00:00,21.199,60.518,,,,,
16,07/28/21 09:00:00,21.008,61.731,,,,,
17,07/28/21 10:00:00,21.437,61.801,,,,,
18,07/28/21 11:00:00,21.246,53.694,,,,,
19,07/28/21 12:00:00,22.657,52.767,,,,,
20,07/28/21 13:00:00,27.014,46.743,,,,,
21,07/28/21 14:00:00,31.179,38.544,,,,,
22,07/28/21 15:00:00,32.587,38.283,,,,,
23,07/28/21 16:00:00,37.535,36.010,,,,,
24,07/28/21 17:00:00,34.598,38.147,,,,,
25,07/28/21 18:00:00,26.451,39.387,,,,,
26,07/28/21 19:00:00,28.320,36.517,,,,,
27,07/28/21 20:00:00,28.990,33.383,,,,,
28,07/28/21 21:00:00,27.358,34.515,,,,,
29,07/28/21 22:00:00,25.817,37.966,,,,,
30,07/28/21 23:00:00,25.137,38.458,,,,,
31,07/29/21 00:00:00,24.122,39.209,,,,,
32,07/29/21 01:00:00,22.944,39.445,,,,,
33,07/29/21 02:00:00,21.724,39.577,,,,,
34,07/29/21 03:00:00,20.627,40.725,,,,,
35,07/29/21 04:00:00,19.651,41.488,,,,,
36,07/29/21 05:00:00,18.818,41.909,,,,,
37,07/29/21 06:00:00,18.081,41.762,,,,,
38,07/29/21 07:00:00,18.271,48.099,,,,,
39,07/29/21 08:00:00,18.461,55.515,,,,,
40,07/29/21 09:00:00,23.088,57.191,,,,,
41,07/29/21 10:00:00,23.954,46.239,,,,,
42,07/29/21 11:00:00,23.016,61.419,,,,,
43,07/29/21 12:00:00,22.537,67.578,,,,,
44,07/29/21 13:00:00,23.833,58.633,,,,,
45,07/29/21 14:00:00,24.629,51.336,,,,,
46,07/29/21 15:00:00,24.944,56.723,,,,,
47,07/29/21 16:00:00,24.798,58.627,,,,,
48,07/29/21 17:00:00,24.026,59.742,,,,,
49,07/29/21 18:00:00,23.064,56.196,,,,,
50,07/29/21 19:00:00,21.748,58.005,,,,,
51,07/29/21 20:00:00,20.174,63.492,,,,,
52,07/29/21 21:00:00,18.319,62.462,,,,,
53,07/29/21 22:00:00,16.654,63.641,,,,,
54,07/29/21 23:00:00,15.342,70.300,,,,,
55,07/30/21 00:00:00,14.266,74.872,,,,,
56,07/30/21 01:00:00,13.497,79.915,,,,,
57,07/30/21 02:00:00,13.064,82.090,,,,,
58,07/30/21 03:00:00,12.920,83.629,,,,,
59,07/30/21 04:00:00,12.847,85.575,,,,,
60,07/30/21 05:00:00,12.703,86.582,,,,,
61,07/30/21 06:00:00,12.558,88.192,,,,,
62,07/30/21 07:00:00,13.449,92.502,,,,,
63,07/30/21 08:00:00,15.986,96.838,,,,,
64,07/30/21 09:00:00,19.032,94.508,,,,,
65,07/30/21 10:00:00,23.761,59.423,,,,,
66,07/30/21 11:00:00,27.259,41.288,,,,,
67,07/30/21 12:00:00,28.965,32.907,,,,,
68,07/30/21 13:00:00,29.765,32.910,,,,,
69,07/30/21 14:00:00,30.041,29.419,,,,,
70,07/30/21 15:00:00,29.140,31.326,,,,,
71,07/30/21 16:00:00,25.283,57.863,,,,,
72,07/30/21 17:00:00,24.412,68.391,,,,,
73,07/30/21 18:00:00,23.641,66.547,,,,,
74,07/30/21 19:00:00,22.226,67.076,,,,,
75,07/30/21 20:00:00,21.604,68.806,,,,,
76,07/30/21 21:00:00,19.865,72.927,,,,,
77,07/30/21 22:00:00,18.604,75.751,,,,,
78,07/30/21 23:00:00,17.724,78.766,,,,,
79,07/31/21 00:00:00,17.320,83.044,,,,,
80,07/31/21 01:00:00,17.082,83.952,,,,,
81,07/31/21 02:00:00,16.773,87.307,,,,,
82,07/31/21 03:00:00,16.892,88.439,,,,,
83,07/31/21 04:00:00,17.986,82.087,,,,,
84,07/31/21 05:00:00,18.604,68.026,,,,,
85,07/31/21 06:00:00,19.365,70.944,,,,,
86,07/31/21 07:00:00,18.889,70.126,,,,,
87,07/31/21 08:00:00,18.842,74.024,,,,,
88,07/31/21 09:00:00,18.580,83.630,,,,,
89,07/31/21 10:00:00,19.103,77.190,,,,,
90,07/31/21 11:00:00,21.413,69.627,,,,,
91,07/31/21 12:00:00,19.460,83.468,,,,,
92,07/31/21 13:00:00,19.555,88.320,,,,,
93,07/31/21 14:00:00,19.651,87.799,,,,,
94,07/31/21 15:00:00,20.746,70.912,,,,,
95,07/31/21 16:00:00,23.256,51.970,,,,,
96,07/31/21 17:00:00,21.461,78.019,,,,,
