"Plot Title: WILSPR2021"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9905283, SEN S/N: 9905283, LBL: Temp)","RH, % (LGR S/N: 9905283, SEN S/N: 9905283, LBL: RH)","Coupler Detached (LGR S/N: 9905283)","Coupler Attached (LGR S/N: 9905283)","Host Connected (LGR S/N: 9905283)","Stopped (LGR S/N: 9905283)","End Of File (LGR S/N: 9905283)"
1,07/27/21 18:00:00,25.355,61.029,Logged,,,,
2,07/27/21 19:00:00,24.581,61.641,,,,,
3,07/27/21 20:00:00,24.219,62.713,,,,,
4,07/27/21 21:00:00,23.954,63.308,,,,,
5,07/27/21 22:00:00,23.665,63.685,,,,,
6,07/27/21 23:00:00,23.376,63.667,,,,,
7,07/28/21 00:00:00,23.112,63.653,,,,,
8,07/28/21 01:00:00,22.824,63.514,,,,,
9,07/28/21 02:00:00,22.537,63.375,,,,,
10,07/28/21 03:00:00,22.250,63.267,,,,,
11,07/28/21 04:00:00,21.939,63.185,,,,,
12,07/28/21 05:00:00,21.676,62.960,,,,,
13,07/28/21 06:00:00,21.366,62.697,,,,,
14,07/28/21 07:00:00,21.103,62.503,,,,,
15,07/28/21 08:00:00,20.889,62.739,,,,,
16,07/28/21 09:00:00,20.674,67.069,,,,,
17,07/28/21 10:00:00,21.819,57.985,,,,,
18,07/28/21 11:00:00,21.056,46.171,,,,,
19,07/28/21 12:00:00,23.280,44.065,,,,,
20,07/28/21 13:00:00,27.407,36.027,,,,,
21,07/28/21 14:00:00,31.484,31.252,,,,,
22,07/28/21 15:00:00,32.021,33.178,,,,,
23,07/28/21 16:00:00,37.206,29.227,,,,,
24,07/28/21 17:00:00,34.810,31.670,,,,,
25,07/28/21 18:00:00,28.270,36.914,,,,,
26,07/28/21 19:00:00,28.543,37.676,,,,,
27,07/28/21 20:00:00,29.040,33.861,,,,,
28,07/28/21 21:00:00,26.622,36.485,,,,,
29,07/28/21 22:00:00,25.065,41.800,,,,,
30,07/28/21 23:00:00,24.146,42.349,,,,,
31,07/29/21 00:00:00,22.848,43.917,,,,,
32,07/29/21 01:00:00,21.509,44.339,,,,,
33,07/29/21 02:00:00,20.365,44.395,,,,,
34,07/29/21 03:00:00,19.365,45.455,,,,,
35,07/29/21 04:00:00,18.485,46.045,,,,,
36,07/29/21 05:00:00,17.796,46.117,,,,,
37,07/29/21 06:00:00,17.249,45.450,,,,,
38,07/29/21 07:00:00,18.010,50.068,,,,,
39,07/29/21 08:00:00,19.270,54.649,,,,,
40,07/29/21 09:00:00,18.937,59.823,,,,,
41,07/29/21 10:00:00,21.604,46.813,,,,,
42,07/29/21 11:00:00,24.243,42.360,,,,,
43,07/29/21 12:00:00,26.353,35.358,,,,,
44,07/29/21 13:00:00,27.284,33.061,,,,,
45,07/29/21 14:00:00,27.899,35.404,,,,,
46,07/29/21 15:00:00,27.850,38.306,,,,,
47,07/29/21 16:00:00,27.431,40.878,,,,,
48,07/29/21 17:00:00,27.358,40.540,,,,,
49,07/29/21 18:00:00,26.231,41.536,,,,,
50,07/29/21 19:00:00,25.186,41.421,,,,,
51,07/29/21 20:00:00,23.088,45.459,,,,,
52,07/29/21 21:00:00,19.365,55.587,,,,,
53,07/29/21 22:00:00,16.463,63.786,,,,,
54,07/29/21 23:00:00,15.031,68.191,,,,,
55,07/30/21 00:00:00,14.050,72.026,,,,,
56,07/30/21 01:00:00,13.473,74.712,,,,,
57,07/30/21 02:00:00,13.329,79.961,,,,,
58,07/30/21 03:00:00,13.786,75.925,,,,,
59,07/30/21 04:00:00,13.762,75.724,,,,,
60,07/30/21 05:00:00,13.834,79.106,,,,,
61,07/30/21 06:00:00,13.786,75.757,,,,,
62,07/30/21 07:00:00,15.055,85.337,,,,,
63,07/30/21 08:00:00,18.319,80.070,,,,,
64,07/30/21 09:00:00,22.729,63.347,,,,,
65,07/30/21 10:00:00,26.598,45.169,,,,,
66,07/30/21 11:00:00,29.590,34.486,,,,,
67,07/30/21 12:00:00,30.849,29.450,,,,,
68,07/30/21 13:00:00,31.816,30.593,,,,,
69,07/30/21 14:00:00,32.021,28.888,,,,,
70,07/30/21 15:00:00,30.495,35.685,,,,,
71,07/30/21 16:00:00,27.235,42.468,,,,,
72,07/30/21 17:00:00,27.308,48.846,,,,,
73,07/30/21 18:00:00,26.378,50.871,,,,,
74,07/30/21 19:00:00,24.243,56.619,,,,,
75,07/30/21 20:00:00,23.881,59.411,,,,,
76,07/30/21 21:00:00,20.603,66.551,,,,,
77,07/30/21 22:00:00,18.842,70.758,,,,,
78,07/30/21 23:00:00,17.938,74.647,,,,,
79,07/31/21 00:00:00,17.701,76.646,,,,,
80,07/31/21 01:00:00,17.962,76.132,,,,,
81,07/31/21 02:00:00,17.772,76.944,,,,,
82,07/31/21 03:00:00,17.796,76.155,,,,,
83,07/31/21 04:00:00,18.818,70.579,,,,,
84,07/31/21 05:00:00,19.175,64.041,,,,,
85,07/31/21 06:00:00,21.700,51.255,,,,,
86,07/31/21 07:00:00,20.222,62.869,,,,,
87,07/31/21 08:00:00,19.532,72.138,,,,,
88,07/31/21 09:00:00,19.651,79.484,,,,,
89,07/31/21 10:00:00,19.698,80.226,,,,,
90,07/31/21 11:00:00,22.968,55.529,,,,,
91,07/31/21 12:00:00,20.841,73.261,,,,,
92,07/31/21 13:00:00,20.984,75.658,,,,,
93,07/31/21 14:00:00,20.603,76.098,,,,,
94,07/31/21 15:00:00,22.274,58.178,,,,,
95,07/31/21 16:00:00,24.750,46.497,,,,,
96,07/31/21 17:00:00,23.184,60.223,,,,,
97,07/31/21 18:00:00,21.819,66.766,,,,,
98,07/31/21 19:00:00,20.722,73.238,,,,,
99,07/31/21 20:00:00,19.912,77.897,,,,,
100,07/31/21 21:00:00,19.056,72.654,,,,,
101,07/31/21 22:00:00,18.224,81.250,,,,,
102,07/31/21 23:00:00,18.366,84.738,,,,,
103,08/01/21 00:00:00,17.368,86.228,,,,,
104,08/01/21 01:00:00,17.891,81.677,,,,,
105,08/01/21 02:00:00,17.534,87.271,,,,,
106,08/01/21 03:00:00,18.295,83.538,,,,,
107,08/01/21 04:00:00,17.415,88.269,,,,,
108,08/01/21 05:00:00,17.225,88.035,,,,,
109,08/01/21 06:00:00,17.058,87.132,,,,,
110,08/01/21 07:00:00,17.153,91.759,,,,,
111,08/01/21 08:00:00,18.699,88.982,,,,,
112,08/01/21 09:00:00,20.555,84.380,,,,,
113,08/01/21 10:00:00,21.772,79.679,,,,,
114,08/01/21 11:00:00,22.202,76.739,,,,,
115,08/01/21 12:00:00,23.424,75.249,,,,,
116,08/01/21 13:00:00,24.653,67.415,,,,,
117,08/01/21 14:00:00,25.040,63.061,,,,,
118,08/01/21 15:00:00,24.726,61.113,,,,,
119,08/01/21 16:00:00,24.702,60.433,,,,,
120,08/01/21 17:00:00,24.339,63.311,,,,,
121,08/01/21 18:00:00,23.160,66.133,,,,,
122,08/01/21 19:00:00,21.772,70.135,,,,,
123,08/01/21 20:00:00,19.841,74.740,,,,,
124,08/01/21 21:00:00,17.177,80.743,,,,,
125,08/01/21 22:00:00,15.031,84.926,,,,,
126,08/01/21 23:00:00,13.834,90.087,,,,,
127,08/02/21 00:00:00,13.088,90.951,,,,,
128,08/02/21 01:00:00,12.606,94.710,,,,,
129,08/02/21 02:00:00,12.413,93.941,,,,,
130,08/02/21 03:00:00,12.098,94.730,,,,,
131,08/02/21 04:00:00,11.832,95.629,,,,,
132,08/02/21 05:00:00,11.710,95.189,,,,,
133,08/02/21 06:00:00,11.492,95.894,,,,,
134,08/02/21 07:00:00,12.292,98.231,,,,,
135,08/02/21 08:00:00,15.533,98.254,,,,,
136,08/02/21 09:00:00,18.699,85.664,,,,,
137,08/02/21 10:00:00,22.369,65.995,,,,,
138,08/02/21 11:00:00,25.793,37.466,,,,,
139,08/02/21 12:00:00,27.998,28.092,,,,,
140,08/02/21 13:00:00,29.765,25.607,,,,,
141,08/02/21 14:00:00,29.515,30.095,,,,,
142,08/02/21 15:00:00,29.515,41.236,,,,,
143,08/02/21 16:00:00,27.604,51.226,,,,,
144,08/02/21 17:00:00,26.818,55.180,,,,,
145,08/02/21 18:00:00,25.550,61.951,,,,,
146,08/02/21 19:00:00,24.557,63.864,,,,,
