"Plot Title: WILSPR"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20133753, SEN S/N: 20133753, LBL: Temp)","RH, % (LGR S/N: 20133753, SEN S/N: 20133753, LBL: RH)","Coupler Detached (LGR S/N: 20133753)","Coupler Attached (LGR S/N: 20133753)","Host Connected (LGR S/N: 20133753)","Stopped (LGR S/N: 20133753)","End Of File (LGR S/N: 20133753)"
1,07/07/22 12:00:00,19.888,60.793,Logged,,,,
2,07/07/22 12:30:00,19.746,63.240,,,,,
3,07/07/22 13:00:00,17.986,63.153,,,,,
4,07/07/22 13:30:00,19.532,66.511,,,,,
5,07/07/22 14:00:00,19.484,58.452,,,,,
6,07/07/22 14:30:00,18.937,63.821,,,,,
7,07/07/22 15:00:00,19.056,66.486,,,,,
8,07/07/22 15:30:00,19.436,66.701,,,,,
9,07/07/22 16:00:00,19.080,71.355,,,,,
10,07/07/22 16:30:00,20.484,68.248,,,,,
11,07/07/22 17:00:00,22.465,57.066,,,,,
12,07/07/22 17:30:00,23.136,55.055,,,,,
13,07/07/22 18:00:00,23.064,54.015,,,,,
14,07/07/22 18:30:00,22.896,53.302,,,,,
15,07/07/22 19:00:00,22.274,53.090,,,,,
16,07/07/22 19:30:00,21.318,53.392,,,,,
17,07/07/22 20:00:00,20.412,53.979,,,,,
18,07/07/22 20:30:00,19.603,54.667,,,,,
19,07/07/22 21:00:00,18.509,55.614,,,,,
20,07/07/22 21:30:00,17.558,60.568,,,,,
21,07/07/22 22:00:00,19.912,52.323,,,,,
22,07/07/22 22:30:00,20.865,53.422,,,,,
23,07/07/22 23:00:00,19.793,55.342,,,,,
24,07/07/22 23:30:00,18.247,57.713,,,,,
25,07/08/22 00:00:00,17.082,58.895,,,,,
26,07/08/22 00:30:00,16.058,59.666,,,,,
27,07/08/22 01:00:00,15.103,60.380,,,,,
28,07/08/22 01:30:00,14.266,60.987,,,,,
29,07/08/22 02:00:00,13.714,61.311,,,,,
30,07/08/22 02:30:00,13.257,61.709,,,,,
31,07/08/22 03:00:00,12.775,62.041,,,,,
32,07/08/22 03:30:00,12.195,62.531,,,,,
33,07/08/22 04:00:00,11.807,62.875,,,,,
34,07/08/22 04:30:00,11.419,63.071,,,,,
35,07/08/22 05:00:00,10.980,63.200,,,,,
36,07/08/22 05:30:00,10.541,63.561,,,,,
37,07/08/22 06:00:00,10.149,63.754,,,,,
38,07/08/22 06:30:00,10.001,63.902,,,,,
39,07/08/22 07:00:00,10.198,63.936,,,,,
40,07/08/22 07:30:00,10.712,66.308,,,,,
41,07/08/22 08:00:00,11.175,66.651,,,,,
42,07/08/22 08:30:00,11.516,68.034,,,,,
43,07/08/22 09:00:00,14.098,72.150,,,,,
44,07/08/22 09:30:00,16.654,67.760,,,,,
45,07/08/22 10:00:00,17.249,66.989,,,,,
46,07/08/22 10:30:00,18.366,67.160,,,,,
47,07/08/22 11:00:00,21.079,60.833,,,,,
48,07/08/22 11:30:00,23.785,61.574,,,,,
49,07/08/22 12:00:00,24.653,48.314,,,,,
50,07/08/22 12:30:00,19.056,66.071,,,,,
51,07/08/22 13:00:00,18.271,67.319,,,,,
52,07/08/22 13:30:00,18.485,62.340,,,,,
53,07/08/22 14:00:00,17.677,64.409,,,,,
54,07/08/22 14:30:00,17.486,64.673,,,,,
55,07/08/22 15:00:00,17.320,66.649,,,,,
56,07/08/22 15:30:00,17.796,61.117,,,,,
57,07/08/22 16:00:00,17.891,59.627,,,,,
58,07/08/22 16:30:00,17.391,64.656,,,,,
59,07/08/22 17:00:00,16.511,66.945,,,,,
60,07/08/22 17:30:00,15.915,67.247,,,,,
61,07/08/22 18:00:00,16.320,64.589,,,,,
62,07/08/22 18:30:00,16.058,62.680,,,,,
63,07/08/22 19:00:00,15.342,63.388,,,,,
64,07/08/22 19:30:00,14.385,69.054,,,,,
65,07/08/22 20:00:00,13.497,72.203,,,,,
66,07/08/22 20:30:00,12.558,77.091,,,,,
67,07/08/22 21:00:00,11.613,82.684,,,,,
68,07/08/22 21:30:00,10.590,86.819,,,,,
69,07/08/22 22:00:00,9.952,90.785,,,,,
70,07/08/22 22:30:00,9.460,92.892,,,,,
71,07/08/22 23:00:00,9.040,94.027,,,,,
72,07/08/22 23:30:00,8.419,94.065,,,,,
73,07/09/22 00:00:00,7.920,94.135,,,,,
74,07/09/22 00:30:00,7.594,95.527,,,,,
75,07/09/22 01:00:00,7.770,96.744,,,,,
76,07/09/22 01:30:00,8.344,97.348,,,,,
77,07/09/22 02:00:00,7.519,96.427,,,,,
78,07/09/22 02:30:00,6.965,96.722,,,,,
79,07/09/22 03:00:00,6.661,97.034,,,,,
80,07/09/22 03:30:00,7.444,97.447,,,,,
81,07/09/22 04:00:00,7.066,96.700,,,,,
82,07/09/22 04:30:00,6.357,96.679,,,,,
83,07/09/22 05:00:00,5.796,96.894,,,,,
84,07/09/22 05:30:00,5.693,97.209,,,,,
85,07/09/22 06:00:00,5.591,97.279,,,,,
86,07/09/22 06:30:00,6.737,97.940,,,,,
87,07/09/22 07:00:00,8.120,98.127,,,,,
88,07/09/22 07:30:00,9.336,98.192,,,,,
89,07/09/22 08:00:00,11.078,98.174,,,,,
90,07/09/22 08:30:00,12.268,95.847,,,,,
91,07/09/22 09:00:00,14.194,77.935,,,,,
92,07/09/22 09:30:00,14.697,74.677,,,,,
93,07/09/22 10:00:00,15.461,71.156,,,,,
94,07/09/22 10:30:00,14.984,70.978,,,,,
95,07/09/22 11:00:00,15.461,74.322,,,,,
96,07/09/22 11:30:00,17.344,64.411,,,,,
97,07/09/22 12:00:00,17.938,61.410,,,,,
98,07/09/22 12:30:00,17.819,63.661,,,,,
99,07/09/22 13:00:00,18.057,61.190,,,,,
100,07/09/22 13:30:00,19.151,62.810,,,,,
101,07/09/22 14:00:00,18.509,63.629,,,,,
102,07/09/22 14:30:00,17.106,65.021,,,,,
103,07/09/22 15:00:00,17.153,65.354,,,,,
104,07/09/22 15:30:00,17.415,65.282,,,,,
105,07/09/22 16:00:00,17.724,60.775,,,,,
106,07/09/22 16:30:00,17.011,61.258,,,,,
107,07/09/22 17:00:00,16.868,63.707,,,,,
108,07/09/22 17:30:00,16.249,66.664,,,,,
109,07/09/22 18:00:00,15.915,68.469,,,,,
110,07/09/22 18:30:00,15.461,68.299,,,,,
111,07/09/22 19:00:00,14.266,72.637,,,,,
112,07/09/22 19:30:00,14.002,75.801,,,,,
113,07/09/22 20:00:00,13.353,77.646,,,,,
114,07/09/22 20:30:00,12.606,83.314,,,,,
115,07/09/22 21:00:00,12.001,88.110,,,,,
116,07/09/22 21:30:00,11.516,90.817,,,,,
117,07/09/22 22:00:00,10.785,92.363,,,,,
118,07/09/22 22:30:00,10.834,94.703,,,,,
119,07/09/22 23:00:00,10.687,94.563,,,,,
120,07/09/22 23:30:00,10.198,94.383,,,,,
121,07/10/22 00:00:00,9.756,94.215,,,,,
122,07/10/22 00:30:00,9.410,94.124,,,,,
123,07/10/22 01:00:00,9.139,94.660,,,,,
124,07/10/22 01:30:00,8.742,94.100,,,,,
125,07/10/22 02:00:00,7.770,92.301,,,,,
126,07/10/22 02:30:00,7.594,96.696,,,,,
127,07/10/22 03:00:00,7.920,97.132,,,,,
128,07/10/22 03:30:00,7.745,97.233,,,,,
129,07/10/22 04:00:00,7.569,97.283,,,,,
130,07/10/22 04:30:00,7.544,97.573,,,,,
131,07/10/22 05:00:00,7.519,97.714,,,,,
132,07/10/22 05:30:00,7.343,97.715,,,,,
133,07/10/22 06:00:00,7.343,97.912,,,,,
134,07/10/22 06:30:00,7.444,98.038,,,,,
135,07/10/22 07:00:00,7.594,98.129,,,,,
136,07/10/22 07:30:00,7.845,98.224,,,,,
137,07/10/22 08:00:00,8.195,98.296,,,,,
138,07/10/22 08:30:00,8.792,98.363,,,,,
139,07/10/22 09:00:00,9.903,98.399,,,,,
140,07/10/22 09:30:00,11.200,93.676,,,,,
141,07/10/22 10:00:00,12.847,71.679,,,,,
142,07/10/22 10:30:00,14.361,67.315,,,,,
143,07/10/22 11:00:00,15.461,60.915,,,,,
144,07/10/22 11:30:00,16.368,64.066,,,,,
145,07/10/22 12:00:00,17.368,63.614,,,,,
146,07/10/22 12:30:00,17.986,61.868,,,,,
147,07/10/22 13:00:00,18.176,61.599,,,,,
148,07/10/22 13:30:00,18.652,60.594,,,,,
149,07/10/22 14:00:00,18.937,61.092,,,,,
150,07/10/22 14:30:00,19.056,62.194,,,,,
151,07/10/22 15:00:00,19.032,60.020,,,,,
152,07/10/22 15:30:00,18.842,61.016,,,,,
153,07/10/22 16:00:00,18.818,61.404,,,,,
154,07/10/22 16:30:00,18.628,62.394,,,,,
155,07/10/22 17:00:00,18.271,62.753,,,,,
156,07/10/22 17:30:00,17.915,64.687,,,,,
157,07/10/22 18:00:00,17.582,67.049,,,,,
158,07/10/22 18:30:00,17.130,69.100,,,,,
159,07/10/22 19:00:00,16.272,71.800,,,,,
160,07/10/22 19:30:00,15.414,74.850,,,,,
161,07/10/22 20:00:00,14.601,78.827,,,,,
162,07/10/22 20:30:00,13.666,81.952,,,,,
163,07/10/22 21:00:00,12.630,85.256,,,,,
164,07/10/22 21:30:00,11.492,88.328,,,,,
165,07/10/22 22:00:00,10.418,90.152,,,,,
166,07/10/22 22:30:00,9.657,91.945,,,,,
167,07/10/22 23:00:00,9.163,92.636,,,,,
168,07/10/22 23:30:00,8.717,93.131,,,,,
169,07/11/22 00:00:00,8.494,94.236,,,,,
170,07/11/22 00:30:00,8.270,95.082,,,,,
171,07/11/22 01:00:00,8.020,95.066,,,,,
172,07/11/22 01:30:00,7.645,94.489,,,,,
173,07/11/22 02:00:00,7.469,93.713,,,,,
174,07/11/22 02:30:00,7.469,95.592,,,,,
175,07/11/22 03:00:00,7.619,94.608,,,,,
176,07/11/22 03:30:00,7.619,93.955,,,,,
177,07/11/22 04:00:00,7.670,94.872,,,,,
178,07/11/22 04:30:00,8.693,90.724,,,,,
179,07/11/22 05:00:00,8.593,89.230,,,,,
180,07/11/22 05:30:00,8.344,89.556,,,,,
181,07/11/22 06:00:00,9.361,87.023,,,,,
182,07/11/22 06:30:00,9.435,92.554,,,,,
183,07/11/22 07:00:00,10.541,95.589,,,,,
184,07/11/22 07:30:00,12.147,97.310,,,,,
185,07/11/22 08:00:00,13.882,97.653,,,,,
186,07/11/22 08:30:00,15.772,86.288,,,,,
187,07/11/22 09:00:00,17.724,71.098,,,,,
188,07/11/22 09:30:00,19.175,75.638,,,,,
