"Plot Title: "
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10560916, SEN S/N: 10560916)","RH, % (LGR S/N: 10560916, SEN S/N: 10560916)","Coupler Detached (LGR S/N: 10560916)","Coupler Attached (LGR S/N: 10560916)","Host Connected (LGR S/N: 10560916)","Stopped (LGR S/N: 10560916)","End Of File (LGR S/N: 10560916)"
1,06/09/20 13:00:00,21.700,53.945,Logged,,,,
2,06/09/20 13:30:00,21.175,55.329,,,,,
3,06/09/20 14:00:00,20.889,55.966,,,,,
4,06/09/20 14:30:00,20.650,56.486,,,,,
5,06/09/20 15:00:00,20.484,56.860,,,,,
6,06/09/20 15:30:00,20.388,57.092,,,,,
7,06/09/20 16:00:00,20.317,57.296,,,,,
8,06/09/20 16:30:00,20.269,57.503,,,,,
9,06/09/20 17:00:00,20.269,57.687,,,,,
10,06/09/20 17:30:00,20.269,57.871,,,,,
11,06/09/20 18:00:00,20.293,57.966,,,,,
12,06/09/20 18:30:00,20.341,58.126,,,,,
13,06/09/20 19:00:00,20.365,58.161,,,,,
14,06/09/20 19:30:00,20.412,58.260,,,,,
15,06/09/20 20:00:00,20.388,58.378,,,,,
16,06/09/20 20:30:00,20.365,58.466,,,,,
17,06/09/20 21:00:00,20.317,58.550,,,,,
18,06/09/20 21:30:00,20.293,58.669,,,,,
19,06/09/20 22:00:00,20.293,58.760,,,,,
20,06/09/20 22:30:00,20.293,58.852,,,,,
21,06/09/20 23:00:00,20.293,58.943,,,,,
22,06/09/20 23:30:00,20.293,59.004,,,,,
23,06/10/20 00:00:00,20.293,59.065,,,,,
24,06/10/20 00:30:00,20.317,59.069,,,,,
25,06/10/20 01:00:00,20.293,59.096,,,,,
26,06/10/20 01:30:00,20.293,59.096,,,,,
27,06/10/20 02:00:00,20.293,59.096,,,,,
28,06/10/20 02:30:00,20.269,59.123,,,,,
29,06/10/20 03:00:00,20.269,59.123,,,,,
30,06/10/20 03:30:00,20.269,59.184,,,,,
31,06/10/20 04:00:00,20.246,59.210,,,,,
32,06/10/20 04:30:00,20.222,59.237,,,,,
33,06/10/20 05:00:00,20.222,59.267,,,,,
34,06/10/20 05:30:00,20.198,59.325,,,,,
35,06/10/20 06:00:00,20.198,59.446,,,,,
36,06/10/20 06:30:00,20.198,59.690,,,,,
37,06/10/20 07:00:00,20.222,60.058,,,,,
38,06/10/20 07:30:00,20.269,60.278,,,,,
39,06/10/20 08:00:00,20.269,60.369,,,,,
40,06/10/20 08:30:00,20.293,60.434,,,,,
41,06/10/20 09:00:00,20.317,60.620,,,,,
42,06/10/20 09:30:00,20.341,60.775,,,,,
43,06/10/20 10:00:00,20.365,60.961,,,,,
44,06/10/20 10:30:00,20.412,61.059,,,,,
45,06/10/20 11:00:00,20.460,61.218,,,,,
46,06/10/20 11:30:00,20.531,61.381,,,,,
47,06/10/20 12:00:00,20.603,61.544,,,,,
48,06/10/20 12:30:00,20.746,61.719,,,,,
49,06/10/20 13:00:00,20.889,61.893,,,,,
50,06/10/20 13:30:00,21.032,61.977,,,,,
51,06/10/20 14:00:00,21.175,62.122,,,,,
52,06/10/20 14:30:00,21.366,62.153,,,,,
53,06/10/20 15:00:00,21.533,61.847,,,,,
54,06/10/20 15:30:00,21.700,61.480,,,,,
55,06/10/20 16:00:00,21.939,61.792,,,,,
56,06/10/20 16:30:00,22.178,61.466,,,,,
57,06/10/20 17:00:00,22.369,60.705,,,,,
58,06/10/20 17:30:00,22.585,60.312,,,,,
59,06/10/20 18:00:00,22.848,61.087,,,,,
60,06/10/20 18:30:00,23.088,60.942,,,,,
61,06/10/20 19:00:00,23.232,60.262,,,,,
62,06/10/20 19:30:00,23.328,59.417,,,,,
63,06/10/20 20:00:00,23.376,58.717,,,,,
64,06/10/20 20:30:00,23.593,58.040,,,,,
65,06/10/20 21:00:00,23.713,57.935,,,,,
66,06/10/20 21:30:00,23.809,57.981,,,,,
67,06/10/20 22:00:00,23.857,57.957,,,,,
68,06/10/20 22:30:00,23.881,57.992,,,,,
69,06/10/20 23:00:00,23.857,57.988,,,,,
70,06/10/20 23:30:00,23.833,57.922,,,,,
71,06/11/20 00:00:00,23.785,57.884,,,,,
72,06/11/20 00:30:00,23.713,57.842,,,,,
73,06/11/20 01:00:00,23.641,57.831,,,,,
74,06/11/20 01:30:00,23.569,57.759,,,,,
75,06/11/20 02:00:00,23.472,57.682,,,,,
76,06/11/20 02:30:00,23.376,57.637,,,,,
77,06/11/20 03:00:00,23.256,57.557,,,,,
78,06/11/20 03:30:00,23.112,57.535,,,,,
79,06/11/20 04:00:00,22.992,57.517,,,,,
80,06/11/20 04:30:00,22.848,57.587,,,,,
81,06/11/20 05:00:00,22.585,56.744,,,,,
82,06/11/20 05:30:00,21.700,56.365,,,,,
83,06/11/20 06:00:00,20.984,57.949,,,,,
84,06/11/20 06:30:00,20.293,58.486,,,,,
85,06/11/20 07:00:00,19.888,59.032,,,,,
86,06/11/20 07:30:00,19.746,58.919,,,,,
87,06/11/20 08:00:00,19.436,59.569,,,,,
88,06/11/20 08:30:00,18.961,59.433,,,,,
89,06/11/20 09:00:00,18.652,59.506,,,,,
90,06/11/20 09:30:00,18.557,59.460,,,,,
91,06/11/20 10:00:00,18.628,59.774,,,,,
92,06/11/20 10:30:00,18.771,60.009,,,,,
93,06/11/20 11:00:00,17.891,77.081,,,,,
94,06/11/20 11:30:00,16.939,76.037,,,,,
95,06/11/20 12:00:00,17.558,81.770,,,,,
96,06/11/20 12:30:00,18.913,70.975,,,,,
97,06/11/20 13:00:00,20.507,63.938,,,,,
98,06/11/20 13:30:00,24.315,54.976,,,,,
