Serial Number:     492637     --     Series: Temperature (*C) c:1
Serial Number:     492637     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492637     --     Series: Dew Point (*C) c:1 3
Serial Number:     492637     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492637     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	9.42	9.52	8.93	8.8	96.7
07/01/10 18:30:00.0	9.82	9.99	8.85	8.7	93.7
07/01/10 19:00:00.0	9.03	9.03	8.59	8.6	97.1
07/01/10 19:30:00.0	8.63	8.63	8.63	8.6	101.5
07/01/10 20:00:00.0	8.23	8.16	8.23	8.4	102.7
07/01/10 20:30:00.0	7.83	7.93	7.83	8.2	103.9
07/01/10 21:00:00.0	7.83	7.73	7.83	8.2	103.9
07/01/10 21:30:00.0	7.43	7.48	7.43	8	103.9
07/01/10 22:00:00.0	7.03	7.2	7.03	7.8	103.9
07/01/10 22:30:00.0	7.03	7.08	7.03	7.8	103.9
07/01/10 23:00:00.0	7.03	7.13	7.03	7.8	103.9
07/01/10 23:30:00.0	7.03	7.2	7.03	7.8	103.9
07/02/10 00:00:00.0	7.03	7.05	7.03	7.8	103.9
07/02/10 00:30:00.0	7.03	7.03	7.03	7.8	103.9
07/02/10 01:00:00.0	7.03	7.15	7.03	7.8	103.9
07/02/10 01:30:00.0	7.03	7.2	7.03	7.8	103.9
07/02/10 02:00:00.0	7.03	7.15	7.03	7.8	103.9
07/02/10 02:30:00.0	7.03	7.13	7.03	7.8	103.9
07/02/10 03:00:00.0	7.03	7.05	7.03	7.8	103.9
07/02/10 03:30:00.0	6.62	6.72	6.62	7.6	103.9
07/02/10 04:00:00.0	6.62	6.47	6.62	7.6	103.9
07/02/10 04:30:00.0	6.62	6.44	6.62	7.6	103.9
07/02/10 05:00:00.0	6.22	6.39	6.22	7.4	103.9
07/02/10 05:30:00.0	6.22	6.27	6.22	7.4	103.9
07/02/10 06:00:00.0	6.22	6.34	6.22	7.4	103.9
07/02/10 06:30:00.0	6.62	6.55	6.62	7.6	103.9
07/02/10 07:00:00.0	7.03	7	7.03	7.8	103.9
07/02/10 07:30:00.0	7.83	7.73	7.83	8.2	103.9
07/02/10 08:00:00.0	7.83	7.93	7.83	8.2	103.9
07/02/10 08:30:00.0	8.23	8.28	8.23	8.4	103.9
07/02/10 09:00:00.0	9.42	9.52	9.42	9.1	103.9
07/02/10 09:30:00.0	10.21	10.21	10.21	9.5	101.5
07/02/10 10:00:00.0	10.6	10.55	10.6	9.8	100.9
07/02/10 10:30:00.0	9.82	10.01	9.82	9.3	103.9
07/02/10 11:00:00.0	9.82	9.79	9.82	9.3	103.9
07/02/10 11:30:00.0	11.77	11.6	9.92	9.3	88.4
07/02/10 12:00:00.0	12.55	12.52	8.8	8.6	77.9
07/02/10 12:30:00.0	13.7	13.72	11.44	10.2	86.2
07/02/10 13:00:00.0	13.7	13.8	9.26	8.8	74.5
