Serial Number:    1032864     --     Series: Temperature (*C) c:1
Serial Number:    1032864     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1032864     --     Series: Dew Point (*C) c:1 3
Serial Number:    1032864     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1032864     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	8.63	8.55	6.63	7.5	87.2
07/01/10 18:30:00.0	8.63	8.48	6.71	7.5	87.7
07/01/10 19:00:00.0	7.83	7.91	6.05	7.2	88.5
07/01/10 19:30:00.0	7.43	7.43	6.06	7.2	91
07/01/10 20:00:00.0	7.43	7.5	6.33	7.4	92.7
07/01/10 20:30:00.0	7.43	7.4	6.56	7.5	94.2
07/01/10 21:00:00.0	7.03	7.15	6.28	7.4	95
07/01/10 21:30:00.0	6.62	6.82	6.05	7.3	96.1
07/01/10 22:00:00.0	6.62	6.82	5.94	7.2	95.4
07/01/10 22:30:00.0	7.03	6.87	5.47	7	89.8
07/01/10 23:00:00.0	6.62	6.7	6.15	7.3	96.8
07/01/10 23:30:00.0	7.03	6.9	6.56	7.5	96.8
07/02/10 00:00:00.0	7.03	6.87	6.34	7.4	95.4
07/02/10 00:30:00.0	6.62	6.7	6.21	7.3	97.2
07/02/10 01:00:00.0	6.62	6.72	6.27	7.4	97.6
07/02/10 01:30:00.0	6.62	6.62	6.32	7.4	97.9
07/02/10 02:00:00.0	6.62	6.55	6.27	7.4	97.6
07/02/10 02:30:00.0	6.62	6.62	6.11	7.3	96.5
07/02/10 03:00:00.0	6.62	6.55	6.27	7.4	97.6
07/02/10 03:30:00.0	6.22	6.29	5.97	7.2	98.3
07/02/10 04:00:00.0	6.22	6.04	5.87	7.2	97.6
07/02/10 04:30:00.0	5.81	5.93	5.5	7	97.9
07/02/10 05:00:00.0	5.81	5.91	5.56	7	98.3
07/02/10 05:30:00.0	5.81	5.88	5.56	7	98.3
07/02/10 06:00:00.0	6.22	6.11	5.97	7.2	98.3
07/02/10 06:30:00.0	5.81	5.86	5.56	7	98.3
07/02/10 07:00:00.0	6.62	6.44	6.15	7.3	96.8
07/02/10 07:30:00.0	6.62	6.47	6.05	7.3	96.1
07/02/10 08:00:00.0	7.03	7.03	6.16	7.3	94.2
07/02/10 08:30:00.0	7.43	7.25	6.33	7.4	92.7
07/02/10 09:00:00.0	7.83	7.98	6.2	7.3	89.4
07/02/10 09:30:00.0	8.23	8.43	5.33	6.9	81.9
07/02/10 10:00:00.0	9.42	9.3	5.9	7.1	78.6
07/02/10 10:30:00.0	8.63	8.65	5.88	7.1	82.8
07/02/10 11:00:00.0	9.42	9.35	7.12	7.7	85.5
07/02/10 11:30:00.0	10.6	10.72	6.03	7.2	73.3
07/02/10 12:00:00.0	10.6	10.6	6.4	7.3	75.2
07/02/10 12:30:00.0	12.55	12.57	7.5	7.9	71.3
07/02/10 13:00:00.0	12.93	13.03	7.13	7.7	67.8
07/02/10 13:30:00.0	10.99	10.87	5.7	7	69.8
07/02/10 14:00:00.0	12.55	12.69	6.22	7.2	65.3
07/02/10 14:30:00.0	11.77	11.72	6.24	7.2	68.8
07/02/10 15:00:00.0	12.55	12.42	6.76	7.5	67.8
07/02/10 15:30:00.0	11.38	11.41	7.06	7.7	74.7
07/02/10 16:00:00.0	11.77	11.6	6.65	7.4	70.8
07/02/10 16:30:00.0	11.77	11.84	6.65	7.4	70.8
07/02/10 17:00:00.0	10.99	10.82	8.26	8.3	83.2
07/02/10 17:30:00.0	10.21	10.26	7.8	8.1	85
07/02/10 18:00:00.0	9.82	9.67	8.16	8.3	89.4
07/02/10 18:30:00.0	10.21	10.33	7.42	7.9	82.8
07/02/10 19:00:00.0	9.42	9.52	7.9	8.2	90.2
07/02/10 19:30:00.0	8.63	8.83	7.75	8.1	94.2
07/02/10 20:00:00.0	8.63	8.55	7.75	8.1	94.2
07/02/10 20:30:00.0	8.23	8.28	7.59	8	95.7
07/02/10 21:00:00.0	7.83	8.03	7.36	7.9	96.8
07/02/10 21:30:00.0	7.83	7.98	7.14	7.8	95.4
07/02/10 22:00:00.0	7.83	7.68	7.36	7.9	96.8
07/02/10 22:30:00.0	7.43	7.38	7.02	7.7	97.2
07/02/10 23:00:00.0	7.43	7.35	6.74	7.6	95.4
07/02/10 23:30:00.0	7.03	7	6.39	7.4	95.7
07/03/10 00:00:00.0	6.62	6.62	6.21	7.3	97.2
07/03/10 00:30:00.0	6.62	6.44	6.21	7.3	97.2
07/03/10 01:00:00.0	6.22	6.11	5.75	7.1	96.8
07/03/10 01:30:00.0	5.81	5.76	5.34	6.9	96.8
07/03/10 02:00:00.0	5.4	5.5	4.99	6.8	97.2
07/03/10 02:30:00.0	5.4	5.37	4.93	6.7	96.8
07/03/10 03:00:00.0	5.4	5.37	4.99	6.8	97.2
07/03/10 03:30:00.0	4.99	4.98	4.58	6.6	97.2
07/03/10 04:00:00.0	4.15	4	3.59	6.2	96.1
07/03/10 04:30:00.0	3.74	3.55	3.28	6	96.8
07/03/10 05:00:00.0	3.74	3.68	3.11	6	95.7
07/03/10 05:30:00.0	3.74	3.89	3.28	6	96.8
07/03/10 06:00:00.0	3.74	3.84	3.01	5.9	95
07/03/10 06:30:00.0	3.74	3.92	3.07	6	95.4
07/03/10 07:00:00.0	4.15	4.15	3.19	6	93.4
07/03/10 07:30:00.0	4.57	4.57	2.98	5.9	89.4
07/03/10 08:00:00.0	5.4	5.52	2.93	5.9	84.1
07/03/10 08:30:00.0	6.22	6.29	3.43	6.1	82.3
07/03/10 09:00:00.0	6.62	6.7	3.67	6.2	81.4
07/03/10 09:30:00.0	8.23	8.36	3.45	6	71.8
07/03/10 10:00:00.0	9.03	8.88	3.3	5.9	67.3
07/03/10 10:30:00.0	9.42	9.32	4.2	6.3	69.8
07/03/10 11:00:00.0	12.16	12.04	4.54	6.4	59.6
07/03/10 11:30:00.0	11.77	11.91	3.81	6.1	58.1
07/03/10 12:00:00.0	12.16	12.28	4.3	6.3	58.6
07/03/10 12:30:00.0	10.99	11.04	4.05	6.2	62.2
07/03/10 13:00:00.0	10.6	10.43	4.7	6.5	66.8
07/03/10 13:30:00.0	11.77	11.75	4.41	6.4	60.6
07/03/10 14:00:00.0	13.32	13.32	4.61	6.4	55.5
07/03/10 14:30:00.0	11.77	11.96	3.42	5.9	56.5
07/03/10 15:00:00.0	12.16	12.11	4.18	6.3	58.1
07/03/10 15:30:00.0	12.55	12.37	4.42	6.3	57.6
07/03/10 16:00:00.0	12.93	13.1	5.02	6.6	58.6
