Date Time	Temperature   (*C)
10/14/02 18:20:54.0	18.2
10/14/02 21:50:54.0	17.1
10/15/02 01:20:54.0	7.4
10/15/02 04:50:54.0	2.8
10/15/02 08:20:54.0	5.8
10/15/02 11:50:54.0	13.3
10/15/02 15:20:54.0	11.3
10/15/02 18:50:54.0	10.9
10/15/02 22:20:54.0	10.9
10/16/02 01:50:54.0	10.6
10/16/02 05:20:54.0	10.6
10/16/02 08:50:54.0	10.6
10/16/02 12:20:54.0	10.9
10/16/02 15:50:54.0	10.9
10/16/02 19:20:54.0	10.9
10/16/02 22:50:54.0	10.9
10/17/02 02:20:54.0	10.6
10/17/02 05:50:54.0	10.2
10/17/02 09:20:54.0	10.2
10/17/02 12:50:54.0	10.9
10/17/02 16:20:54.0	10.6
10/17/02 19:50:54.0	10.6
10/17/02 23:20:54.0	10.6
10/18/02 02:50:54.0	10.6
10/18/02 06:20:54.0	10.6
10/18/02 09:50:54.0	10.6
10/18/02 13:20:54.0	11.3
10/18/02 16:50:54.0	10.9
10/18/02 20:20:54.0	10.6
10/18/02 23:50:54.0	10.6
10/19/02 03:20:54.0	10.6
10/19/02 06:50:54.0	10.6
10/19/02 10:20:54.0	10.2
10/19/02 13:50:54.0	10.2
10/19/02 17:20:54.0	10.2
10/19/02 20:50:54.0	10.2
10/20/02 00:20:54.0	10.2
10/20/02 03:50:54.0	10.2
10/20/02 07:20:54.0	10.2
10/20/02 10:50:54.0	10.2
10/20/02 14:20:54.0	10.2
10/20/02 17:50:54.0	10.2
10/20/02 21:20:54.0	10.2
10/21/02 00:50:54.0	10.2
10/21/02 04:20:54.0	10.2
10/21/02 07:50:54.0	10.2
10/21/02 11:20:54.0	10.2
10/21/02 14:50:54.0	10.2
10/21/02 18:20:54.0	10.2
10/21/02 21:50:54.0	10.2
10/22/02 01:20:54.0	10.2
10/22/02 04:50:54.0	10.2
10/22/02 08:20:54.0	10.2
10/22/02 11:50:54.0	10.9
10/22/02 15:20:54.0	10.6
10/22/02 18:50:54.0	10.6
10/22/02 22:20:54.0	10.6
10/23/02 01:50:54.0	10.9
10/23/02 05:20:54.0	10.9
10/23/02 08:50:54.0	10.6
10/23/02 12:20:54.0	10.9
10/23/02 15:50:54.0	10.9
10/23/02 19:20:54.0	10.6
10/23/02 22:50:54.0	10.6
10/24/02 02:20:54.0	10.2
10/24/02 05:50:54.0	10.2
10/24/02 09:20:54.0	9.8
10/24/02 12:50:54.0	10.2
10/24/02 16:20:54.0	10.2
10/24/02 19:50:54.0	9.8
10/24/02 23:20:54.0	9.8
10/25/02 02:50:54.0	9.8
10/25/02 06:20:54.0	9.8
10/25/02 09:50:54.0	9.4
10/25/02 13:20:54.0	9.4
10/25/02 16:50:54.0	9.4
10/25/02 20:20:54.0	9.4
10/25/02 23:50:54.0	9.4
10/26/02 03:20:54.0	9.4
10/26/02 06:50:54.0	9.4
10/26/02 10:20:54.0	9.4
10/26/02 13:50:54.0	9.4
10/26/02 17:20:54.0	9.4
10/26/02 20:50:54.0	9
10/27/02 00:20:54.0	9.4
10/27/02 02:50:54.0	9.4
10/27/02 06:20:54.0	9.4
10/27/02 09:50:54.0	9.4
10/27/02 13:20:54.0	10.2
10/27/02 16:50:54.0	9.4
10/27/02 20:20:54.0	9.4
10/27/02 23:50:54.0	9.8
10/28/02 03:20:54.0	9.8
10/28/02 06:50:54.0	9.4
10/28/02 10:20:54.0	9.4
10/28/02 13:50:54.0	9.4
10/28/02 17:20:54.0	9.4
10/28/02 20:50:54.0	9.4
10/29/02 00:20:54.0	9.4
10/29/02 03:50:54.0	9.4
10/29/02 07:20:54.0	9
10/29/02 10:50:54.0	9
10/29/02 14:20:54.0	9
10/29/02 17:50:54.0	8.6
10/29/02 21:20:54.0	9
10/30/02 00:50:54.0	9
10/30/02 04:20:54.0	8.6
10/30/02 07:50:54.0	8.2
10/30/02 11:20:54.0	8.6
10/30/02 14:50:54.0	7.8
10/30/02 18:20:54.0	8.6
10/30/02 21:50:54.0	8.2
10/31/02 01:20:54.0	7.8
10/31/02 04:50:54.0	7.8
10/31/02 08:20:54.0	8.2
10/31/02 11:50:54.0	8.6
10/31/02 15:20:54.0	8.6
10/31/02 18:50:54.0	8.2
10/31/02 22:20:54.0	7.8
11/01/02 01:50:54.0	7.8
11/01/02 05:20:54.0	7.4
11/01/02 08:50:54.0	7.8
11/01/02 12:20:54.0	7.8
11/01/02 15:50:54.0	7.8
11/01/02 19:20:54.0	7.4
11/01/02 22:50:54.0	7.4
11/02/02 02:20:54.0	7
11/02/02 05:50:54.0	7
11/02/02 09:20:54.0	6.6
11/02/02 12:50:54.0	7
11/02/02 16:20:54.0	7.4
11/02/02 19:50:54.0	7
11/02/02 23:20:54.0	7
11/03/02 02:50:54.0	7.8
11/03/02 06:20:54.0	7.4
11/03/02 09:50:54.0	7.4
11/03/02 13:20:54.0	7
11/03/02 16:50:54.0	7
11/03/02 20:20:54.0	7
11/03/02 23:50:54.0	7
11/04/02 03:20:54.0	7
11/04/02 06:50:54.0	7
11/04/02 10:20:54.0	7
11/04/02 13:50:54.0	7.4
11/04/02 17:20:54.0	7
11/04/02 20:50:54.0	7.4
11/05/02 00:20:54.0	7.8
11/05/02 03:50:54.0	7.8
11/05/02 07:20:54.0	7.8
11/05/02 10:50:54.0	7.8
11/05/02 14:20:54.0	8.2
11/05/02 17:50:54.0	7.8
11/05/02 21:20:54.0	7.8
11/06/02 00:50:54.0	7.8
11/06/02 04:20:54.0	7.4
11/06/02 07:50:54.0	7.4
11/06/02 11:20:54.0	7.8
11/06/02 14:50:54.0	7.8
11/06/02 18:20:54.0	7.8
11/06/02 21:50:54.0	7.8
11/07/02 01:20:54.0	7.8
11/07/02 04:50:54.0	7.4
11/07/02 08:20:54.0	7.4
11/07/02 11:50:54.0	7.8
11/07/02 15:20:54.0	7.8
11/07/02 18:50:54.0	7.8
11/07/02 22:20:54.0	7.8
11/08/02 01:50:54.0	7.4
11/08/02 05:20:54.0	7.4
11/08/02 08:50:54.0	7.4
11/08/02 12:20:54.0	7.4
11/08/02 15:50:54.0	7.4
11/08/02 19:20:54.0	7.4
11/08/02 22:50:54.0	7.4
11/09/02 02:20:54.0	7
11/09/02 05:50:54.0	7
11/09/02 09:20:54.0	7
11/09/02 12:50:54.0	7
11/09/02 16:20:54.0	7
11/09/02 19:50:54.0	7
11/09/02 23:20:54.0	7
11/10/02 02:50:54.0	7
11/10/02 06:20:54.0	6.6
11/10/02 09:50:54.0	6.6
11/10/02 13:20:54.0	7
11/10/02 16:50:54.0	6.6
11/10/02 20:20:54.0	6.6
11/10/02 23:50:54.0	6.6
11/11/02 03:20:54.0	6.6
11/11/02 06:50:54.0	6.6
11/11/02 10:20:54.0	6.6
11/11/02 13:50:54.0	7
11/11/02 17:20:54.0	6.6
11/11/02 20:50:54.0	7
11/12/02 00:20:54.0	7
11/12/02 03:50:54.0	7
11/12/02 07:20:54.0	7
11/12/02 10:50:54.0	7.4
11/12/02 14:20:54.0	7
11/12/02 17:50:54.0	7
11/12/02 21:20:54.0	7
11/13/02 00:50:54.0	7
11/13/02 04:20:54.0	7
11/13/02 07:50:54.0	7
11/13/02 11:20:54.0	7
11/13/02 14:50:54.0	7
11/13/02 18:20:54.0	7
11/13/02 21:50:54.0	7
11/14/02 01:20:54.0	7
11/14/02 04:50:54.0	7
11/14/02 08:20:54.0	7
11/14/02 11:50:54.0	7
11/14/02 15:20:54.0	7
11/14/02 18:50:54.0	7
11/14/02 22:20:54.0	7
11/15/02 01:50:54.0	6.6
11/15/02 05:20:54.0	6.2
11/15/02 08:50:54.0	6.2
11/15/02 12:20:54.0	6.6
11/15/02 15:50:54.0	6.6
11/15/02 19:20:54.0	6.6
11/15/02 22:50:54.0	6.6
11/16/02 02:20:54.0	6.6
11/16/02 05:50:54.0	6.6
11/16/02 09:20:54.0	7
11/16/02 12:50:54.0	7
11/16/02 16:20:54.0	7
11/16/02 19:50:54.0	7
11/16/02 23:20:54.0	7
11/17/02 02:50:54.0	6.6
11/17/02 06:20:54.0	6.6
11/17/02 09:50:54.0	6.2
11/17/02 13:20:54.0	6.2
11/17/02 16:50:54.0	6.2
11/17/02 20:20:54.0	6.2
11/17/02 23:50:54.0	6.6
11/18/02 03:20:54.0	6.6
11/18/02 06:50:54.0	6.2
11/18/02 10:20:54.0	6.2
11/18/02 13:50:54.0	6.2
11/18/02 17:20:54.0	6.2
11/18/02 20:50:54.0	6.2
11/19/02 00:20:54.0	6.2
11/19/02 03:50:54.0	6.6
11/19/02 07:20:54.0	6.6
11/19/02 10:50:54.0	6.6
11/19/02 14:20:54.0	6.6
11/19/02 17:50:54.0	6.6
11/19/02 21:20:54.0	6.6
11/20/02 00:50:54.0	6.6
11/20/02 04:20:54.0	6.6
11/20/02 07:50:54.0	6.6
11/20/02 11:20:54.0	7
11/20/02 14:50:54.0	7
11/20/02 18:20:54.0	7
11/20/02 21:50:54.0	7
11/21/02 01:20:54.0	7
11/21/02 04:50:54.0	7
11/21/02 08:20:54.0	7
11/21/02 11:50:54.0	7
11/21/02 15:20:54.0	7
11/21/02 18:50:54.0	7
11/21/02 22:20:54.0	7
11/22/02 01:50:54.0	7
11/22/02 05:20:54.0	6.6
11/22/02 08:50:54.0	6.6
11/22/02 12:20:54.0	7
11/22/02 15:50:54.0	7
11/22/02 19:20:54.0	7
11/22/02 22:50:54.0	7
11/23/02 02:20:54.0	6.6
11/23/02 05:50:54.0	6.6
11/23/02 09:20:54.0	6.6
11/23/02 12:50:54.0	6.6
11/23/02 16:20:54.0	6.6
11/23/02 19:50:54.0	6.6
11/23/02 23:20:54.0	6.6
11/24/02 02:50:54.0	6.2
11/24/02 06:20:54.0	6.2
11/24/02 09:50:54.0	6.2
11/24/02 13:20:54.0	6.2
11/24/02 16:50:54.0	6.2
11/24/02 20:20:54.0	6.2
11/24/02 23:50:54.0	6.2
11/25/02 03:20:54.0	6.2
11/25/02 06:50:54.0	5.8
11/25/02 10:20:54.0	6.2
11/25/02 13:50:54.0	5.8
11/25/02 17:20:54.0	6.2
11/25/02 20:50:54.0	5.8
11/26/02 00:20:54.0	5.8
11/26/02 03:50:54.0	5.8
11/26/02 07:20:54.0	5.8
11/26/02 10:50:54.0	5.8
11/26/02 14:20:54.0	5.8
11/26/02 17:50:54.0	5.8
11/26/02 21:20:54.0	5.3
11/27/02 00:50:54.0	5.3
11/27/02 04:20:54.0	5.3
11/27/02 07:50:54.0	5.3
11/27/02 11:20:54.0	5.3
11/27/02 14:50:54.0	5.3
11/27/02 18:20:54.0	5.3
11/27/02 21:50:54.0	5.3
11/28/02 01:20:54.0	5.3
11/28/02 04:50:54.0	5.3
11/28/02 08:20:54.0	5.8
11/28/02 11:50:54.0	5.3
11/28/02 15:20:54.0	5.8
11/28/02 18:50:54.0	5.8
