Date Time	Temperature (*C) c:1
07/04/03 16:28:51.0	24.79
07/04/03 16:58:51.0	28.7
07/04/03 17:28:51.0	29.9
07/04/03 17:58:51.0	29.9
07/04/03 18:28:51.0	29.1
07/04/03 18:58:51.0	28.7
07/04/03 19:28:51.0	27.12
07/04/03 19:58:51.0	26.73
07/04/03 20:28:51.0	24.4
07/04/03 20:58:51.0	22.09
07/04/03 21:28:51.0	20.57
07/04/03 21:58:51.0	19.81
07/04/03 22:28:51.0	19.42
07/04/03 22:58:51.0	18.28
07/04/03 23:28:51.0	17.14
07/04/03 23:58:51.0	16.38
07/05/03 00:28:51.0	15.23
07/05/03 00:58:51.0	14.47
07/05/03 01:28:51.0	14.09
07/05/03 01:58:51.0	13.32
07/05/03 02:28:51.0	12.93
07/05/03 02:58:51.0	12.55
07/05/03 03:28:51.0	11.77
07/05/03 03:58:51.0	11.38
07/05/03 04:28:51.0	10.99
07/05/03 04:58:51.0	10.6
07/05/03 05:28:51.0	10.21
07/05/03 05:58:51.0	10.21
07/05/03 06:28:51.0	9.82
07/05/03 06:58:51.0	9.82
07/05/03 07:28:51.0	9.82
07/05/03 07:58:51.0	10.6
07/05/03 08:28:51.0	12.55
07/05/03 08:58:51.0	16
07/05/03 09:28:51.0	16.38
07/05/03 09:58:51.0	16.76
07/05/03 10:28:51.0	16.76
07/05/03 10:58:51.0	14.85
07/05/03 11:28:51.0	14.85
07/05/03 11:58:51.0	14.85
07/05/03 12:28:51.0	15.23
07/05/03 12:58:51.0	15.62
07/05/03 13:28:51.0	16.76
07/05/03 13:58:51.0	17.14
07/05/03 14:28:51.0	19.04
07/05/03 14:58:51.0	20.95
07/05/03 15:28:51.0	22.48
07/05/03 15:58:51.0	24.01
07/05/03 16:28:51.0	24.01
07/05/03 16:58:51.0	23.24
07/05/03 17:28:51.0	21.71
07/05/03 17:58:51.0	18.66
07/05/03 18:28:51.0	17.14
07/05/03 18:58:51.0	16.38
07/05/03 19:28:51.0	15.62
07/05/03 19:58:51.0	15.23
07/05/03 20:28:51.0	14.47
07/05/03 20:58:51.0	14.09
07/05/03 21:28:51.0	13.32
07/05/03 21:58:51.0	12.93
07/05/03 22:28:51.0	12.93
07/05/03 22:58:51.0	12.16
07/05/03 23:28:51.0	12.16
07/05/03 23:58:51.0	11.77
07/06/03 00:28:51.0	11.77
07/06/03 00:58:51.0	11.38
07/06/03 01:28:51.0	10.99
07/06/03 01:58:51.0	10.6
07/06/03 02:28:51.0	10.6
07/06/03 02:58:51.0	10.99
07/06/03 03:28:51.0	10.99
07/06/03 03:58:51.0	10.99
07/06/03 04:28:51.0	10.99
07/06/03 04:58:51.0	10.99
07/06/03 05:28:51.0	10.21
07/06/03 05:58:51.0	10.21
07/06/03 06:28:51.0	10.21
07/06/03 06:58:51.0	10.6
07/06/03 07:28:51.0	11.38
07/06/03 07:58:51.0	12.55
07/06/03 08:28:51.0	12.93
07/06/03 08:58:51.0	13.7
07/06/03 09:28:51.0	14.47
07/06/03 09:58:51.0	15.62
07/06/03 10:28:51.0	16.76
07/06/03 10:58:51.0	17.9
07/06/03 11:28:51.0	19.04
07/06/03 11:58:51.0	27.12
07/06/03 12:28:51.0	29.5
07/06/03 12:58:51.0	26.34
07/06/03 13:28:51.0	17.52
07/06/03 13:58:51.0	14.85
07/06/03 14:28:51.0	14.47
07/06/03 14:58:51.0	14.85
07/06/03 15:28:51.0	14.85
07/06/03 15:58:51.0	14.85
07/06/03 16:28:51.0	14.85
07/06/03 16:58:51.0	14.85
07/06/03 17:28:51.0	14.85
07/06/03 17:58:51.0	14.85
07/06/03 18:28:51.0	14.85
07/06/03 18:58:51.0	14.85
07/06/03 19:28:51.0	15.23
07/06/03 19:58:51.0	15.23
07/06/03 20:28:51.0	15.23
07/06/03 20:58:51.0	14.85
07/06/03 21:28:51.0	14.85
07/06/03 21:58:51.0	14.85
07/06/03 22:28:51.0	15.23
07/06/03 22:58:51.0	15.23
07/06/03 23:28:51.0	15.23
07/06/03 23:58:51.0	15.23
07/07/03 00:28:51.0	15.23
07/07/03 00:58:51.0	15.23
07/07/03 01:28:51.0	15.23
07/07/03 01:58:51.0	15.23
07/07/03 02:28:51.0	15.23
07/07/03 02:58:51.0	15.23
07/07/03 03:28:51.0	15.23
07/07/03 03:58:51.0	15.23
07/07/03 04:28:51.0	15.23
07/07/03 04:58:51.0	15.23
07/07/03 05:28:51.0	15.23
07/07/03 05:58:51.0	15.23
07/07/03 06:28:51.0	15.23
07/07/03 06:58:51.0	15.23
07/07/03 07:28:51.0	15.23
07/07/03 07:58:51.0	15.23
07/07/03 08:28:51.0	15.23
07/07/03 08:58:51.0	15.23
07/07/03 09:28:51.0	15.23
07/07/03 09:58:51.0	14.85
07/07/03 10:28:51.0	14.85
07/07/03 10:58:51.0	14.85
07/07/03 11:28:51.0	14.85
07/07/03 11:58:51.0	14.85
07/07/03 12:28:51.0	14.85
07/07/03 12:58:51.0	14.47
07/07/03 13:28:51.0	14.85
07/07/03 13:58:51.0	14.85
07/07/03 14:28:51.0	14.85
07/07/03 14:58:51.0	14.85
07/07/03 15:28:51.0	14.85
07/07/03 15:58:51.0	14.85
07/07/03 16:28:51.0	14.85
07/07/03 16:58:51.0	15.23
07/07/03 17:28:51.0	15.23
07/07/03 17:58:51.0	15.23
07/07/03 18:28:51.0	15.62
07/07/03 18:58:51.0	15.62
07/07/03 19:28:51.0	15.62
07/07/03 19:58:51.0	15.62
07/07/03 20:28:51.0	15.62
07/07/03 20:58:51.0	15.62
07/07/03 21:28:51.0	15.62
07/07/03 21:58:51.0	15.62
07/07/03 22:28:51.0	15.62
07/07/03 22:58:51.0	15.62
07/07/03 23:28:51.0	15.62
07/07/03 23:58:51.0	15.62
07/08/03 00:28:51.0	15.62
07/08/03 00:58:51.0	15.23
07/08/03 01:28:51.0	15.62
07/08/03 01:58:51.0	15.62
07/08/03 02:28:51.0	15.62
07/08/03 02:58:51.0	15.62
07/08/03 03:28:51.0	15.62
07/08/03 03:58:51.0	15.62
07/08/03 04:28:51.0	15.62
07/08/03 04:58:51.0	15.62
07/08/03 05:28:51.0	15.62
07/08/03 05:58:51.0	15.62
07/08/03 06:28:51.0	15.62
07/08/03 06:58:51.0	15.62
07/08/03 07:28:51.0	15.62
07/08/03 07:58:51.0	15.62
07/08/03 08:28:51.0	15.62
07/08/03 08:58:51.0	15.62
07/08/03 09:28:51.0	15.62
07/08/03 09:58:51.0	15.62
07/08/03 10:28:51.0	15.62
07/08/03 10:58:51.0	15.62
07/08/03 11:28:51.0	15.62
07/08/03 11:58:51.0	15.62
07/08/03 12:28:51.0	15.62
07/08/03 12:58:51.0	15.62
07/08/03 13:28:51.0	15.62
07/08/03 13:58:51.0	15.62
07/08/03 14:28:51.0	15.62
07/08/03 14:58:51.0	15.62
07/08/03 15:28:51.0	15.62
07/08/03 15:58:51.0	15.62
07/08/03 16:28:51.0	16
07/08/03 16:58:51.0	16
07/08/03 17:28:51.0	16
07/08/03 17:58:51.0	16
07/08/03 18:28:51.0	16
07/08/03 18:58:51.0	16
07/08/03 19:28:51.0	16
07/08/03 19:58:51.0	16
07/08/03 20:28:51.0	16
07/08/03 20:58:51.0	16
07/08/03 21:28:51.0	16
07/08/03 21:58:51.0	16
07/08/03 22:28:51.0	16
07/08/03 22:58:51.0	16
07/08/03 23:28:51.0	16
07/08/03 23:58:51.0	16
07/09/03 00:28:51.0	16
07/09/03 00:58:51.0	15.62
07/09/03 01:28:51.0	15.62
07/09/03 01:58:51.0	15.62
07/09/03 02:28:51.0	15.62
07/09/03 02:58:51.0	15.62
07/09/03 03:28:51.0	15.62
07/09/03 03:58:51.0	15.62
07/09/03 04:28:51.0	15.62
07/09/03 04:58:51.0	15.62
07/09/03 05:28:51.0	15.23
07/09/03 05:58:51.0	15.23
07/09/03 06:28:51.0	14.85
07/09/03 06:58:51.0	14.85
07/09/03 07:28:51.0	14.85
07/09/03 07:58:51.0	14.85
07/09/03 08:28:51.0	14.85
07/09/03 08:58:51.0	14.85
07/09/03 09:28:51.0	15.23
07/09/03 09:58:51.0	15.23
07/09/03 10:28:51.0	15.23
07/09/03 10:58:51.0	15.23
07/09/03 11:28:51.0	15.23
07/09/03 11:58:51.0	15.23
07/09/03 12:28:51.0	15.23
07/09/03 12:58:51.0	15.23
07/09/03 13:28:51.0	15.23
07/09/03 13:58:51.0	15.62
07/09/03 14:28:51.0	15.62
07/09/03 14:58:51.0	15.62
07/09/03 15:28:51.0	15.62
07/09/03 15:58:51.0	15.62
07/09/03 16:28:51.0	15.62
07/09/03 16:58:51.0	15.62
07/09/03 17:28:51.0	15.62
07/09/03 17:58:51.0	15.23
07/09/03 18:28:51.0	15.23
07/09/03 18:58:51.0	15.23
07/09/03 19:28:51.0	15.23
07/09/03 19:58:51.0	15.23
07/09/03 20:28:51.0	15.23
07/09/03 20:58:51.0	15.23
07/09/03 21:28:51.0	15.23
07/09/03 21:58:51.0	15.23
07/09/03 22:28:51.0	15.23
07/09/03 22:58:51.0	15.23
07/09/03 23:28:51.0	15.23
07/09/03 23:58:51.0	15.23
07/10/03 00:28:51.0	15.23
07/10/03 00:58:51.0	15.23
07/10/03 01:28:51.0	15.62
07/10/03 01:58:51.0	15.62
07/10/03 02:28:51.0	15.62
07/10/03 02:58:51.0	15.62
07/10/03 03:28:51.0	15.62
07/10/03 03:58:51.0	15.62
07/10/03 04:28:51.0	15.62
07/10/03 04:58:51.0	15.62
07/10/03 05:28:51.0	15.62
07/10/03 05:58:51.0	15.62
07/10/03 06:28:51.0	15.62
07/10/03 06:58:51.0	15.62
07/10/03 07:28:51.0	15.62
07/10/03 07:58:51.0	15.62
07/10/03 08:28:51.0	15.62
07/10/03 08:58:51.0	15.62
07/10/03 09:28:51.0	15.62
07/10/03 09:58:51.0	15.62
07/10/03 10:28:51.0	15.62
07/10/03 10:58:51.0	15.62
07/10/03 11:28:51.0	15.62
07/10/03 11:58:51.0	15.62
07/10/03 12:28:51.0	15.62
07/10/03 12:58:51.0	15.62
07/10/03 13:28:51.0	15.62
07/10/03 13:58:51.0	16
07/10/03 14:28:51.0	16
07/10/03 14:58:51.0	16
07/10/03 15:28:51.0	16
07/10/03 15:58:51.0	16
07/10/03 16:28:51.0	16
07/10/03 16:58:51.0	16
07/10/03 17:28:51.0	16
07/10/03 17:58:51.0	16
07/10/03 18:28:51.0	16
07/10/03 18:58:51.0	16
07/10/03 19:28:51.0	16
07/10/03 19:58:51.0	16.38
07/10/03 20:28:51.0	16.38
07/10/03 20:58:51.0	16.76
07/10/03 21:28:51.0	16.38
07/10/03 21:58:51.0	16.38
07/10/03 22:28:51.0	16.38
07/10/03 22:58:51.0	16.38
07/10/03 23:28:51.0	16.38
07/10/03 23:58:51.0	16.38
07/11/03 00:28:51.0	16.38
07/11/03 00:58:51.0	16.76
07/11/03 01:28:51.0	16.76
07/11/03 01:58:51.0	16.76
07/11/03 02:28:51.0	16.38
07/11/03 02:58:51.0	16.38
07/11/03 03:28:51.0	16.38
07/11/03 03:58:51.0	16
07/11/03 04:28:51.0	15.62
07/11/03 04:58:51.0	15.23
07/11/03 05:28:51.0	15.23
07/11/03 05:58:51.0	14.85
07/11/03 06:28:51.0	14.85
07/11/03 06:58:51.0	14.85
07/11/03 07:28:51.0	15.23
07/11/03 07:58:51.0	15.23
07/11/03 08:28:51.0	15.23
07/11/03 08:58:51.0	15.23
07/11/03 09:28:51.0	15.23
07/11/03 09:58:51.0	15.23
07/11/03 10:28:51.0	15.23
