Date Time	Temperature   (*C)
10/14/02 18:24:31.0	19.4
10/14/02 21:54:31.0	14.8
10/15/02 01:24:31.0	5.8
10/15/02 04:54:31.0	2
10/15/02 08:24:31.0	3.7
10/15/02 11:54:31.0	13.3
10/15/02 15:24:31.0	13.3
10/15/02 18:54:31.0	10.9
10/15/02 22:24:31.0	10.9
10/16/02 01:54:31.0	10.9
10/16/02 05:24:31.0	10.9
10/16/02 08:54:31.0	10.9
10/16/02 12:24:31.0	14.1
10/16/02 15:54:31.0	12.9
10/16/02 19:24:31.0	10.9
10/16/02 22:54:31.0	10.9
10/17/02 02:24:31.0	10.9
10/17/02 05:54:31.0	10.9
10/17/02 09:24:31.0	12.1
10/17/02 12:54:31.0	14.1
10/17/02 16:24:31.0	12.9
10/17/02 19:54:31.0	11.7
10/17/02 23:24:31.0	11.3
10/18/02 02:54:31.0	11.3
10/18/02 06:24:31.0	10.9
10/18/02 09:54:31.0	12.9
10/18/02 13:24:31.0	14.4
10/18/02 16:54:31.0	11.7
10/18/02 20:24:31.0	11.3
10/18/02 23:54:31.0	10.9
10/19/02 03:24:31.0	10.9
10/19/02 06:54:31.0	10.9
10/19/02 10:24:31.0	12.1
10/19/02 13:54:31.0	12.9
10/19/02 17:24:31.0	11.3
10/19/02 20:54:31.0	11.3
10/20/02 00:24:31.0	11.3
10/20/02 03:54:31.0	11.3
10/20/02 07:24:31.0	11.3
10/20/02 10:54:31.0	11.7
10/20/02 14:24:31.0	12.9
10/20/02 17:54:31.0	11.3
10/20/02 21:24:31.0	11.3
10/21/02 00:54:31.0	11.3
10/21/02 04:24:31.0	11.3
10/21/02 07:54:31.0	11.3
10/21/02 11:24:31.0	14.1
10/21/02 14:54:31.0	13.7
10/21/02 18:24:31.0	11.3
10/21/02 21:54:31.0	11.3
10/22/02 01:24:31.0	11.3
10/22/02 04:54:31.0	11.3
10/22/02 08:24:31.0	11.3
10/22/02 11:54:31.0	14.4
10/22/02 15:24:31.0	13.3
10/22/02 18:54:31.0	11.3
10/22/02 22:24:31.0	11.3
10/23/02 01:54:31.0	10.9
10/23/02 05:24:31.0	10.9
10/23/02 08:54:31.0	10.9
10/23/02 12:24:31.0	14.1
10/23/02 15:54:31.0	12.1
10/23/02 19:24:31.0	10.9
10/23/02 22:54:31.0	10.9
10/24/02 02:24:31.0	10.9
10/24/02 05:54:31.0	10.6
10/24/02 09:24:31.0	11.7
10/24/02 12:54:31.0	13.7
10/24/02 16:24:31.0	11.7
10/24/02 19:54:31.0	10.6
10/24/02 23:24:31.0	10.6
10/25/02 02:54:31.0	10.6
10/25/02 06:24:31.0	10.6
10/25/02 09:54:31.0	12.1
10/25/02 13:24:31.0	13.7
10/25/02 16:54:31.0	11.7
10/25/02 20:24:31.0	10.6
10/25/02 23:54:31.0	10.6
10/26/02 03:24:31.0	10.6
10/26/02 06:54:31.0	10.6
10/26/02 10:24:31.0	10.9
10/26/02 13:54:31.0	13.3
10/26/02 17:24:31.0	10.9
10/26/02 20:54:31.0	10.6
10/27/02 00:24:31.0	10.6
10/27/02 02:54:31.0	10.6
10/27/02 06:24:31.0	10.2
10/27/02 09:54:31.0	10.2
10/27/02 13:24:31.0	10.2
10/27/02 16:54:31.0	10.6
10/27/02 20:24:31.0	10.2
10/27/02 23:54:31.0	10.2
10/28/02 03:24:31.0	10.2
10/28/02 06:54:31.0	10.2
10/28/02 10:24:31.0	10.2
10/28/02 13:54:31.0	11.3
10/28/02 17:24:31.0	10.2
10/28/02 20:54:31.0	10.2
10/29/02 00:24:31.0	10.2
10/29/02 03:54:31.0	9.8
10/29/02 07:24:31.0	9.8
10/29/02 10:54:31.0	10.2
10/29/02 14:24:31.0	10.9
10/29/02 17:54:31.0	10.2
10/29/02 21:24:31.0	9.8
10/30/02 00:54:31.0	9.4
10/30/02 04:24:31.0	9.4
10/30/02 07:54:31.0	9
10/30/02 11:24:31.0	10.2
10/30/02 14:54:31.0	9.8
10/30/02 18:24:31.0	9
10/30/02 21:54:31.0	9
10/31/02 01:24:31.0	8.6
10/31/02 04:54:31.0	8.2
10/31/02 08:24:31.0	8.6
10/31/02 11:54:31.0	10.6
10/31/02 15:24:31.0	9.4
10/31/02 18:54:31.0	8.2
10/31/02 22:24:31.0	8.2
11/01/02 01:54:31.0	8.2
11/01/02 05:24:31.0	7.8
11/01/02 08:54:31.0	7.8
11/01/02 12:24:31.0	10.2
11/01/02 15:54:31.0	8.6
11/01/02 19:24:31.0	7.8
11/01/02 22:54:31.0	7.8
11/02/02 02:24:31.0	7.4
11/02/02 05:54:31.0	7.4
11/02/02 09:24:31.0	7.8
11/02/02 12:54:31.0	10.2
11/02/02 16:24:31.0	8.2
11/02/02 19:54:31.0	8.2
11/02/02 23:24:31.0	8.2
11/03/02 02:54:31.0	8.2
11/03/02 06:24:31.0	8.6
11/03/02 09:54:31.0	8.6
11/03/02 13:24:31.0	8.6
11/03/02 16:54:31.0	8.6
