Serial Number:    1032865     --     Series: Temperature (*C) c:1
Serial Number:    1032865     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1032865     --     Series: Dew Point (*C) c:1 3
Serial Number:    1032865     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1032865     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	6.22	6.34	5.88	7.2	97.7
07/01/10 18:30:00.0	6.22	6.04	6.03	7.3	98.7
07/01/10 19:00:00.0	6.22	6.14	5.82	7.2	97.3
07/01/10 19:30:00.0	5.81	5.93	5.62	7.1	98.7
07/01/10 20:00:00.0	5.81	5.7	5.68	7.1	99.1
07/01/10 20:30:00.0	5.4	5.5	5.31	6.9	99.4
07/01/10 21:00:00.0	5.4	5.52	5.31	6.9	99.4
07/01/10 21:30:00.0	5.4	5.52	5.37	7	99.8
07/01/10 22:00:00.0	5.4	5.52	5.31	6.9	99.4
07/01/10 22:30:00.0	5.4	5.55	5.21	6.9	98.7
07/01/10 23:00:00.0	5.4	5.47	5.31	6.9	99.4
07/01/10 23:30:00.0	5.4	5.37	5.31	6.9	99.4
07/02/10 00:00:00.0	5.4	5.37	5.37	7	99.8
07/02/10 00:30:00.0	5.4	5.37	5.37	7	99.8
07/02/10 01:00:00.0	5.4	5.32	5.4	7	100.1
07/02/10 01:30:00.0	5.4	5.22	5.37	7	99.8
07/02/10 02:00:00.0	4.99	5.19	4.96	6.8	99.8
07/02/10 02:30:00.0	4.99	5.16	4.99	6.8	100.1
07/02/10 03:00:00.0	4.57	4.57	4.57	6.6	100.1
07/02/10 03:30:00.0	4.57	4.62	4.57	6.6	100.1
07/02/10 04:00:00.0	4.57	4.57	4.57	6.6	100.1
07/02/10 04:30:00.0	4.57	4.49	4.57	6.6	100.1
07/02/10 05:00:00.0	4.15	4.23	4.15	6.4	100.4
07/02/10 05:30:00.0	4.15	4.23	4.15	6.4	100.1
07/02/10 06:00:00.0	4.15	4.36	4.15	6.4	100.1
07/02/10 06:30:00.0	4.15	4.05	4.15	6.4	100.1
07/02/10 07:00:00.0	3.74	3.92	3.74	6.2	100.1
07/02/10 07:30:00.0	4.15	4.36	4.15	6.4	100.1
07/02/10 08:00:00.0	4.57	4.6	4.57	6.6	100.1
07/02/10 08:30:00.0	4.57	4.67	4.57	6.6	100.1
07/02/10 09:00:00.0	4.57	4.67	4.57	6.6	100.1
07/02/10 09:30:00.0	4.99	4.83	4.99	6.8	100.1
07/02/10 10:00:00.0	5.81	5.83	5.68	7.1	99.1
07/02/10 10:30:00.0	5.81	5.86	5.52	7	98
07/02/10 11:00:00.0	7.43	7.48	7.2	7.8	98.4
07/02/10 11:30:00.0	8.63	8.65	7.47	8	92.4
07/02/10 12:00:00.0	10.21	10.11	6.66	7.5	78.6
07/02/10 12:30:00.0	10.6	10.53	7.89	8.1	83.3
07/02/10 13:00:00.0	11.38	11.55	8.08	8.2	80.1
07/02/10 13:30:00.0	9.42	9.52	6.49	7.4	81.9
07/02/10 14:00:00.0	8.63	8.6	6.05	7.2	83.8
07/02/10 14:30:00.0	10.21	10.06	6.66	7.5	78.6
07/02/10 15:00:00.0	9.03	8.88	7.8	8.1	92
07/02/10 15:30:00.0	7.43	7.63	7.2	7.8	98.4
07/02/10 16:00:00.0	7.43	7.58	6.7	7.6	95.1
07/02/10 16:30:00.0	7.83	7.93	7.22	7.8	95.9
07/02/10 17:00:00.0	7.43	7.61	6.82	7.6	95.9
07/02/10 17:30:00.0	7.43	7.5	6.64	7.5	94.7
07/02/10 18:00:00.0	7.83	7.81	6.8	7.6	93.2
07/02/10 18:30:00.0	7.43	7.61	6.51	7.5	93.9
07/02/10 19:00:00.0	7.03	7	6.63	7.5	97.3
07/02/10 19:30:00.0	6.62	6.7	6.54	7.5	99.4
07/02/10 20:00:00.0	6.62	6.44	6.62	7.6	100.4
07/02/10 20:30:00.0	6.22	6.37	6.22	7.4	100.4
07/02/10 21:00:00.0	6.22	6.39	6.22	7.4	100.4
07/02/10 21:30:00.0	5.81	5.99	5.81	7.2	100.4
07/02/10 22:00:00.0	5.81	5.73	5.81	7.2	100.4
07/02/10 22:30:00.0	5.4	5.6	5.4	7	100.4
07/02/10 23:00:00.0	5.4	5.4	5.4	7	100.4
07/02/10 23:30:00.0	4.99	5.09	4.99	6.8	100.8
07/03/10 00:00:00.0	4.99	4.88	4.99	6.8	100.4
07/03/10 00:30:00.0	4.57	4.47	4.57	6.6	100.4
07/03/10 01:00:00.0	3.74	3.92	3.74	6.2	100.4
07/03/10 01:30:00.0	3.74	3.71	3.74	6.2	100.8
07/03/10 02:00:00.0	3.74	3.65	3.74	6.2	100.4
07/03/10 02:30:00.0	3.74	3.63	3.74	6.2	100.4
07/03/10 03:00:00.0	3.74	3.55	3.74	6.2	100.4
07/03/10 03:30:00.0	3.31	3.37	3.31	6.1	100.8
07/03/10 04:00:00.0	2.46	2.52	2.46	5.7	100.4
07/03/10 04:30:00.0	2.03	2.09	2.03	5.6	100.4
07/03/10 05:00:00.0	2.03	1.84	2.03	5.6	100.4
07/03/10 05:30:00.0	2.03	1.87	2.03	5.6	100.4
07/03/10 06:00:00.0	1.6	1.74	1.6	5.4	100.4
07/03/10 06:30:00.0	2.03	1.98	2.03	5.6	100.4
07/03/10 07:00:00.0	2.46	2.38	2.44	5.7	99.8
07/03/10 07:30:00.0	2.89	2.7	2.56	5.8	97.7
07/03/10 08:00:00.0	4.57	4.54	2.73	5.8	87.8
07/03/10 08:30:00.0	5.81	5.73	3.44	6.1	84.7
07/03/10 09:00:00.0	6.62	6.44	3.69	6.2	81.5
07/03/10 09:30:00.0	7.83	7.66	4.62	6.5	80.1
07/03/10 10:00:00.0	8.23	8.36	4.2	6.3	75.7
07/03/10 10:30:00.0	8.63	8.5	5.88	7.1	82.8
07/03/10 11:00:00.0	9.03	9	5.25	6.8	77.2
07/03/10 11:30:00.0	10.21	10.4	5.75	7	73.8
07/03/10 12:00:00.0	9.82	9.82	5.66	7	75.3
07/03/10 12:30:00.0	7.43	7.63	4.94	6.7	84.2
07/03/10 13:00:00.0	7.43	7.4	5.25	6.8	86
07/03/10 13:30:00.0	9.03	8.98	5.35	6.9	77.7
07/03/10 14:00:00.0	9.82	9.86	5.66	7	75.3
07/03/10 14:30:00.0	11.38	11.55	6.07	7.2	69.8
07/03/10 15:00:00.0	10.21	10.18	5.35	6.8	71.8
07/03/10 15:30:00.0	11.38	11.36	6.98	7.6	74.3
07/03/10 16:00:00.0	10.6	10.58	5.63	7	71.3
07/03/10 16:30:00.0	9.82	9.64	6.11	7.2	77.7
07/03/10 17:00:00.0	9.42	9.4	5.9	7.1	78.6
07/03/10 17:30:00.0	8.63	8.73	5.65	7	81.5
07/03/10 18:00:00.0	8.63	8.73	5.56	7	81
07/03/10 18:30:00.0	8.23	8.06	5.49	6.9	82.8
07/03/10 19:00:00.0	7.83	7.96	5.18	6.8	83.3
07/03/10 19:30:00.0	7.43	7.56	5.54	7	87.8
07/03/10 20:00:00.0	7.43	7.33	5.82	7.1	89.5
07/03/10 20:30:00.0	7.03	6.9	5.42	6.9	89.5
07/03/10 21:00:00.0	6.22	6.32	4.62	6.6	89.5
07/03/10 21:30:00.0	5.81	6.01	4.14	6.4	89
07/03/10 22:00:00.0	5.81	5.88	4.22	6.4	89.5
07/03/10 22:30:00.0	5.4	5.6	3.94	6.3	90.3
07/03/10 23:00:00.0	5.4	5.45	3.94	6.3	90.3
07/03/10 23:30:00.0	5.4	5.27	4.14	6.4	91.6
07/04/10 00:00:00.0	5.4	5.24	3.03	5.9	84.7
07/04/10 00:30:00.0	4.99	4.88	4.04	6.4	93.6
07/04/10 01:00:00.0	4.57	4.73	3.8	6.3	94.7
07/04/10 01:30:00.0	4.57	4.47	4.38	6.5	98.7
07/04/10 02:00:00.0	4.57	4.65	4.28	6.5	98
07/04/10 02:30:00.0	4.57	4.67	4.24	6.4	97.7
07/04/10 03:00:00.0	4.57	4.73	4.14	6.4	97
07/04/10 03:30:00.0	5.4	5.55	3.61	6.1	88.2
07/04/10 04:00:00.0	4.99	5.09	4.04	6.4	93.6
07/04/10 04:30:00.0	4.57	4.75	4.24	6.4	97.7
07/04/10 05:00:00.0	4.99	5.01	4.7	6.6	98
07/04/10 05:30:00.0	4.99	4.93	4.96	6.8	99.8
07/04/10 06:00:00.0	4.99	4.91	4.99	6.8	100.1
07/04/10 06:30:00.0	4.99	4.88	4.99	6.8	100.1
07/04/10 07:00:00.0	6.22	6.11	5.08	6.8	92.4
07/04/10 07:30:00.0	5.81	5.93	4.55	6.6	91.6
07/04/10 08:00:00.0	7.83	7.76	5.42	6.9	84.7
07/04/10 08:30:00.0	8.23	8.28	6.61	7.5	89.5
07/04/10 09:00:00.0	7.03	6.87	6.47	7.5	96.2
07/04/10 09:30:00.0	5.81	5.78	5.58	7	98.4
07/04/10 10:00:00.0	6.22	6.11	6.09	7.3	99.1
07/04/10 10:30:00.0	7.83	7.71	7.27	7.9	96.2
07/04/10 11:00:00.0	9.03	8.98	7.25	7.8	88.6
07/04/10 11:30:00.0	8.63	8.53	6.86	7.6	88.6
07/04/10 12:00:00.0	7.83	7.88	6.74	7.6	92.8
07/04/10 12:30:00.0	9.82	9.69	7.66	8	86.4
07/04/10 13:00:00.0	9.03	9.12	7.53	8	90.3
07/04/10 13:30:00.0	9.42	9.3	8.13	8.3	91.6
07/04/10 14:00:00.0	8.63	8.78	7.89	8.2	95.1
07/04/10 14:30:00.0	9.03	8.9	8.22	8.4	94.7
07/04/10 15:00:00.0	8.63	8.7	7.83	8.1	94.7
07/04/10 15:30:00.0	8.23	8.11	7.89	8.2	97.7
07/04/10 16:00:00.0	7.43	7.53	7.24	7.9	98.7
07/04/10 16:30:00.0	7.43	7.43	7.4	7.9	99.8
07/04/10 17:00:00.0	7.83	7.73	7.83	8.2	100.1
07/04/10 17:30:00.0	8.23	8.43	8.23	8.4	100.1
07/04/10 18:00:00.0	8.63	8.58	7.71	8.1	93.9
07/04/10 18:30:00.0	8.63	8.65	8.01	8.3	95.9
07/04/10 19:00:00.0	7.43	7.58	7.4	7.9	99.8
07/04/10 19:30:00.0	7.03	6.98	7.03	7.8	100.4
07/04/10 20:00:00.0	6.62	6.55	6.62	7.6	100.4
07/04/10 20:30:00.0	6.22	6.14	6.22	7.4	100.4
07/04/10 21:00:00.0	5.81	5.88	5.81	7.2	100.8
07/04/10 21:30:00.0	5.81	5.73	5.81	7.2	100.4
07/04/10 22:00:00.0	5.4	5.52	5.27	6.9	99.1
07/04/10 22:30:00.0	5.4	5.55	5.06	6.8	97.7
07/04/10 23:00:00.0	5.4	5.42	5.4	7	100.8
07/04/10 23:30:00.0	4.99	5.09	4.99	6.8	100.4
07/05/10 00:00:00.0	4.57	4.67	4.57	6.6	100.4
07/05/10 00:30:00.0	4.15	4.23	4.15	6.4	100.4
