Serial Number:     492646     --     Series: Temperature (*C) c:1
Serial Number:     492646     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492646     --     Series: Dew Point (*C) c:1 3
Serial Number:     492646     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492646     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	20.57	20.66	8.55	8.2	46
07/02/09 18:30:00.0	20.19	20.09	8.21	8	46
07/02/09 19:00:00.0	19.42	19.4	7.52	7.7	46
07/02/09 19:30:00.0	18.66	18.64	7.29	7.6	47.5
07/02/09 20:00:00.0	17.9	17.9	6.93	7.4	48.6
07/02/09 20:30:00.0	16.38	16.57	6.57	7.3	52.2
07/02/09 21:00:00.0	15.62	15.54	7.37	7.7	57.9
07/02/09 21:30:00.0	14.09	14.23	6.71	7.4	61.1
07/02/09 22:00:00.0	13.32	13.46	6.34	7.2	62.6
07/02/09 22:30:00.0	13.7	13.53	6.09	7.1	60
07/02/09 23:00:00.0	13.32	13.44	5.36	6.8	58.5
07/02/09 23:30:00.0	13.32	13.17	4.16	6.2	53.8
07/03/09 00:00:00.0	12.93	12.81	3.81	6.1	53.8
07/03/09 00:30:00.0	12.93	13.05	2.23	5.4	48.1
07/03/09 01:00:00.0	12.93	12.95	1.75	5.2	46.5
07/03/09 01:30:00.0	12.16	12.23	2.25	5.5	50.7
07/03/09 02:00:00.0	12.55	12.37	2.61	5.6	50.7
07/03/09 02:30:00.0	12.16	12.3	3.48	5.9	55.3
07/03/09 03:00:00.0	12.16	12.33	3.63	6	55.9
07/03/09 03:30:00.0	11.77	11.82	3.64	6	57.4
07/03/09 04:00:00.0	11.77	11.96	4.15	6.2	59.5
07/03/09 04:30:00.0	11.77	11.6	4.53	6.4	61.1
07/03/09 05:00:00.0	11.77	11.62	3.76	6.1	57.9
07/03/09 05:30:00.0	11.77	11.62	3.12	5.8	55.3
07/03/09 06:00:00.0	13.32	13.27	4.3	6.3	54.3
07/03/09 06:30:00.0	17.9	18.04	8.55	8.3	54.3
07/03/09 07:00:00.0	20.57	20.57	10.29	9.2	51.7
07/03/09 07:30:00.0	21.71	21.9	6.52	7.1	37.3
07/03/09 08:00:00.0	23.24	23.29	6.05	6.9	32.9
07/03/09 08:30:00.0	22.86	23.03	5.49	6.6	32.4
07/03/09 09:00:00.0	23.63	23.72	6.6	7.1	33.4
07/03/09 09:30:00.0	24.4	24.4	5.03	6.4	28.6
07/03/09 10:00:00.0	25.95	25.83	3.84	5.8	24
07/03/09 10:30:00.0	25.56	25.66	1.24	4.8	20.4
07/03/09 11:00:00.0	25.95	26.07	2.42	5.3	21.7
07/03/09 11:30:00.0	27.12	26.95	3.13	5.5	21.3
07/03/09 12:00:00.0	27.12	27.22	3.97	5.9	22.6
07/03/09 12:30:00.0	26.34	26.46	4.7	6.2	24.9
07/03/09 13:00:00.0	27.52	27.64	5.69	6.6	24.9
07/03/09 13:30:00.0	27.52	27.59	8.65	8.1	30.5
07/03/09 14:00:00.0	27.12	27.32	8.74	8.1	31.4
07/03/09 14:30:00.0	26.34	26.51	9.83	8.8	35.4
07/03/09 15:00:00.0	24.79	24.64	10.05	9	39.4
07/03/09 15:30:00.0	22.86	22.91	9.25	8.5	41.9
07/03/09 16:00:00.0	22.48	22.45	9.42	8.7	43.4
07/03/09 16:30:00.0	21.71	21.73	8.73	8.3	43.4
07/03/09 17:00:00.0	21.33	21.3	8.56	8.2	43.9
07/03/09 17:30:00.0	20.95	20.83	7.53	7.6	41.9
07/03/09 18:00:00.0	20.19	20.07	7.19	7.5	42.9
