Serial Number:     492637     --     Series: Temperature (*C) c:1
Serial Number:     492637     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492637     --     Series: Dew Point (*C) c:1 3
Serial Number:     492637     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492637     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	24.79	24.93	7.78	7.7	33.8
07/02/09 18:30:00.0	24.01	24.13	6.89	7.2	33.3
07/02/09 19:00:00.0	23.63	23.68	6.34	7	32.8
07/02/09 19:30:00.0	23.24	23.07	6.44	7	33.8
07/02/09 20:00:00.0	22.48	22.33	6.76	7.2	36.2
07/02/09 20:30:00.0	20.95	20.99	6.92	7.3	40.2
07/02/09 21:00:00.0	19.04	19.19	6.95	7.4	45.3
07/02/09 21:30:00.0	18.28	18.26	6.91	7.4	47.4
07/02/09 22:00:00.0	17.52	17.66	6.52	7.2	48.4
07/02/09 22:30:00.0	16.38	16.31	6.81	7.4	53.1
07/02/09 23:00:00.0	14.09	14.01	7.39	7.8	64
07/02/09 23:30:00.0	13.32	13.29	7.11	7.6	66
07/03/09 00:00:00.0	12.93	13.07	5.69	6.9	61.4
07/03/09 00:30:00.0	13.32	13.22	5.68	6.9	59.8
07/03/09 01:00:00.0	12.55	12.66	5.09	6.7	60.4
07/03/09 01:30:00.0	12.93	12.98	3.75	6	53.6
07/03/09 02:00:00.0	12.55	12.64	3.26	5.9	53.1
07/03/09 02:30:00.0	12.16	12.01	3.83	6.1	56.7
07/03/09 03:00:00.0	12.16	12.13	5.31	6.8	62.9
07/03/09 03:30:00.0	12.16	12.04	10.08	9.4	87.1
07/03/09 04:00:00.0	12.16	12.3	4.97	6.6	61.4
07/03/09 04:30:00.0	12.16	12.3	4.73	6.5	60.4
07/03/09 05:00:00.0	12.55	12.57	4.34	6.3	57.3
07/03/09 05:30:00.0	12.16	12.01	4.47	6.4	59.3
07/03/09 06:00:00.0	12.55	12.37	5.21	6.7	60.9
07/03/09 06:30:00.0	14.47	14.35	5.18	6.7	53.6
07/03/09 07:00:00.0	16	16	6.89	7.4	54.7
