Serial Number:     399738     --     Series: Temperature (*C) c:1
Serial Number:     399738     --     Series: Dew Point (*C) c:1 3
Serial Number:     399738     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     399738     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	25.56	7.38	7.5	31.4
07/02/09 18:30:00.0	24.4	6.14	6.9	30.9
07/02/09 19:00:00.0	24.01	5.81	6.7	30.9
07/02/09 19:30:00.0	23.63	5.71	6.7	31.4
07/02/09 20:00:00.0	22.86	6.35	7	34.4
07/02/09 20:30:00.0	21.33	6.56	7.1	38.3
07/02/09 21:00:00.0	19.42	6.67	7.2	43.4
07/02/09 21:30:00.0	18.28	6.63	7.3	46.5
07/02/09 22:00:00.0	17.14	6.38	7.2	49.1
07/02/09 22:30:00.0	16	7.34	7.7	56.4
07/02/09 23:00:00.0	14.85	7.17	7.6	60
07/02/09 23:30:00.0	14.47	7.17	7.6	61.5
07/03/09 00:00:00.0	13.7	6.09	7.1	60
07/03/09 00:30:00.0	13.7	4.36	6.3	53.2
07/03/09 01:00:00.0	12.93	4.73	6.5	57.4
07/03/09 01:30:00.0	13.32	5.09	6.6	57.4
07/03/09 02:00:00.0	12.55	5.24	6.7	61
07/03/09 02:30:00.0	12.55	3.45	5.9	53.8
07/03/09 03:00:00.0	12.55	5.24	6.7	61
07/03/09 03:30:00.0	11.77	5.1	6.7	63.6
07/03/09 04:00:00.0	11.77	5.22	6.7	64.1
07/03/09 04:30:00.0	11.77	4.88	6.6	62.6
07/03/09 05:00:00.0	10.99	5.37	6.8	68.2
07/03/09 05:30:00.0	12.16	3.76	6.1	56.4
07/03/09 06:00:00.0	13.32	3.6	6	51.7
07/03/09 06:30:00.0	15.62	4.66	6.4	48
07/03/09 07:00:00.0	16.38	6.12	7.1	50.6
07/03/09 07:30:00.0	16.38	7.01	7.5	53.8
07/03/09 08:00:00.0	17.9	8.11	8	52.7
07/03/09 08:30:00.0	20.19	6.31	7.1	40.4
07/03/09 09:00:00.0	22.48	4.48	6.2	30.9
07/03/09 09:30:00.0	23.63	1.6	5	23.5
07/03/09 10:00:00.0	24.79	-3.22	3.5	15.4
07/03/09 10:30:00.0	26.34	-2.34	3.7	15
07/03/09 11:00:00.0	26.73	-3.84	3.3	13.1
07/03/09 11:30:00.0	27.12	-3.53	3.4	13.1
07/03/09 12:00:00.0	27.52	-1.04	4.1	15.4
07/03/09 12:30:00.0	27.52	2.57	5.3	20
07/03/09 13:00:00.0	27.52	3.46	5.6	21.3
07/03/09 13:30:00.0	27.52	5.69	6.6	24.9
07/03/09 14:00:00.0	27.12	6.63	7	27.2
07/03/09 14:30:00.0	26.73	6.77	7.1	28.1
07/03/09 15:00:00.0	26.73	6.77	7.1	28.1
07/03/09 15:30:00.0	26.73	7.03	7.2	28.6
07/03/09 16:00:00.0	26.34	6.69	7.1	28.6
07/03/09 16:30:00.0	26.73	6.51	7	27.6
07/03/09 17:00:00.0	25.95	6.56	7	29
07/03/09 17:30:00.0	25.17	5.44	6.5	28.1
07/03/09 18:00:00.0	25.17	5.18	6.4	27.6
07/03/09 18:30:00.0	24.4	4.78	6.3	28.1
07/03/09 19:00:00.0	24.01	4.7	6.2	28.6
07/03/09 19:30:00.0	24.01	4.7	6.2	28.6
07/03/09 20:00:00.0	22.86	3	5.5	27.2
07/03/09 20:30:00.0	21.71	2.92	5.5	29
07/03/09 21:00:00.0	19.81	3.67	5.9	34.4
07/03/09 21:30:00.0	18.28	4.61	6.3	40.4
07/03/09 22:00:00.0	16.76	7.76	7.9	55.3
07/03/09 22:30:00.0	16	8.49	8.3	61
07/03/09 23:00:00.0	15.23	8.86	8.5	65.7
07/03/09 23:30:00.0	13.7	9.1	8.7	73.7
07/04/09 00:00:00.0	12.93	9.02	8.7	77.1
07/04/09 00:30:00.0	12.16	8.56	8.5	78.6
07/04/09 01:00:00.0	11.38	8.57	8.5	82.8
07/04/09 01:30:00.0	11.38	8.8	8.6	84.1
07/04/09 02:00:00.0	10.99	8.66	8.5	85.5
07/04/09 02:30:00.0	10.99	6.58	7.4	74.2
07/04/09 03:00:00.0	10.21	6.57	7.4	78.1
07/04/09 03:30:00.0	9.82	7.26	7.8	84.1
07/04/09 04:00:00.0	10.21	8.26	8.3	87.7
07/04/09 04:30:00.0	9.82	6.95	7.6	82.3
07/04/09 05:00:00.0	10.6	7.04	7.7	78.6
07/04/09 05:30:00.0	9.82	8.01	8.2	88.5
07/04/09 06:00:00.0	12.16	7.51	7.9	73.2
