Serial Number:     492644     --     Series: Temperature (*C) c:1
Serial Number:     492644     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     492644     --     Series: Dew Point (*C) c:1 3
Serial Number:     492644     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     492644     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	25.17	25.34	6.95	7.2	31.2
07/02/09 18:30:00.0	24.79	24.83	6.38	7	30.7
07/02/09 19:00:00.0	24.01	24.11	5.95	6.8	31.2
07/02/09 19:30:00.0	23.24	23.27	5.51	6.6	31.7
07/02/09 20:00:00.0	22.09	22.19	5.56	6.7	34.1
07/02/09 20:30:00.0	20.57	20.71	6.55	7.2	40.1
07/02/09 21:00:00.0	18.66	18.52	6.89	7.4	46.2
07/02/09 21:30:00.0	16.76	16.76	6.83	7.4	51.9
07/02/09 22:00:00.0	14.47	14.54	7.22	7.7	61.7
07/02/09 22:30:00.0	14.47	14.54	6.59	7.3	59.1
07/02/09 23:00:00.0	13.7	13.8	7.18	7.7	64.7
07/02/09 23:30:00.0	13.32	13.44	7.5	7.8	67.8
07/03/09 00:00:00.0	12.55	12.69	5.97	7.1	64.2
07/03/09 00:30:00.0	12.55	12.62	5.75	7	63.2
07/03/09 01:00:00.0	11.77	11.91	4.78	6.5	62.2
07/03/09 01:30:00.0	10.99	11.04	5.07	6.7	66.8
07/03/09 02:00:00.0	10.99	10.94	6.41	7.3	73.3
07/03/09 02:30:00.0	10.99	10.84	5.7	7	69.8
07/03/09 03:00:00.0	10.6	10.65	4.7	6.5	66.8
07/03/09 03:30:00.0	10.21	10.23	7.33	7.8	82.3
07/03/09 04:00:00.0	10.21	10.16	5.35	6.8	71.8
07/03/09 04:30:00.0	10.6	10.45	5.12	6.7	68.8
07/03/09 05:00:00.0	10.21	10.09	4.85	6.6	69.3
07/03/09 05:30:00.0	10.21	10.04	6.75	7.5	79.1
07/03/09 06:00:00.0	10.99	10.87	4.85	6.6	65.8
07/03/09 06:30:00.0	13.32	13.32	7.28	7.7	66.8
07/03/09 07:00:00.0	15.62	15.76	9.36	8.8	66.3
07/03/09 07:30:00.0	16.38	16.5	9.61	8.9	64.2
07/03/09 08:00:00.0	17.9	17.97	8.58	8.3	54.4
07/03/09 08:30:00.0	20.95	20.99	6.33	7	38.6
07/03/09 09:00:00.0	22.48	22.36	7.88	7.8	39.1
07/03/09 09:30:00.0	24.01	23.87	8.47	8.1	37.1
07/03/09 10:00:00.0	26.34	26.19	4.58	6.1	24.7
07/03/09 10:30:00.0	27.91	27.86	-1.18	4	14.9
07/03/09 11:00:00.0	27.91	28.03	-3.33	3.4	12.7
07/03/09 11:30:00.0	29.5	29.6	-4.64	3.1	10.5
07/03/09 12:00:00.0	29.9	29.93	-3.96	3.3	10.8
07/03/09 12:30:00.0	30.31	30.35	-0.74	4.1	13.4
