Serial Number:    1277067     --     Series: Temperature (*C) c:1
Serial Number:    1277067     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277067     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277067     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277067     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/01/10 18:00:00.0	9.03	9.2	6.95	7.7	86.8
07/01/10 18:30:00.0	8.63	8.65	6.56	7.5	86.8
07/01/10 19:00:00.0	8.63	8.73	6.19	7.3	84.6
07/01/10 19:30:00.0	8.63	8.5	6.86	7.6	88.6
07/01/10 20:00:00.0	7.83	7.78	6.41	7.4	90.7
07/01/10 20:30:00.0	7.43	7.45	6.2	7.3	91.9
07/01/10 21:00:00.0	7.43	7.63	5.95	7.2	90.3
07/01/10 21:30:00.0	7.83	7.71	6.41	7.4	90.7
07/01/10 22:00:00.0	7.43	7.58	5.67	7.1	88.6
07/01/10 22:30:00.0	7.43	7.4	6.08	7.3	91.1
07/01/10 23:00:00.0	7.43	7.48	6.14	7.3	91.5
07/01/10 23:30:00.0	7.03	7.2	6.24	7.3	94.7
07/02/10 00:00:00.0	7.03	7.18	6.24	7.3	94.7
07/02/10 00:30:00.0	7.43	7.25	6.27	7.4	92.3
07/02/10 01:00:00.0	7.43	7.28	5.87	7.2	89.8
07/02/10 01:30:00.0	7.03	7	6.18	7.3	94.3
07/02/10 02:00:00.0	7.03	6.93	6.34	7.4	95.4
07/02/10 02:30:00.0	6.62	6.8	6.12	7.3	96.6
07/02/10 03:00:00.0	6.22	6.16	6.03	7.3	98.7
07/02/10 03:30:00.0	6.22	6.14	6.03	7.3	98.7
07/02/10 04:00:00.0	6.22	6.06	6.07	7.3	99
07/02/10 04:30:00.0	6.22	6.04	6.03	7.3	98.7
07/02/10 05:00:00.0	6.22	6.09	5.92	7.2	98
07/02/10 05:30:00.0	6.22	6.11	5.87	7.2	97.6
07/02/10 06:00:00.0	6.22	6.16	5.82	7.2	97.3
07/02/10 06:30:00.0	5.81	6.01	5.52	7	98
07/02/10 07:00:00.0	6.22	6.14	5.82	7.2	97.3
07/02/10 07:30:00.0	6.62	6.62	6	7.2	95.8
07/02/10 08:00:00.0	7.03	7.05	6.18	7.3	94.3
07/02/10 08:30:00.0	7.43	7.35	6.39	7.4	93.1
07/02/10 09:00:00.0	7.43	7.48	6.2	7.3	91.9
07/02/10 09:30:00.0	7.83	7.76	6.35	7.4	90.3
07/02/10 10:00:00.0	9.03	9.12	6.35	7.4	83.3
07/02/10 10:30:00.0	7.83	7.81	6.41	7.4	90.7
07/02/10 11:00:00.0	9.82	9.96	6.45	7.4	79.5
07/02/10 11:30:00.0	9.42	9.5	6.49	7.4	81.9
07/02/10 12:00:00.0	9.42	9.54	5.81	7.1	78.1
07/02/10 12:30:00.0	8.63	8.73	5.96	7.2	83.3
07/02/10 13:00:00.0	10.6	10.55	6.59	7.4	76.2
07/02/10 13:30:00.0	9.82	9.74	7.35	7.9	84.6
07/02/10 14:00:00.0	9.82	9.64	7.12	7.7	83.3
07/02/10 14:30:00.0	10.6	10.48	7.21	7.8	79.5
07/02/10 15:00:00.0	9.03	9.17	7.65	8	91.1
07/02/10 15:30:00.0	9.82	9.67	7.44	7.9	85.1
07/02/10 16:00:00.0	9.03	9.17	7.78	8.1	91.9
07/02/10 16:30:00.0	9.42	9.3	8.11	8.3	91.5
07/02/10 17:00:00.0	9.03	8.95	8.29	8.4	95.1
07/02/10 17:30:00.0	9.42	9.3	8.3	8.4	92.7
07/02/10 18:00:00.0	9.42	9.47	7.92	8.2	90.3
