Serial Number:    1277067     --     Series: Temperature (*C) c:1
Serial Number:    1277067     --     Series: High-Res Temp (*C) c:1 2
Serial Number:    1277067     --     Series: Dew Point (*C) c:1 3
Serial Number:    1277067     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:    1277067     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	24.4	24.57	7.49	7.5	33.9
07/02/09 18:30:00.0	23.63	23.82	6.6	7.1	33.4
07/02/09 19:00:00.0	23.24	23.29	6.26	7	33.4
07/02/09 19:30:00.0	22.86	22.79	6.14	6.9	33.9
07/02/09 20:00:00.0	21.71	21.71	6.32	7	36.8
07/02/09 20:30:00.0	20.19	20.14	7.02	7.4	42.4
07/02/09 21:00:00.0	18.28	18.4	6.94	7.4	47.5
07/02/09 21:30:00.0	17.14	17.07	7.27	7.6	52.2
07/02/09 22:00:00.0	16	16	7.21	7.6	55.9
07/02/09 22:30:00.0	14.09	13.96	8.1	8.1	67.2
07/02/09 23:00:00.0	12.16	12.11	8.1	8.2	76.2
07/02/09 23:30:00.0	11.77	11.65	7.9	8.1	77.1
07/03/09 00:00:00.0	10.6	10.75	7.14	7.7	79.1
07/03/09 00:30:00.0	10.21	10.31	6.12	7.2	75.7
07/03/09 01:00:00.0	9.82	10.01	5.45	6.9	74.2
07/03/09 01:30:00.0	9.82	10.01	5.74	7	75.7
07/03/09 02:00:00.0	9.82	9.67	6	7.2	77.1
07/03/09 02:30:00.0	9.42	9.37	4.97	6.7	73.7
07/03/09 03:00:00.0	9.42	9.5	5.36	6.9	75.7
07/03/09 03:30:00.0	8.63	8.45	6.12	7.2	84.2
07/03/09 04:00:00.0	8.23	8.16	6.25	7.3	87.3
07/03/09 04:30:00.0	8.23	8.33	5.57	7	83.3
07/03/09 05:00:00.0	8.63	8.53	5.47	6.9	80.5
07/03/09 05:30:00.0	8.63	8.45	5.04	6.7	78.1
07/03/09 06:00:00.0	9.82	9.89	4.03	6.2	67.2
07/03/09 06:30:00.0	12.16	12.11	8	8.1	75.7
07/03/09 07:00:00.0	14.47	14.42	9.94	9.2	74.2
07/03/09 07:30:00.0	16	16.09	9.11	8.7	63.6
07/03/09 08:00:00.0	17.52	17.71	10.07	9.2	61.6
07/03/09 08:30:00.0	19.42	19.49	9.24	8.6	51.7
