Serial Number:     399740     --     Series: Temperature (*C) c:1
Serial Number:     399740     --     Series: High-Res Temp (*C) c:1 2
Serial Number:     399740     --     Series: Dew Point (*C) c:1 3
Serial Number:     399740     --     Series: Abs Humidity (gm/M3) c:1 3
Serial Number:     399740     --     Series: RH (%) c:3

Date Time	Temperature (*C) c:1	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	Abs Humidity (gm/M3) c:1 3	RH (%) c:3
07/02/09 18:00:00.0	22.09	22.24	9.28	8.6	44
07/02/09 18:30:00.0	20.95	21.14	12.09	10.4	56.9
07/02/09 19:00:00.0	20.19	20.23	9.32	8.7	49.6
07/02/09 19:30:00.0	19.04	18.99	9.61	8.9	54.3
07/02/09 20:00:00.0	17.9	18.09	9.25	8.7	56.9
07/02/09 20:30:00.0	16.76	16.85	9.97	9.2	64.2
07/02/09 21:00:00.0	15.23	15.3	10.49	9.5	73.3
07/02/09 21:30:00.0	13.7	13.65	9.88	9.2	77.7
07/02/09 22:00:00.0	12.16	12.13	9.41	9	83.3
07/02/09 22:30:00.0	10.99	11.06	8.74	8.6	86
07/02/09 23:00:00.0	10.21	10.38	8.2	8.3	87.3
07/02/09 23:30:00.0	9.82	9.74	8.24	8.3	89.9
07/03/09 00:00:00.0	9.03	9.2	7.59	8	90.7
07/03/09 00:30:00.0	8.63	8.68	7.13	7.8	90.3
07/03/09 01:00:00.0	8.23	8.18	7	7.7	91.9
07/03/09 01:30:00.0	7.83	7.83	6.54	7.5	91.5
07/03/09 02:00:00.0	7.43	7.53	6.39	7.4	93.1
07/03/09 02:30:00.0	7.43	7.33	6.14	7.3	91.5
07/03/09 03:00:00.0	7.03	7.03	5.8	7.1	91.9
07/03/09 03:30:00.0	7.03	6.85	6.11	7.3	93.9
07/03/09 04:00:00.0	7.03	6.95	6.36	7.4	95.5
07/03/09 04:30:00.0	6.62	6.77	5.9	7.2	95.1
07/03/09 05:00:00.0	6.62	6.57	5.84	7.2	94.7
07/03/09 05:30:00.0	6.22	6.39	5.43	7	94.7
07/03/09 06:00:00.0	6.62	6.44	5.96	7.2	95.5
07/03/09 06:30:00.0	7.03	7.15	6.47	7.5	96.2
07/03/09 07:00:00.0	8.63	8.53	8.12	8.3	96.6
07/03/09 07:30:00.0	9.82	9.77	9.35	9	96.9
07/03/09 08:00:00.0	11.38	11.26	10.97	10	97.3
07/03/09 08:30:00.0	11.38	11.23	10.37	9.6	93.5
07/03/09 09:00:00.0	13.32	13.48	10.04	9.3	80.5
07/03/09 09:30:00.0	15.23	15.09	7.91	8	61.6
07/03/09 10:00:00.0	16.76	16.66	8.59	8.3	58.5
07/03/09 10:30:00.0	18.28	18.31	5.83	6.9	44
07/03/09 11:00:00.0	19.81	19.78	5.05	6.5	37.9
07/03/09 11:30:00.0	20.95	20.99	2.97	5.6	30.5
07/03/09 12:00:00.0	22.09	22.02	1.88	5.1	26.3
07/03/09 12:30:00.0	22.86	22.81	6.14	6.9	33.9
07/03/09 13:00:00.0	23.63	23.68	7.03	7.3	34.4
07/03/09 13:30:00.0	24.4	24.23	9.71	8.8	39.4
07/03/09 14:00:00.0	24.79	24.62	8.88	8.3	36.4
07/03/09 14:30:00.0	24.79	24.66	12.22	10.3	45.5
07/03/09 15:00:00.0	24.79	24.76	10.79	9.4	41.4
07/03/09 15:30:00.0	24.79	24.69	10.79	9.4	41.4
07/03/09 16:00:00.0	24.4	24.47	11.36	9.8	44
07/03/09 16:30:00.0	24.01	23.96	9.92	8.9	40.9
07/03/09 17:00:00.0	23.63	23.48	10.84	9.5	44.5
07/03/09 17:30:00.0	22.48	22.57	8.54	8.2	40.9
07/03/09 18:00:00.0	21.71	21.64	9.1	8.5	44.5
07/03/09 18:30:00.0	20.57	20.64	9.21	8.6	48.1
07/03/09 19:00:00.0	19.42	19.59	10.95	9.7	58
07/03/09 19:30:00.0	18.66	18.52	9.96	9.1	56.9
07/03/09 20:00:00.0	17.14	17.33	7.85	7.9	54.3
07/03/09 20:30:00.0	16	16.09	8.99	8.6	63.1
